edition_key,Year,City,Language,Format,Elements (Arithmetical Books),Elements (Geometrical Books),Geometrical Dotted Lines,Token Lines,"Other ""Dotted"" Lines",Has dotted diagrams in the wide sense,RAW Dotted lines,Lines classified,Notes,Has diagrams,Reprint of,Final Architecture,Final Arithmetic,Final Astronomy,Final Cartography,Final Commercial Mathematics,Final Construction,Final Cosmography,Final Geography,Final Gnomonics & Horology,Final Instrument Construction,Final Instrument Use,Final Mechanics,Final Military Engineering,Final Music Theory,Final Navigation,Final Perspective,Final Practical Geometry,Final Surveying,Final Theoretical Mathematics,Final Trigonometry
4TJF1A,1557,Paris,FRENCH,4,,,,,,No (has diagrams),No (has diagrams),Yes,"Mainly arithmetic, but there is some geometrical reasoning mixed inside... Example for not a dotted line, but a ruller line in scan 234",TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
VWMZ7L,1557,Paris,LATIN,8,,,Geometrical + Tokens (triangular and cubic numbers),Geometrical + Tokens (triangular and cubic numbers),,Yes,Geometrical + Tokens (triangular and cubic numbers),Yes,Dotted in p.90,TRUE,,unrelated,primary,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unknown,unrelated,primary,unrelated
bib-41,1558,Venice,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,Also: optics,TRUE,,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated
bib-123,1558,Lyon,ITALIAN,,,,,,Other (Ruller),Yes,Other (Ruller),Yes,,TRUE,,unknown,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-83,1559,Lyon,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,legal applications? I think it's a reprint/new edition,TRUE,,unrelated,unrelated,unrelated,unrelated,secondary,secondary,unrelated,unrelated,unrelated,unrelated,unknown,secondary,secondary,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated
bib-251,1560,Cologne,LATIN,,,,,,,Not relevant (no diagrrams in edition),,,"No diagrams, but many tables",FALSE,,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-276,1560,Padua,LATIN,2,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated
2I9HSY,1560,Paris,FRENCH,2,,,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,unrelated
bib-47,1561,Paris,FRENCH,,,,Geometrical (dividing line),,,Yes,Geometrical (dividing line),Yes,reprint?,,,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated
bib-91,1563,Venice,ITALIAN,4,,,,,,No (has diagrams),No (has diagrams),Yes,"No dotted, but there are areas filled with dots (https://www.google.co.il/books/edition/Libro_di_arithmetica_geometria_speculati/k178vmPQwfYC?hl=en&gbpv=1&pg=PP155&printsec=frontcover)",TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated
bib-266,1563,Antwerp,FRENCH,,,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,unrelated,primary,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-282,1563,Paris,FRENCH,,,,,Tokens (triangular and cubic numbers),,Yes,Tokens (triangular and cubic numbers),Yes,"traingle numbers: https://gallica.bnf.fr/ark:/12148/bpt6k87026586 ; lines ""segmented"" (ruller-like) https://gallica.bnf.fr/ark:/12148/bpt6k87026586",TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated
bib-4,1564,Paris,FRENCH,,,,Geometrical,,,Yes,Geometrical,Yes,"Also ""segmented"" and ""ruller"" lines -- many!",TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-33,1564,Venice,ITALIAN,4,,,,,,No (has diagrams),No (has diagrams),Yes,Many segmented lines,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,primary,unrelated,unrelated
bib-39,1564,Venice,ITALIAN,,,,,,Other (Army layout) + Other (map),Yes,Other (Army layout) + Other (map),Yes,,TRUE,,secondary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
bib-285,1564,London,ENGLISH,,,,,,,Not relevant (no diagrrams in edition),No (has diagrams),Yes,,FALSE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
L3XLGB,1564,Poitiers,FRENCH,4,,,,,,No (has diagrams),No (has diagrams),Yes,I saw a ruler...,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated
S105XB,1564,Frankfurt,GERMAN,2,,,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated
bib-13,1565,Paris,FRENCH,,,,,,,Unclassified,,,I saw segmented lines,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-27,1565,Venice,ITALIAN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
YPQYIR,1565,Paris,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,"An (abridged?) ""translation"" of Archimedes + Euclid",TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
YQDZSW,1565,Paris,FRENCH,4,,,Geometrical,,,Yes,Geometrical,Yes,"Translation of Archimedes (""On the Equilibrium of Planes"")",TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
YCXMIJ,1565,Paris,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
UEIZFO,1565,Paris,FRENCH,4,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-44,1567,Paris,FRENCH,,,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Le_Premier_tome_de_l_Architecture_de_Phi/t4IMD9xRcmUC?hl=en&gbpv=1&pg=PA232-IA1&printsec=frontcover,TRUE,,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
bib-71,1567,Venice,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated
bib-151,1567,Brescia,ITALIAN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
K7DERJ,1567,Augsburg,GERMAN,2,,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated
bib-18,1568,Salamanca,SPANISH,,,,Geometrical,,,Yes,Geometrical,Yes,p. 208,TRUE,,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,secondary,secondary,unrelated,primary,unrelated,unrelated,unrelated,secondary,unrelated,primary,unrelated,unknown,unrelated
bib-26,1568,Venice,ITALIAN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
0NKS71,1568,Paris,FRENCH,8,,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated
MIZPJ8,1568,Nuremberg,GERMAN,2,,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated
Valencia_1569,1569,Valencia,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
bib-21,1569,Basel,LATIN,,,,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
JXC181,1569,Venice,ITALIAN,2,,,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated
JTRIRS,1569,Venice,ITALIAN,2,,,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated
