intellectual_value,classification_key,year,city,language,primary_classes,evidence
utility_application_practice,bib-135,1667,Nuremberg,GERMAN,Practical Geometry | Surveying,"content_description: Im I. Aus rechtem Fundament gewiesen wird; wie man in der Geometria, auf dem Papyr und Lande, mit denen dazu gehörigen Instrumenten, ja zur Noth ohne die- selben, verfahren und practicien solle | Im II. Wie ohne einig kü ; action_verbs: gegeben | vermehrt ; enriched_with: mit vielen nütz- lichen Additionen und neuen Figuren ; educational_authorities_references: M. Johannis Pratorii | Camillæ Ravertræ"
utility_application_practice,bib-218,1634,London,ENGLISH,Arithmetic,"content_description: WITH Helpfull Observations, making the Entrance easie, and the Practice pleasant ; action_verbs: making ; enriched_with: WITH Helpfull Observations | With new and notable Abridgements | with extraordinarie Helps | some excellent Observations ; bound_with_minimal: The five ordinary parts of ARITHME- TICK | Rules of PRACTICE | The doctrine of FRACTIONS | Recreations extraordinary"
utility_application_practice,bib-190,1701,London,ENGLISH,Arithmetic | Commercial Mathematics,"content_description: WHEREIN THE  Whole Nature of NUMBERS, with their Simple and Comparative  Elements in all the Parts of ARITHMETICK, are plainly Declared,  and fully Handled ; action_verbs: added | Explain’d | Declared | Handled | Illustrated | digested | delivered ; enriched_with: Excellent RULES of PRACTICE | Many Large and Exact TABLES of all Sorts of Coins, Weights,  Measures, &c. Ancient and Modern, in most Countries, reduced to our own | divers Etymologies, Symbols, Characters,  and Abbreviat"
correction_revision_accuracy,bib-187,1615,Leiden,DUTCH,Commercial Mathematics | Practical Geometry | Surveying | Trigonometry,"content_description: Daer in gheleert werdt te vinden  den naesten proportie des Circkels-Diameters teghen sijn om-  loop / daer door alle Circkels (met alle Figuren / ofte Lijnen met com-  munen hoeken) recht ghemeten kunnen werden | Item a ; edition_details: Twee­de Editie | Van nieuws oversien / ende van alle de voor-gaende fauten verbeteret / ende aen-ghevuld vermeerdert met by-voeghselen ; action_verbs: gecor- rigieerde | oversien | verbeteret | verbetert | vermeerdert | by-voeghselen | ghehouden | uyt-ghegeven | beschreven | ghebracht | gheproeft ; enriched_with: met het ghebruyck van dien, hoogh-noodigh voor de Land-meters | Met veel andere konstighe stucken, dierghelijcke noyt in druck uyt-ghegeven | Met noch seer hantvvoedige dingen | Noch de Tafelen Sinuum, Tangentium, ende S ; bound_with_minimal: Tafelen Sinuum, Tangentium, ende Secantium | Interest"
correction_revision_accuracy,MorisS-16-1,1623,Paris,FRENCH,Arithmetic | Construction | Military Engineering | Practical Geometry | Trigonometry,"content_description: Construction des tables des Sinus, Tou‑chantes & Couppantes ; Doctrine des triangles Rectilignes ; Pratique de diuers Problemes Geometriques ; Dimenſion des lignes droictes, Su‑perficies & Corps ; Pratique du Compas de p ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en‑droicts, & meſme d’vn traicté entier, co[n]tenant vne brieue inſtru‑ ction pour conſtruire les fortifications pratiquées aux pays bas ; action_verbs: reueuë | corrigée | augmentée ; enriched_with: d’explication & augmentation | vne brieue instruction ; bound_with_minimal: Fortifications de Monſieur Errard ; educational_authorities_references: Monſieur Errard ; destination_language: Françoiſe"
correction_revision_accuracy,Rotterdam_1647,1647,Rotterdam,DUTCH,,"content_description: Van de beginselen ende fonda-menten der Geometrie ; edition_details: Waer bygevoeght zijn eenige nuttigheden | Van nieus oversien ende verbetert ; action_verbs: bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert ; enriched_with: eenige nuttigheden, uyt de selve Boecken getrocken | de Specien in Geometrische figuren, als ’tmaken, veranderen, t’samenvoegen, aftrecken, ver-menigvuldigen ende deelen | de bygevoegde nuttigheden, met de specien in Geo ; elements_designation: De ses eerste Boecken EUCLIDIS ; references_to_euclid: EUCLIDIS"
correction_revision_accuracy,Amsterdam_1701,1701,Amsterdam,DUTCH,Practical Geometry | Theoretical Mathematics,"content_description: Van de beginselen ende fondamenten der Geometrie ; edition_details: Desen laetsten Druk, van nieuws oversien en verbetert ; action_verbs: by-gevoeght | by-gevoegde | Over-geset | verklaert | uyt-geleyt | oversien | verbeter t | vermeerdert ; enriched_with: by-gevoeght zijn eenige nut-tigheden, uyt deselve Boecken getrocken: Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, vermeenighvuldigen, ende deelen | Over-geset, verkl ; elements_designation: De zes eerste Boecken EUCLIDIS ; references_to_euclid: EUCLIDIS"
correction_revision_accuracy,bib-140,1644,Arnhem,DUTCH,,"edition_details: Den derden Drucx, op nieuws oversien ende verbetert ; action_verbs: Te samen ghevoeght | Ghetranslateert | verrijckt | vermeerdert | verbeteret | op nieuws oversien | verbetert ; enriched_with: Te samen ghevoeght Van verscheyden ghenuchtijcke ende boertige Werck-stucken, soo uyt Arithmetica, Geometria, Astronomia, Geographia, Cosmographia, Musica, Physica, Optica, Catoptrica, Architectonica, Scioterica, als uyt ; origin_language: Fransch ; destination_language: Ne-derduytsche tale"
correction_revision_accuracy,ustc-26,1627,Paris,FRENCH,Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry,"content_description: De l’Arithmetique militaire ; Conſtruction des tables des Sinus, chanzes & Coupantes ; Doctrine des triangles Recitilignes ; Pratique de diuers problemes Geometriques ; Dimeſon des lignes droites, perficies & Corps ; Pra ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en droicts ; & meſme d'vn traicté entier, contenant vne briefve inconſtr tion pour conſtruire les fortifications pées aux pays bas ; action_verbs: reueuë | corrigée | augmentée"
correction_revision_accuracy,Amsterdam_1626,1626,Amsterdam,DUTCH,,"content_description: Van de beginselen ende fondamenten der Geometrie ; edition_details: Van nieus over-sien, ende verbetert ; action_verbs: ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert ; enriched_with: Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | Mitsga ; elements_designation: De ses eerste Boecken EVCLIDIS ; references_to_euclid: EVCLIDIS"
correction_revision_accuracy,Amsterdam_1700b,1700,Amsterdam,DUTCH,Theoretical Mathematics,"content_description: Van de beginselen ende fon-damenten der Geometrie ; edition_details: Desen laetsten Druk, van nieuws oversien en verbetert ; action_verbs: by-gevoeght | Over-geset | verklaert | uyt-geleyt | oversien | verbetert | vermeerdert | by-gevoegde ; enriched_with: by-gevoeght zijn eenige nuttigheden, uyt deselve Boecken getroken | Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, ver-meenighvuldigen, ende deelen | Mitsgaders de by- ; elements_designation: De zes eerste Boecken EUCLIDIS ; references_to_euclid: EUCLIDIS"
correction_revision_accuracy,bib-141,1672,Arnhem,DUTCH,,"edition_details: Den vijfden druck, op nieuws oversien ende van vele druck-fauten verbeteret ; action_verbs: Te samen gevoeght | Getranslateert | verrijckt | vermeerdert | verbeteret | op nieuws oversien ; enriched_with: met verscheyden Observationen ende Annotationen ; bound_with_minimal: Arithmetica | Geometria | Astronomia | Geographia | Cos- mographia | Musica | Physica | Optica | Catoptrica | Architectonica | Scioterica ; origin_language: Francoys ; destination_language: Nederduytsche Tale"
correction_revision_accuracy,bib-139,1673,Amsterdam,DUTCH,,"edition_details: Den sesten Druck, op nieuws Oversien, ende van vele Druck-fauten verbeteret ; action_verbs: Te samen gevoeght | Getranslateert | verrijckt | vermeerdert | verbeterd | Oversien | verbeteret ; enriched_with: met verscheyden Observationen en Annotationen ; bound_with_minimal: Arithmetica | Geometria | Astronomia | Geographia | Cosmographia | Musica | Physica | Optica | Catoptrica | Architectonica | Scioterica ; origin_language: uyt Francoys ; destination_language: Nederduytsche Tale"
augmentation_enrichment_completeness,Venice_1505,1505,Venice,LATIN,Theoretical Mathematics,content_description: cum expositione Theonis insignis mathematici ; edition_details: voluta in Campani interpretatione: ordinata digesta et castigata | voluta in Campani interpretatione | ordinata digesta et castigata ; action_verbs: sumpta | addita | subuersa | voluta | ordinata | digesta | castigata | addita | subuersa | prepostere | voluta | ordinata | digesta | castigata | adiuncta ; enriched_with: multa quae deerant ex lectione graeca | addita | subuersa | adiuncta ; bound_with_minimal: Hypsi | Alex | Phaeno | Specu | Perspe | Datorum | Pappi Mechanici | Marini dialectici protheoria | Theonis | Hypsi. Alex | Phaeno. Specu. et Perspe | Datorum ; educational_authorities_references: Theonis | Hypsi | Alex | Phaeno | Specu | Perspe | Pappi Mechanici | Marini dialectici | Theonis | Hypsi. Alex | Phaeno | Specu | Perspe | Pappi Mechanici | Marini dialectici | Socratico philosopho ; elements_designation: elementorum libros. xiij ; references_to_euclid: Euclidis | Euclidi
augmentation_enrichment_completeness,Cologne_1602,1602,Cologne,LATIN,Theoretical Mathematics,"content_description: AD GERMANAM GEOMETRIAE INTELLIGENTIAM, E DIVERSIS LAPSIBVS TEMPORIS INIVRIA CONTRACTIS RESTITUTA, ADIMPLETIS PRAETER MAIORVM SPEM, QUAE HACTEnus deerant, solidorum regu-larium conferentijs ac inscriptionibus | AD GERMANA ; edition_details: E DIVERSIS LAPSIBVS TEMPORIS INIVRIA CONTRACTIS RESTITUTA | Nouissimè collati sunt decimusseptimus & decimusoctauus, priori editioni quodammodo polliciti | Nouissimè collati sunt decimusseptimus & decimusoctauus, priori  ; action_verbs: restituta | collati sunt | polliciti | accessit | RESTITVTA | ADIMPLETIS | Accessit | collati | polliciti ; enriched_with: solidorum regu-larium conferentijs ac inscriptionibus | de componendorum, inscribendo-rum, & conferendorum compositorum solidorum inuentis | solidorum regularium sibi inuicem inscriptorum collationibus | solidorum regula ; bound_with_minimal: decimussextus liber | decimusseptimus | decimusoctauus ; destination_language: GERMANAM ; elements_designation: EVCLIDIS MEGARENSIS MATHEMATICI CLARISSIMI ELEMENTA, LIBRIS XV | ELEMENTA, LIBRIS XV ; references_to_euclid: EVCLIDIS"
augmentation_enrichment_completeness,MorisS-16-1,1623,Paris,FRENCH,Arithmetic | Construction | Military Engineering | Practical Geometry | Trigonometry,"content_description: Construction des tables des Sinus, Tou‑chantes & Couppantes ; Doctrine des triangles Rectilignes ; Pratique de diuers Problemes Geometriques ; Dimenſion des lignes droictes, Su‑perficies & Corps ; Pratique du Compas de p ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en‑droicts, & meſme d’vn traicté entier, co[n]tenant vne brieue inſtru‑ ction pour conſtruire les fortifications pratiquées aux pays bas ; action_verbs: reueuë | corrigée | augmentée ; enriched_with: d’explication & augmentation | vne brieue instruction ; bound_with_minimal: Fortifications de Monſieur Errard ; educational_authorities_references: Monſieur Errard ; destination_language: Françoiſe"
augmentation_enrichment_completeness,ustc-8,1605,Paris,FRENCH,Practical Geometry,"content_description: des Elemens d’Euclide ; edition_details: COMPOSEE | augmenté par iceluy de quelques Annotations | augmenté par iceluy de quelques Annotations ; action_verbs: COMPOSEE | augmenté | tiré | contenus | COMPOSEE | augmenté ; enriched_with: quelques Annotations | Tables des chapitres | augmenté par iceluy de quelques Annotations | Avec Tables des chapitres contenus es faits liures ; bound_with_minimal: Traicté des mesures Geometriques | Vn Traicté des mesures Geometriques, des hauteurs accessibles, ou inaccessibles | L'Art de mesurer toutes superficies Rectilignes ; educational_authorities_references: M. Iean Pierre de Mesmes | M. Iean des Mersliers d’Amiens ; elements_designation: Elemens d’Euclide | Elemens d'Euclide ; references_to_euclid: Elemens d’Euclide | Elemens d'Euclide"
augmentation_enrichment_completeness,Paris_1578,1578,Paris,LATIN,Theoretical Mathematics,"content_description: AD GERMANAM GEOmetriæ intel- ligentiam è diuersis lapsibus temporis iniuria contractis restituta, Adimpletis præter maiorum spem, quæ hactenus deerant, solidorum regularium conferentiis ac inscriptionibus ; edition_details: Accessit decimussextus liber, de solidorum regularium sibi inuicem inscriptorum collationibus | Nouissimè collati sunt decimusseptimus & decimusoctauus, priori edi-tione quodammodo polliciti, de componendorum, inscribend ; action_verbs: restituta | Adimpletis | Accessit | collati sunt | polliciti | inuentis ; bound_with_minimal: decimussextus liber | decimusseptimus & decimusoctauus ; destination_language: GERMANAM ; elements_designation: EVCLIDIS MEGARENSIS MATHEMATICI CLARISSIMI ELEMENTA, LIBRIS XV ; references_to_euclid: EVCLIDIS"
augmentation_enrichment_completeness,bib-215,1653,London,ENGLISH,Gnomonics & Horology | Instrument Use,"content_description: A Collection of many Problemes, extracted out of the Ancient and Modern Philo­- sophers, as Secrets and Experiments in Arithmetick, Geometry, Cosmographie, Horologiographie, Astronomie, Navigation, Musick, Opticks, Archi ; edition_details: Written first in Greeke and Latin, lately compil’d in French, by Henry Van Etten, and now in English, with the Examinations and Augmentations of divers Modern Mathematicians ; action_verbs: extracted | compil’d | added | Invented | written ; enriched_with: the Examinations and Augmentations of divers Modern Mathematicians | the Description and Use of the Generall Horologicall Ring | The Double Horizontall Diall ; bound_with_minimal: Description and Use of the Generall Horologicall Ring | Double Horizontall Diall ; origin_language: Greeke | Latin | French ; destination_language: now in English"
augmentation_enrichment_completeness,bib-264,1573,Antwerp,FRENCH,Arithmetic | Commercial Mathematics | Trigonometry,"content_description: contenant plusieurs belles questions & de-  mandes, propres & vtiles à tous ceux qui hantent la Trafique de Marchandise ; edition_details: reveu, corrigé, & augmenté en plusieurs endroits ; action_verbs: Composé | reveu | corrigé | augmenté en plusieurs endroits | illustrées | amplifiées ; enriched_with: La Solution des questions Mathematiques par la supputation de Sinus | illustrées | amplifiées ; bound_with_minimal: Une ample declaration sur le fait des Changes | Un petit discours de bien & deuëment disconter, auec la Solution sur diuerſes opinions y propoſées | La Solution des questions Mathematiques"
augmentation_enrichment_completeness,Venice_1509,1509,Venice,LATIN,,content_description: Que cum antea librariorum detestanda culpa mendis fedissimis adeo deformia essent: vt vix Euclidem ipsum agnoscere-mus ; edition_details: a Campano interprete fidissimo tralata ; action_verbs: tralata | emen-dauit | detersit | concinnauit | addidit | aperuit | enarrauit | illustrauit | prestitit ; enriched_with: Figuras centum et vndetriginta que in alijs codicibus inuerse et deformate erant: ad rectam symmetriam concinnauit: et multas necessarias addidit | plurimis locis intellectu diicilem commentariolis sane luculentis et eru ; educational_authorities_references: Lucas paciolus theologus insignis ; elements_designation: Euclidis megarensis philosophi acutissimi mathematicorumque omnium sine controuersia principis opera ; references_to_euclid: Euclidis | Euclidem
augmentation_enrichment_completeness,Paris_1566,1566,Paris,LATIN,Theoretical Mathematics,"content_description: AD GERMANAM GEOMETRIAE INTELligentiam è diuersis lapsibus temporis iniuria contractis restituta, adimpletis præter maiorum spem, quæ hactenus deerant, solidorum regularium conferentiis ac inscriptionibus ; action_verbs: restituta | accessit ; enriched_with: decimus sextus liber, de solidorum regularium sibi inuicem inscriptorum collationibus | cœptum opusculum de Com-positis regularibus solidis ; bound_with_minimal: decimus sextus liber | opusculum de Com-positis regularibus solidis ; elements_designation: EVCLIDIS MEGARENSIS MATHEMATICI CLARISSIMI ELEMENTA GEOMETRICA, LIBRIS XV ; references_to_euclid: EVCLIDIS"
augmentation_enrichment_completeness,Amsterdam_1701,1701,Amsterdam,DUTCH,Practical Geometry | Theoretical Mathematics,"content_description: Van de beginselen ende fondamenten der Geometrie ; edition_details: Desen laetsten Druk, van nieuws oversien en verbetert ; action_verbs: by-gevoeght | by-gevoegde | Over-geset | verklaert | uyt-geleyt | oversien | verbeter t | vermeerdert ; enriched_with: by-gevoeght zijn eenige nut-tigheden, uyt deselve Boecken getrocken: Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, vermeenighvuldigen, ende deelen | Over-geset, verkl ; elements_designation: De zes eerste Boecken EUCLIDIS ; references_to_euclid: EUCLIDIS"
novelty_invention_modernity,Paris_1667,1667,Paris,FRENCH,Theoretical Mathematics,"content_description: Outre un ordre tout nouveau, & de nouvelles demonstrations des propositions les plus com- munes,  De nouveaux moyens de faire voir quelles lignes sont incommensurables,  De nouvelles mesures de l’angle, dont on ne s’esto ; edition_details: SECONDE EDITION ; action_verbs: contenant | CONTENANT ; enriched_with: de nouvelles demonstrations des propositions les plus com- munes | De nouveaux moyens de faire voir quelles lignes sont incommensurables | De nouvelles mesures de l’angle, dont on ne s’estoit point encore avisé | Et de n ; bound_with_minimal: Traité tout nouveau des Proportions ; elements_designation: NOVVEAVX ELEMENS DE GEOMETRIE | NOUVEAUX ELEMENS DE GEOMETRIE"
novelty_invention_modernity,bib-215,1653,London,ENGLISH,Gnomonics & Horology | Instrument Use,"content_description: A Collection of many Problemes, extracted out of the Ancient and Modern Philo­- sophers, as Secrets and Experiments in Arithmetick, Geometry, Cosmographie, Horologiographie, Astronomie, Navigation, Musick, Opticks, Archi ; edition_details: Written first in Greeke and Latin, lately compil’d in French, by Henry Van Etten, and now in English, with the Examinations and Augmentations of divers Modern Mathematicians ; action_verbs: extracted | compil’d | added | Invented | written ; enriched_with: the Examinations and Augmentations of divers Modern Mathematicians | the Description and Use of the Generall Horologicall Ring | The Double Horizontall Diall ; bound_with_minimal: Description and Use of the Generall Horologicall Ring | Double Horizontall Diall ; origin_language: Greeke | Latin | French ; destination_language: now in English"
novelty_invention_modernity,bib-38,1673,Nuremberg,GERMAN,Practical Geometry,"content_description: worinnen erstlich Bernhard Canslers kurtzer und leichter Bericht vom Feldmessen / Auf die insgemein vor andern fürkommende Fäll des Messens und Abtheilens gerichtet. Zum Andern / Unterschiedliche auf heutigen Schlag in F ; enriched_with: ANNOTATIONES | Arithmetica, Trigonometrica, Graphica und Geographica, Nautica, Aqua ductoria, &c | Additiones und zu Zeiten neue Inventiones &c ; bound_with_minimal: ANNOTATIONES | Arithmetica | Trigonometrica | Graphica | Geographica | Nautica | Aqua ductoria | Additiones | Inventiones"
novelty_invention_modernity,MorisS-12-1,1657,Paris,LATIN,Theoretical Mathematics,"action_verbs: INVENTA | transmissa | proposita | ACCESSIT ; enriched_with: Alia duo Problemata numerica a D. Cl. M. Laurenderio Vicissim proposita, cum quibusdam solutionibus ab eodem D. B. F. D. B. datis | Inquisitio in solutionem prioris Problematis a D. Francisco à Schooten in Academia Lugdu ; educational_authorities_references: D. Fermat | D. Cl. M. Laurenderium | D. Francisco à Schooten"
