classification_key,short_title,year,city,language,author_or_editor,publisher,format,volumes,ustc_id,notes,has_diagrams,primary_classes,secondary_classes,unknown_classes,primary_count,secondary_count,unknown_count,Architecture,Arithmetic,Astronomy,Cartography,Commercial Mathematics,Construction,Cosmography,Geography,Gnomonics & Horology,Instrument Construction,Instrument Use,Mechanics,Military Engineering,Music Theory,Navigation,Perspective,Practical Geometry,Surveying,Theoretical Mathematics,Trigonometry
35H84Y,"Apiaria uninversae philosophiae mathematicae, in quibus paradoxa, et nova pleraque machinamenta ad usus eximios traducta, & facillimis demonstrationibus confirmata […] Tomus primus (1)",1642,Bologna,LATIN,Mario Bettini,Giovanni Battista Ferroni,,1,4015638,,,Mechanics,Practical Geometry,Theoretical Mathematics,1,1,1,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unknown,unrelated
3WRC2Y,"La Perspective pratique, nécessaire à tous peintres, graveurs, sculpteurs, architectes, orfèvres",1649,Paris,FRENCH,Jean Du Breuil,François Langlois,4,1,6119865,,,Perspective,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
3WV6N7,"Diverses methodes universelles et nouvelles, en tout ou en partie pour faire des perspectives ... Tirées pour la pluspart du contenu du livre de la Perspective pratique. Ce qui servira de plus de response aux deux affiches du Sieur Desargues contre ladite Perspective pratique",1642,Paris,FRENCH,Jean Du Breuil,François Langlois,,1,,,,Perspective,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
473J72,"The Six First, Together with the Eleventh and the Twelfth Books of Euclid’s Elements, Demonstrated after a New, Plain, and Easie Method",1726,London,ENGLISH,Henry Hill,William Pearson,,1,,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
4C287U,"Tables des sinus, tangentes & secantes, selon le raid de 100000 parties. Avec un traicté succinct de la trigonometrie tant des triangles plans, que spheriques. Où sont plusieurs operations nouvelles",1626,The Hague,FRENCH,Albert Girard,Jacob Elzevier,12,1,1020307,,,Trigonometry,Theoretical Mathematics,Astronomy,1,1,1,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,primary
4ZSED7,"Pselli philosophi et mathematici clarissimi geometria edita studio M. Christophori meureri, mathematum professoris publici in academia Lipsiensi.",1589,Leipzig,LATIN,"Michael, Joachim Tancke, Philipp Melanchthon",Hans Steinmann,8,1,688550,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,L'arithmetique entiere et abregee ,1573,Paris,FRENCH,Pierre Forcadel,"Guillaume Cavellat, Jérôme de Marnef",4,1,23254,,False,Arithmetic,,,1,0,0,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
5KCP5R,"Den tweeden boeck van architecturen tracterende van perspectyven, dat is, het insien duer tvercorten",1553,Antwerp,DUTCH,Sebastiano Serlio,Mayken Verhulst,2,1,400871,,True,Architecture | Perspective,Practical Geometry,Instrument Use,2,1,1,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated
5V691B,Epiloimia seu liber tristium Joan.thomae freigii quaestiones geometricae et stereometricae in euclidis & rami stoicheiosin: in quibus logica veterum mathematicorum illustratur et demonstratur.,1583,Basel,LATIN,Johannes Thomas Freig,Sebastian Henricpetri,8,1,667395,,False,,Theoretical Mathematics,,0,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated
5YK5ZF,"Perspectiva horaria sive de horographia gnomonica tum theoretica, tum practica libri quatuor. In quibus gnomonices antiqui fines latius proteduntur",1648,Rome,LATIN,Emanuel Maignan,Filippo De Rossi,2,1,4021199,,,Gnomonics & Horology | Perspective | Practical Geometry,Astronomy | Instrument Construction | Instrument Use,Theoretical Mathematics,3,3,1,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,secondary,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unknown,unrelated
5ZF83O,"Tables des sinus, tangentes & secantes, selon le raid de 100000 parties. Avec la trigonometrie tant plane que spheriques. Contenant succicntement plusieurs operations",1627,The Hague,FRENCH,Albert Girard,Jacob Elzevier,12,1,1021707,,,Trigonometry,,Theoretical Mathematics,1,0,1,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,primary
612FNN,Le due regole della prospettiva pratica di m. Iacomo Barozzi da Vignola con i commentarii del reverendo padre maestro Egnatio Danti dell'Ordine de predicatori matematico dello studio di Bologna,1583,Rome,ITALIAN,"Giacomo Barozzi da Vignola, Egnazio Danti",Francesco Zanetti,2,1,807538,,True,Perspective,,Practical Geometry,1,0,1,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,unrelated
66HH5T,"Pratique nouvelle et universelle de la perspective sur les seules parties égales du compas de proportion, sans y adjouster aucune ligne d'optique",1640,Paris,FRENCH,Henri Guenon,Henri Guenon,8,1,6028505,,,Instrument Use | Perspective,,,2,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
6AMYTJ,Le troysiesme livre de l'arithmetique ,1557,Paris,FRENCH,Pierre Forcadel,"Benoît Prévost, Guillaume Cavellat",4,1,23230,,True,Arithmetic,Theoretical Mathematics,,1,1,0,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated
6MOFBH,Duo Libri: Prior De Perspectiva. Cum & Praeter Arithmeticam inventa Posterior! De Umbra ad Eam pertinente,1671,Nuremberg,LATIN,Andreas Albrecht,Paul Fürst,2,1,2658504,,,Perspective,,Arithmetic,1,0,1,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
6PMNRZ,Arithmetica theoricen praxinque luculenter complexa,1526,Paris,LATIN,"Juan Martínez Silíceo, Thomas Blaurer",Simon de Colines,2,1,145738,,True,Arithmetic | Commercial Mathematics,,,2,0,0,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6X6R6Y,Der furnembsten notwendigsten der gantzen Architectur angehoerigen mathemathischen und mechanischen kuenst,1547,Nuremberg,GERMAN,Walther Hermann Ryff,Johann Petreius,2,1,633342,,True,Architecture | Construction | Perspective | Practical Geometry,Instrument Use | Military Engineering,,4,2,0,primary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,secondary,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated
6XTAVU,Elements of Geometry,1760,London,ENGLISH,Thomas Simpson,J. Nourse,,1,,,,Practical Geometry | Theoretical Mathematics,,,2,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated
70Q8M8,Breve compendium artis geometrie,1495,Paris,LATIN,"Thomas Bradwardine, Pedro Ciruelo",Guy Marchant,4,1,201284,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
77RUJE,"Perspective contenant la theorie, et practique, d'icelle",1614,The Hague,LATIN,Samuel Marolois,Henricus Hondius,2,1,1021274,"This work was
reprinted often, among the years of publication are 1628, 1638, 1647 and 1662;
it appeared in Dutch, German, French, and Latin separately and as part of
Marolois’s Opera mathematical Œuvres mathematiques which appeared from
1614 onwards. There is some language confusion in several of the editions
their title page being in one language and the main text in another.",,Perspective,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
8DP4C1,I primi sei libri de gl’Elementi d’Euclide ridotti alla Prattica,1613,Bologna,ITALIAN,Pietro Antonio Cataldi,Bartolomeo Cochi,,1,,"No digital scan found for 1613, only 1620. So I [Max] saw no possiblity to complete the entries. ",,Practical Geometry,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
93LJS8,"Lo Inganno de gl'occhi, prospettiva pratica. Trattato in acconcio della pittura",1625,Firenze,ITALIAN,Pietro Accolti,Pietro Cecconcelli,,1,4008330,,,Perspective,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
93PZQ5,De artificiali perspectiva. Viator,1505,Toul,"LATIN, FRENCH",Jean Pélerin,Pierre Jacobi,2,1,110627,,True,Perspective,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
99CARP,"P. R. Joannis Francisci Niceronis, Thaumaturgus opticus, seu Admiranda optices, per radium directum: catoptrices, per reflexum dioptrices, per refractum in diaphanis pars prima de iis quae spectant ad visionem directam",1646,Paris,LATIN,Jean François Niceron,François Langlois,2,1,6038734,,,Perspective,Architecture | Practical Geometry,Instrument Use | Trigonometry,1,2,2,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unknown
9D1KT8,"Pratica d'arithmetica, e geometrica",1682,Siena,ITALIAN,Lorenzo Forestani,Giorgio Varisco,4,1,4030567,,,Arithmetic | Practical Geometry,,,2,0,0,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
9TXK4F,"La Perspective, Avec La Raison des ombres et miroirs , Par Salomon De Caus Ingenieur du Serenißime Prince de Galles, Dedie a son Altesse",1612,Frankfurt,FRENCH,"Salomon, de Caus",John Norton,2,1,2016045,,,Perspective,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
ABSZLW,"Beschreibung eines sehr leichten Perspectiv und Grundreissenden Instruments auff einem Stande: Auff Joh. Faulhabers, Ingenieurs zu Ulm, weitere Continuation seines mathematischen Kunstspiegels geordnet",1630,Amsterdam,GERMAN,Benjamin Bramer,Johan Janson,4,1,,,,Perspective,,Instrument Construction | Instrument Use | Practical Geometry,1,0,3,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unknown,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,unrelated
AVXGNJ,"Ingenieurs Schul, ... Teil , Durch: Johann Faulhabern Ingenieurn und Burgern zu Ulm, [et]c. Teil: 4: Von Fortificatione Practica Offensiva Et Defensiva",1633,Ulm,GERMAN,Johannes Faulhaber,Jonas Saur,4,1,2135157,,,Construction | Military Engineering,Instrument Use,,2,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
AWKSO4,"La perspective practique necessaire a tous peintres, graveurs, sculpteurs, architectes, orfeures, brodeurs, tapissiers, et autres se servans du dessein",1642,Paris,FRENCH,Jean Du Breuil,Melchior Tavernier,4,1,6039379,,,Perspective,Architecture,,1,1,0,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
Alcala_1637,,1637,Alcala,"DUTCH, LATIN",Luis Carducci,,4,1,,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Amsterdam_1616,,1616,Amsterdam,DUTCH,Jan Pietersz Dou,Willem Iansz.,8,1,,,,Practical Geometry | Theoretical Mathematics,,,2,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated
Amsterdam_1618,,1618,Amsterdam,GERMAN,"Jan Pietersz Dou, Sebastian Curtius",Wilhelm Janss,4,1,,,,,Practical Geometry,,0,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated
Amsterdam_1626,,1626,Amsterdam,DUTCH,Jan Pietersz Dou,Willem Iansz. Blaeuw,8,1,-,,,,Practical Geometry,,0,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated
Amsterdam_1634,"Die sechs ersten Bücher Euclidis, Deß Hochgelährten weitberümbten, Griechischen Philosophi und Mathematici: Von den Anfängen und fundamenten der Geometriae : Dabey dann mancherley auß diesen Büchern gezogene Nutzbarkeiten angefüget seind: sampt den Specie",1634,Amsterdam,"GERMAN, LATIN","Jan Pietersz Dou, Sebastian Curtius",Ioann Iansz,8,1,2022211,,,Theoretical Mathematics,Practical Geometry,,1,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,primary,unrelated
Amsterdam_1652,,1652,Amsterdam,LATIN,Marcus Meibom,Ludovicum Elzevirium,4,2,,,,Music Theory,Theoretical Mathematics,,1,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated
Amsterdam_1660,,1660,Amsterdam,DUTCH,Jacob Willemsz,Jan van Ravesteyn,4,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Amsterdam_1660a,,1660,Amsterdam,LATIN,Gerrit Janszoon Vos,Jan Blaeu,,,,,False,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Amsterdam_1662,,1662,Amsterdam,DUTCH,Frans van Schooten,Iacob van Leest,12,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Amsterdam_1672,,1672,Amsterdam,DUTCH,Georg Mohr,,,,,,True,Instrument Use | Practical Geometry,Gnomonics & Horology | Perspective,,2,2,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,primary,unrelated,unrelated,unrelated,unrelated,secondary,primary,unrelated,unrelated,unrelated
Amsterdam_1683,,1683,Amsterdam,LATIN,André Tacquet,Henricum Wetstenium,8,1,,,,Theoretical Mathematics,,Mechanics,1,0,1,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Amsterdam_1695,,1695,Amsterdam,DUTCH,Claas Janszen Vooght,Johannes van Keulen,4,1,-,,,Theoretical Mathematics,,Navigation,1,0,1,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,primary,unrelated
Amsterdam_1697,,1697,Amsterdam,FRENCH,Jacques Ozanam,George Gallet,8,5,,,,Arithmetic | Theoretical Mathematics | Trigonometry,,,3,0,0,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary
Amsterdam_1700,,1700,Amsterdam,FRENCH,Claude-François Milliet Dechales,Estienne Roger,12,1,-,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Amsterdam_1700b,,1700,Amsterdam,DUTCH,Jan Pietersz Dou,Hendrik Boterenbrood,8,1,-,,,Theoretical Mathematics,Practical Geometry,,1,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,primary,unrelated
Amsterdam_1701,,1701,Amsterdam,DUTCH,Jan Pietersz Dou,Hendrik Boterenbrood,8,1,-,,,Practical Geometry | Theoretical Mathematics,,,2,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated
Amsterdam_1701b,,1701,Amsterdam,LATIN,André Tacquet,Franciscus van der Plaats,8,1,-,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Amsterdam_1702,,1702,Amsterdam,DUTCH,Henrick Coets,Henrick en de Weduwe van Dirck Boom,8,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Ansbach_1610,Die ersten sechs Bücher Elementorum Euclidis,1610,Ansbach,"GERMAN, LATIN",Simon Marius,Paulum Böhm,2,1,,,,Practical Geometry | Theoretical Mathematics,Construction | Surveying,Arithmetic | Military Engineering,2,2,2,unrelated,unknown,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,primary,secondary,primary,unrelated
Antwerp_1645,"Euclidis elementorum geometricorum libros tredecim Isidorum et Hypsiclem & recentiores de corporibus regularibus, & Procli propositiones geometricas",1645,Antwerp,LATIN,Claude Richard,Jérôme Verdussi,2,1,1004036,TP is after 14 pages of figures,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Antwerp_1654,Elementa geometriae planae et solidae,1654,Antwerp,LATIN,André Tacquet,Jacob Meursius,8,1,-,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Antwerp_1665,,1665,Antwerp,LATIN,André Tacquet,Jacob Meursius,8,1,,,,Theoretical Mathematics,,Mechanics,1,0,1,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Antwerp_1672,,1672,Antwerp,LATIN,André Tacquet,Jacob Meursius,8,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Arnhem_1603,In geometriam Euclidis prioribus sex elementorum libris comprehensam demonstratio linealis,1603,Arnhem,LATIN,Christoffer Dybvad,Johannes Jansz,4,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Arnhem_1605,,1605,Arnhem,LATIN,Christoffer Dybvad,,4,1,-,,,Arithmetic,,Theoretical Mathematics,1,0,1,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated
Arnhem_1605a,In arithmeticam irrationalium Euclidis ,1605,Arnhem,LATIN,Christoffer Dybvad,Johannes Jansz,4,1,-,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
