portfolio_category,portfolio_kind,name,total_representative_cases,metadata_elements_cases,non_elements_cases,elements_share_pct,cities,languages_first,formats,periods,elements_bookgroups,primary_subject_families,elements_keys,non_elements_keys,elements_only_claims,non_elements_only_claims,shared_claims,elements_only_social,non_elements_only_social,shared_social,claim_method_demonstration_order_elements_pct,claim_method_demonstration_order_non_elements_pct,claim_accessibility_clarity_pedagogy_elements_pct,claim_accessibility_clarity_pedagogy_non_elements_pct,claim_utility_practice_application_elements_pct,claim_utility_practice_application_non_elements_pct,claim_correction_revision_accuracy_elements_pct,claim_correction_revision_accuracy_non_elements_pct,claim_augmentation_enrichment_composition_elements_pct,claim_augmentation_enrichment_composition_non_elements_pct,claim_translation_vernacularization_transfer_elements_pct,claim_translation_vernacularization_transfer_non_elements_pct,claim_ancient_authority_restoration_elements_pct,claim_ancient_authority_restoration_non_elements_pct,claim_visual_material_aids_elements_pct,claim_visual_material_aids_non_elements_pct,claim_selection_extraction_abridgment_elements_pct,claim_selection_extraction_abridgment_non_elements_pct,pedagogical_school_arena_elements_pct,pedagogical_school_arena_non_elements_pct,court_state_service_arena_elements_pct,court_state_service_arena_non_elements_pct,military_fortification_arena_elements_pct,military_fortification_arena_non_elements_pct,professional_practical_arena_elements_pct,professional_practical_arena_non_elements_pct,religious_institutional_arena_elements_pct,religious_institutional_arena_non_elements_pct,learned_scholarly_arena_elements_pct,learned_scholarly_arena_non_elements_pct,general_public_lovers_arena_elements_pct,general_public_lovers_arena_non_elements_pct,patronage_prestige_arena_elements_pct,patronage_prestige_arena_non_elements_pct,no_visible_social_arena_elements_pct,no_visible_social_arena_non_elements_pct,sparse_canonical_identity_elements_pct,sparse_canonical_identity_non_elements_pct,procedural_pedagogical_identity_elements_pct,procedural_pedagogical_identity_non_elements_pct,composite_workshop_book_elements_pct,composite_workshop_book_non_elements_pct,utility_public_book_elements_pct,utility_public_book_non_elements_pct,humanist_transfer_book_elements_pct,humanist_transfer_book_non_elements_pct,method_access_book_elements_pct,method_access_book_non_elements_pct
bridge_portfolio,split_person,Oronce Finé,9,2,7,22.2,Paris | Strasbourg | Venice,FRENCH | ITALIAN | LATIN,2 | 4,1550-1599 | pre-1550,1-6,Cosmos/Earth | Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth | Geometry/Theory | Instruments/Measurement | Instruments/Measurement | Cosmos/Earth | No primary family,Paris_1536 | Paris_1544,Paris_1532 | X5YBIB | bib-10 | bib-169 | bib-170 | bib-45 | bib-9,,claim_augmentation_enrichment_composition; claim_utility_practice_application; claim_visual_material_aids,claim_ancient_authority_restoration; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_translation_vernacularization_transfer,,court_state_service_arena; general_public_lovers_arena; no_visible_social_arena; patronage_prestige_arena,learned_scholarly_arena; pedagogical_school_arena,100.0,42.9,0.0,0.0,0.0,42.9,100.0,28.6,0.0,42.9,100.0,28.6,100.0,14.3,0.0,28.6,0.0,0.0,50.0,57.1,0.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,100.0,57.1,0.0,14.3,0.0,28.6,0.0,14.3,0.0,14.3,100.0,14.3,0.0,42.9,0.0,14.3,100.0,0.0,0.0,0.0
elements_heavy_within_sample,split_person,André Tacquet,8,8,0,100.0,Amsterdam | Antwerp | Cambridge | Leuven | Padua,LATIN,8,1650-1699 | 1700+,"1-6, 11-12 | 1–6, 11-12 | 1–6, 11–12",Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | No primary family,Amsterdam_1683 | Amsterdam_1701b | Antwerp_1654 | Antwerp_1665 | Antwerp_1672 | Cambridge_1703 | Padua_1694 | WWE4ON,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_visual_material_aids,,,learned_scholarly_arena; pedagogical_school_arena; religious_institutional_arena,,,87.5,,0.0,,0.0,,37.5,,12.5,,0.0,,87.5,,12.5,,0.0,,100.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,62.5,,12.5,,0.0,,0.0,,0.0,
bridge_portfolio,split_person,Jean Errard,8,3,5,37.5,Paris,FRENCH,4 | 8,1550-1599 | 1600-1649,1-6 | 1-9 | 1–9,Geometry/Theory | No primary family | Visual/Spatial Arts | Applied Mechanics/Military,Paris_1598a | Paris_1605 | Paris_1629,MorisS-16-6 | bib-280 | ustc-29 | ustc-39 | ustc-57,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,,claim_augmentation_enrichment_composition; claim_correction_revision_accuracy,,patronage_prestige_arena,court_state_service_arena; professional_practical_arena,0.0,0.0,0.0,0.0,0.0,0.0,66.7,60.0,100.0,60.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,100.0,0.0,66.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0
elements_heavy_within_sample,split_person,Étienne Gracile,8,8,0,100.0,Cologne | Paris,LATIN,8,1550-1599 | 1600-1649,1-15 | 1–15 | 1–15 (enunciations) | 1–16 | 1–16 (enunciations),Geometry/Theory | No primary family,Cologne_1580 | Cologne_1600 | Cologne_1607 | Cologne_1612 | Cologne_1627 | Paris_1557 | Paris_1558 | Paris_1573,,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_selection_extraction_abridgment; claim_translation_vernacularization_transfer,,,no_visible_social_arena,,,0.0,,62.5,,0.0,,25.0,,50.0,,37.5,,100.0,,0.0,,50.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,100.0,,37.5,,0.0,,37.5,,0.0,
bridge_portfolio,split_person,Jacques Ozanam,7,3,4,42.9,Amsterdam | Paris,FRENCH,8,1650-1699 | 1700+,"1–6, 11–12",Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth | Applied Mechanics/Military | Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | Geometry/Theory | Instruments/Measurement | No primary family,Amsterdam_1697 | Paris_1693 | Paris_1697,bib-250 | bib-57 | bib-58 | bib-80,claim_ancient_authority_restoration,claim_accessibility_clarity_pedagogy; claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_selection_extraction_abridgment; claim_utility_practice_application,claim_correction_revision_accuracy,general_public_lovers_arena; military_fortification_arena,no_visible_social_arena; professional_practical_arena,,0.0,25.0,0.0,25.0,0.0,50.0,66.7,25.0,0.0,50.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,25.0
elements_heavy_within_sample,split_person,Jean Magnien,7,7,0,100.0,Cologne | Paris,LATIN,8,1550-1599 | 1600-1649,1-15 | 1–15 (enunciations) | 1–16 | 1–16 (enunciations),Geometry/Theory | No primary family,Cologne_1580 | Cologne_1600 | Cologne_1607 | Cologne_1627 | Paris_1557 | Paris_1558 | Paris_1573,,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_selection_extraction_abridgment; claim_translation_vernacularization_transfer,,,no_visible_social_arena,,,0.0,,57.1,,0.0,,28.6,,57.1,,42.9,,100.0,,0.0,,42.9,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,100.0,,42.9,,0.0,,42.9,,0.0,
elements_heavy_within_sample,split_person,Johannes de Sacrobosco,7,7,0,100.0,Paris,LATIN,2,pre-1550,,Cosmos/Earth | Geometry/Theory | Instruments/Measurement | Cosmos/Earth | Instruments/Measurement | Cosmos/Earth,Paris_1500 | Paris_1507 | Paris_1511 | Paris_1516a | Paris_1521 | Paris_1527 | Paris_1538,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_utility_practice_application; claim_visual_material_aids,,,learned_scholarly_arena; pedagogical_school_arena,,,0.0,,0.0,,14.3,,0.0,,100.0,,0.0,,85.7,,100.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,85.7,,100.0,,0.0,,0.0,,0.0,
bridge_portfolio,split_person,Pierre de la Ramée,7,2,5,28.6,Basel | Frankfurt | Paris,LATIN,8,1550-1599 | 1600-1649 | pre-1550,1-15,Arithmetic/Commerce | Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | No primary family,Paris_1545 | Paris_1549,bib-128 | bib-129 | bib-130 | bib-177 | bib-181,claim_ancient_authority_restoration,claim_correction_revision_accuracy,,,learned_scholarly_arena; pedagogical_school_arena,no_visible_social_arena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,100.0,80.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small_crossover,split_person,Georges Fournier,6,5,1,83.3,Cambridge | London | Paris,FRENCH | LATIN,12 | 8,1600-1649 | 1650-1699,1-6 | 1–6,Cosmos/Earth | Geometry/Theory | No primary family,Cambridge_1665 | London_1654 | Paris_1643b | Paris_1654 | Paris_1654a,bib-51,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_selection_extraction_abridgment,claim_utility_practice_application,,no_visible_social_arena; pedagogical_school_arena; religious_institutional_arena,,learned_scholarly_arena,80.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,20.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,80.0,0.0,20.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
few_elements_many_non_elements_within_sample,split_person,Jacques Lefèvre d'Étaples,6,1,5,16.7,Paris,LATIN,2,pre-1550,1-15,Arithmetic/Commerce | Music | Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | Cosmos/Earth | No primary family,Paris_1516,1496 | bib-172 | bib-173 | bib-174 | bib-175,claim_ancient_authority_restoration,claim_correction_revision_accuracy,claim_augmentation_enrichment_composition,,pedagogical_school_arena,no_visible_social_arena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,100.0,20.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,80.0,0.0,0.0,100.0,0.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
bridge_portfolio,split_person,Federico Commandino,5,3,2,60.0,Pesaro | Urbino | Venice,ITALIAN | LATIN,2,1550-1599 | 1600-1649,1-15 | 1–15,Geometry/Theory | Visual/Spatial Arts | Cosmos/Earth,Pesaro_1572 | Pesaro_1619 | Urbino_1575,bib-41 | bib-42,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_translation_vernacularization_transfer; claim_visual_material_aids,,,patronage_prestige_arena,,no_visible_social_arena,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,66.7,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
bridge_portfolio,split_person,Frans van Schooten,5,2,3,40.0,Amsterdam | Leiden,DUTCH | LATIN,12,1600-1649 | 1650-1699,1–15 (enunciations) | 1–16 (enunciations),Geometry/Theory | Geometry/Theory | Instruments/Measurement | No primary family,Amsterdam_1662 | Leiden_1617,bib-161 | bib-61 | bib-69,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration,claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_utility_practice_application; claim_visual_material_aids,claim_translation_vernacularization_transfer,,no_visible_social_arena,learned_scholarly_arena; pedagogical_school_arena,0.0,0.0,50.0,0.0,0.0,33.3,0.0,33.3,0.0,66.7,100.0,33.3,100.0,0.0,0.0,33.3,0.0,0.0,100.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,66.7,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,50.0,33.3,0.0,66.7,0.0,0.0,100.0,0.0,0.0,0.0
