classification_key,year,city,language_first,period,format_group,elements_books_group,primary_subject_family,mode_sparse_canonical,sparse_canonical_identity,no_visible_social_arena,rich_claim_count,social_arena_count,tps_feature_has_count,density_score,fashion_propensity_sparse_pct,period_language_format_n,period_language_format_sparse_pct,city_format_n,city_format_sparse_pct,any_school_or_institution,pedagogical_school_arena,religious_institutional_arena,rich_claim_text_raw,rich_social_text_raw,interpretive_risk
Florence_1690,1690,Florence,ITALIAN,1650-1699,duodecimo,books_1_6_plus_solids,Geometry/Theory,1,0,1,3,0,13,5.6,23.1,2,,1,,0,0,0,"distesa | pubblicata | ELEMENTI PIANI, E SOLIDI D’EVCLIDE | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE | OVVERO SCIENZA VNIVERSALE DELLE PROPORZIONI SPIEGATA COLLA DOTTRINA DEL GALILEO | Con nuov’ordine distesa, e pubblicata da Vincenzio Viviani ultimo suo Discepolo | GALILEO | ELEMENTI PIANI, E SOLIDI D’EVCLIDE | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE | D’EVCLIDE | DEGLI ELEMENTI D’EVCLIDE",ACCADEMIA DE’ NOBILI | ILLVSTRISSIMI SIG. DELL’ACCADEMIA DE’ NOBILI | GALILEO,medium
Strasbourg_1566,1566,Strasbourg,GREEK,1550-1599,quarto,books_1_6,No primary family,1,0,1,3,0,12,5.4,21.7,3,66.7,3,66.7,0,0,0,"FACTAE | PRO SCHOLA ARGENTINENSI | sex librorum Euclidis | ANALYSEIS GEOmetricæ | PRIMI ET QVINTI FACTAE À CHRISTIANO HERLINO | sex librorum Euclidis | CVM COMmentariis, & Scholiis perbreuibus in eosdem sex libros Geometricos | CVM Indice Πορισ[lάτων καl λη[l[lάτων | Euclidis",PRO SCHOLA ARGENTINENSI | SCHOLA ARGENTINENSI,medium
Halle_1758,1773,Halle,GERMAN,1700+,missing/unknown,books_1_6,Geometry/Theory,1,1,1,1,0,13,3.6,21.6,2,,1,,0,0,0,übersetzt | aus dem Griechischen übersetzt | zum Gebrauch der Schulen | die sechs ersten Bücher der Elemente | nebst dem eilften und zwölften | Euklids Geometrie | nach der dritten Ausgabe sämmtlicher sechs Bücher der Elemente | die sechs ersten Bücher der Elemente | nebst dem eilften und zwölften Buche | aus dem Griechischen | Euklid’s | Euklids,zum Gebrauch der Schulen,medium
Leipzig_1607,1607,Leipzig,LATIN,1600-1649,octavo,unknown_books,Geometry/Theory,1,1,0,2,2,9,5.8,21.6,13,7.7,4,50.0,1,1,0,EVCLIDIS OPTICA & CATOPTRICA | D. Mathematum Professoris | EVCLIDIS OPTICA & CATOPTRICA | Programmate | EVCLIDIS,D. Mathematum Professoris,medium
Leiden_and_Amsterdam_1673,1673,"Leiden, Amsterdam",LATIN,1650-1699,6,books_1_6,Geometry/Theory,1,0,1,3,0,11,5.2,21.5,3,33.3,1,,0,0,0,Recogniti | EVCLIDIS ELEMENTORVM SEX PRIORES LIBRI | Matheseos Prof | EVCLIDIS ELEMENTORVM SEX PRIORES LIBRI | OPERA CHRISTIANI MELDER | CHRISTIANI MELDER | EVCLIDIS,Matheseos Prof,medium
Rome_1545,1545,Rome,GREEK,pre-1550,octavo,unknown_books,Geometry/Theory,1,0,1,3,0,5,4.0,21.1,1,,4,50.0,0,0,0,ΕΥ’ΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε | EVCLIDIS ELEMENTORVM LIBRI XV | ΕΥ’ΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε | EVCLIDIS ELEMENTORVM LIBRI XV | ΕΥ’ΚΛΕΙΔΟΥ | EVCLIDIS,,medium
Strasbourg_1557,1557,Strasbourg,GREEK,1550-1599,quarto,unknown_books,Geometry/Theory,1,0,1,3,0,11,5.2,21.0,3,66.7,3,66.7,0,0,0,"noua translatione | translata | ædita | EVCLIDIS CATOPTRICA | ID EST ELEMENTA eius scientiæ, qua uniuersa speculorum uis atque natura explicatur | primum Græce, antehac nunquam in lucem ædita | noua translatione | EVCLIDIS CATOPTRICA | Græce | in Latinam linguam | ΕΥΚΛΕΙΔΟΥ | EVCLIDIS",,medium
Lund_1855,1855,Lund,SWEDISH,1700+,missing/unknown,selected_later_books,Geometry/Theory,1,1,1,2,0,4,2.8,20.9,2,,1,,0,0,0,"Öfversättning | bearbetning | sjunde, åttonde, nionde och tionde böckerna af Euclids Elementer | Euclids Elementer | Euclids",,medium
Strasbourg_1570a,1570,Strasbourg,GREEK,1550-1599,octavo,near_complete_or_expanded,Visual/Spatial Arts | Cosmos/Earth | Music,1,0,1,3,0,9,4.8,20.9,6,16.7,10,20.0,0,0,0,ΕΥΚΛΕΙΔΟΥ ΠΡΟΤΑΣΕΙΣ Στοιχείων | EVCLIDIS Propositiones. Elementorum | ΠΡΟΤΑΣΕΙΣ Στοιχείων | Propositiones. Elementorum | Opticorum | Catoptricorum | Harmonicorum | Apparentiarum | Opticorum | Catoptricorum | Harmonicorum | Apparentiarum | ΕΥΚΛΕΙΔΟΥ | EVCLIDIS,,medium
Rome_1594,1594,Rome,ARABIC,1550-1599,folio,books_1_13,No primary family,1,1,1,2,0,11,4.2,20.7,1,,3,33.3,0,0,0,تحرير | impressi | EVCLIDIS ELEMENTORVM GEOMETRICORVM Libri Tre-decim | Nunc primum Arabicè impressi | DOCTISSIMI NASIRIDINI TVSINI | EVCLIDIS ELEMENTORVM GEOMETRICORVM | Arabicè | إقليدس | EVCLIDIS,DOCTISSIMI NASIRIDINI TVSINI,medium
Lyon_1669,1669,Lyon,LATIN,1650-1699,duodecimo,unknown_books,Geometry/Theory,1,1,0,1,1,8,3.6,19.8,7,14.3,2,,1,0,1,"SYNOPSIS GEOMETRICA | De linea sinuum & Cycloide, De maximis & minimis, centuria, Et Synopsis Trigonometriæ planæ | HONORATO",Societatis IESV | HONORATO,medium
Lyon_1660,1660,Lyon,LATIN,1650-1699,18,books_1_6_plus_solids,Geometry/Theory,1,0,1,2,0,10,4.0,18.9,1,,1,,1,0,0,accommodati | EVCLIDIS ELEMENTORVM Libri octo | Camberiensi Societ. IESV | EVCLIDIS ELEMENTORVM Libri octo | EVCLIDIS,Camberiensi Societ. IESV | Camberiensi Societ. IESV,medium
Lyon_1603,1603,Lyon,LATIN,1600-1649,quarto,books_1_6,No primary family,1,0,1,3,0,10,5.0,18.4,7,28.6,4,25.0,0,0,0,GEOMETRIAM EVCLIDIS prioribus sex Elementorum | libris comprehensam Demonstratio Numeralis | GEOMETRIAM EVCLIDIS prioribus sex Elementorum | GEOMETRIAM EVCLIDIS,Cancellarium Regium | CHRISTIANVM FRIIS,medium
Strasbourg_1571,1571,Strasbourg,LATIN,1550-1599,octavo,selected_later_books,Geometry/Theory,1,0,1,3,0,11,5.2,18.0,14,7.1,10,20.0,0,0,0,edita | EVCLIDIS ELEMENTORVM Liber primus | M | EVCLIDIS ELEMENTORVM Liber primus | HERONIS ALEXANDRINI vocabula quædam geometrica | HERONIS ALEXANDRINI | græcè | latinè | EVCLIDIS,M,medium
Naples_1702,1702,Naples,LATIN,1700+,octavo,books_1_6,Geometry/Theory,1,1,1,2,0,6,3.2,17.7,6,33.3,3,66.7,0,0,0,EVCLIDIS ELEMENTA | EVCLIDIS ELEMENTA | EVCLIDIS,,medium
Venice_1498,1498,Venice,LATIN,pre-1550,folio,unknown_books,Geometry/Theory,1,1,1,2,0,9,3.8,17.5,20,10.0,9,22.2,0,0,0,Interprete | Euclidis quartus decimus elementorum | Nicephori | Hypsiclis | Euclidis quartus decimus elementorum | Hypsiclis interpretatio | Nicephori logica | Georgij valle libellus de argumentis | Nicephori logica | Georgij valle libellus de argumentis | Euclidis | euclidis,Nicephori | Hypsiclis,medium
Lyon_1672,1672,Lyon,FRENCH,1650-1699,duodecimo,books_1_6_plus_solids,Geometry/Theory,1,1,1,2,0,10,4.0,17.2,8,12.5,2,,0,0,0,RENDVS | HVICT LIVRES DES ELEMENTS DEVCLIDE | R. P | HVICT LIVRES DES ELEMENTS DEVCLIDE | DEVCLIDE,Compagnie de IESVS | R. P,medium
Rome_1545a,1545,Rome,LATIN,pre-1550,octavo,near_complete_or_expanded,Geometry/Theory,1,0,1,3,0,9,4.8,16.7,4,100.0,4,50.0,0,0,0,TRADOTTI | I QVINDICI LIBRI DEGLI ELEMENTI DI EVCLIDE | I QVINDICI LIBRI DEGLI ELEMENTI DI EVCLIDE | GRECO | THOSCANA | EVCLIDE,,medium
TTORPR,1528,Vienna,LATIN,pre-1550,quarto,unknown_books,No primary family,1,1,1,1,0,10,3.0,16.6,4,25.0,2,,0,0,0,"decerp- tum | Continet | ad omnium Mathemati- ces candidatorum | ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria | Haylpronnẽsi Colle- ga ciuilis collegij Viennẽsis | ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria | EV- clidis",ad omnium Mathemati- ces candidatorum | collegij Viennẽsis | Haylpronnẽsi Colle- ga ciuilis collegij Viennẽsis,medium
Venice_1641,1641,Venice,LATIN,1600-1649,duodecimo,books_1_6,Geometry/Theory,1,0,1,2,0,7,3.4,16.6,5,20.0,1,,0,0,0,EVCLIDIS ELEMENTORVM Libri VI | EVCLIDIS ELEMENTORVM Libri VI | EVCLIDIS,D. Ioannem Libiolam,medium
Naples_1679,1679,Naples,LATIN,1650-1699,octavo,books_1_6,No primary family,1,1,1,2,0,7,3.4,16.3,16,6.2,3,66.7,0,0,0,EUCLIDIS ELEMENTORUM LIBRI SEX | Ex traditione Fed- erici Commandini | EUCLIDIS ELEMENTORUM LIBRI SEX | EUCLIDIS,,medium
Madrid_1585,1585,Madrid,SPANISH,1550-1599,quarto,unknown_books,Visual/Spatial Arts,1,0,1,3,0,12,5.4,16.2,2,,1,,0,0,0,"Traduzidas | la S. C. R. M. del Rey don Phelippe nuestro Señor | LA PERSPECTIVA, Y ESPECVLARIA DE Euclides | su criado | LA PERSPECTIVA, Y ESPECVLARIA DE Euclides | vulgar Castellano | Euclides",la S. C. R. M. del Rey don Phelippe nuestro Señor | su criado | don Phelippe nuestro Señor,medium
Venice_1482,1482,Venice,LATIN,pre-1550,folio,near_complete_or_expanded,Geometry/Theory,1,1,1,2,0,8,3.6,16.0,20,10.0,9,22.2,0,0,0,Elementorum Euclidis megarensis | in artem geometrie incipit | Elementorum Euclidis megarensis | Euclidis megarensis | Euclidis,,medium
Basel_1562,1562,Basel,GERMAN,1550-1599,folio,books_1_6,Geometry/Theory,1,0,1,3,0,12,5.4,15.8,1,,7,14.3,0,0,0,"gebracht | erklärt | geziert | gegeben | genant | den Kunstliebenden Teütschen | Die Sechs Erste Bücher Euclidis | Vom anfang oder grund der Geometrj | von Augspurg | Die Sechs Erste Bücher Euclidis | aigenttlich erklärt | verstentlichen Exempeln, gründlichen Figurn | allerlaj den nutz füraugen stellenden Anhängen | Griechischer | Teütsch | Euclidis",den Kunstliebenden Teütschen | von Augspurg,medium
Paris_1549,1549,Paris,LATIN,pre-1550,octavo,unknown_books,Geometry/Theory,1,1,1,2,0,6,3.2,15.6,4,100.0,27,14.8,0,0,0,EVCLIDES | EVCLIDIS elementorum libri QVINDECIM | EVCLIDES | EVCLIDIS elementorum libri QVINDECIM | EVCLIDIS,,medium
Uppsala_1741,1741,Uppsala,LATIN,1700+,octavo,books_1_6_plus_solids,Geometry/Theory,1,1,1,2,0,5,3.0,15.0,6,33.3,1,,0,0,0,EUCLIDIS ELEMENTORUM   LIBRI SEX PRIORES | EUCLIDIS ELEMENTORUM   LIBRI SEX PRIORES | EUCLIDIS,,medium
Amsterdam_1660,1660,Amsterdam,DUTCH,1650-1699,quarto,books_1_6,Geometry/Theory,1,0,1,3,0,11,5.2,13.7,2,,4,25.0,0,0,0,vertaald | EUKLIDES SES EERSTE BOEKKEN | Van de Beginselen der WISKONSTEN | van Haerlem | EUKLIDES SES EERSTE BOEKKEN | Neerduyts | EUKLIDES,van Haerlem,medium
Paris_1566b,1566,Paris,FRENCH,1550-1599,octavo,unknown_books,Music,1,0,1,3,0,8,4.6,12.6,3,33.3,27,14.8,0,0,0,traduit | LE Liure de la Mu- sique d'Euclide | LE Liure de la Mu- sique d'Euclide | Euclide,,medium
Utrecht_n.d,,Utrecht,DUTCH,unknown,octavo,near_complete_or_expanded,Geometry/Theory | Arithmetic/Commerce,1,1,0,2,1,14,5.8,12.0,1,,1,,0,0,0,"over- geset | verciert | ghegheven | EVCLIDES | met schoo- ne verclaringen ende leringen van de outste naturalisten ende con- flige Schrijvers | Liefhebber der Mathematica | EVCLIDES | met schoo- ne verclaringen ende leringen | MITSGADERS. Het Fondament der Surdische, ende Binomische getallen, alles een- voudelijck tot dienst vanden leer- samen int licht ghegheven | MITSGADERS | Latijnsche | nederduyts | EVCLIDES",Liefhebber der Mathematica,medium
London_1570,1570,London,ENGLISH,1550-1599,folio,near_complete_or_expanded,No primary family,1,0,1,3,0,15,6.0,11.9,1,,3,33.3,0,0,0,translated | annexed | made | THE ELEMENTS OF GEOMETRIE | now first | Citizen of London | M. I. Dee | THE ELEMENTS OF GEOMETRIE | certaine Scholies | Annotations | Inuentions | a very fruitfull Præface | certaine Scholies | Annotations | Inuentions | Scholies | Annotations | Inuentions | the most auncient Philosopher | Englishe | EVCLIDE,Citizen of London | M. I. Dee,medium
Paris_1545,1545,Paris,LATIN,pre-1550,octavo,near_complete_or_expanded,No primary family,1,1,1,2,0,4,2.8,13.9,4,100.0,27,14.8,0,0,0,Euclides,,stronger_candidate_meaningful_silence
FA6MQ0,1551,London,ENGLISH,1550-1599,quarto,unknown_books,Geometry/Theory | Instruments/Measurement,1,1,1,1,0,4,1.8,13.6,1,,3,33.3,0,0,0,"CONTAINING | for all sortes of men | THE FIRST PRINciples of Geometrie | as they may moste aptly be applied vnto practise, bothe for vse of instrumentes Geometricall, and astronomicall and also for proiection of plattes in euerye kinde, and therfore much necessary",for all sortes of men,stronger_candidate_meaningful_silence
Paris_1654a,1654,Paris,FRENCH,1650-1699,octavo,books_1_6,No primary family,1,0,1,2,0,12,4.4,13.2,9,11.1,27,14.8,0,0,0,"EXPLIQVEZ | LES ELEMENTS D’EVCLIDE | IER, de la Compagnie de IESVS | ELEMENTS D’EVCLIDE | EXPLIQVEZ | D’EVCLIDE","Compagnie de IESVS | IER, de la Compagnie de IESVS | MONSIEVR LE CHEVALIER DE MESMES",stronger_candidate_meaningful_silence
Arnhem_1605,1605,Arnhem,LATIN,1600-1649,quarto,selected_later_books,Arithmetic/Commerce,1,0,1,2,0,10,4.0,11.6,7,28.6,3,33.3,0,0,0,"comprehenſam | ARITHMETICAM RATIO- NALIVM EVCLIDIS | Septimo, Octavo & Nono Elementorum libris | ARITHMETICAM RATIO- NALIVM EVCLIDIS | EVCLIDIS",IACOBVM I. Magnæ Britanniæ Franciæ & Hyberniæ Regem,stronger_candidate_meaningful_silence
