classification_key,year,city,language,primary_classes,secondary_classes,neighbor_score,euclid_or_elements,rich_claim_text_raw,rich_social_text_raw
bib-75,1646,Zurich,GERMAN,Practical Geometry | Surveying | Theoretical Mathematics,Construction,8,True,beschrieben | vermehrt | Allen | GEOMETRIÆ  Theoricæ et Practicæ Oder Von dem Feldmassen 14. Bücher | In welchen die Fundament Euclidis und derselbigen gebrauch/im abmassen und visieren aller Längen/ Flächen und Cörper | jetz von newem umb zwen Bücher vermehrt | Hauptmann | GEOMETRIÆ Theoricæ et Practicæ Oder Von dem Feldmassen 14. Bücher | mit dem Feld-Wein-Trer und Gwichtrübten begriffen | Euclidis,Allen | Hauptmann
London_1700,1700,London,ENGLISH,Construction | Practical Geometry | Surveying,Theoretical Mathematics,8,True,"Subjoin’d | First, Third, Fifth, Sixth, Eleventh, and Twelfth Books of EUCLID | EUCLID’s Second Book and Doctrine of Proportion | with their Application to several of the most useful parts of the Mathematicks | Teacher of the MATHEMATICKS | First, Third, Fifth, Sixth, Eleventh, and Twelfth Books of EUCLID | EUCLID’s Second Book | A Treatise of Measuring Superficies and Solids; Vulgarily Decimally and Practically, with the Customs used by Artificers in Measuring their several Works: Likewise, Directions for Measuring Board and Timber; Making Vessels of any Bigness; Taking the Plan of any Court, Yard, Garden, &c. Also, The cutting the Five Regular Bodies | Treatise of Measuring Superficies and Solids | EUCLID | EUCLID’s",Teacher of the MATHEMATICKS
bib-235,1702,London,ENGLISH,Astronomy | Instrument Use | Navigation | Theoretical Mathematics | Trigonometry,,8,True,"The Elements of Plain Trigonometry | and it’s Application to Plain, Mercator’s and Middle-Latitude Sailing | The Elements of Plain Trigonometry | New Tables of the Sun’s Declination | the most Useful and Necessary Problems in Astronomy | The Method of finding the Variation of the Compass, Working an Observation, the Reason and Use of the Log-Line, Allowances for Lee-way: With New Tables of the Sun’s Declination, &c | Problems in Astronomy | The Method of finding the Variation of the Compass",
5V691B,1583,Basel,LATIN,,Theoretical Mathematics,7,True,illustratur | demonstratur | in Euclidis & Rami ἐννέαϐι- ϐλια | in quibus Logica veterum Mathematicorum illustratur & demonstratur | in Euclidis & Rami ἐννέαϐι- ϐλια | Euclidis,
bib-186,1585,Leiden,FRENCH,Arithmetic,Commercial Mathematics | Theoretical Mathematics,7,True,traduits | Dixiesme Livre d’Euclide | Diophante d’Alexandrie | Dixiesme Livre d’Euclide | Les Tables d’Interest | La Dîme | un traité des Incommensurables grandeurs | l’Explication du Dixiesme Livre d’Euclide | les quatre premiers liures d’Algebre de Diophante d’Alexandrie | un liure particulier de la Practique d’Arithmetique | les quatre premiers liures d’Algebre de Diophante d’Alexandrie | un liure particulier de la Practique d’Arithmetique | en François | Dixiesme Livre d’Euclide,Diophante d’Alexandrie
bib-20,1599,Rome,ITALIAN,Practical Geometry,Architecture | Construction | Cosmography | Geography | Surveying,7,True,"TRATTA | descritta | Dichiarata | ad un buon Geometra | à Misuratori di terreni, di fabriche, et altri simili | à Geografi, Cosmografi, Architetti Civili, et Militari | à Bombardieri, Soldati privati, Capitani, Maestri di Campo | à qual si Voglia altra persona Virtuosa | Elementi d’Euclide | Mathematico eccellentissimo | Mathematico | Elementi d’Euclide | 150. Tavole di Rame | Euclide","ad un buon Geometra | à Misuratori di terreni, di fabriche, et altri simili | à Geografi, Cosmografi, Architetti Civili, et Militari | à Bombardieri, Soldati privati, Capitani, Maestri di Campo | à qual si Voglia altra persona Virtuosa | Mathematico eccellentissimo | Mathematico"
bib-274,1607,Padua,LATIN,Instrument Construction | Instrument Use | Practical Geometry,,7,True,"explicata | VSUS ET FABRICA CIRCINI CVIVSDAM PROPORTIONIS | omnia ferè tum Euclidis, tú Mathematicorum omnium problemata facili negotio resoluuntur | Nobilis Mediolanensis | Euclidis",Nobilis Mediolanensis
Arnhem_1620,1620,Arnhem,LATIN,Theoretical Mathematics,,7,True,"corriguntur | reijciuntur | edita | donata | Euclidea Elementa | nonnulla corriguntur, nonnulla ut falsa reijciuntur | NOVA REPERTA GEOMETRICA | Hispanice edita, jam vero latinitate donata | Euclidea Elementa | Hispanice | latinitate | Euclidea",NICOLAO IANSONIO Arnh. Geldro
bib-124,1624,Rome,ITALIAN,Practical Geometry,,7,True,"Cauata da | Matematici | Architetti | Geografi | Cosmografi | Bombardieri | Ingegneri | Soldati | tutti gli studiosi d’essi | gli elementi d’Euclide | In cinquanta Tavole, scolpite in Rame, dalle quali con facilità possono apprendere tutte le cose, che al buon Geometra s’appartengono | Matematico | gli elementi d’Euclide | In cinquanta Tavole, scolpite in Rame | Euclide",Matematici | Architetti | Geografi | Cosmografi | Bombardieri | Ingegneri | Soldati | tutti gli studiosi d’essi | Matematico | SIG. PAOLO SAVELLO
Paris_1626,1626,Paris,FRENCH,Military Engineering | Theoretical Mathematics,Construction,7,True,"Vtiles à ceux qui se veulent seruir proprement des Mathematiques, & de la Philosophie | Ensemble les Definitions, Theoremes & Maximes | d’Euclides, d’Archimedes, de Proclus, de Sacrobosco, & d’Aristote | d’Euclides | PARADOXES DE MEYNIER, CONTRE LES MATHEMATICIENS qui abusent la Ieunesse | VN ABREGE' DES Reigles de la Geometrie, & des prin- cipalles Maximes & reigles des Arts, de fortifier & assaillir les places | PARADOXES DE MEYNIER, CONTRE LES MATHEMATICIENS | ABREGE' DES Reigles de la Geometrie | d’Euclides","Vtiles à ceux qui se veulent seruir proprement des Mathematiques, & de la Philosophie"
Bologna_1663,1663,Bologna,ITALIAN,Theoretical Mathematics,,7,True,"RINNOVATO | Volgarizzato | reuisito | corretto | ridotti | Gl’ antichi Elementi della Geometria | ridotti à maggior breuità, e facilità, In cui con nuovo, e più sicuro modo si dimostra il trattato delle Proporzioni | RINNOVATO | reuisito, e corretto | Fiorentino | Gl’ antichi Elementi della Geometria | EVCLIDE",Studio di Messina | Fiorentino | SIG. GIO. ALFONSO BORELLI
Turin_1671,1671,Turin,LATIN,Theoretical Mathematics,,7,True,"ADAVCTVS | EVCLIDES ADAVCTVS ET METHODICVS MATHEMATICAE UNIVERSALIS | Quae ne dum propositionum dependentiam, sed & rerum ordinem observat. Et complectitur ea omnia, quae de quantitate tum discreta, tum continua abstracta speculari queunt. Rescissis superfluis demonstrationibus, & requisitis omnibus profusè coadunatis | ADAVCTVS ET METHODICVS | MVTINENSI C. R. THÉATINO | Philosofo, Theologo & eiusdem R. C. Mathematico | EVCLIDES | Singuli quoque Tractatus novis propositionibus aucti sunt | aliqui etiam ex integro adornati | Omnesque tum figuris, tum verbis clare, dulciloquèque propositi | EVCLIDES","MVTINENSI C. R. THÉATINO | Philosofo, Theologo & eiusdem R. C. Mathematico | CAROLO EMANVELI II. SABAVDIAE DVCI PEDEMONTIVM PRINCIPI REGI CYPRI, &c"
Amsterdam_1672,1672,Amsterdam,DUTCH,Instrument Use | Practical Geometry,Gnomonics & Horology | Perspective,7,True,"Voorgesteld | de ses eerste Boecken Euclidis | Handeldt van de Meetkonstige Werckstucken | de ses eerste Boecken Euclidis | Alleenigh met een Passer te wercken (sonder Rye ofte Liniael te gebruycken) door Snijding van Roeden | Geeft aanleyding om verscheyde Werckstucken te maecken, als van Snijding, Raecking, Deeling, Perspectie en Sonnewijssers | aanleyding om verscheyde Werckstucken te maecken | EUCLIDES DANICUS | EUCLIDES DANICUS | Euclidis",
Valencia_1673,1673,Valencia,LATIN,Theoretical Mathematics,,7,True,"ILLVSTRATVS | EVCLIDES | NOVO-ANTIQUVS SINGVLARI METHOD O, ILLVSTRATVS | SECVNDA EDITIO | R. P | E SOCIETATE IESV | EVCLIDES | ILLVSTRATVS | EVCLIDES",Suprema Hispaniarum Inquisitione | Collegijs Balearico | Barcinonensi | Valentino Scholasticæ Theologiæ | Matritensi Academiæ Imperialis | R. P | E SOCIETATE IESV | D. DIDACVM DE LA TORRE
London_1678a,1678,London,LATIN,Theoretical Mathematics,,7,True,"DEMONSTRATA | EVCLIDIS ELEMENTA GEOMETRICA | EUCLIDIS ELEMENTA GEOMETRICA | NOVO ORDINE AC METHODO FERÈ DEMONSTRATA | Novo Ordine ac Methodo FERE, DEMONSTRATA | Introductione brevi, Quâ Magnitudinum Ortus ex genuinis Principiis, & ortarum Affectiones ex ipsa Genesi derivantur | EVCLIDIS ELEMENTA GEOMETRICA | EUCLIDIS ELEMENTA GEOMETRICA | Introductione brevi | NICOLAI MERCATORIS IN GEOMETRIAM | IN GEOMETRIAM | EVCLIDIS | EUCLIDIS",
bib-110,1692,Paris,FRENCH,Practical Geometry,Theoretical Mathematics,7,True,ELEMENS DE GEOMETRIE | ce qu’Euclide en a enseigné | Prêtre de l’Oratoire | Ar- chimede | ELEMENS DE GEOMETRIE | les plus belles Propositions d’Ar- chimede | l’Analyse | Propositions d’Archimede | Analyse | Euclide,l’Oratoire | Prêtre de l’Oratoire | Ar- chimede
London_1695,1695,London,ENGLISH,Theoretical Mathematics,,7,True,"Epitomiz’d | BEING | demonſtrated | Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID | A Compendious Collection of the moſt uſeful Propoſitions in the Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID | Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID | Together With their Uſes, in ſeveral practical Parts of the Mathematicks | With ſome of the moſt uſeful Problems re­quired in Practice | Euclid’s ſecond Book and Doctrine of Pro­ portion | Euclid’s ſecond Book | EUCLID | Euclid’s ſecond Book",
Nuremberg_1539,1539,Nuremberg,GERMAN,Practical Geometry,Architecture | Instrument Use,6,True,"Getruckt | allen liebhabern der selben | allen künstlichen werckleuten | Das erst buch der Geometria | Ein kurtze unterweisung, was vnd worauff Geometria gegründet sey, vnd wie man / nach anweisung der selben / mit dem Circkel vnd Richtscheydt / allerley Lini / Flech / vnd Cörper außztheylen / vnd in fürgegebener propozition / machen soll | Rechen-meyster zu Bamberg | Das erst buch der Geometria | Euclide",allen liebhabern der selben | allen künstlichen werckleuten | Rechen-meyster zu Bamberg
bib-147,1557,Venice,ITALIAN,Architecture | Military Engineering | Practical Geometry,,6,True,"S’INTRODVCE | DEL MODO DI DISEGNARE LE piante delle fortezze secondo Euclide | ET DEL MODO DI COMPORRE I MODELLI, & torre in disegno le piante delle Città | Nouarese | ingegnero Veronese | Euclide",Nouarese | ingegnero Veronese | M. IACOMO DE’ LANTERI
bib-33,1564,Venice,ITALIAN,Perspective | Practical Geometry | Surveying,,6,True,"le vere regole d’Euclide | DEL MODO DI MISVRARE le distantie, le superficie, i corpi, le piante, le prouincie, le prospettive, &  tutte le altre cose terrene, che posso­ no occorrere a gli huomini | GENTIL’HUOMO, ET | ACCADEMICO FIORENTINO | d’Euclide","GENTIL’HUOMO, ET | ACCADEMICO FIORENTINO"
bib-105,1594,Nuremberg,LATIN,Instrument Use | Practical Geometry,,6,False,"Addita | editus | DE QVADRANTE GEOMETRICO LIBELLVS | IN QVO QVIDQVID AD LINEARVM ET SVPERFICIERUM, VT POTE ALTITVDINVM ET LATITVDINVM, DI= mensiones facit lucidissime demonstratur | Sumptibus & expensis CORNELII DE IUDAEIS editus | Addita figura aenea XXVII. ad maiorem doctrinae intelligentiam & lucem hactenus non ita exposita",
bib-59,1594,Leiden,LATIN,Practical Geometry,,6,True,CYCLOMETRICA ELEMENTA DUO | CYCLOMETRICA ELEMENTA DUO,"Illustres Nobiliss. Ampliss. Hollandiae, Westfrisiae, et Zeelandiae ORDINES"
bib-76,1598,Venice,LATIN,Cosmography,Arithmetic | Practical Geometry | Theoretical Mathematics,6,True,"DISTRIBVTA | recognita | aucta | COSMOGRAPHIA | IN QUATVOR LIBROS DISTRIBVTA,  SVMMO ORDINE, MIRAQ. FACILITATE, ac brevitate ad Magnam Ptolemaei Mathematicam Constructionem, ad universamque Astrologiam instituens | nuper in hac secunda editione ab ipso Authore | IACOBI FILIO, PATRITIO VENETO | Ioannis de Sacrobosco | aucta | Communia Mathematica | Arithmetica | Geometrica principia | Index eorum | Communia Mathematica | Arithmetica | Geometrica principia | Index","IACOBI FILIO, PATRITIO VENETO | Ioannis de Sacrobosco"
Bologna_1620,1620,Bologna,ITALIAN,Practical Geometry,Arithmetic | Astronomy | Mechanics,6,True,"ridotti alla Pratica | I PRIMI SEI LIBRI DE GL’ ELEMENTI d’Euclide | Ne mostrano le inventioni delle regole geometriche, arithmetiche, mechaniche, & d’astronomia, & d’ottimo uso | ridotti alla Pratica | LETTORE DELLE SCIENZE Matematiche nello Studio di Bologna | I PRIMI SEI LIBRI DE GL’ ELEMENTI d’Euclide | d’Euclide",Studio di Bologna | LETTORE DELLE SCIENZE Matematiche nello Studio di Bologna | ALL’ILL. ET NOBILISS. SIG. IL SIG. GREGORIO MALVEZZI
UQI2BV,1620,Strasbourg,LATIN,Theoretical Mathematics,,6,True,"collecta | elaboratis | ELEMENTA GEOMETRICA | IN VSVM GEOMETRIÆ | Studiosorum ex varijs Authoribus collecta | Philo-Geometram | ELEMENTA GEOMETRICA | Cum Figuris & Schematismis, in 32. tabulis æneis diligen- ter elaboratis, ob oculos positis",Philo-Geometram
ustc-58,1620,Paris,FRENCH,Practical Geometry,,6,True,QVATRE LIVRES | DE LA GEOMETRIE PRATIQVE | Mathemat | QVATRE LIVRES,Mathemat
MorisS-16-7,1623,Paris,FRENCH,Theoretical Mathematics,,6,True,les traducteurs & interpretes | dixiesme Liure d’Euclide | Mathematicien | Elements Geometriques d’Euclide | la response Apologetique | d’Euclide,les traducteurs & interpretes | Mathematicien
ustc-60,1623,Paris,FRENCH,Theoretical Mathematics,,6,True,a mis en lumiere | POVR LES TRADVCTEVRS ET INTERPRETES | Elemens Geometriques d'Euclide | Professeur és Matheratiques | P. le Mardelé | Elemens Geometriques d'Euclide | vne pretendue traduction d'iceux Elemens | d'Euclide,POVR LES TRADVCTEVRS ET INTERPRETES | Professeur és Matheratiques | P. le Mardelé
ustc-11,1624,Paris,FRENCH,Instrument Use | Practical Geometry,,6,False,"Enrichie de plusieurs Figures | NOVVELLEMENT MISE EN LVMIERE | Enrichie | MISE EN LVMIERE | LA GEOMETRIE OV MESVRE DES LIGNES DROITES ESLOIGNEES PAR LE QVARRE´ GEOMETRIQVE | Deux methodes tres-faciles pour mesurer toutes sor- tes de longueurs, hanteurs, largeurs, tant acces- sibles que inaccessibles, sans qu’il soit besoin d’au- cun calcul | NOVVELLEMENT MISE EN LVMIERE | Lecteur du Roy | Enrichie de plusieurs Figures | plusieurs Figures",Lecteur du Roy
bib-182,1626,Leiden,LATIN,Arithmetic | Military Engineering | Trigonometry,,6,True,diuingitur | ARITHMETICÆ LIBRI DUO | GEOMETRIA  LIB. VI | GEOMETRIA  LIB. VI | TRIGONOMETRIÆ Planorium Methodus succincta | FORTIFICATIONES | TRIGONOMETRIÆ | FORTIFICATIONES,
ustc-10,1626,Paris,FRENCH,Instrument Use | Practical Geometry,,6,False,"enrichy | composé | Traduit | pour tous curieux des Mathematiques | LA GEOMETRIE | REDVITE EN VNE FACILE ET BRIEFVE pratique | enrichy de huict diuisions par dessus le com- mun & ordinaire | composé en Italien par Michel Connette | Traduit en François | Mathematicien | Fabrice Mordente | Alexandre Farnese | enrichy de huict diuisions | PANTOMETRE OV COMPAS DE PROPORTION DE MICHEL CONNETTE | L’VSAGE DV COMPAS A huict pointes, inuenté par Fabrice Mordente | PANTOMETRE OV COMPAS | L’VSAGE DV COMPAS A huict pointes | en Italien | en François",pour tous curieux des Mathematiques | Mathematicien | Fabrice Mordente | Alexandre Farnese
Bologna_1629a,1629,Bologna,LATIN,,,6,True,"repraesentans | enodans | Illustrissimos, & Sapientissimos SENATVS BONONIENSIS Quinquaginta Viros | SPECVLVM EVCLIDIANVM | Totam Euclidis Planimetriam, Quæ absoluta dicitur; & Extranea nonnulla, Geometrica tamen, internotata unico in Schemaste lineariter repraesentans, Omniaque propriis, firmisque Demonstrationibus clarè, atq; particulatim enodans | Philosophiæ & Medicinæ Doctore Collegiatò Bonon. & publico Patriæ Archigymnasij Professore | SPECVLVM EVCLIDIANVM | EVCLIDIANVM | Euclidis","Illustrissimos, & Sapientissimos SENATVS BONONIENSIS Quinquaginta Viros | Collegiatò Bonon | Patriæ Archigymnasij | SENATVS BONONIENSIS | Philosophiæ & Medicinæ Doctore Collegiatò Bonon. & publico Patriæ Archigymnasij Professore | SENATVS BONONIENSIS Quinquaginta Viros"
Innsbruck_1634,1634,Innsbruck,LATIN,,,6,True,APERITUR | Accommodavit | SELEGIT | Accommodavit | ADITUS | APERITUR | PER VISITATORES | EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS | ET FACILIOREM AD CAPTUM | ET FACILIOREM AD CAPTVM | S. I | EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS | DEMONSTRATIONES | EUCLIDIS,PER VISITATORES | S. I | S. I
bib-218,1634,London,ENGLISH,Arithmetic,Commercial Mathematics,6,True,"making | THE PRINCIPLES of Arithmetick | WITH Helpfull Observations, making the Entrance easie, and the Practice pleasant | WITH Helpfull Observations | With new and notable Abridgements | with extraordinarie Helps | some excellent Observations | TEACHING The five ordinary parts of ARITHME- TICK, the usuall way | Rules of PRACTICE, with extraordinarie Helps | The doctrine of FRACTIONS, The foure Rules of ARITHMETICK | Recreations extraordinary; or the easie perfor- mance of (seeming) Impossibilities | The five ordinary parts of ARITHME- TICK | Rules of PRACTICE | The doctrine of FRACTIONS | Recreations extraordinary",
bib-133,1650,London,ENGLISH,Arithmetic | Practical Geometry | Surveying,,6,False,"A Worke very necessary for all Men, but principally for Surveyors of Land, Engineers, and all other Students in the Mathematicks | PRACTICAL GEOMETRY | In Two Parts:  The First, Shewing how to perform the four Species of ARITHMETICK, (viz. Addition, Substraction, Multiplication, and Division,) Together with Reduction, and the Rule of Proportion in FIGURES.  The Second, Containing A Hundred GEOMETRICALL QUESTIONS, With their Solutions and Demonstrations, some of them being performed Arithmetically, and others Geometri- cally, yet all without the help of Algebra.  A Worke very necessary for all Men, but principally for Surveyors of Land, Engineers, and all other Students in the Mathematicks | chief Engineer to his late MAJESTY","A Worke very necessary for all Men, but principally for Surveyors of Land, Engineers, and all other Students in the Mathematicks | chief Engineer to his late MAJESTY"
bib-234,1660,London,ENGLISH,Astronomy | Cartography | Geography | Practical Geometry,Instrument Use | Theoretical Mathematics,6,True,"Mathematical ELEMENTS | In III Parts | The first, being a Discourse of PRACTICAL GEOMETRY, The three Parts of continued Quantity, LINES, PLANES, and SOLIDS | The second, A Description and Use of the Coelestial and Terrestrial  GLOBES | The third, The Delineation of the Globe upon the Plain of any Great Circle, according to the Stereographick, or Circular projection | M.A | Mathematical ELEMENTS",M.A
bib-126,1667,Rome,ITALIAN,Practical Geometry,Architecture | Cosmography | Geography | Military Engineering | Surveying,6,True,"Cauata | espositione | Ridotta | à Misuratori, ad Architetti, à Geografi, à Cosmografi, à Bombardieri, à Ingegneri, à Soldati, & à Capitani d’Eserciti | gl’elementi d’Euclide | Matematico | gl’elementi d’Euclide | cinquanta Tavole, scolpite in Rame | Euclide","à Misuratori, ad Architetti, à Geografi, à Cosmografi, à Bombardieri, à Ingegneri, à Soldati, & à Capitani d’Eserciti | Matematico | ALL’EMINENTISS. E REVERENDISS. SIG IL SIG CARDINALE IACOMO NINI"
