subject_family,value,classification_key,year,city,language,primary_classes,evidence
Arithmetic/Commerce,correction_revision,bib-191,1649,London,ENGLISH,Arithmetic | Commercial Mathematics,"content_description: The first of Vulgar Arithmetick with easie Rules to worke all the first four parts of Arithmetick, in whole Numbers and Fractions | The second of Decimall Arithmetick, whereby all  ; edition_details: The First Edition ; action_verbs: added ; enriched_with: Tables of Interest exactly calculated at 10, 8, 7, and 6 per cent | The Reduction of Weights, Value of Leases and Annuities | The weight and value of English Gold | Rebate at 8 per"
Arithmetic/Commerce,correction_revision,bib-204,1658,Middelburg,DUTCH,Arithmetic,"edition_details: Nu nieuwelijck over­sien, ’alle Questiën na-ge­rekent, en van ontallijke fouten gezuijvert | Item vermeerdert met d’Algebraïsche werckingen, uyt het Fransche Exemplaer over-ge­set; ; action_verbs: nieuwelijck over­sien | na-ge­rekent | gezuijvert | vermeerdert | over-ge­set | by-voeginghe ; enriched_with: d’Algebraïsche werckingen | Fransche Exemplaer | verscheyden Andre fraeye Questiën | noodige annotationen ; origin_language: Fransche"
Arithmetic/Commerce,novelty_invention,bib-190,1701,London,ENGLISH,Arithmetic | Commercial Mathematics,"audience: Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES ; content_description: WHEREIN THE  Whole Nature of NUMBERS, with their Simple and Comparative  Elements in all the Parts of ARITHMETICK, are plainly Declared,  and fully Handled ; action_verbs: added | Explain’d | Declared | Handled | Illustrated | digested | delivered ; enriched_with: Excellent RULES of PRACTICE | Many Large and Exact TABLES of all Sorts of Coins, Weights,  Measures, &c. Ancient and Modern, in most Countries, reduced to our own | divers Etymolog"
Arithmetic/Commerce,novelty_invention,bib-218,1634,London,ENGLISH,Arithmetic,"content_description: WITH Helpfull Observations, making the Entrance easie, and the Practice pleasant ; action_verbs: making ; enriched_with: WITH Helpfull Observations | With new and notable Abridgements | with extraordinarie Helps | some excellent Observations"
Arithmetic/Commerce,novelty_invention,bib-153,1579,London,ENGLISH,Arithmetic,"audience: for the Profession of a Soldiour ; edition_details: Long since attempted by LEONARD DIGGES Gentleman | Augmented, digested, and lately finished, by THOMAS DIGGES, his Sonne ; action_verbs: Augmented | digested | finished | adjoyned ; enriched_with: adjoyned certaine Questions of great Ordinance"
Arithmetic/Commerce,novelty_invention,bib-154,1590,London,ENGLISH,Arithmetic | Military Engineering,"audience: for the profession of a Souldier ; content_description: Compendiously teaching the Science of Numbers as well in Fractions as Integers, and so much of the Rules and Æquations Algebraicall, and Art of Num- bers Cossicall, as are requisit ; edition_details: reuiwed and corrected by the author him selfe | augmented with sundry additions | First published by Thomas Digges Esquire Anno Salutis 1579 ; action_verbs: augmented | reuiwed | corrected | published ; enriched_with: sundry additions"
Arithmetic/Commerce,novelty_invention,bib-257,1694,London,ENGLISH,Arithmetic | Astronomy | Gnomonics & Horology | Mechanics,"audience: Youth (in this Age ; action_verbs: Published | Annex ; enriched_with: a New Series for the speedy Extraction of Roots, and a Converging Series for all manner of affected Equations ; institutions: Mathematick School in Adam’s Court"
Arithmetic/Commerce,translation_language,Augsburg_1555,1555,Augsburg,GERMAN,Arithmetic | Theoretical Mathematics,"audience: allen den, so die kunst der Rechnung liebhaben ; content_description: in welchen der operationen vnnd regulen aller gemainer rechnung, vrsach grund vnd fundament, angezaigt wirt ; action_verbs: auß dem latein ins teütsch gebracht | mit gemainen exemplen also illustrirt ; enriched_with: mit gemainen exemplen also illustrirt ; origin_language: latein ; destination_language: teütsch ; institutions: vniuersitet zü Tübingen"
Arithmetic/Commerce,demonstration_method,bib-187,1615,Leiden,DUTCH,Commercial Mathematics | Practical Geometry | Surveying | Trigonometry,"audience: voor de Land-meters ; content_description: Daer in gheleert werdt te vinden  den naesten proportie des Circkels-Diameters teghen sijn om-  loop / daer door alle Circkels (met alle Figuren / ofte Lijnen met com-  munen hoeke ; edition_details: Twee­de Editie | Van nieuws oversien / ende van alle de voor-gaende fauten verbeteret / ende aen-ghevuld vermeerdert met by-voeghselen ; action_verbs: gecor- rigieerde | oversien | verbeteret | verbetert | vermeerdert | by-voeghselen | ghehouden | uyt-ghegeven | beschreven | ghebracht | gheproeft ; enriched_with: met het ghebruyck van dien, hoogh-noodigh voor de Land-meters | Met veel andere konstighe stucken, dierghelijcke noyt in druck uyt-ghegeven | Met noch seer hantvvoedige dingen | No"
Arithmetic/Commerce,demonstration_method,bib-133,1650,London,ENGLISH,Arithmetic | Practical Geometry | Surveying,"audience: A Worke very necessary for all Men, but principally for Surveyors of Land, Engineers, and all other Students in the Mathematicks ; content_description: In Two Parts:  The First, Shewing how to perform the four Species of ARITHMETICK, (viz. Addition, Substraction, Multiplication, and Division,) Together with Reduction, and the Rule"
Arithmetic/Commerce,demonstration_method,bib-190,1701,London,ENGLISH,Arithmetic | Commercial Mathematics,"audience: Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES ; content_description: WHEREIN THE  Whole Nature of NUMBERS, with their Simple and Comparative  Elements in all the Parts of ARITHMETICK, are plainly Declared,  and fully Handled ; action_verbs: added | Explain’d | Declared | Handled | Illustrated | digested | delivered ; enriched_with: Excellent RULES of PRACTICE | Many Large and Exact TABLES of all Sorts of Coins, Weights,  Measures, &c. Ancient and Modern, in most Countries, reduced to our own | divers Etymolog"
Arithmetic/Commerce,demonstration_method,bib-191,1649,London,ENGLISH,Arithmetic | Commercial Mathematics,"content_description: The first of Vulgar Arithmetick with easie Rules to worke all the first four parts of Arithmetick, in whole Numbers and Fractions | The second of Decimall Arithmetick, whereby all  ; edition_details: The First Edition ; action_verbs: added ; enriched_with: Tables of Interest exactly calculated at 10, 8, 7, and 6 per cent | The Reduction of Weights, Value of Leases and Annuities | The weight and value of English Gold | Rebate at 8 per"
Arithmetic/Commerce,demonstration_method,bib-218,1634,London,ENGLISH,Arithmetic,"content_description: WITH Helpfull Observations, making the Entrance easie, and the Practice pleasant ; action_verbs: making ; enriched_with: WITH Helpfull Observations | With new and notable Abridgements | with extraordinarie Helps | some excellent Observations"
Arithmetic/Commerce,enrichment_addition,MorisS-16-1,1623,Paris,FRENCH,Arithmetic | Construction | Military Engineering | Practical Geometry | Trigonometry,"audience: EN FAVEVR DE LA NOBLESSE Françoiſe ; content_description: Construction des tables des Sinus, Tou‑chantes & Couppantes ; Doctrine des triangles Rectilignes ; Pratique de diuers Problemes Geometriques ; Dimenſion des lignes droictes, Su‑per ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en‑droicts, & meſme d’vn traicté entier, co[n]tenant vne brieue inſtru‑ ction pour conſtruire les fortifications pratiquées  ; action_verbs: reueuë | corrigée | augmentée ; enriched_with: d’explication & augmentation | vne brieue instruction ; educational_authorities_references: Monſieur Errard ; destination_language: Françoiſe"
Arithmetic/Commerce,enrichment_addition,bib-133,1650,London,ENGLISH,Arithmetic | Practical Geometry | Surveying,"audience: A Worke very necessary for all Men, but principally for Surveyors of Land, Engineers, and all other Students in the Mathematicks ; content_description: In Two Parts:  The First, Shewing how to perform the four Species of ARITHMETICK, (viz. Addition, Substraction, Multiplication, and Division,) Together with Reduction, and the Rule"
Arithmetic/Commerce,enrichment_addition,bib-190,1701,London,ENGLISH,Arithmetic | Commercial Mathematics,"audience: Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES ; content_description: WHEREIN THE  Whole Nature of NUMBERS, with their Simple and Comparative  Elements in all the Parts of ARITHMETICK, are plainly Declared,  and fully Handled ; action_verbs: added | Explain’d | Declared | Handled | Illustrated | digested | delivered ; enriched_with: Excellent RULES of PRACTICE | Many Large and Exact TABLES of all Sorts of Coins, Weights,  Measures, &c. Ancient and Modern, in most Countries, reduced to our own | divers Etymolog"
Arithmetic/Commerce,enrichment_addition,ustc-26,1627,Paris,FRENCH,Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry,"audience: EN FAVEVR DE LA NOBLESSE FRANÇOISE ; content_description: De l’Arithmetique militaire ; Conſtruction des tables des Sinus, chanzes & Coupantes ; Doctrine des triangles Recitilignes ; Pratique de diuers problemes Geometriques ; Dimeſon des ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en droicts ; & meſme d'vn traicté entier, contenant vne briefve inconſtr tion pour conſtruire les fortifications pées aux pa ; action_verbs: reueuë | corrigée | augmentée"
Arithmetic/Commerce,enrichment_addition,bib-191,1649,London,ENGLISH,Arithmetic | Commercial Mathematics,"content_description: The first of Vulgar Arithmetick with easie Rules to worke all the first four parts of Arithmetick, in whole Numbers and Fractions | The second of Decimall Arithmetick, whereby all  ; edition_details: The First Edition ; action_verbs: added ; enriched_with: Tables of Interest exactly calculated at 10, 8, 7, and 6 per cent | The Reduction of Weights, Value of Leases and Annuities | The weight and value of English Gold | Rebate at 8 per"
Arithmetic/Commerce,restoration_ancient_authority,bib-190,1701,London,ENGLISH,Arithmetic | Commercial Mathematics,"audience: Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES ; content_description: WHEREIN THE  Whole Nature of NUMBERS, with their Simple and Comparative  Elements in all the Parts of ARITHMETICK, are plainly Declared,  and fully Handled ; action_verbs: added | Explain’d | Declared | Handled | Illustrated | digested | delivered ; enriched_with: Excellent RULES of PRACTICE | Many Large and Exact TABLES of all Sorts of Coins, Weights,  Measures, &c. Ancient and Modern, in most Countries, reduced to our own | divers Etymolog"
Arithmetic/Commerce,restoration_ancient_authority,VWMZ7L,1557,Paris,LATIN,Arithmetic | Astronomy | Music Theory | Theoretical Mathematics,
Arithmetic/Commerce,community_professional,MorisS-16-1,1623,Paris,FRENCH,Arithmetic | Construction | Military Engineering | Practical Geometry | Trigonometry,"audience: EN FAVEVR DE LA NOBLESSE Françoiſe ; content_description: Construction des tables des Sinus, Tou‑chantes & Couppantes ; Doctrine des triangles Rectilignes ; Pratique de diuers Problemes Geometriques ; Dimenſion des lignes droictes, Su‑per ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en‑droicts, & meſme d’vn traicté entier, co[n]tenant vne brieue inſtru‑ ction pour conſtruire les fortifications pratiquées  ; action_verbs: reueuë | corrigée | augmentée ; enriched_with: d’explication & augmentation | vne brieue instruction ; educational_authorities_references: Monſieur Errard ; destination_language: Françoiſe"
Arithmetic/Commerce,community_professional,bib-133,1650,London,ENGLISH,Arithmetic | Practical Geometry | Surveying,"audience: A Worke very necessary for all Men, but principally for Surveyors of Land, Engineers, and all other Students in the Mathematicks ; content_description: In Two Parts:  The First, Shewing how to perform the four Species of ARITHMETICK, (viz. Addition, Substraction, Multiplication, and Division,) Together with Reduction, and the Rule"
Arithmetic/Commerce,community_professional,bib-190,1701,London,ENGLISH,Arithmetic | Commercial Mathematics,"audience: Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES ; content_description: WHEREIN THE  Whole Nature of NUMBERS, with their Simple and Comparative  Elements in all the Parts of ARITHMETICK, are plainly Declared,  and fully Handled ; action_verbs: added | Explain’d | Declared | Handled | Illustrated | digested | delivered ; enriched_with: Excellent RULES of PRACTICE | Many Large and Exact TABLES of all Sorts of Coins, Weights,  Measures, &c. Ancient and Modern, in most Countries, reduced to our own | divers Etymolog"
Arithmetic/Commerce,community_professional,ustc-26,1627,Paris,FRENCH,Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry,"audience: EN FAVEVR DE LA NOBLESSE FRANÇOISE ; content_description: De l’Arithmetique militaire ; Conſtruction des tables des Sinus, chanzes & Coupantes ; Doctrine des triangles Recitilignes ; Pratique de diuers problemes Geometriques ; Dimeſon des ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en droicts ; & meſme d'vn traicté entier, contenant vne briefve inconſtr tion pour conſtruire les fortifications pées aux pa ; action_verbs: reueuë | corrigée | augmentée"
Arithmetic/Commerce,community_professional,bib-85,1685,Bologna,ITALIAN,Arithmetic | Instrument Construction | Instrument Use,"audience: Geometri | Agrimensori | Architetti ciuili | militari | Pittori | Scultori | tutti quelli, che vsano del Disegno | Bombardieri | Sergenti di Battaglia | Mercanti | altri ; content_description: Dove insegna à gli ARTEFICI il modo di fare in esso le necessarie diuisioni,  E con varij Problemi vsuali mostra l’vtilità di questo Stromento ; edition_details: Accresciuta notabilmente in questa Seconda Editione dal medesimo Autore ; action_verbs: Accresciuta | Dando | apportando ; enriched_with: Dando le ragioni, & apportando le dimostrazioni di tutte le operationi nella Fabrica, e nell’Vso | Accresciuta notabilmente ; institutions: DELLA COMPAGNIA DI GIESU"
Geometry/Theory,clarity_ease,bib-119,1646,Amsterdam,LATIN,Arithmetic | Military Engineering | Practical Geometry | Surveying,"audience: den Landmeters en Ingenieurs | den Land-meters ende Ingenieurs | den Leser ; content_description: Beneffens de Stock-rekenninghe ofte Rabdologia J. Nepperi, cortelick en duydelick | In het welcke Beneffens de Stockrekeninge ofte Rhabdologia I. Neperi, kortelijck ende duydelijck ; edition_details: nieu verrijckt met een nieuwe inventie | De tweede Editie ; action_verbs: verrijckt | gecorrigeert ; enriched_with: nieu verrijckt met een nieuwe inventie om alle ronde vatten hare wanhgheden af te pegelen ; educational_authorities_references: J. Nepperi | I. Neperi"
Geometry/Theory,clarity_ease,London_1696,1696,London,ENGLISH,Theoretical Mathematics,"content_description: in a New, but most Easie method ; edition_details: The Second Edition | Now made English, and a multitude of Errors Cor-rected, which had escap’d in the Original ; action_verbs: Explain’d | Written | made | Cor-rected ; enriched_with: The Use of every Proposition through all parts of the Mathematicks ; origin_language: French ; destination_language: English ; institutions: Society of JESUS"
Geometry/Theory,clarity_ease,London_1747,1747,London,ENGLISH,Practical Geometry | Theoretical Mathematics,audience: SCHOOLS ; action_verbs: are added ; institutions: ROYAL SOCIETY | Royal Academy at Woolwich
Geometry/Theory,clarity_ease,ustc-10,1626,Paris,FRENCH,Instrument Use | Practical Geometry,audience: pour tous curieux des Mathematiques ; content_description: REDVITE EN VNE FACILE ET BRIEFVE pratique ; edition_details: enrichy de huict diuisions par dessus le com- mun & ordinaire | composé en Italien par Michel Connette | Traduit en François ; action_verbs: enrichy | composé | Traduit ; enriched_with: enrichy de huict diuisions ; educational_authorities_references: Fabrice Mordente | Alexandre Farnese ; origin_language: en Italien ; destination_language: en François
Geometry/Theory,clarity_ease,MorisS-22-6,1657,Paris,FRENCH,Theoretical Mathematics | Trigonometry,content_description: Divisée en trois Livres ; action_verbs: Divisée | SVIVIS | contenant | DEDIE ; enriched_with: les Tables des logarithmes ; institutions: des Mines de France
Geometry/Theory,utility_use,bib-187,1615,Leiden,DUTCH,Commercial Mathematics | Practical Geometry | Surveying | Trigonometry,"audience: voor de Land-meters ; content_description: Daer in gheleert werdt te vinden  den naesten proportie des Circkels-Diameters teghen sijn om-  loop / daer door alle Circkels (met alle Figuren / ofte Lijnen met com-  munen hoeke ; edition_details: Twee­de Editie | Van nieuws oversien / ende van alle de voor-gaende fauten verbeteret / ende aen-ghevuld vermeerdert met by-voeghselen ; action_verbs: gecor- rigieerde | oversien | verbeteret | verbetert | vermeerdert | by-voeghselen | ghehouden | uyt-ghegeven | beschreven | ghebracht | gheproeft ; enriched_with: met het ghebruyck van dien, hoogh-noodigh voor de Land-meters | Met veel andere konstighe stucken, dierghelijcke noyt in druck uyt-ghegeven | Met noch seer hantvvoedige dingen | No"
Geometry/Theory,utility_use,IC4Y79,1501,Venice,LATIN,Arithmetic | Theoretical Mathematics,content_description: difficultates omnes fere exponuntur ; educational_authorities_references: Boetio | Hippocrate | Paulo | Galeni
Geometry/Theory,utility_use,MorisS-16-1,1623,Paris,FRENCH,Arithmetic | Construction | Military Engineering | Practical Geometry | Trigonometry,"audience: EN FAVEVR DE LA NOBLESSE Françoiſe ; content_description: Construction des tables des Sinus, Tou‑chantes & Couppantes ; Doctrine des triangles Rectilignes ; Pratique de diuers Problemes Geometriques ; Dimenſion des lignes droictes, Su‑per ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en‑droicts, & meſme d’vn traicté entier, co[n]tenant vne brieue inſtru‑ ction pour conſtruire les fortifications pratiquées  ; action_verbs: reueuë | corrigée | augmentée ; enriched_with: d’explication & augmentation | vne brieue instruction ; educational_authorities_references: Monſieur Errard ; destination_language: Françoiſe"
Geometry/Theory,utility_use,bib-133,1650,London,ENGLISH,Arithmetic | Practical Geometry | Surveying,"audience: A Worke very necessary for all Men, but principally for Surveyors of Land, Engineers, and all other Students in the Mathematicks ; content_description: In Two Parts:  The First, Shewing how to perform the four Species of ARITHMETICK, (viz. Addition, Substraction, Multiplication, and Division,) Together with Reduction, and the Rule"
Geometry/Theory,utility_use,Lisbon_1735,1735,Lisbon,PORTUGUESE,Theoretical Mathematics,audience: PARA USO DA REAL AULA ; edition_details: ACRESCENTADOS COM TRÊS UTEIS ; action_verbs: ACRESCENTADOS COM TRÊS UTEIS ; enriched_with: o primeiro da Logística das Proporções | o segundo dos Theoremas selectos de Archimedes | o terceiro da Quadratriz de Dinostrato ; educational_authorities_references: Archimedes | Dinostrato ; institutions: Collegio de Santo Antão da Companhia de Jesus de Lisboa Occidental | Companhia de Jesus
Geometry/Theory,correction_revision,bib-187,1615,Leiden,DUTCH,Commercial Mathematics | Practical Geometry | Surveying | Trigonometry,"audience: voor de Land-meters ; content_description: Daer in gheleert werdt te vinden  den naesten proportie des Circkels-Diameters teghen sijn om-  loop / daer door alle Circkels (met alle Figuren / ofte Lijnen met com-  munen hoeke ; edition_details: Twee­de Editie | Van nieuws oversien / ende van alle de voor-gaende fauten verbeteret / ende aen-ghevuld vermeerdert met by-voeghselen ; action_verbs: gecor- rigieerde | oversien | verbeteret | verbetert | vermeerdert | by-voeghselen | ghehouden | uyt-ghegeven | beschreven | ghebracht | gheproeft ; enriched_with: met het ghebruyck van dien, hoogh-noodigh voor de Land-meters | Met veel andere konstighe stucken, dierghelijcke noyt in druck uyt-ghegeven | Met noch seer hantvvoedige dingen | No"
Geometry/Theory,correction_revision,MorisS-16-1,1623,Paris,FRENCH,Arithmetic | Construction | Military Engineering | Practical Geometry | Trigonometry,"audience: EN FAVEVR DE LA NOBLESSE Françoiſe ; content_description: Construction des tables des Sinus, Tou‑chantes & Couppantes ; Doctrine des triangles Rectilignes ; Pratique de diuers Problemes Geometriques ; Dimenſion des lignes droictes, Su‑per ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en‑droicts, & meſme d’vn traicté entier, co[n]tenant vne brieue inſtru‑ ction pour conſtruire les fortifications pratiquées  ; action_verbs: reueuë | corrigée | augmentée ; enriched_with: d’explication & augmentation | vne brieue instruction ; educational_authorities_references: Monſieur Errard ; destination_language: Françoiſe"
Geometry/Theory,correction_revision,Paris_1667,1667,Paris,FRENCH,Theoretical Mathematics,"content_description: Outre un ordre tout nouveau, & de nouvelles demonstrations des propositions les plus com- munes,  De nouveaux moyens de faire voir quelles lignes sont incommensurables,  De nouvell ; edition_details: SECONDE EDITION ; action_verbs: contenant | CONTENANT ; enriched_with: de nouvelles demonstrations des propositions les plus com- munes | De nouveaux moyens de faire voir quelles lignes sont incommensurables | De nouvelles mesures de l’angle, dont on "
Geometry/Theory,correction_revision,Amsterdam_1701,1701,Amsterdam,DUTCH,Practical Geometry | Theoretical Mathematics,"audience: alle leer-gierige Liefhebbers der selver vrye Konste ; content_description: Van de beginselen ende fondamenten der Geometrie ; edition_details: Desen laetsten Druk, van nieuws oversien en verbetert ; action_verbs: by-gevoeght | by-gevoegde | Over-geset | verklaert | uyt-geleyt | oversien | verbeter t | vermeerdert ; enriched_with: by-gevoeght zijn eenige nut-tigheden, uyt deselve Boecken getrocken: Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, vermeenighv"
Geometry/Theory,correction_revision,Amsterdam_1700b,1700,Amsterdam,DUTCH,Theoretical Mathematics,"audience: van alle leer-gierige Liefhebbers der selver vrye Konste ; content_description: Van de beginselen ende fon-damenten der Geometrie ; edition_details: Desen laetsten Druk, van nieuws oversien en verbetert ; action_verbs: by-gevoeght | Over-geset | verklaert | uyt-geleyt | oversien | verbetert | vermeerdert | by-gevoegde ; enriched_with: by-gevoeght zijn eenige nuttigheden, uyt deselve Boecken getroken | Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, ver-meenighv"
