title_page_key,classification_key,title_year,title_city,title_language,primary_classes,secondary_classes,unknown_classes,base_content,elements_designation,references_to_euclid,content_description
Geneva_1628,Geneva_1611,1628,Geneva,FRENCH,,,,LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,EVCLIDE,
Graz_1636,Graz_1636,1636,Graz,LATIN,,Trigonometry,,EVCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICO- RUM LIBRI CUM PARTE UNDECIMI,EVCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICORUM LIBRI CUM PARTE UNDECIMI,EVCLIDIS,Ex majoribus Clavij com-mentarijs in commodiorem formam contracti
Ingolstadt_1617,Ingolstadt_1617,1617,Ingolstadt,LATIN,,,,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX PRIORES,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX PRIORES,EVCLIDIS,
Kiel_and_Leipzig_1699,Kiel_and_Leipzig_1699,1699,"Kiel, Leipzig",GERMAN,,,,EUCLIDES,EUCLIDES,EUCLIDES,"Dessen VI. erste Bücher auf sonderbahre und sehr leichte Art, Mit Algebraischen, oder aus der neuesten Löse-Kunst entlehneten Zeichen, also dass man deroselben Beweiss auch in andern Sprachen gebrauchen kan"
Lausanne_1683,Lausanne_1683,1683,Lausanne,FRENCH,,,,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,EUCLIDE,EXPLIQVEZ D’UNE MANIERE nouvelle & tres facile | AVEC L’VSAGE DE CHAQVE Proposition pour toutes les parties des Mathematiques
Leiden_1691,Leiden_1692,1691,Leiden,LATIN,,,,EUCLIDIS ELEMENTORUM SEX LIBRI PRIORES,EUCLIDIS ELEMENTORUM SEX LIBRI PRIORES,EUCLIDIS,Magnam partem novis demonstrationibus ADORNATI
Leiden_1692,Leiden_1692,1692,Leiden,LATIN,,,,EUCLIDIS ELEMENTORUM SEX LIBRI PRIORES,EUCLIDIS ELEMENTORUM SEX LIBRI PRIORES,EUCLIDIS,
Leipzig_1549,Leipzig_1549,1549,Leipzig,LATIN,,,,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX,Εuκλείδου | EVCLIDIS,
London_1570,London_1570,1570,London,ENGLISH,,Mechanics,,THE ELEMENTS OF GEOMETRIE,THE ELEMENTS OF GEOMETRIE,EVCLIDE,
London_1620,London_1620,1620,London,"GREEK, LATIN",,,,ELEMENTORVM EVCLIDIS LIBRI TREDECIM,ELEMENTORVM EVCLIDIS LIBRI TREDECIM | ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ἕγ,ΕΥΚΛΕΙΔΟΥ | EVCLIDIS,
London_1678,London_1685,1678,London,LATIN,,,,EUCLIDIS ELEMENTORUM Libri XV,EUCLIDIS ELEMENTORUM Libri XV,EUCLIDIS,breviter demonstrati
London_1685,London_1685,1685,London,LATIN,,,,EUCLIDIS ELEMENTORUM Libri XV,EUCLIDIS ELEMENTORUM Libri XV,EUCLIDIS,breviter demonstrati
London_1685a,London_1685a,1685,London,ENGLISH,,,Practical Geometry,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,EUCLID | EVCLID,Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS
London_1687,London_1678,1687,London,LATIN,,,,EUCLIDIS Elementorum LIBRI XV,EUCLIDIS Elementorum LIBRI XV,EUCLIDIS,Breviter demonstrati
Lyon_1557,Lyon_1557,1557,Lyon,LATIN,,,,Euclidis Elementa Ge-ometrica Demonstrationum Libri sex,Euclidis Elementa Ge-ometrica Demonstrationum Libri sex,Euclidis,
Lyon_1675,Lyon_1675,1675,Lyon,LATIN,,,,ELEMENTORUM EUCLIDIS LIBRI OCTO,ELEMENTORUM EUCLIDIS LIBRI OCTO,EUCLIDIS,
Naples_1679,Naples_1679,1679,Naples,LATIN,,,,EUCLIDIS ELEMENTORUM LIBRI SEX,EUCLIDIS ELEMENTORUM LIBRI SEX,EUCLIDIS,
Oxford_1685,Oxford_1685,1685,Oxford,ENGLISH,,,,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,EUCLID,"Explain’d, in a new, but most easie method, Together with The Use of every Proposition through all parts of the Mathematicks"
Oxford_1701,Oxford_1701,1701,Oxford,LATIN,,,,"EUCLIDIS ELEMENTORUM LIBRI PRIORES SEX, ITEM UNDECIMUS & DUODECIMUS","EUCLIDIS ELEMENTORUM LIBRI PRIORES SEX, ITEM UNDECIMUS & DUODECIMUS",EUCLIDIS,
Oxford_London_1700,Oxford_London_1700,1700,"Oxford, London",ENGLISH,,,,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,EUCLID,"Explain’d, In a New, but most Easie Method: Together with The Use of every Proposition through all parts of the Mathematicks"
Paris_1536,Paris_1536,1536,Paris,"LATIN, GREEK",,,,SEX PRIORES LIBROS geometricorum elementorum Euclidis Megarensis,SEX PRIORES LIBROS geometricorum elementorum Euclidis Megarensis,Euclidis Megarensis | ipsius Euclidis,Demonstrationes
Paris_1545,Paris_1545,1545,Paris,LATIN,,,,,,Euclides,
Paris_1564,Paris_1564,1564,Paris,FRENCH,,,,LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE,LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE,EV- CLIDE,
Paris_1573,Paris_1573,1573,Paris,LATIN,,,,EVCLIDIS ELEMENTORVM  LIBRI XV,EVCLIDIS ELEMENTORVM  LIBRI XV,EVCLIDIS | Εὐκλείδης,"Quibus, cùm ad omnem Mathematicae scientiæ partem, tùm ad quamlibet Geometriæ tractatio- nem, facilis comparatur aditus"
Paris_1598,Paris_1573,1598,Paris,LATIN,,,,EVCLIDIS ELEMENTORVM  LIBRI XV,EVCLIDIS ELEMENTORVM  LIBRI XV,EVCLIDIS | Εὐκλείδης,GRAE- cè & Latinè
Paris_1598a,Paris_1598a,1598,Paris,FRENCH,,,,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,D’EVCLIDE,
Paris_1622,Paris_1622,1622,Paris,"FRENCH, LATIN",,,,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,D’EVCLIDE,
Paris_1624,Paris_1624,1624,Paris,FRENCH,,Military Engineering,Theoretical Mathematics,,,d’Euclides,
Paris_1629,Paris_1629,1629,Paris,FRENCH,,,,LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE,D’EVCLIDE,
Paris_1630,Paris_1630,1630,Paris,FRENCH,,,,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,D’EVCLIDE,Extraicts & tirez de ses Oeuures Mathematiques
Paris_1632a,Paris_1632a,1632,Paris,FRENCH,,,,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,D’EVCLIDE,
Paris_1639,Paris_1639,1639,Paris,FRENCH,,,,LES SIX PREMIERS LIVRES DES ELEMENTS D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENTS D’EVCLIDE,D’EVCLIDE,"Demonstrez par Notes, d’vne methode tres-brieve & intelligible | Auec les principales parties des Mathematiques ex- pliquées succinctement sans Notes"
Paris_1643,Paris_1643,1643,Paris,FRENCH,,,,Elémens d’Euclide,Elémens d’Euclide,Euclide,"d’une façon plus briefue, & plus facile que l’ordinaire"
Paris_1643b,Paris_1643b,1643,Paris,LATIN,,,,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM LIBRI,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM LIBRI,EVCLIDIS,
Paris_1644a,Paris_1643b,1644,Paris,LATIN,,,,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM LIBRI,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM LIBRI,EVCLIDIS,
Paris_1654,Paris_1654,1654,Paris,LATIN,,,,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI Sex,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI Sex,EVCLIDIS,priores breuiùs demonstrati
Paris_1654a,Paris_1654a,1654,Paris,FRENCH,,,,LES ELEMENTS D’EVCLIDE,ELEMENTS D’EVCLIDE,D’EVCLIDE,
Paris_1677a,Paris_1677a,1677,Paris,FRENCH,,,Theoretical Mathematics,LES ELEMENS D’EVCLIDE,LES ELEMENS D’EVCLIDE,D’EVCLIDE,Proposition pour toutes les parties des Mathematiques
Paris_1682,Paris_1682,1682,Paris,FRENCH,,,,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,EUCLIDE,EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques
Paris_1683,Paris_1683,1683,Paris,FRENCH,,,,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,EUCLIDE,EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques
Paris_1685,Paris_1685,1685,Paris,FRENCH,,,Practical Geometry,LES ELEMENS DE GEOMETRIE OU DE LA MESURE DU CORPS,LES ELEMENS DE GEOMETRIE OU DE LA MESURE DU CORPS,Euclide,"Qui comprennent tout ce qu’Euclide, en a enseigné: Les plus belles propositions d’Archimede & l’Analyse"
Paris_1690,Paris_1690,1690,Paris,FRENCH,,,,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,D’EUCLIDE,EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques
Paris_1697,Paris_1697,1697,Paris,"FRENCH, LATIN",,,,les Elemens d’Euclide,les Elemens d’Euclide,Euclide,
Rome_1594,Rome_1594,1594,Rome,"ARABIC, LATIN",,,,EVCLIDIS ELEMENTORVM GEOMETRICORVM Libri Tre-decim,EVCLIDIS ELEMENTORVM GEOMETRICORVM,إقليدس | EVCLIDIS,
Rome_1629,Rome_1629,1629,Rome,LATIN,,,Theoretical Mathematics,EVCLIDIS Sex primi ELEMENTORVM GEOMETRICORVM,EVCLIDIS Sex primi ELEMENTORVM GEOMETRICORVM,EVCLIDIS,
Rome_1655,Rome_1655,1655,Rome,LATIN,,,,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM Libri cum parte Vndecimi,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM,EVCLIDIS,Ex maioribus CLAVII Com-mentarijs in commodiorem formam contracti
Rotterdam_1647,Rotterdam_1647,1647,Rotterdam,DUTCH,,Practical Geometry,,De ses eerste Boecken EUCLIDIS,De ses eerste Boecken EUCLIDIS,EUCLIDIS,Van de beginselen ende fonda-menten der Geometrie
Rotterdam_1681,Rotterdam_1681,1681,Rotterdam,DUTCH,,Practical Geometry,,De ses eerste Boecken EUCLIDIS,De ses eerste Boecken EUCLIDIS,EUCLIDIS,Van de beginselen ende fondamenten der Geometrie
Rouen_1649,Rouen_1649,1649,Rouen,FRENCH,,,,LES QVINZE LIVRES DES ELEMENTS D’EVCLIDE,LES QVINZE LIVRES DES ELEMENTS D’EVCLIDE,EVCLIDE,
Rouen_and_Paris_1683,Rouen_and_Paris_1683,1683,"Rouen, Paris",FRENCH,,,Theoretical Mathematics,LES QUINZE LIVRES DES ELEMENS GEOMETRIQUES D’EUCLIDE,LES QUINZE LIVRES DES ELEMENS GEOMETRIQUES D’EUCLIDE,D’EUCLIDE,
Siena_1691,Siena_1691,1691,Siena,LATIN,,,,ELEMENTA EVCLIDIS,ELEMENTA EVCLIDIS,EVCLIDIS,
Strasbourg_1564b,Strasbourg_1564b,1564,Strasbourg,LATIN,,,,PROPOSITIOnes reliquorum Librorum Geometriæ Euclidis,,Euclidis,"Græcè, & Latinè"
Strasbourg_1566,Strasbourg_1566,1566,Strasbourg,"GREEK, LATIN",,Theoretical Mathematics,,sex librorum Euclidis,sex librorum Euclidis,Euclidis,ANALYSEIS GEOmetricæ
Utrecht_1647,Rotterdam_1647,1647,Utrecht,DUTCH,,Practical Geometry,,De ses eerste Boecken EUCLIDIS,De ses eerste Boecken EUCLIDIS,EUCLIDIS,Van de beginselen ende fonda-menten der Geometrie
Venice_1509,Venice_1509,1509,Venice,LATIN,,,,Euclidis megarensis philosophi acutissimi mathematicorumque omnium sine controuersia principis opera,Euclidis megarensis philosophi acutissimi mathematicorumque omnium sine controuersia principis opera,Euclidis | Euclidem,Que cum antea librariorum detestanda culpa mendis fedissimis adeo deformia essent: vt vix Euclidem ipsum agnoscere-mus
Venice_1569,Venice_1569,1569,Venice,LATIN,,Mechanics,,,,EVCLIDE,
473J72,473J72,1726,London,ENGLISH,,,,"THE Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS","Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS",EUCLID's,"Demonstrated after a New, Plain, and Eafie METHOD"
5V691B,5V691B,1583,Basel,LATIN,,Theoretical Mathematics,,in Euclidis & Rami ἐννέαϐι- ϐλια,in Euclidis & Rami ἐννέαϐι- ϐλια,Euclidis,in quibus Logica veterum Mathematicorum illustratur & demonstratur
Berlin_1824,Berlin_1824,1824,Berlin,"GREEK, LATIN",,,Theoretical Mathematics,LIBRI SEX PRIORES,EUCLIDIS ELEMENTORUM LIBRI SEX PRIORES,EUCLIDIS,
Bologna_1629a,Bologna_1629a,1629,Bologna,LATIN,,,Practical Geometry | Theoretical Mathematics,SPECVLVM EVCLIDIANVM,SPECVLVM EVCLIDIANVM,EVCLIDIANVM | Euclidis,"Totam Euclidis Planimetriam, Quæ absoluta dicitur; & Extranea nonnulla, Geometrica tamen, internotata unico in Schemaste lineariter repraesentans, Omniaque propriis, firmisque Demonstrationibus clarè, atq; particulatim enodans"
Bologna_1693,Bologna_1693,1693,Bologna,LATIN,,,,"PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA","PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA",EVCLIDIS,Facilioribus Auctorum demonstrationibus
Cambridge_1703,Cambridge_1703,1703,Cambridge,LATIN,,,Practical Geometry,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,,
D40ZCO,D40ZCO,1628,Jena,GERMAN,,,,Teutscher Euclides,Euclides,Euclides,Das ist seiner Geometriæ Erster Theil/ Von derselben Elementen
HZ5UVJ,Naples_1810,1814,Naples,ITALIAN,,,,I PRIMI SEI LIBRI DEGLI ELEMENTI DI EUCLIDE,I PRIMI SEI LIBRI DEGLI ELEMENTI DI EUCLIDE,EUCLIDE | stesso Euclide,"Emendati in que’ luoghi in cui una voce furono vi- ziati da Teone, o da altri; e ne’ quali sono resti- tuite alcune definizioni, e dimostrazioni dello stesso Euclide"
Innsbruck_1634,Innsbruck_1634,1634,Innsbruck,LATIN,,,,EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS,EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS,EUCLIDIS,ET FACILIOREM AD CAPTUM
Innsbruck_1636,Innsbruck_1634,1636,Innsbruck,LATIN,,,,EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS,EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS,EUCLIDIS,ET FACILIOREM AD CAPTVM
London_1703,London_1703,1703,London,ENGLISH,,,,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,EUCLID | EVCLID,Explained and Demonstrated in a New and most Easy Method | With the Uses of each PROPOSI-TION In all the Parts of the MATHEMATICKS
Lyon_1603,Lyon_1603,1603,Lyon,LATIN,,,Arithmetic,GEOMETRIAM EVCLIDIS prioribus sex Elementorum,GEOMETRIAM EVCLIDIS prioribus sex Elementorum,GEOMETRIAM EVCLIDIS,libris comprehensam Demonstratio Numeralis
Milan_1702,Milan_1702,1702,Milan,ITALIAN,,,,I PRIMI SEI LIBRI D’EVCLIDE,I PRIMI SEI LIBRI D’EVCLIDE,EVCLIDE,
Naples_1701,Naples_1701,1701,Naples,LATIN,,,,ELEMENTA EUCLIDIS,ELEMENTA EUCLIDIS,EUCLIDIS,"Novâ methodô, & compendiariè olim demonstrata"
Naples_1810,Naples_1810,1810,Naples,ITALIAN,,,,I primi sei libri degli elementi di Euclide,I primi sei libri degli elementi di Euclide,Euclide,
Nuremberg_1821,Nuremberg_1821,1821,Nuremberg,GERMAN,,,,des ersten Buchs der Elemente Euclid’s,ersten Buchs der Elemente Euclid’s,Euclid’s,
Paris_1534a,Paris_1534a,1534,Paris,LATIN,,,,ELEMENTALE GEOMETRI,ELEMENTALE GEOMETRI,EUCLIDIS,EX EUCLIDIS GEOMETRIA
QX7XH4,QX7XH4,1756,Glasgow,ENGLISH,,,,THE ELEMENTS OF EUCLID,"THE ELEMENTS OF EUCLID, VIZ. THE FIRST SIX BOOKS, TOGETHER WITH THE ELEVENTH AND TWELFTH",EUCLID | EUCLID's,"THE FIRST SIX BOOKS, TOGETHER WITH THE ELEVENTH AND TWELFTH"
Strasbourg_1529,Strasbourg_1529,1529,Strasbourg,LATIN,,,Practical Geometry,"ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria","ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria",EVCLI,Geometria
TTORPR,TTORPR,1528,Vienna,LATIN,,,,"ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria","ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria",EV- clidis,
ZQA6JR,ZQA6JR,1669,Rome,LATIN,,,,ELEMENTA GEOMETRIAE PLANAE,ELEMENTA GEOMETRIAE PLANAE,,
bib-102,bib-102,1652,Jena,GERMAN,,,,Teutscher EuCLIDES,ELEMENTEN,Eu- CLIDES,Geometrische Beschreibung
bib-104,bib-104,1681,Rome,LATIN,,,,tribus Libris Euclidis,tribus Libris Euclidis,Euclidis,
bib-113,bib-113,1690,Paris,FRENCH,,,Theoretical Mathematics,TRAITÉ DE GEOMETRIE,,,
bib-122,bib-122,1689,Naples,LATIN,,,Practical Geometry | Theoretical Mathematics,EXERCITATIONES,,,IN GEOMETRIAM
bib-272,bib-272,1654,Paris,FRENCH,,,,LES DIX LIVRES DES THEOREMES GEOMETRIQVES,LES DIX LIVRES DES THEOREMES GEOMETRIQVES,,
bib-74,bib-74,1684,London,ENGLISH,,,,THE ELEMENTS,THE ELEMENTS,,OR PRINCIPLES OF GEOMETRIE
