title_page_key,classification_key,is_reprint_nonrepresentative,cluster_key,short_title,year,city,language,author_or_editor,publisher,format,volumes,ustc_id,notes,has_diagrams,primary_classes,secondary_classes,unknown_classes,primary_count,secondary_count,unknown_count,Architecture,Arithmetic,Astronomy,Cartography,Commercial Mathematics,Construction,Cosmography,Geography,Gnomonics & Horology,Instrument Construction,Instrument Use,Mechanics,Military Engineering,Music Theory,Navigation,Perspective,Practical Geometry,Surveying,Theoretical Mathematics,Trigonometry
Antwerp_1645,Antwerp_1645,False,,"Euclidis elementorum geometricorum libros tredecim Isidorum et Hypsiclem & recentiores de corporibus regularibus, & Procli propositiones geometricas",1645,Antwerp,LATIN,Claude Richard,Jérôme Verdussi,2,1,1004036,TP is after 14 pages of figures,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Antwerp_1654,Antwerp_1654,False,,Elementa geometriae planae et solidae,1654,Antwerp,LATIN,André Tacquet,Jacob Meursius,8,1,-,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Antwerp_1672,Antwerp_1672,False,,,1672,Antwerp,LATIN,André Tacquet,Jacob Meursius,8,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Arnhem_1603,Arnhem_1603,False,,In geometriam Euclidis prioribus sex elementorum libris comprehensam demonstratio linealis,1603,Arnhem,LATIN,Christoffer Dybvad,Johannes Jansz,4,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Arnhem_1605,Arnhem_1605,False,,,1605,Arnhem,LATIN,Christoffer Dybvad,,4,1,-,,,Arithmetic,,Theoretical Mathematics,1,0,1,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated
Arnhem_1605a,Arnhem_1605a,False,,In arithmeticam irrationalium Euclidis ,1605,Arnhem,LATIN,Christoffer Dybvad,Johannes Jansz,4,1,-,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Augsburg_1555,Augsburg_1555,False,,"Das sibend, acht und neünt büch des hochberümbten mathematici Euclidis Megarensis",1555,Augsburg,GERMAN,Johannes Scheubel,Valentin Ottmar,4,1,,,,Arithmetic | Theoretical Mathematics,,,2,0,0,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Bamberg_1677,Bamberg_1677,False,,,1677,Bamberg,LATIN,Gaspar Schott,Joh. Martini Schönwetteri,2,1,,,,Theoretical Mathematics,Mechanics,,1,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Basel_1533,Basel_1533,False,,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ. Euclidis Elementa.,1533,Basel,"GREEK, LATIN",Simon Grynaeus,Johann Herwagen,2,1,,,,,Theoretical Mathematics,,0,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated
Basel_1537,Basel_1537,False,GY8NU4,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV,1537,Basel,LATIN,Christian Herlin,Johann Herwagen,2,1,,,,Theoretical Mathematics,Astronomy,,1,1,0,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Basel_1546,Basel_1537,True,GY8NU4,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV,1537,Basel,LATIN,Christian Herlin,Johann Herwagen,2,1,,,,Theoretical Mathematics,Astronomy,,1,1,0,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Basel_1550,Basel_1550,False,,Euclidis Megarensis philosophi et mathematici excellentissimi sex libri priores de geometricis principiis,1550,Basel,LATIN,Johannes Scheubel,Johann Herwagen,2,1,,"Author's name also written ""Johann Scheybl"".",,Theoretical Mathematics,,Arithmetic,1,0,1,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Basel_1558,Basel_1537,True,GY8NU4,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV,1537,Basel,LATIN,Christian Herlin,Johann Herwagen,2,1,,,,Theoretical Mathematics,Astronomy,,1,1,0,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Basel_1562,Basel_1562,False,,"Die sechs ersten Bücher Euclidis, vom Anfang oder Grund der Geometrie",1562,Basel,GERMAN,Wilhelm Xylander,,2,1,,,,Theoretical Mathematics,Arithmetic | Practical Geometry,,1,2,0,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,primary,unrelated
Bologna_1629,Ingolstadt_1617,True,X65XY0,Euclidis elementorum geometricorum libri sex priores,1617,Ingolstadt,LATIN,Johann Lanz,Angermayer,8,1,,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Bologna_1651,Bologna_1651,False,,,1651,Bologna,ITALIAN,Giovanni Ricci,Gio. Batt. Ferroni,8,1,-,italiana without dot,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Bologna_1651a,Bologna_1651a,False,,De gli Elementi di Euclide li primi sei Libri,1651,Bologna,ITALIAN,Giovanni Ricci,Giuseppe Longhi,8,1,-,italiana without dot,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Bologna_1684,Bologna_1684,False,,,1684,Bologna,LATIN,D. Joanni Franciso Polo,Iosephi Longi,8,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Bologna_1686,Bologna_1686,False,,,1686,Bologna,ITALIAN,Giovanni Ricci,Giuseppe Longhi,8,1,,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Brussels_1688,Brussels_1688,False,,,1688,Brussels,SPANISH,Sebastián Fernández de Medrano,Lamberto Marchant,8,1,-,,,Theoretical Mathematics,,Practical Geometry,1,0,1,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,primary,unrelated
Brussels_1689,Brussels_1689,False,,"Elementos geometricos de Euclides, los seis primeros libros de los planos; y los onzeno, y dozeno de los solidos: con algunos selectos theoremas de Archimedes. Traducidos, y explicados por el P. Jacobo Kresa de la Compañia de Jesus, cathedratico de mathem",1689,Brussels,SPANISH,Jacobo Kresa,Francisco Foppens,4,1,1554692,,,Theoretical Mathematics,,Mechanics,1,0,1,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Cambridge_1655,Cambridge_1655,False,,Euclidis Elementorum Libri XV breviter demonstrati,1655,Cambridge,LATIN,Isaac Barrow,Guilielmi Nealand,6,1,3067707,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Cambridge_1665,Cambridge_1665,False,,"Euclidis sex primi Elementorum geometricorum libri, commodiùs demonstrati. A.P. Georg. Fournier è societate Jesu. Accesserunt elementa astronomica, ubi Theodosii Tripolitæ sphæricorum libri tres, & universa triangulorum resolutio demonstrantur per Johannem Baptistam Duhamel, Mathesews Professorem.",1665,Cambridge,LATIN,Georges Fournier,,12,1,3083853,"digital copy exist, but doesn;t contain title page...",,Theoretical Mathematics,Astronomy,Trigonometry,1,1,1,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unknown
Cologne_1556,Cologne_1556,False,,Euclidis Megarensis mathematici clarissimi elementorum geometricorum liber primus,1556,Cologne,LATIN,Valentin Naboth,Birckmann,8,1,,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Cologne_1564,Paris_1557,True,7BDH40,"Euclidis Elementorum libri XV, Graecè et Latinè",1557,Paris,LATIN,"Jean Magnien, Étienne Gracile",,8,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Cologne_1580,Cologne_1580,False,6TZUKK,,1580,Cologne,LATIN,"Jean Magnien, Étienne Gracile",Maternus Cholinus,8,1,,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Cologne_1587,Cologne_1580,True,6TZUKK,,1580,Cologne,LATIN,"Jean Magnien, Étienne Gracile",Maternus Cholinus,8,1,,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Cologne_1591,Cologne_1591,False,,Euclidis elementorum libri XV; accessit XVI de solidorum regularium cuiuslibet intra quodlibet comparatione,1591,Cologne,LATIN,Christopher Clavius,Giovanni Battista Ciotti,4,1,,"In letter n. 72 in Clavius' correspondence, Jacob Curtz complains that the Cologne edition of Clavius’s Euclides was printed ""infeliciter et plenus omnino mendis excusus est, id me ut primum vidi ex animo male habuit"" (unhappily and full of all manner of errors, when I first saw it, it truly pained me), and recommends using Sartorius in Ingolstadt or the Wechel heirs in Frankfurt for future work in Germany [Source: Clavius, C. 1992. Corrispondenza. Baldini, U. and Napolitani, P.D., Eds. Università di Pisa, Dipartimento di matematica, Pisa., https://echo.mpiwg-berlin.mpg.de/content/mpiwglib/clavius/pdf/clavius_1992_bd_2_1.pdf p. 178]",,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Cologne_1600,Cologne_1600,False,,Euclidis Elementorum Libri XV,1600,Cologne,LATIN,"Jean Magnien, Étienne Gracile",Gosuinus Cholinus,8,1,,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Cologne_1602,Cologne_1602,False,RRMFS9,,1602,Cologne,LATIN,François de Foix-Candale,Jean di Tournes,2,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Cologne_1607,Cologne_1607,False,,,1607,Cologne,LATIN,"Jean Magnien, Étienne Gracile",Goswinus Cholinus,8,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Cologne_1612,Cologne_1612,False,,,1612,Cologne,LATIN,Étienne Gracile,Gosuinus Cholinus,8,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Cologne_1627,Cologne_1627,False,,,1627,Cologne,LATIN,"Jean Magnien, Étienne Gracile",Petrus Cholinus,8,1,-,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Douai_1620,Douai_1620,False,,,1620,Douai,LATIN,Charles Malapert de Mons,Belleri,8,1,-,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Douai_1625,Douai_1625,False,U0105U,,1625,Douai,LATIN,Charles Malapert de Mons,,12,1,-,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Douai_1633,Douai_1625,True,U0105U,,1625,Douai,LATIN,Charles Malapert de Mons,,12,1,-,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Ferrara_1628,Ferrara_1628,False,,,1628,Ferrara,LATIN,Caterino Doino,Franciscum Succium,12,1,-,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Florence_1690,Florence_1690,False,,"Elementi piani, e solidi agl'illustrissimi sig. dell'Accademia de' nobili",1690,Florence,ITALIAN,Vincenzio Viviani,Cesare e Francesco Bindi,12,1,1720908,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Frankfurt_1607,Frankfurt_1607,False,,,1607,Frankfurt,LATIN,Christopher Clavius,Nicolai Hoffmanni,8,2,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Frankfurt_1654,Frankfurt_1654,False,,"Euclidis Posteriores Libri IX Accessit liber XVI. De Solidorum Regularium cuiuslibet intra quodlibet comparatione, Omnes Perspicuis Demonstrationibus, accuratisque scholiis illustrati Auctore Christophoro Clavio Bambergensi e Societate Jesu: nunc quarto editi, ac multarum rerum accessione post primam editionem locupletati",1654,Frankfurt,LATIN,Christopher Clavius,Heirs of Jonas Rose,8,2,2658335,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Frankfurt_1674,Frankfurt_1674,False,,,1674,Frankfurt,LATIN,Gaspar Schott,Johann Arnold Cholini,2,1,,,,,Mechanics,,0,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Geneva_1610,Lyon_1557,True,P3Y44J,In Euclidis Elementa geometrica demonstrationum libri sex,1557,Lyon,LATIN,Jacques Peletier,"Jean di Tournes, Guillaume Gazeau",2,1,,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Geneva_1611,Geneva_1611,False,XE7Q8U,Les six premiers livres des Eléments géométriques,1611,Geneva,FRENCH,"Jacques Peletier, Jean de Tournes",Jean di Tournes,4,1,6702902,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Geneva_1628,Geneva_1611,True,XE7Q8U,Les six premiers livres des Eléments géométriques,1611,Geneva,FRENCH,"Jacques Peletier, Jean de Tournes",Jean di Tournes,4,1,6702902,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Graz_1636,Graz_1636,False,,Euclidis sex primi elementorum geometricorum libri cum parte undecimi ex majoribus Clavij commentarijs in commodiorem forma contracti,1636,Graz,LATIN,"Christopher Clavius, Christoph Grienberger, Jacobus Honoratus Durandus",Heirs of Ernst Widmanstetter,12,1,-,,,,Trigonometry,,0,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary
Hamburg_1633,Hamburg_1633,False,,,1633,Hamburg,DUTCH,Jacob Willemsz,Volrad Gaubisch,4,1,-,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Hamburg_1638,Hamburg_1638,False,,,1638,Hamburg,DUTCH,Jacob Willemsz,Hendrik Werner,4,1,-,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Ingolstadt_1617,Ingolstadt_1617,False,X65XY0,Euclidis elementorum geometricorum libri sex priores,1617,Ingolstadt,LATIN,Johann Lanz,Angermayer,8,1,,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Kiel_Hamburg_and_Leipzig_1697,Kiel_Hamburg_and_Leipzig_1697,False,,"Samuel Reyhers, Icti, Bey der Hoch-Fürstl. Holst. Universität Codic. und Mathematum Prof. In Teutscher Sprache vorgestellter Euclides, Dessen VI. erste Bücher auf sonderbahre Art, Mit Algebraischen Zeichen, also eingerichtet sind, daß man derselben Beweise auch in andern Sprachen gebrauchen kan",1697,"Hamburg, Leipzig",GERMAN,Samuel Reyher,,4,,2646026,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Kiel_and_Leipzig_1699,Kiel_and_Leipzig_1699,False,,,1699,"Kiel, Leipzig",GERMAN,Samuel Reyher,Joachim Reumann,4,1,-,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
