social_arena,n_arena,mode,count,pct,overall_pct,delta
general_public_lovers_arena,56,visual_material_aids,15,26.8,14.8,12.0
general_public_lovers_arena,56,completeness_totality_system,11,19.6,13.5,6.1
general_public_lovers_arena,56,selection_extraction_abridgment,14,25.0,10.7,14.3
general_public_lovers_arena,56,sparse_canonical_identity,0,0.0,6.4,-6.4
general_public_lovers_arena,56,procedural_pedagogical_identity,20,35.7,26.3,9.4
general_public_lovers_arena,56,composite_workshop_book,25,44.6,28.8,15.8
general_public_lovers_arena,56,utility_public_book,10,17.9,7.1,10.7
general_public_lovers_arena,56,humanist_transfer_book,5,8.9,9.5,-0.6
general_public_lovers_arena,56,method_access_book,8,14.3,6.2,8.1
patronage_prestige_arena,72,canonical_textual_identity,43,59.7,47.0,12.7
patronage_prestige_arena,72,method_demonstration_order,21,29.2,25.0,4.1
patronage_prestige_arena,72,accessibility_clarity_pedagogy,8,11.1,11.5,-0.4
patronage_prestige_arena,72,utility_practice_application,15,20.8,14.4,6.5
patronage_prestige_arena,72,correction_revision_accuracy,21,29.2,15.4,13.7
patronage_prestige_arena,72,augmentation_enrichment_composition,35,48.6,32.9,15.8
patronage_prestige_arena,72,translation_vernacularization_transfer,19,26.4,14.5,11.9
patronage_prestige_arena,72,ancient_authority_restoration,33,45.8,36.2,9.7
patronage_prestige_arena,72,novelty_modernity_invention,6,8.3,12.1,-3.8
patronage_prestige_arena,72,visual_material_aids,18,25.0,14.8,10.2
patronage_prestige_arena,72,completeness_totality_system,8,11.1,13.5,-2.4
patronage_prestige_arena,72,selection_extraction_abridgment,3,4.2,10.7,-6.5
patronage_prestige_arena,72,sparse_canonical_identity,0,0.0,6.4,-6.4
patronage_prestige_arena,72,procedural_pedagogical_identity,20,27.8,26.3,1.4
patronage_prestige_arena,72,composite_workshop_book,29,40.3,28.8,11.5
patronage_prestige_arena,72,utility_public_book,13,18.1,7.1,10.9
patronage_prestige_arena,72,humanist_transfer_book,16,22.2,9.5,12.7
patronage_prestige_arena,72,method_access_book,5,6.9,6.2,0.8
no_visible_social_arena,462,canonical_textual_identity,174,37.7,47.0,-9.3
no_visible_social_arena,462,method_demonstration_order,81,17.5,25.0,-7.5
no_visible_social_arena,462,accessibility_clarity_pedagogy,42,9.1,11.5,-2.4
no_visible_social_arena,462,utility_practice_application,44,9.5,14.4,-4.8
no_visible_social_arena,462,correction_revision_accuracy,45,9.7,15.4,-5.7
no_visible_social_arena,462,augmentation_enrichment_composition,110,23.8,32.9,-9.0
no_visible_social_arena,462,translation_vernacularization_transfer,56,12.1,14.5,-2.4
no_visible_social_arena,462,ancient_authority_restoration,129,27.9,36.2,-8.3
no_visible_social_arena,462,novelty_modernity_invention,55,11.9,12.1,-0.2
no_visible_social_arena,462,visual_material_aids,50,10.8,14.8,-4.0
no_visible_social_arena,462,completeness_totality_system,60,13.0,13.5,-0.5
no_visible_social_arena,462,selection_extraction_abridgment,39,8.4,10.7,-2.2
no_visible_social_arena,462,sparse_canonical_identity,40,8.7,6.4,2.3
no_visible_social_arena,462,procedural_pedagogical_identity,87,18.8,26.3,-7.5
no_visible_social_arena,462,composite_workshop_book,101,21.9,28.8,-7.0
no_visible_social_arena,462,utility_public_book,9,1.9,7.1,-5.2
no_visible_social_arena,462,humanist_transfer_book,32,6.9,9.5,-2.6
no_visible_social_arena,462,method_access_book,17,3.7,6.2,-2.5
