classification_key,year,city,language,primary_classes,secondary_classes,euclid_elements_dominant_mode,base_content,elements_designation,references_to_euclid,rich_claim_text_raw,rich_social_text_raw
bib-189,1615,Leiden,DUTCH,Arithmetic | Theoretical Mathematics | Trigonometry,,elements_language_no_euclid,DE   Arithmetische en Geometrische   fondamenten,,,"DE   Arithmetische en Geometrische   fondamenten | Met het ghebruyck van dien   In veele verscheydene constighe questien, soo Geometrice door   linien, als Arithmetice door irrationale ghetallen,   oock door den regel Coß, ende de tafelen   sinuum ghesolvvert",
UQI2BV,1620,Strasbourg,LATIN,Theoretical Mathematics,,elements_language_no_euclid,ELEMENTA GEOMETRICA,ELEMENTA GEOMETRICA,,"collecta | elaboratis | ELEMENTA GEOMETRICA | IN VSVM GEOMETRIÆ | Studiosorum ex varijs Authoribus collecta | Philo-Geometram | ELEMENTA GEOMETRICA | Cum Figuris & Schematismis, in 32. tabulis æneis diligen- ter elaboratis, ob oculos positis",Philo-Geometram
Strasbourg_1625,1625,Strasbourg,LATIN,Arithmetic | Astronomy | Geography,,elements_language_no_euclid,Elementa,ELEMENTALE MATHEMATICUM,,"collecta | digesta | aucta | explicata | declarata | illustrata | Elementa | Nunc verò plurimis additionibus aucta | ARGENTINENSIS, Phil. & Med. Doct | JOSEPHI LANGII CAESAREMONTANI | ELEMENTALE MATHEMATICUM | plurimis additionibus aucta | notis explicata | exemplis declarata | figuris illustrata | ARITHMETICAE VULGARIS | LOGISTICAE ASTRONOMICAE | GEOMETRIAE | ASTRONOMIAE SPHARICAE | THEORICAE PLANETARUM | GEOGRAPHIAE | ARITHMETICAE VULGARIS | LOGISTICAE ASTRONOMICAE | GEOMETRIAE | ASTRONOMIAE SPHARICAE | THEORICAE PLANETARUM | GEOGRAPHIAE","ARGENTINENSIS, Phil. & Med. Doct | JOSEPHI LANGII CAESAREMONTANI"
bib-218,1634,London,ENGLISH,Arithmetic,Commercial Mathematics,elements_language_no_euclid,THE PRINCIPLES of Arithmetick,,,"making | THE PRINCIPLES of Arithmetick | WITH Helpfull Observations, making the Entrance easie, and the Practice pleasant | WITH Helpfull Observations | With new and notable Abridgements | with extraordinarie Helps | some excellent Observations | TEACHING The five ordinary parts of ARITHME- TICK, the usuall way | Rules of PRACTICE, with extraordinarie Helps | The doctrine of FRACTIONS, The foure Rules of ARITHMETICK | Recreations extraordinary; or the easie perfor- mance of (seeming) Impossibilities | The five ordinary parts of ARITHME- TICK | Rules of PRACTICE | The doctrine of FRACTIONS | Recreations extraordinary",
Antwerp_1654,1654,Antwerp,LATIN,Theoretical Mathematics,,elements_language_no_euclid,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,,ACCEDVNT | Lectorem | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SOCIETATIS IESV Sacerdote & Matheseos Professore | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SELECTA EX ARCHIMEDE THEOREMATA,Lectorem | SOCIETATIS IESV | SOCIETATIS IESV Sacerdote & Matheseos Professore
E8K2CK,1659,Bologna,LATIN,Theoretical Mathematics,,elements_language_no_euclid,GEOMETRIAE SPECIOSAE ELEMENTA,GEOMETRIAE SPECIOSAE ELEMENTA,,"GEOMETRIAE SPECIOSAE ELEMENTA | De potestatibus, à radice binomia, & residua | De innumerabilibus numerosis progressionibus | De quasi proportionibus | De rationibus logarithmicis | De proprijs rationum logarithmis | De innumerabilibus quadraturis | I. V. Ph. D. Coll. Patr. Bonon. Archigymn. Mechanici | GEOMETRIAE SPECIOSAE ELEMENTA",Coll. Patr. Bonon | Archigymn. Mechanici | I. V. Ph. D. Coll. Patr. Bonon. Archigymn. Mechanici
bib-234,1660,London,ENGLISH,Astronomy | Cartography | Geography | Practical Geometry,Instrument Use | Theoretical Mathematics,elements_language_no_euclid,Mathematical ELEMENTS,Mathematical ELEMENTS,,"Mathematical ELEMENTS | In III Parts | The first, being a Discourse of PRACTICAL GEOMETRY, The three Parts of continued Quantity, LINES, PLANES, and SOLIDS | The second, A Description and Use of the Coelestial and Terrestrial  GLOBES | The third, The Delineation of the Globe upon the Plain of any Great Circle, according to the Stereographick, or Circular projection | M.A | Mathematical ELEMENTS",M.A
Antwerp_1665,1665,Antwerp,LATIN,Theoretical Mathematics,,elements_language_no_euclid,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,,ad Lectorem | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | EDITIO SECUNDA CORRECTIOR | SOCIETATIS IESV | Sacerdote & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | QVIƲS ACCEDVNT SELECTA EX ARCHIMEDE THEOREMATA | EX ARCHIMEDE THEOREMATA,ad Lectorem | SOCIETATIS IESV | SOCIETATIS IESV | Sacerdote & Matheseos Professore | ARCHIMEDE
Paris_1667,1667,Paris,FRENCH,Theoretical Mathematics,,elements_language_no_euclid,NOVVEAVX ELEMENS DE GEOMETRIE | NOUVEAUX ELEMENS DE GEOMETRIE,NOVVEAVX ELEMENS DE GEOMETRIE | NOUVEAUX ELEMENS DE GEOMETRIE,,"contenant | CONTENANT | NOVVEAVX ELEMENS DE GEOMETRIE | NOUVEAUX ELEMENS DE GEOMETRIE | Outre un ordre tout nouveau, & de nouvelles demonstrations des propositions les plus com- munes,  De nouveaux moyens de faire voir quelles lignes sont incommensurables,  De nouvelles mesures de l’angle, dont on ne s’estoit point encore avisé,  Et de nouvelles manières de trouver & de demonstrer la proportion des Lignes | SECONDE EDITION | NOVVEAVX ELEMENS DE GEOMETRIE | NOUVEAUX ELEMENS DE GEOMETRIE | de nouvelles demonstrations des propositions les plus com- munes | De nouveaux moyens de faire voir quelles lignes sont incommensurables | De nouvelles mesures de l’angle, dont on ne s’estoit point encore avisé | Et de nouvelles manières de trouver & de demonstrer la proportion des Lignes | un ordre tout nouveau | de nouvelles démonstrations des Propositions les plus communes | De nouveaux moyens de faire voir quelles Lignes sont incommensurables | De nouvelles mesures des Angles, dont on ne s’étoit point encore avisé | Et de nouvelles manières de trouver & de démontrer la proportion des Lignes | un Traité tout nouveau des Proportions | Traité tout nouveau des Proportions",
Antwerp_1672,1672,Antwerp,LATIN,Theoretical Mathematics,,elements_language_no_euclid,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,,ACCEDVNT | Lectorem | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | EDITIO TERTIA CORRECTIOR | SOCIETATIS IESV Sacerdote & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SELECTA EX ARCHIMEDE THEOREMATA | SELECTA EX ARCHIMEDE THEOREMATA,Lectorem | SOCIETATIS IESV | SOCIETATIS IESV Sacerdote & Matheseos Professore | ARCHIMEDE
Paris_1675,1675,Paris,FRENCH,Theoretical Mathematics,,elements_language_no_euclid,ELEMENS DES MATHEMATIQUES,,,"ELEMENS DES MATHEMATIQUES | OU PRINCIPES GENERAUX DE TOUTES LES SCIENCES, QUI ONT LES GRANDEURS POUR OBJET",
Amsterdam_1683,1683,Amsterdam,LATIN,Theoretical Mathematics,,elements_language_no_euclid,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,,accedunt | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | EDITIO NOVA | SOC. JESU Sacerdote & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | selecta EX ARCHIMEDE THEOREMATA | selecta EX ARCHIMEDE THEOREMATA | EX ARCHIMEDE THEOREMATA,SOC. JESU | SOC. JESU Sacerdote & Matheseos Professore | ARCHIMEDE
Paris_1689,1689,Paris,FRENCH,Theoretical Mathematics,,elements_language_no_euclid,NOUVEAUX ELEMENS,NOUVEAUX ELEMENS,,"MIEUX DIGEREE | NOUVEAUX ELEMENS | OU PRINCIPES GENERAUX DE TOUTES LES SCIENCES Qui ont les grandeurs pour objet | SECONDE EDITION, PLUS AMPLE ET MIEUX DIGEREE | Prêtre, ci-devant Professeur des Mathématiques dans les Universitez d’Angers & de Nantes | NOUVEAUX ELEMENS","Universitez d’Angers & de Nantes | Prêtre, ci-devant Professeur des Mathématiques dans les Universitez d’Angers & de Nantes"
Padua_1694,1694,Padua,LATIN,Trigonometry,,elements_language_no_euclid,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,,"ACCEDUNT | INSERTA EST | desumpta | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | QUIBUS ACCEDUNT SELECTA EX ARCHIMEDE THEOREMATA | IN HAC NOVA EDITIONE | SOCIETATIS JESV Sacerdote, & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | Trigonometria plana | Sphærica aliundè desumpta","SOCIETATIS JESV Sacerdote, & Matheseos Professore | ARCHIMEDE"
bib-250,1694,Paris,FRENCH,Arithmetic | Cosmography | Gnomonics & Horology | Mechanics,,elements_language_no_euclid,,,,"Plusieurs Problêmes d’Arithmetique, de Geome- trie, d’Optique, de Gnomonique, de Cosmo- graphie, de Mecanique, de Pyrotechnié, & de Physique | Professeur des Mathematiques | un Traité nouveau des Horloges Elementaires | Traité nouveau des Horloges Elementaires",Professeur des Mathematiques
bib-279,1696,London,ENGLISH,Arithmetic,Astronomy | Practical Geometry | Theoretical Mathematics,elements_language_no_euclid,ARITHMETICK,,,"Surveighed and Reviewed | ARITHMETICK | Wherein the Nature of Numbers absolutely abstract, generally and specially contract, with their Simple and Comparative Elements, are plainly declared, and fully handled | Surveighed and Reviewed | Senior | together with divers Etymologies, Symboles, Characters, and Abbreviations for Artificial Termes, Words, Names, and Denominations | Illustrated by sundry Tables, Diagrams, and very many Examples",Senior
Amsterdam_1701b,1701,Amsterdam,LATIN,Theoretical Mathematics,,elements_language_no_euclid,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,,accedunt | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SOC. JESU Sacerd. & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | selecta EX ARCHIMEDE THEOREMATA,SOC. JESU | SOC. JESU Sacerd. & Matheseos Professore | ARCHIMEDE
bib-190,1701,London,ENGLISH,Arithmetic | Commercial Mathematics,Astronomy | Theoretical Mathematics,elements_language_no_euclid,Body of Arithmetick,,,"added | Explain’d | Declared | Handled | Illustrated | digested | delivered | Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Body of Arithmetick | WHEREIN THE  Whole Nature of NUMBERS, with their Simple and Comparative  Elements in all the Parts of ARITHMETICK, are plainly Declared,  and fully Handled | Merchant | Excellent RULES of PRACTICE | Many Large and Exact TABLES of all Sorts of Coins, Weights,  Measures, &c. Ancient and Modern, in most Countries, reduced to our own | divers Etymologies, Symbols, Characters,  and Abbreviations for Artificial Terms, Words, Names,  and Denominations | Illustrated by sundry Tables, Diagrams, and very  many Examples","Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Merchant"
bib-235,1702,London,ENGLISH,Astronomy | Instrument Use | Navigation | Theoretical Mathematics | Trigonometry,,elements_language_no_euclid,The Elements of Plain Trigonometry,The Elements of Plain Trigonometry,,"The Elements of Plain Trigonometry | and it’s Application to Plain, Mercator’s and Middle-Latitude Sailing | The Elements of Plain Trigonometry | New Tables of the Sun’s Declination | the most Useful and Necessary Problems in Astronomy | The Method of finding the Variation of the Compass, Working an Observation, the Reason and Use of the Log-Line, Allowances for Lee-way: With New Tables of the Sun’s Declination, &c | Problems in Astronomy | The Method of finding the Variation of the Compass",
London_1747,1747,London,ENGLISH,Practical Geometry | Theoretical Mathematics,,elements_language_no_euclid,ELEMENTS OF   Plane Geometry,ELEMENTS OF Plane Geometry,,"are added | SCHOOLS | ELEMENTS OF   Plane Geometry | Fellow of the ROYAL SOCIETY, and Professor of GEOMETRY in the Royal Academy at Woolwich | ELEMENTS OF Plane Geometry | An ESSAY on the MAXIMA and   MINIMA of Geometrical Quantities | A brief Treatise of regular SOLIDS | The MENSURATION of both SUPERFICIES and SOLIDS, together with the CONSTRUCTION of a large Variety of Geometrical PROBLEMS | ESSAY on the MAXIMA and MINIMA of Geometrical Quantities | Treatise of regular SOLIDS | MENSURATION of both SUPERFICIES and SOLIDS","SCHOOLS | ROYAL SOCIETY | Royal Academy at Woolwich | Fellow of the ROYAL SOCIETY, and Professor of GEOMETRY in the Royal Academy at Woolwich"
6XTAVU,1760,London,ENGLISH,Practical Geometry | Theoretical Mathematics,,elements_language_no_euclid,ELEMENTS OF GEOMETRY,ELEMENTS OF GEOMETRY,,"ALTERATIONS | ADDITIONS | ELEMENTS OF GEOMETRY | WITH THEIR Application to the Mensuration of SUPERFICIES and SOLIDS, TO THE Determination of the MAXIMA and MINIMA of Geometrical Quantities, AND TO THE Construction of a great Variety of GEOMETRICAL PROBLEMS | The SECOND EDITION, With large ALTERATIONS and ADDITIONS | F.R.S | Member of the Royal Academy of Sciences at STOCKHOLM | ELEMENTS OF GEOMETRY",Royal Academy of Sciences at STOCKHOLM | F.R.S | Member of the Royal Academy of Sciences at STOCKHOLM
Venice_1509,1509,Venice,LATIN,,,euclid_composite_workshop,Euclidis megarensis philosophi acutissimi mathematicorumque omnium sine controuersia principis opera,Euclidis megarensis philosophi acutissimi mathematicorumque omnium sine controuersia principis opera,Euclidis | Euclidem,tralata | emen-dauit | detersit | concinnauit | addidit | aperuit | enarrauit | illustrauit | prestitit | Euclidis megarensis philosophi acutissimi mathematicorumque omnium sine controuersia principis opera | Que cum antea librariorum detestanda culpa mendis fedissimis adeo deformia essent: vt vix Euclidem ipsum agnoscere-mus | a Campano interprete fidissimo tralata | interprete fidissimo | Lucas paciolus theologus insignis | Euclidis megarensis philosophi acutissimi mathematicorumque omnium sine controuersia principis opera | Figuras centum et vndetriginta que in alijs codicibus inuerse et deformate erant: ad rectam symmetriam concinnauit: et multas necessarias addidit | plurimis locis intellectu diicilem commentariolis sane luculentis et eruditiss | aperuit: enarrauit: illustrauit | megarensis philosophi acutissimi mathematicorumque omnium sine controuersia principis | Euclidis | Euclidem,interprete fidissimo | Scipio vegius mediol | Lucas paciolus theologus insignis
TTORPR,1528,Vienna,LATIN,,,euclid_sparse_canonical,"ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria","ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria",EV- clidis,"decerp- tum | Continet | ad omnium Mathemati- ces candidatorum | ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria | Haylpronnẽsi Colle- ga ciuilis collegij Viennẽsis | ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria | EV- clidis",ad omnium Mathemati- ces candidatorum | collegij Viennẽsis | Haylpronnẽsi Colle- ga ciuilis collegij Viennẽsis
Strasbourg_1529,1529,Strasbourg,LATIN,,,euclid_no_primary_subject,"ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria","ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria",EVCLI,"decerptum | omnium Mathematicæ studiosorum | Lectori | ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria | Geometria | decerptum | Haylpronensi | ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria | EVCLI",omnium Mathematicæ studiosorum | Lectori | Haylpronensi
Basel_1533,1533,Basel,"GREEK, LATIN",,Theoretical Mathematics,euclid_composite_workshop,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛ. ΙΕ,,ΕΥΚΛΕΙΔΟΥ,Adiecta | ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛ. ΙΕ | Πρόκλου | ΕΚ ΤΩΝ ΘΕΩΝΟΣ ΣΥΝΟΥΣΙΩΝ | ἐξηγημάτων Πρόκλου βιβ. δ΄ | ΘΕΩΝΟΣ ΣΥΝΟΥΣΙΩΝ | Πρόκλου βιβ. δ΄ | ΕΥΚΛΕΙΔΟΥ,Πρόκλου
Paris_1534a,1534,Paris,LATIN,,,euclid_sparse_canonical,ELEMENTALE GEOMETRI,ELEMENTALE GEOMETRI,EUCLIDIS,decerptum | omnium Mathematices studiosorum | ELEMENTALE GEOMETRI | EX EUCLIDIS GEOMETRIA | Hayl- pronensi | ELEMENTALE GEOMETRI | EUCLIDIS,omnium Mathematices studiosorum | Hayl- pronensi
Paris_1536,1536,Paris,"LATIN, GREEK",,,euclid_humanist_transfer,SEX PRIORES LIBROS geometricorum elementorum Euclidis Megarensis,SEX PRIORES LIBROS geometricorum elementorum Euclidis Megarensis,Euclidis Megarensis | ipsius Euclidis,insertus est | recognita | SEX PRIORES LIBROS geometricorum elementorum Euclidis Megarensis | Demonstrationes | REGII Mathematicarum professoris | Bartholamæi Zamberti Veneti | SEX PRIORES LIBROS geometricorum elementorum Euclidis Megarensis | ipsius Euclidis textus græcus | interpretatione latina Bartholamæi Zamberti Veneti | Euclidis Megarensis | græcus | latina | Euclidis Megarensis | ipsius Euclidis,REGII Mathematicarum professoris | Bartholamæi Zamberti Veneti
Strasbourg_1538,1538,Strasbourg,"GREEK, LATIN",,,euclid_no_primary_subject,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ,ΕΥΚΛΕΙΔΟΥ,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ | Θέωνος | ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ | ΕΥΚΛΕΙΔΟΥ,Θέωνος
Paris_1545,1545,Paris,LATIN,,,euclid_sparse_canonical,,,Euclides,Euclides,
Leipzig_1549,1549,Leipzig,LATIN,,,euclid_humanist_transfer,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX,Εuκλείδου | EVCLIDIS,CONVERSI | Edebat | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX | Lipsiæ | Rhet | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX | ser- monem à Ioach. Camerario | LATINVM | Εuκλείδου | EVCLIDIS,Lipsiæ | Rhet
Cologne_1556,1556,Cologne,LATIN,,,euclid_procedural_pedagogical,Elementorum Geometricorum liber primus,Elementorum Geometricorum liber primus,EVCLIDIS,"Elementorum Geometricorum liber primus | cui ex sequentibus libris accesserunt Propositiones selectæ atque ita ordinatae, ut demonstrari queant obseruata Geometrarum Methodo | Elementorum Geometricorum liber primus | EVCLIDIS MEGARENSIS MATHEMATICI CLARISS | EVCLIDIS",
Lyon_1557,1557,Lyon,LATIN,,,euclid_composite_workshop,IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex | Euclidis Elementa Ge-ometrica Demonstrationum Libri sex,IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex | Euclidis Elementa Ge-ometrica Demonstrationum Libri sex,Euclidis | Euclidem | Euclidis,"auctior | emendatior | additus | contulerit | IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex | Euclidis Elementa Ge-ometrica Demonstrationum Libri sex | Secunda editio, auctior & emendatior | CENOM | CENOMANI | IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex | Euclidis Elementa Ge-ometrica Demonstrationum Libri sex | cui & textus Euclidis Græcus additus est | Quid autem præcipuè ad Euclidem contulerit Peletarius | Euclidis Græcus | Græcus | Euclidis | Euclidem | Euclidis","CENOM | CENOMANI | Carolum Lothar-ingum, Principem, Cardinalémque amplissimum | Carolum Lotharingum, Principem, Cardinalemque"
Strasbourg_1559,1559,Strasbourg,"GREEK, LATIN",,,euclid_no_primary_subject,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ,ΕΥΚΛΕΙΔΟΥ,συνουσιῶν | ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ | τὸ πρῶτον | Θέωνος | ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ | ΕΥΚΛΕΙΔΟΥ,Θέωνος
Paris_1564,1564,Paris,FRENCH,,,euclid_no_primary_subject,LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE,LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE,EV- CLIDE,TRADVICTS | COMMENTEZ | LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE | Lecteur ordi- naire du Roy és Mathema- tiques en l’vniuersité de Paris | LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE | EV- CLIDE,l’vniuersité de Paris | Lecteur ordi- naire du Roy és Mathema- tiques en l’vniuersité de Paris
Strasbourg_1564b,1564,Strasbourg,LATIN,,,euclid_humanist_transfer,PROPOSITIOnes reliquorum Librorum Geometriæ Euclidis,,Euclidis,"in vsum eorum, qui volumine Euclidis carent | PROPOSITIOnes reliquorum Librorum Geometriæ Euclidis | Græcè, & Latinè | scholæ Argentinensis professorem | Græcè | Latinè | Euclidis","in vsum eorum, qui volumine Euclidis carent | scholæ Argentinensis | scholæ Argentinensis professorem"
