bucket,classification_key,year,city,language,natural_dominant_mode,mode_count,primary_classes,claim_text,social_text,title_page_keys
french_dechales_easy_use,Lausanne_1683,1683,Lausanne,FRENCH,practical-pedagogical,5,,EXPLIQVEZ | LES ELEMENS D’EUCLIDE | EXPLIQVEZ D’UNE MANIERE nouvelle & tres facile | AVEC L’VSAGE DE CHAQVE Proposition pour toutes les parties des Mathematiques | P | LES ELEMENS D’EUCLIDE | AVEC L’VSAGE DE CHAQVE Proposition | EUCLIDE,P,Lausanne_1683
french_dechales_easy_use,Paris_1697,1697,Paris,"FRENCH, LATIN",institutional/authority,4,,REVEUE | CORRIGE'E | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | les Elemens d’Euclide | NOUVELLE EDITION REVEUE ET CORRIGE'E | Professeur des Mathematiques | les Elemens d’Euclide | Euclide,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques,Paris_1697
french_dechales_easy_use,Paris_1677a,1677,Paris,FRENCH,pedagogical/method,3,,EXPLIQUEZ | LES ELEMENS D’EVCLIDE | Proposition pour toutes les parties des Mathematiques | P | LES ELEMENS D’EVCLIDE | D’EVCLIDE,Compagnie de JESUS | P,Paris_1677a
french_dechales_easy_use,Paris_1693,1693,Paris,FRENCH,institutional/authority,3,Theoretical Mathematics,"COMPREND | contient | à un homme de Guerre, & à tous ceux qui se veulent perfectionner dans les Mathematiques | les Elemens d’Euclide | Professeur des Mathematiques | les Elemens d’Euclide | Euclide","à un homme de Guerre, & à tous ceux qui se veulent perfectionner dans les Mathematiques | Professeur des Mathematiques",Paris_1693
french_dechales_easy_use,Amsterdam_1697,1697,Amsterdam,FRENCH,institutional/authority,3,Arithmetic | Theoretical Mathematics | Trigonometry,REVUE | CORRIGÉE | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | NOUVELLE EDITION REVUE ET CORRIGÉE | Professeur des Mathematiques,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques,Amsterdam_1697
latin_tacquet_archimedes_institutional,Lyon_1674,1674,Lyon,LATIN,practical-pedagogical,6,Architecture | Arithmetic | Construction | Geography | Mechanics | Practical Geometry | Trigonometry,COMPLECTENS | PRODIT | EV- CLIDIS LIBROS OCTO | TOMVS PRIMVS | R. P | CAMBERIENSIS | È SOCIETATE IESV | EV- CLIDIS LIBROS OCTO | ARITHMETICAM | Theodosij sphærica | Trigonometriam | Geometriam practicam | Mechanicam | Staticam | Geographiam vniuersalem | Tractatum de Magnete | Architecturam Ciuilem | Artem tignariam | ARITHMETICAM | Theodosij sphærica | Trigonometriam | Geometriam practicam | Mechanicam | Staticam |…,SOCIETATE IESV | R. P | CAMBERIENSIS | È SOCIETATE IESV,Lyon_1674
latin_tacquet_archimedes_institutional,Antwerp_1665,1665,Antwerp,LATIN,institutional-composite,5,Theoretical Mathematics,ad Lectorem | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | EDITIO SECUNDA CORRECTIOR | SOCIETATIS IESV | Sacerdote & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | QVIƲS ACCEDVNT SELECTA EX ARCHIMEDE THEOREMATA | EX ARCHIMEDE THEOREMATA,ad Lectorem | SOCIETATIS IESV | SOCIETATIS IESV | Sacerdote & Matheseos Professore | ARCHIMEDE,Antwerp_1665
latin_tacquet_archimedes_institutional,Antwerp_1672,1672,Antwerp,LATIN,institutional-composite,5,Theoretical Mathematics,ACCEDVNT | Lectorem | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | EDITIO TERTIA CORRECTIOR | SOCIETATIS IESV Sacerdote & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SELECTA EX ARCHIMEDE THEOREMATA | SELECTA EX ARCHIMEDE THEOREMATA,Lectorem | SOCIETATIS IESV | SOCIETATIS IESV Sacerdote & Matheseos Professore | ARCHIMEDE,Antwerp_1672
latin_tacquet_archimedes_institutional,Lyon_1675,1675,Lyon,LATIN,practical-pedagogical,5,,"accommodati | ELEMENTORUM EUCLIDIS LIBRI OCTO | TERTIA EDITIO | Cæteris facilior & correctior | Camberiensi, Societ. JESU | ELEMENTORUM EUCLIDIS LIBRI OCTO | EUCLIDIS","Societ. JESU | Camberiensi, Societ. JESU",Lyon_1675
latin_tacquet_archimedes_institutional,Amsterdam_1683,1683,Amsterdam,LATIN,institutional-composite,5,Theoretical Mathematics,accedunt | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | EDITIO NOVA | SOC. JESU Sacerdote & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | selecta EX ARCHIMEDE THEOREMATA | selecta EX ARCHIMEDE THEOREMATA | EX ARCHIMEDE THEOREMATA,SOC. JESU | SOC. JESU Sacerdote & Matheseos Professore | ARCHIMEDE,Amsterdam_1683
latin_tacquet_archimedes_institutional,Padua_1694,1694,Padua,LATIN,institutional-composite,5,Trigonometry,"ACCEDUNT | INSERTA EST | desumpta | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | QUIBUS ACCEDUNT SELECTA EX ARCHIMEDE THEOREMATA | IN HAC NOVA EDITIONE | SOCIETATIS JESV Sacerdote, & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | Trigonometria plana | Sphærica aliundè desumpta","SOCIETATIS JESV Sacerdote, & Matheseos Professore | ARCHIMEDE",Padua_1694
latin_tacquet_archimedes_institutional,Cambridge_1703,1703,Cambridge,LATIN,institutional-composite,5,,accedunt | emendata | illustrata | accommodata | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | in hac nova Editione | Summa cura emendata | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | COROLLARIA non pauca illustrandis Elementis accommodata | varios propositionum pluri-marum USUS continentia | XL Schematibus novis æri incisis illustrata | SELECTA EX ARCHIMEDE T…,SOC. JESU | CANTABRIGIENSES | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | V. CL. ANDREÆ TACQUET SOC. JESU Sacerdotis | ARCHIMEDE,Cambridge_1703
latin_tacquet_archimedes_institutional,Antwerp_1654,1654,Antwerp,LATIN,institutional-composite,4,Theoretical Mathematics,ACCEDVNT | Lectorem | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SOCIETATIS IESV Sacerdote & Matheseos Professore | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SELECTA EX ARCHIMEDE THEOREMATA,Lectorem | SOCIETATIS IESV | SOCIETATIS IESV Sacerdote & Matheseos Professore,Antwerp_1654
latin_tacquet_archimedes_institutional,Amsterdam_1701b,1701,Amsterdam,LATIN,institutional-composite,4,Theoretical Mathematics,accedunt | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SOC. JESU Sacerd. & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | selecta EX ARCHIMEDE THEOREMATA,SOC. JESU | SOC. JESU Sacerd. & Matheseos Professore | ARCHIMEDE,Amsterdam_1701b
latin_tacquet_archimedes_institutional,Lyon_1660,1660,Lyon,LATIN,sparse/canonical,3,Theoretical Mathematics,accommodati | EVCLIDIS ELEMENTORVM Libri octo | Camberiensi Societ. IESV | EVCLIDIS ELEMENTORVM Libri octo | EVCLIDIS,Camberiensi Societ. IESV | Camberiensi Societ. IESV,Lyon_1660
military_academy_or_war,Brussels_1688,1688,Brussels,SPANISH,practical-pedagogical,5,Theoretical Mathematics,"Augmentados | Al Excelentissimo Señor MARQUES DE BEDMAR, Capitan General de la Artilleria del Exercito de los Payses Baxos | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE DE LOS ELEMENTOS DE EUCLIDES MEGARENSE | el Capitan | Maestro de Mathematicas | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE DE LOS ELEMENTOS DE EUCLIDES | Augmentados de muchas Proposiciones curiosas que facilitan su uso | EUCLIDES","Al Excelentissimo Señor MARQUES DE BEDMAR, Capitan General de la Artilleria del Exercito de los Payses Baxos | el Capitan | Maestro de Mathematicas | Al Excelentissimo Señor MARQUES DE BEDMAR, Capitan General de la Artilleria del Exercito de los Payses Baxos | el Capitan DON SEBASTIAN FERNANDEZ DE MEDRANO, Maestro de Mathematicas",Brussels_1688
military_academy_or_war,Brussels_1701,1701,Brussels,SPANISH,practical-pedagogical,5,Theoretical Mathematics,"Amplificado | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS | Sargento General de Batalla | Director de la Academia Real y Militar de los Payses-Bajos | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS | Amplificado de nuevas Demonstraciones | FAMOSO PHILOSOPHO EUCLIDES MEGARENSE | EUCLIDES MEGARENSE",Academia Real y Militar de los Payses-Bajos | Sargento General de Batalla | Director de la Academia Real y Militar de los Payses-Bajos | Exmo. Señor Marques de BEDMAR,Brussels_1701
military_academy_or_war,London_1789,1789,London,ENGLISH,practical-pedagogical,5,Theoretical Mathematics,"CONTAINING | ELEMENTS OF GEOMETRY | CONTAINING THE PRINCIPAL PROPOSITIONS IN THE FIRST SIX, AND THE ELEVENTH AND TWELFTH BOOKS OF EUCLID | OF THE ROYAL MILITARY ACADEMY, WOOLWICH | ELEMENTS OF GEOMETRY | WITH NOTES CRITICAL AND EXPLANATORY | EUCLID","THE ROYAL MILITARY ACADEMY, WOOLWICH | OF THE ROYAL MILITARY ACADEMY, WOOLWICH",London_1789
military_academy_or_war,Paris_1697,1697,Paris,"FRENCH, LATIN",institutional/authority,4,,REVEUE | CORRIGE'E | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | les Elemens d’Euclide | NOUVELLE EDITION REVEUE ET CORRIGE'E | Professeur des Mathematiques | les Elemens d’Euclide | Euclide,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques,Paris_1697
military_academy_or_war,Paris_1693,1693,Paris,FRENCH,institutional/authority,3,Theoretical Mathematics,"COMPREND | contient | à un homme de Guerre, & à tous ceux qui se veulent perfectionner dans les Mathematiques | les Elemens d’Euclide | Professeur des Mathematiques | les Elemens d’Euclide | Euclide","à un homme de Guerre, & à tous ceux qui se veulent perfectionner dans les Mathematiques | Professeur des Mathematiques",Paris_1693
military_academy_or_war,Vienna_1694,1694,Vienna,GERMAN,humanist/vernacular transfer,3,Practical Geometry | Theoretical Mathematics,"bewiesen | Allen Generalen, Ingenieren, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern | Acht Bücher Von Denen An-fängen Der Meß-Künst | Auff eine neue und gantz leichte Art | Acht Bücher Von Denen An-fängen Der Meß-Künst | Teutsch-Redender | Teutscher | Euclides","Allen Generalen, Ingenieren, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern",Vienna_1694
military_academy_or_war,Amsterdam_1697,1697,Amsterdam,FRENCH,institutional/authority,3,Arithmetic | Theoretical Mathematics | Trigonometry,REVUE | CORRIGÉE | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | NOUVELLE EDITION REVUE ET CORRIGÉE | Professeur des Mathematiques,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques,Amsterdam_1697
military_academy_or_war,Lübeck_and_Frankfurt_1699,1699,"Lübeck, Frankfurt",GERMAN,humanist/vernacular transfer,3,Practical Geometry,"eingerichtet | bewiesen | Allen Generalen, Ingeniern, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern | Acht Bücher Von Denen An-fängen Der Meß-Künst | Der Meß-Künst | Acht Bücher Von Denen An-fängen Der Meß-Künst | Teutsch-Redender Euclides | Teutscher | Euclides","Allen Generalen, Ingeniern, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern",Lübeck_and_Frankfurt_1699
sparse_or_low_claim,Lyon_1660,1660,Lyon,LATIN,sparse/canonical,3,Theoretical Mathematics,accommodati | EVCLIDIS ELEMENTORVM Libri octo | Camberiensi Societ. IESV | EVCLIDIS ELEMENTORVM Libri octo | EVCLIDIS,Camberiensi Societ. IESV | Camberiensi Societ. IESV,Lyon_1660
sparse_or_low_claim,Lyon_1672,1672,Lyon,FRENCH,sparse/canonical,3,Theoretical Mathematics,RENDVS | HVICT LIVRES DES ELEMENTS DEVCLIDE | R. P | HVICT LIVRES DES ELEMENTS DEVCLIDE | DEVCLIDE,Compagnie de IESVS | R. P,Lyon_1672
sparse_or_low_claim,Paris_1677a,1677,Paris,FRENCH,pedagogical/method,3,,EXPLIQUEZ | LES ELEMENS D’EVCLIDE | Proposition pour toutes les parties des Mathematiques | P | LES ELEMENS D’EVCLIDE | D’EVCLIDE,Compagnie de JESUS | P,Paris_1677a
sparse_or_low_claim,Paris_1693,1693,Paris,FRENCH,institutional/authority,3,Theoretical Mathematics,"COMPREND | contient | à un homme de Guerre, & à tous ceux qui se veulent perfectionner dans les Mathematiques | les Elemens d’Euclide | Professeur des Mathematiques | les Elemens d’Euclide | Euclide","à un homme de Guerre, & à tous ceux qui se veulent perfectionner dans les Mathematiques | Professeur des Mathematiques",Paris_1693
sparse_or_low_claim,Vienna_1694,1694,Vienna,GERMAN,humanist/vernacular transfer,3,Practical Geometry | Theoretical Mathematics,"bewiesen | Allen Generalen, Ingenieren, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern | Acht Bücher Von Denen An-fängen Der Meß-Künst | Auff eine neue und gantz leichte Art | Acht Bücher Von Denen An-fängen Der Meß-Künst | Teutsch-Redender | Teutscher | Euclides","Allen Generalen, Ingenieren, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern",Vienna_1694
sparse_or_low_claim,Amsterdam_1697,1697,Amsterdam,FRENCH,institutional/authority,3,Arithmetic | Theoretical Mathematics | Trigonometry,REVUE | CORRIGÉE | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | NOUVELLE EDITION REVUE ET CORRIGÉE | Professeur des Mathematiques,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques,Amsterdam_1697
sparse_or_low_claim,Lübeck_and_Frankfurt_1699,1699,"Lübeck, Frankfurt",GERMAN,humanist/vernacular transfer,3,Practical Geometry,"eingerichtet | bewiesen | Allen Generalen, Ingeniern, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern | Acht Bücher Von Denen An-fängen Der Meß-Künst | Der Meß-Künst | Acht Bücher Von Denen An-fängen Der Meß-Künst | Teutsch-Redender Euclides | Teutscher | Euclides","Allen Generalen, Ingeniern, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern",Lübeck_and_Frankfurt_1699
sparse_or_low_claim,The_Hague_1758,1758,The Hague,FRENCH,pedagogical/method,3,Theoretical Mathematics,Mis dans un Nouvel ordre | Revus | Jeunesse | LES SIX PREMIERS LIVRES D’EUCLIDE | Mis dans un Nouvel ordre | Revus | Le Professeur KOENIG | ELEMENS DE GEOMETRIE | D’EUCLIDE,Jeunesse | Le Professeur KOENIG,The_Hague_1758
sparse_or_low_claim,Uppsala_1741,1741,Uppsala,LATIN,sparse/canonical,2,Theoretical Mathematics,EUCLIDIS ELEMENTORUM LIBRI SEX PRIORES | EUCLIDIS ELEMENTORUM LIBRI SEX PRIORES | EUCLIDIS,,Uppsala_1741
