social_group,classification_key,year,city,language,primary_classes,values,evidence
universities_academies,35H84Y,1642,Bologna,LATIN,Mechanics,utility_use | novelty_invention | enrichment_addition | community_professional,"audience: Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus ; institutions: Coll. Tridentino Soc. Iesu | Parmensi Gymnasio Philosophiæ Mathematicæ | Parmensi Gymnasio ; editor_description: E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore ; dedicatee_name: MATTHIAE GALASSO SAC. ROM. IMPERII COMITI, &c ; action_verbs: traducta | confirmata | refertum | ornatum | distributum | ACCESSIT | dicata | APPLICATVS | conditus ; enriched_with: noua pleraque Machinamenta ad vsus eximios traducta | facillimis demonstrationibus confirmata | curiosissimis inuentis refertum | figurarum æreis formis cusarum ; elements_designation: EVCLIDES APPLICATVS ; references_to_euclid: EVCLIDES | Euclideorum"
universities_academies,Lisbon_1735,1735,Lisbon,PORTUGUESE,Theoretical Mathematics,utility_use | restoration_ancient_authority | community_professional,"audience: PARA USO DA REAL AULA ; institutions: Collegio de Santo Antão da Companhia de Jesus de Lisboa Occidental | Companhia de Jesus ; editor_description: PADRE | Da mesma Companhia ; dedicatee_name: D. JOÃO V ; edition_details: ACRESCENTADOS COM TRÊS UTEIS ; action_verbs: ACRESCENTADOS COM TRÊS UTEIS ; enriched_with: o primeiro da Logística das Proporções | o segundo dos Theoremas selectos de Archimedes | o terceiro da Quadratriz de Dinostrato ; educational_authorities_references: Archimedes | Dinostrato ; elements_designation: ELEMENTOS DE GEOMETRIA PLANA, E SOLIDA, SEGUNDO A ORDEM DE EUCLIDES ; references_to_euclid: EUCLIDES"
universities_academies,London_1747,1747,London,ENGLISH,Practical Geometry | Theoretical Mathematics,clarity_ease | utility_use | enrichment_addition,"audience: SCHOOLS ; institutions: ROYAL SOCIETY | Royal Academy at Woolwich ; editor_description: Fellow of the ROYAL SOCIETY, and Professor of GEOMETRY in the Royal Academy at Woolwich ; action_verbs: are added ; elements_designation: ELEMENTS OF Plane Geometry"
universities_academies,QX7XH4,1756,Glasgow,ENGLISH,,correction_revision | enrichment_addition | restoration_ancient_authority,"institutions: University of Glasgow ; editor_description: M.D | Professor of Mathematics in the University of Glasgow ; content_description: THE FIRST SIX BOOKS, TOGETHER WITH THE ELEVENTH AND TWELFTH ; edition_details: In this Edition ; action_verbs: Corrected | Restored ; educational_authorities_references: THEON ; elements_designation: THE ELEMENTS OF EUCLID, VIZ. THE FIRST SIX BOOKS, TOGETHER WITH THE ELEVENTH AND TWELFTH ; references_to_euclid: EUCLID | EUCLID's"
universities_academies,N1D1J1,1646,Rome,LATIN,,novelty_invention | community_professional,"institutions: E SOC. IESV PRESBYTERI | Societatis IESV Gymnasiis Orientalium linguarum | Romano Collegio ; editor_description: FVLDENSIS BVCHONII E SOC. IESV PRESBYTERI; Olim in Herbipolensi, & Auenionensi Societatis IESV Gymnasiis Orientalium linguarum, & Matheseos, nunc huius in Roman ; content_description: in mundo, atque adeo vniuersa natura, vires effectusq. vti noua, ita varia nouorum reconditiorumq. speciminum exhibitione, ad varios mor- talium vsus, panduntur ; action_verbs: digesta | panduntur"
universities_academies,Amsterdam_1662,1662,Amsterdam,DUTCH,Theoretical Mathematics,translation_language | enrichment_addition,institutions: Hooge Schoole tot Leyden ; editor_description: in sijn leven Professer Matheseos der Hooge Schoole tot Leyden ; content_description: Met korte verk-laringen eeniger Propositien ; edition_details: En nu vergroot deor J. V. L ; action_verbs: Overgeset | Vertaelt | vergroot | verrijckt ; enriched_with: Met korte verk-laringen eeniger Propositien | een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren ; educational_authorities_references: Christophoro Clavio ; elements_designation: De 15 Boecken der ELEMENTEN Van Euclidis ; references_to_euclid: Euclidis
universities_academies,London_1705,1705,London,ENGLISH,Theoretical Mathematics,restoration_ancient_authority | community_professional,institutions: Trinity College in Cambridge ; editor_description: D. D. Late Master of Trinity College in Cambridge ; content_description: Compendiously Demonstrated ; action_verbs: added | Demonstrated ; educational_authorities_references: Hierocl ; elements_designation: EUCLIDE’S ELEMENTS ; references_to_euclid: EUCLIDE’S
universities_academies,612FNN,1583,Rome,ITALIAN,Perspective,demonstration_method,institutions: ordine de Predicatori | Studio di Bologna ; editor_description: dell'ordine de Predicatori Matematico dello Studio di Bologna ; dedicatee_name: IACOMO BVONCOMPAGNI Duca di Sora et d'Arce Signor d'Arpino Marchese di Vignola Cap. Gen. degl' huomini d'arme del Re Catt ; enriched_with: Con i comentarij del R.P.M ; educational_authorities_references: R.P.M
universities_academies,Leiden_1617,1617,Leiden,DUTCH,Theoretical Mathematics,translation_language,editor_description: Professor Matheseos tot Leyden ; action_verbs: Overgeset | tsamenghestelt ; enriched_with: met corte verclaringen sommiger propositien ; elements_designation: xv. Boucken der Elementen Euclidis ; references_to_euclid: Euclidis
universities_academies,Bologna_1620,1620,Bologna,ITALIAN,Practical Geometry,utility_use,"institutions: Studio di Bologna ; editor_description: LETTORE DELLE SCIENZE Matematiche nello Studio di Bologna ; dedicatee_name: ALL’ILL. ET NOBILISS. SIG. IL SIG. GREGORIO MALVEZZI ; content_description: Ne mostrano le inventioni delle regole geometriche, arithmetiche, mechaniche, & d’astronomia, & d’ottimo uso ; edition_details: ridotti alla Pratica ; action_verbs: ridotti alla Pratica ; elements_designation: I PRIMI SEI LIBRI DE GL’ ELEMENTI d’Euclide ; references_to_euclid: d’Euclide"
jesuit_religious,Oxford_London_1700,1700,"Oxford, London",ENGLISH,,clarity_ease | utility_use | correction_revision | novelty_invention | demonstration_method | enrichment_addition | restoration_ancient_authority,"institutions: Society of JESUS ; editor_description: that Excellent Mathematician | of the Society of JESUS ; content_description: Explain’d, In a New, but most Easie Method: Together with The Use of every Proposition through all parts of the Mathematicks ; edition_details: The Third Edition | Now made English, and a multitude of Errors Corrected, which had escap’d in the Original ; action_verbs: Explain’d | Written in French | Now made English | Errors Corrected ; enriched_with: Together with The Use of every Proposition through all parts of the Mathematicks ; elements_designation: THE ELEMENTS OF EUCLID ; references_to_euclid: EUCLID"
jesuit_religious,Oxford_1685,1685,Oxford,ENGLISH,,clarity_ease | utility_use | novelty_invention | demonstration_method | enrichment_addition | restoration_ancient_authority,"institutions: So-ciety of JESUS ; editor_description: Exccellent Math-ematician | of the So-ciety of JESUS ; content_description: Explain’d, in a new, but most easie method, Together with The Use of every Proposition through all parts of the Mathematicks ; edition_details: purg’d from a multitude of Errors, which had escap’d in the Original ; action_verbs: Explain’d | Written | done | purg’d ; enriched_with: The Use of every Proposition through all parts of the Mathematicks ; elements_designation: THE ELEMENTS OF EUCLID ; references_to_euclid: EUCLID"
jesuit_religious,London_1696,1696,London,ENGLISH,Theoretical Mathematics,clarity_ease | utility_use | correction_revision | novelty_invention | demonstration_method | restoration_ancient_authority,"institutions: Society of JESUS ; editor_description: that Excellent Mathematician | of the Society of JESUS ; content_description: in a New, but most Easie method ; edition_details: The Second Edition | Now made English, and a multitude of Errors Cor-rected, which had escap’d in the Original ; action_verbs: Explain’d | Written | made | Cor-rected ; enriched_with: The Use of every Proposition through all parts of the Mathematicks ; elements_designation: THE ELEMENTS OF EUCLID ; references_to_euclid: EUCLID"
jesuit_religious,35H84Y,1642,Bologna,LATIN,Mechanics,utility_use | novelty_invention | enrichment_addition | community_professional,"audience: Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus ; institutions: Coll. Tridentino Soc. Iesu | Parmensi Gymnasio Philosophiæ Mathematicæ | Parmensi Gymnasio ; editor_description: E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore ; dedicatee_name: MATTHIAE GALASSO SAC. ROM. IMPERII COMITI, &c ; action_verbs: traducta | confirmata | refertum | ornatum | distributum | ACCESSIT | dicata | APPLICATVS | conditus ; enriched_with: noua pleraque Machinamenta ad vsus eximios traducta | facillimis demonstrationibus confirmata | curiosissimis inuentis refertum | figurarum æreis formis cusarum ; elements_designation: EVCLIDES APPLICATVS ; references_to_euclid: EVCLIDES | Euclideorum"
jesuit_religious,Paris_1682,1682,Paris,FRENCH,,clarity_ease | correction_revision | novelty_invention | demonstration_method,institutions: Compagnie de JESUS ; editor_description: de la Compagnie de JESUS ; content_description: EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques ; edition_details: NOUVELLE EDITION ; elements_designation: LES ELEMENS D’EUCLIDE ; references_to_euclid: EUCLIDE
jesuit_religious,Amsterdam_1683,1683,Amsterdam,LATIN,Theoretical Mathematics,correction_revision | novelty_invention | restoration_ancient_authority | community_professional,institutions: SOC. JESU ; editor_description: SOC. JESU Sacerdote & Matheseos Professore ; edition_details: EDITIO NOVA ; action_verbs: accedunt ; enriched_with: selecta EX ARCHIMEDE THEOREMATA ; educational_authorities_references: ARCHIMEDE ; elements_designation: ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ
jesuit_religious,Paris_1683,1683,Paris,FRENCH,,clarity_ease | correction_revision | novelty_invention | demonstration_method,institutions: Compagnie de JESUS ; editor_description: de la Compagnie de JESUS ; content_description: EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques ; edition_details: NOUVELLE EDITION ; action_verbs: EXPLIQUEZ ; enriched_with: AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques ; elements_designation: LES ELEMENS D’EUCLIDE ; references_to_euclid: EUCLIDE
jesuit_religious,Paris_1690,1690,Paris,FRENCH,,clarity_ease | correction_revision | novelty_invention | demonstration_method,institutions: Compagnie de JESUS ; editor_description: de la Compagnie de JESUS ; content_description: EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques ; edition_details: NOUVELLE EDITION ; action_verbs: Reveuë | corrigée ; elements_designation: LES ELEMENS D’EUCLIDE ; references_to_euclid: D’EUCLIDE
jesuit_religious,Amsterdam_1700,1700,Amsterdam,FRENCH,Theoretical Mathematics,clarity_ease | correction_revision | novelty_invention | demonstration_method,institutions: Compagnie de JESUS ; editor_description: P ; content_description: EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques ; edition_details: NOUVELLE EDITION | Reveuë & corrigée ; action_verbs: EXPLIQUEZ | Reveuë | corrigée ; elements_designation: LES ELEMENS D’EUCLIDE ; references_to_euclid: EUCLIDE
jesuit_religious,Cambridge_1703,1703,Cambridge,LATIN,,utility_use | novelty_invention | restoration_ancient_authority | community_professional,institutions: SOC. JESU | CANTABRIGIENSES ; editor_description: A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES ; dedicatee_name: V. CL. ANDREÆ TACQUET SOC. JESU Sacerdotis ; edition_details: in hac nova Editione | Summa cura emendata ; action_verbs: accedunt | emendata | illustrata | accommodata ; enriched_with: COROLLARIA non pauca illustrandis Elementis accommodata | varios propositionum pluri-marum USUS continentia | XL Schematibus novis æri incisis illustrata ; educational_authorities_references: ARCHIMEDE ; elements_designation: ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ
royal_court_patronage,MorisS-28-1,1631,Brussels,FRENCH,Instrument Construction | Instrument Use | Practical Geometry | Trigonometry,clarity_ease | utility_use | demonstration_method | enrichment_addition,"editor_description: Capitaine & Chastellain pour sa Majesté au Chasteau Dornans, Conseillier, & General de ses Monnoyes, au Comté de Bourgongne ; action_verbs: LA CONSTRVCTION | L’VSAGE | Composé ; enriched_with: Construction de la Table des sinus, de minute en minutes successiue- ment par vn seul maxime | Abregé desdictes tables en vne petite demye page auec son vsage |"
royal_court_patronage,X5YBIB,1586,Paris,FRENCH,Instrument Use | Practical Geometry,utility_use | correction_revision | demonstration_method,"editor_description: le- cteur du Roy és Mathematiques ; dedicatee_name: Mr le Duc de Guyse ; content_description: en laquelle est comprins l'vsage du Quarré Geometrique, & de plusieurs autres instrumens seruans à mes- me effect: Ensemble la maniere de bien mesu- rer toutes  ; edition_details: Reueué & traduicte par Pierre Forcadel ; action_verbs: Reueué | traduicte"
royal_court_patronage,Ferrara_1587,1587,Ferrara,ITALIAN,Theoretical Mathematics,clarity_ease | demonstration_method | restoration_ancient_authority,"audience: LE VOLENTI ; dedicatee_name: Serenissimo Carlo Emanuele Duca di Savoia ; content_description: Ne' quali con mirabile ordine, e con dimostrazioni d'amarauglia più facili, e più forti del le usate | si vede che le Matematiche per via Regia, e più piana che"
royal_court_patronage,ustc-29,1602,Paris,FRENCH,Practical Geometry,utility_use | correction_revision | community_professional,editor_description: Ingenieur ordinaire de ſa Maieſté ; dedicatee_name: Tref-Chreſtien Roy de France & de Nauarre ; content_description: ET PRACTIQVE GENERALLE D'ICELLE ; edition_details: SECONDE EDITION
royal_court_patronage,9TXK4F,1612,Frankfurt,FRENCH,Perspective,utility_use | translation_language | community_professional,editor_description: Ingenieur du Serennissime Prince de Galles ; dedicatee_name: son Altesse
royal_court_patronage,MorisS-16-6,1620,Paris,FRENCH,Practical Geometry,utility_use | correction_revision | community_professional,"editor_description: de Bar-le-Duc, Ingenieur ordinaire de sa Majesté ; edition_details: Reueuë, corrigée, & beaucoup augmentée ; action_verbs: Reueuë | corrigée | augmentée"
royal_court_patronage,Paris_1625,1625,Paris,"GREEK, LATIN",Theoretical Mathematics,translation_language | demonstration_method | community_professional,"institutions: Regis Christianissimi Bibliothecâ Græcè | Bibliothecâ MARINI PHILOSOPHI | Parisiensi Curiâ ; editor_description: in supremâ Parisiensi Curiâ Aduocatus, è Regis Christianissimi Bibliothecâ Græcè ; content_description: OPVS AD VETERVM GEOMETRIÆ Autorum Archimedis, Apollonij, Pappi, Eutocij, cæterorúmque non modo lectionem, sed ad Geometricæ quoque Analyseos instaurationem plan ; edition_details: nunc primùm edidit ; action_verbs: vertit | Adiectus est | edidit | illus‑trauit | explicantur ; enriched_with: scholijsq | Commentarius Græcè & Latinè ; educational_authorities_references: Archimedis | Apollonij | Pappi | Eutocij ; elements_designation: EVCLIDIS DATA ; references_to_euclid: ΕΥΚΛΕΙΔΟΥ | EVCLIDIS | Eu-clideorum"
royal_court_patronage,MorisS-22-6,1657,Paris,FRENCH,Theoretical Mathematics | Trigonometry,clarity_ease | utility_use | enrichment_addition,"institutions: des Mines de France ; editor_description: de Villefranche en Beaujollois, Docteur en Medecine, & Professeur du Roy aux Mathematiques à Paris ; dedicatee_name: TRES-ILLVSTRE ET GENEREX SEIGNEVR Messire Martin Rvze, Marquis d’Effiat et de Longemeau, Conseiller du Roy en son Conseil d’Estat, Grand Maistre des Mines de Fr ; content_description: Divisée en trois Livres ; action_verbs: Divisée | SVIVIS | contenant | DEDIE ; enriched_with: les Tables des logarithmes"
royal_court_patronage,bib-273,1685,Amsterdam,FRENCH,Construction | Military Engineering,utility_use | correction_revision | community_professional,"institutions: la petite Ecurie de Sa Majesté ; editor_description: Maistre de Mathématiques des Pages de la petite Ecurie de Sa Majesté, cy-devant Ingenieur & Sergent Major d’Artillerie en Portugal ; dedicatee_name: AU ROY ; edition_details: Dernière Edition ; action_verbs: enrichi de plus de quatre cens Planches gravées en Taille-douce ; enriched_with: plus de quatre cens Planches gravées en Taille-douce"
royal_court_patronage,bib-257,1694,London,ENGLISH,Arithmetic | Astronomy | Gnomonics & Horology | Mechanics,novelty_invention | demonstration_method | community_professional,"audience: Youth (in this Age ; institutions: Mathematick School in Adam’s Court ; editor_description: Philomathes | Master of the Mathematick School in Adam’s Court, in Broadstreet, near the Royal Exchange, LONDON ; action_verbs: Published | Annex ; enriched_with: a New Series for the speedy Extraction of Roots, and a Converging Series for all manner of affected Equations"
civic_state,bib-216,1694,London,ENGLISH,,enrichment_addition | community_professional,"audience: Children and Youth | Men of all Degrees, and Qualities ; institutions: St. Georges Church in Southwark | Universities | City of London ; editor_description: School-master at St. Georges Church in Southwark ; action_verbs: added ; enriched_with: An Appendix containing the Principles of Arith- metick; with an Account of Coins, Weights, Measure, Time, &c"
civic_state,2L8L55,1719,Bologna,LATIN,Theoretical Mathematics,enrichment_addition,"institutions: Bononienfi Archigymnafio | BONONIÆ SENATUS ; editor_description: In Bononienfi Archigymnafio Hydrometriæ Profeffore ; dedicatee_name: BONONIÆ SENATUS PATRIBUS Scientiarum omnium Mæcenatibus ; edition_details: Quibus accefferunt Undecimum, & Duodecimum | iterum expofita ; action_verbs: accefferunt | iterum expofita ; enriched_with: Undecimum, & Duodecimum ; elements_designation: SEX PRIORA EUCLIDIS ELEMENTA ; references_to_euclid: EUCLIDIS"
civic_state,K7DERJ,1567,Augsburg,GERMAN,Perspective | Practical Geometry,,audience: vil andern Liebhabern ; editor_description: Maller Bürger Inn Augspurg ; content_description: GEOMETRIA ET PERSPECTIVA ; action_verbs: geordnet | gestelt | nachzutrucken ; enriched_with: Etliche Zerbrochne Gebew den Schrainer In eingelegter Arbait
civic_state,Seville_1576,1576,Seville,SPANISH,Theoretical Mathematics,,"audience: al jllustre señor Luciano de Negron, Canonigo dela sancta yglesia de Seuilla ; institutions: casa de la Contratacion de Seuilla | sancta yglesia de Seuilla ; editor_description: Astrologo y Mathematico, y Cathedratico de Cosmographia por su Magestad en la casa de la Contratacion de Seuilla ; dedicatee_name: jllustre señor Luciano de Negron, Canonigo dela sancta yglesia de Seuilla ; action_verbs: Traduzidos ; elements_designation: LOS SEIS LIBROS PRIMEROS DELA GEOMETRIA DE EVCLIDES ; references_to_euclid: EVCLIDES"
civic_state,N61RR8,1605,Leiden,DUTCH,Perspective,,"editor_description: de Bruges ; dedicatee_name: LE TRES-ILLVSTRE, Tres-excellent Prince & Seigneur MAVRICE Prince d'Orange, Comte de Nassau, Catzenellenboghen, Vianden, Moers, &c. Marquis de la Vere & Vlissin ; content_description: Contenant ce en quoy s'est exercé ; action_verbs: Descrit"
civic_state,RH6KEE,1618,Leiden,FRENCH,Military Engineering,,"editor_description: de Bruges ; dedicatee_name: TRESILLUSTRE. TRES- EXCELLENT PRINCE ET Seigneur MAURICE | DE TRESILLUSTRE. TRES- EXCELLENT PRINCE ET Seigneur MAURICE, par la grace Dieu PRINCE d'Orange, C & c ; action_verbs: Descrite"
civic_state,ustc-25,1635,Paris,FRENCH,Theoretical Mathematics,,"dedicatee_name: A MESSIRE CHARLES CLER, Sieur de Tremblay, de Ville-Bleuin, & S. Aignan, Conseiller du Roy en ses Conseils d’Estat, Cap- itaine & Gouverneur pour sa Majesté du  ; content_description: Avec toutes les démonstrations Geome- triques requises"
civic_state,Bologna_1693,1693,Bologna,LATIN,,,"institutions: Vniuersali Studio Bononiæ Scientiarum | SENATUS BONONIEN ; editor_description: PHILOSOPHIÆ DOCT ; content_description: Facilioribus Auctorum demonstrationibus ; action_verbs: explicata ; enriched_with: Facilioribus Auctorum demonstrationibus ; elements_designation: PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA ; references_to_euclid: EVCLIDIS"
artisans_visual_trades,bib-135,1667,Nuremberg,GERMAN,Practical Geometry | Surveying,utility_use | demonstration_method | community_professional,"audience: Allen Professionen, und insonderheit der Geometriæ Liebhabern ; editor_description: Architect, & Ingenieur ; content_description: Im I. Aus rechtem Fundament gewiesen wird; wie man in der Geometria, auf dem Papyr und Lande, mit denen dazu gehörigen Instrumenten, ja zur Noth ohne die- selbe ; action_verbs: gegeben | vermehrt ; enriched_with: mit vielen nütz- lichen Additionen und neuen Figuren ; educational_authorities_references: M. Johannis Pratorii | Camillæ Ravertræ"
artisans_visual_trades,bib-86,1664,Bologna,LATIN,Instrument Construction | Instrument Use,utility_use | community_professional,"audience: Geometri | Agrimensori | Architetti ciuili | militari | Pittori | Scultori | a tutti quelli, che vsano del Disegno | Bom- bardieri | Sergenti di Battaglia | Mer ; institutions: Compagnia di GIESU ; dedicatee_name: DEL MOLTO REV. P. PAOLO CASATI ; enriched_with: Dando le ragioni, & apportando le dimostrazioni"
artisans_visual_trades,bib-85,1685,Bologna,ITALIAN,Arithmetic | Instrument Construction | Instrument Use,utility_use | community_professional,"audience: Geometri | Agrimensori | Architetti ciuili | militari | Pittori | Scultori | tutti quelli, che vsano del Disegno | Bombardieri | Sergenti di Battaglia | Mercant ; institutions: DELLA COMPAGNIA DI GIESU ; editor_description: DELLA COMPAGNIA DI GIESU ; content_description: Dove insegna à gli ARTEFICI il modo di fare in esso le necessarie diuisioni,  E con varij Problemi vsuali mostra l’vtilità di questo Stromento ; edition_details: Accresciuta notabilmente in questa Seconda Editione dal medesimo Autore ; action_verbs: Accresciuta | Dando | apportando ; enriched_with: Dando le ragioni, & apportando le dimostrazioni di tutte le operationi nella Fabrica, e nell’Vso | Accresciuta notabilmente"
artisans_visual_trades,S105XB,1564,Frankfurt,GERMAN,Instrument Use | Perspective | Practical Geometry,demonstration_method,audience: aller anfahenden Jugent | andern liebhabern dieser Kunst | Goldschmiden | Malern | Bildhauwern | Steinmetzen | Schrei- nern ; editor_description: Goldschmid vnd Maler | zu Franckfurt am Mayn ; content_description: auch der Perspe- ctiua / vnd Proportion der Menschen vnd Rosse / kurtze / doch gründt- liche vnderweisung / deß rechten gebrauchs. Mit vil schönen Figuren ; action_verbs: gegeben ; enriched_with: Mit vil schönen Figuren
artisans_visual_trades,2I9HSY,1560,Paris,FRENCH,Perspective,,"editor_description: Senonois, maistre Painctre à Paris"
artisans_visual_trades,93LJS8,1625,Firenze,ITALIAN,Perspective,,institutions: Toscana Accademia del Disegno ; editor_description: GENTILHVOMO FIORENTINO
artisans_visual_trades,MorisS-4-2,1643,Paris,FRENCH,Gnomonics & Horology,,editor_description: Graveur en Taille
