social_category,classification_key,year,city,language,evidence
aud_general_readers_lovers,6X6R6Y,1547,Nuremberg,GERMAN,audience: Allen Künstlichen Handtwerckern / Werckmeistern / Steinmetzen / Bawmeistern / Zeug oder Büxenmeiste- ren / Maleren / Bildhaweren / Goldschmiden / Schreineren ; editor_description: Medi. & Math ; primary_classes: Architecture | Construction | Perspective | Practical Geometry
aud_general_readers_lovers,bib-133,1650,London,ENGLISH,"audience: A Worke very necessary for all Men, but principally for Surveyors of Land, Engineers, and all other Students in the Mathematicks ; editor_description: chief Engineer to his late MAJESTY ; primary_classes: Arithmetic | Practical Geometry | Surveying"
aud_general_readers_lovers,YB32U5,1604,Leiden,FRENCH,"audience: pour tous Peintres, Tailleurs en Cuivre, Imaginaires, Orfevres, Architectes, Ingenieurs, Tailleurs de Pierre, Menuisiers, Charpentiers, & tous Amateurs des arts ; primary_classes: Perspective"
aud_general_readers_lovers,Augsburg_1555,1555,Augsburg,GERMAN,"audience: allen den, so die kunst der Rechnung liebhaben ; institutions: vniuersitet zü Tübingen ; editor_description: Mag-istrum | der löblichen vniuersitet zü Tübingen des Eu-clidis vnd Arithmetic Ordinarien ; primary_classes: Arithmetic | Theoretical Mathematics"
aud_general_readers_lovers,bib-156,1581,Venice,ITALIAN,audience: chi si diletta di questa nobilissima Scienza | Capitani di guerra | Ingegneri | Architetti | Artefice ; editor_description: SIG ; dedicatee_name: ILLVSTRISS. SIG. GVIDO VBALDO DE’ MARCHESI DEL MONTE ; primary_classes: Instrument Use | Mechanics
aud_general_readers_lovers,bib-62,1618,Nuremberg,GERMAN,"audience: Allen denen, die Lateinisch und andere Sprachen unerfahren, gantz ihren Anfang und doch Lust zu Geometriae haben ; editor_description: Professoren der Mathematica zu Altdorf ; primary_classes: Practical Geometry"
aud_mathematicians_scholars,35H84Y,1642,Bologna,LATIN,"audience: Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus ; institutions: Coll. Tridentino Soc. Iesu | Parmensi Gymnasio Philosophiæ Mathematicæ | Parmensi Gymnasio ; editor_description: E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore ; dedicatee_name: MATTHIAE GALASSO SAC. ROM. IMPERII COMITI, &c ; primary_classes: Mechanics"
aud_mathematicians_scholars,bib-86,1664,Bologna,LATIN,"audience: Geometri | Agrimensori | Architetti ciuili | militari | Pittori | Scultori | a tutti quelli, che vsano del Disegno | Bom- bardieri | Sergenti di Battaglia | Mercanti | altri ; institutions: Compagnia di GIESU ; dedicatee_name: DEL MOLTO REV. P. PAOLO CASATI ; primary_classes: Instrument Construction | Instrument Use"
aud_mathematicians_scholars,bib-85,1685,Bologna,ITALIAN,"audience: Geometri | Agrimensori | Architetti ciuili | militari | Pittori | Scultori | tutti quelli, che vsano del Disegno | Bombardieri | Sergenti di Battaglia | Mercanti | altri ; institutions: DELLA COMPAGNIA DI GIESU ; editor_description: DELLA COMPAGNIA DI GIESU ; primary_classes: Arithmetic | Instrument Construction | Instrument Use"
aud_mathematicians_scholars,bib-135,1667,Nuremberg,GERMAN,"audience: Allen Professionen, und insonderheit der Geometriæ Liebhabern ; editor_description: Architect, & Ingenieur ; primary_classes: Practical Geometry | Surveying"
aud_mathematicians_scholars,4C287U,1626,The Hague,FRENCH,audience: aux apprentis | aux plus doctes praticiens des Mathematiques ; editor_description: Samielois ; primary_classes: Trigonometry
aud_mathematicians_scholars,MorisS-14-1,1626,The Hague,FRENCH,audience: aux apprentif | aux plus doctes practiciens des Mathematiques ; primary_classes: Trigonometry
aud_mathematicians_scholars,Strasbourg_1529,1529,Strasbourg,LATIN,audience: omnium Mathematicæ studiosorum | Lectori ; editor_description: Haylpronensi
aud_mathematicians_scholars,YSF4K5,1613,Antwerp,LATIN,audience: Philosophis iuxtà ac Mathematicis ; institutions: E SOCIETATE IESV ; primary_classes: Perspective
aud_artisans_visual_trades,bib-86,1664,Bologna,LATIN,"audience: Geometri | Agrimensori | Architetti ciuili | militari | Pittori | Scultori | a tutti quelli, che vsano del Disegno | Bom- bardieri | Sergenti di Battaglia | Mercanti | altri ; institutions: Compagnia di GIESU ; dedicatee_name: DEL MOLTO REV. P. PAOLO CASATI ; primary_classes: Instrument Construction | Instrument Use"
aud_artisans_visual_trades,bib-85,1685,Bologna,ITALIAN,"audience: Geometri | Agrimensori | Architetti ciuili | militari | Pittori | Scultori | tutti quelli, che vsano del Disegno | Bombardieri | Sergenti di Battaglia | Mercanti | altri ; institutions: DELLA COMPAGNIA DI GIESU ; editor_description: DELLA COMPAGNIA DI GIESU ; primary_classes: Arithmetic | Instrument Construction | Instrument Use"
aud_artisans_visual_trades,bib-156,1581,Venice,ITALIAN,audience: chi si diletta di questa nobilissima Scienza | Capitani di guerra | Ingegneri | Architetti | Artefice ; editor_description: SIG ; dedicatee_name: ILLVSTRISS. SIG. GVIDO VBALDO DE’ MARCHESI DEL MONTE ; primary_classes: Instrument Use | Mechanics
aud_surveyors_geometers_engineers,ustc-15,1630,Paris,FRENCH,"audience: à tous Architectes, Ingenieurs, Maçons, Arpenteurs, & autres Geometres | à tous Architectes, Ingenieurs, Maçons, Arpenteurs, Laigners & autres Geometres | Oeuűre utile à tous Architeĉtes, Ingenieurs, Maçons, Arpenteu ; editor_description: Lecteur ordinaire du Roy | LECTEVR ORDINAIRE DV ROY ; primary_classes: Practical Geometry | Surveying"
aud_surveyors_geometers_engineers,bib-119,1646,Amsterdam,LATIN,audience: den Landmeters en Ingenieurs | den Land-meters ende Ingenieurs | den Leser ; editor_description: Med. D. & Ma- thes. Profess. ordin. binnen Franeker | Med. D. & Mathes. Prof. ordinar. binnen Franeker ; primary_classes: Arithmetic | Military Engineering | Practical Geometry | Surveying
aud_surveyors_geometers_engineers,YB32U5,1604,Leiden,FRENCH,"audience: pour tous Peintres, Tailleurs en Cuivre, Imaginaires, Orfevres, Architectes, Ingenieurs, Tailleurs de Pierre, Menuisiers, Charpentiers, & tous Amateurs des arts ; primary_classes: Perspective"
aud_surveyors_geometers_engineers,bib-260,1659,Dordrecht,DUTCH,audience: voor alle kryghs-Officie- ren / Ingenieurs / Coop-lieden / Landt-meeters / Zee-varende en Krygs- sende Lieden / en alle Liefhebbers van Mathematische speculatie ; primary_classes: Astronomy | Instrument Construction | Instrument Use | Practical Geometry
aud_surveyors_geometers_engineers,bib-80,1691,Paris,FRENCH,"audience: à tous Architectes, Ingenieurs, Maçons, Arpenteurs, Taugeurs, & autres Geometres ; editor_description: Professeur en Mathematique ; dedicatee_name: Du Sr BOULENGER ; primary_classes: Practical Geometry | Surveying"
aud_surveyors_geometers_engineers,ustc-34,1634,Paris,FRENCH,"audience: à tous Architećtes, Ingenieurs, Maçons, Arpenteurs, Langiers & aàtres Geometres ; editor_description: LECTEVR ORDINAIRE DV ROY. OV ; primary_classes: Practical Geometry | Surveying"
aud_surveyors_geometers_engineers,ustc-35,1640,Paris,FRENCH,"audience: a tous Archite&es, Ingenieurs, Maçons, Arpenteurs, & autres Geometres ; editor_description: Le&eur ordinaire du Roy ; primary_classes: Practical Geometry | Surveying"
aud_surveyors_geometers_engineers,bib-187,1615,Leiden,DUTCH,audience: voor de Land-meters ; primary_classes: Commercial Mathematics | Practical Geometry | Surveying | Trigonometry
aud_military_users,bib-20,1599,Rome,ITALIAN,"audience: ad un buon Geometra | à Misuratori di terreni, di fabriche, et altri simili | à Geografi, Cosmografi, Architetti Civili, et Militari | à Bombardieri, Soldati privati, Capitani, Maestri di Campo | à qual si Voglia altra p ; editor_description: Mathematico eccellentissimo | Mathematico ; primary_classes: Practical Geometry"
aud_military_users,bib-126,1667,Rome,ITALIAN,"audience: à Misuratori, ad Architetti, à Geografi, à Cosmografi, à Bombardieri, à Ingegneri, à Soldati, & à Capitani d’Eserciti ; editor_description: Matematico ; dedicatee_name: ALL’EMINENTISS. E REVERENDISS. SIG IL SIG CARDINALE IACOMO NINI ; primary_classes: Practical Geometry"
aud_military_users,6X6R6Y,1547,Nuremberg,GERMAN,audience: Allen Künstlichen Handtwerckern / Werckmeistern / Steinmetzen / Bawmeistern / Zeug oder Büxenmeiste- ren / Maleren / Bildhaweren / Goldschmiden / Schreineren ; editor_description: Medi. & Math ; primary_classes: Architecture | Construction | Perspective | Practical Geometry
aud_military_users,bib-125,1691,Rome,ITALIAN,audience: à Misuratori | ad Architetti | à Geografi | à Cosmografi | à Bombardieri | à Ingegneri | à Soldati | à Capitani d’Eserciti ; editor_description: Matematico ; dedicatee_name: IL SIG CARDINALE IACOMO NINI ; primary_classes: Practical Geometry
aud_military_users,bib-156,1581,Venice,ITALIAN,audience: chi si diletta di questa nobilissima Scienza | Capitani di guerra | Ingegneri | Architetti | Artefice ; editor_description: SIG ; dedicatee_name: ILLVSTRISS. SIG. GVIDO VBALDO DE’ MARCHESI DEL MONTE ; primary_classes: Instrument Use | Mechanics
aud_military_users,Paris_1693,1693,Paris,FRENCH,"audience: à un homme de Guerre, & à tous ceux qui se veulent perfectionner dans les Mathematiques ; editor_description: Professeur des Mathematiques ; primary_classes: Theoretical Mathematics"
aud_military_users,Amsterdam_1697,1697,Amsterdam,FRENCH,audience: un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science ; editor_description: Professeur des Mathematiques ; primary_classes: Arithmetic | Theoretical Mathematics | Trigonometry
aud_military_users,Paris_1697,1697,Paris,"FRENCH, LATIN",audience: un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science ; editor_description: Professeur des Mathematiques
aud_merchants_commercial_users,35H84Y,1642,Bologna,LATIN,"audience: Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus ; institutions: Coll. Tridentino Soc. Iesu | Parmensi Gymnasio Philosophiæ Mathematicæ | Parmensi Gymnasio ; editor_description: E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore ; dedicatee_name: MATTHIAE GALASSO SAC. ROM. IMPERII COMITI, &c ; primary_classes: Mechanics"
aud_merchants_commercial_users,bib-86,1664,Bologna,LATIN,"audience: Geometri | Agrimensori | Architetti ciuili | militari | Pittori | Scultori | a tutti quelli, che vsano del Disegno | Bom- bardieri | Sergenti di Battaglia | Mercanti | altri ; institutions: Compagnia di GIESU ; dedicatee_name: DEL MOLTO REV. P. PAOLO CASATI ; primary_classes: Instrument Construction | Instrument Use"
aud_merchants_commercial_users,bib-85,1685,Bologna,ITALIAN,"audience: Geometri | Agrimensori | Architetti ciuili | militari | Pittori | Scultori | tutti quelli, che vsano del Disegno | Bombardieri | Sergenti di Battaglia | Mercanti | altri ; institutions: DELLA COMPAGNIA DI GIESU ; editor_description: DELLA COMPAGNIA DI GIESU ; primary_classes: Arithmetic | Instrument Construction | Instrument Use"
aud_navigators_pilots,MorisS-22-5,1647,Paris,FRENCH,"audience: des Pilotes & Capitaines de Mer ; institutions: Recollet ; editor_description: DOCTEVR EN MEDECINE, & Professeur du Roy aux Mathematiques à Paris ; dedicatee_name: MONSEIGNEVR L’EMINENTISSIME CARDINAL MAZARIN ; primary_classes: Astronomy | Navigation"
aud_navigators_pilots,bib-114,1669,London,ENGLISH,audience: Young Sea-men | others that are studious in MATHEMATICALL PRACTICES ; editor_description: Philomath ; primary_classes: Practical Geometry
aud_navigators_pilots,bib-158,1649,London,ENGLISH,audience: for the benefit of Sea-men ; editor_description: Practitioners in the Mathematicks ; primary_classes: Astronomy | Geography | Trigonometry
aud_nobility_court_as_audience,bib-123,1558,Lyon,ITALIAN,audience: gentiluomini | artegiani ; dedicatee_name: Sig. Gio. Francesco Peverone di Cuneo ; primary_classes: Arithmetic | Practical Geometry
aud_nobility_court_as_audience,MorisS-16-1,1623,Paris,FRENCH,audience: EN FAVEVR DE LA NOBLESSE Françoiſe ; editor_description: Mathematicien ; primary_classes: Arithmetic | Construction | Military Engineering | Practical Geometry | Trigonometry
aud_nobility_court_as_audience,ustc-26,1627,Paris,FRENCH,audience: EN FAVEVR DE LA NOBLESSE FRANÇOISE ; editor_description: Mathematicien ; primary_classes: Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry
aud_nobility_court_as_audience,ustc-18,1613,Paris,FRENCH,audience: EN FAVEVR DE LA NOBLESSE ; editor_description: Mathematicien ; dedicatee_name: Françoise ; primary_classes: Arithmetic | Construction | Military Engineering | Practical Geometry | Trigonometry
inst_universities_academies_colleges,N1D1J1,1646,Rome,LATIN,"institutions: E SOC. IESV PRESBYTERI | Societatis IESV Gymnasiis Orientalium linguarum | Romano Collegio ; editor_description: FVLDENSIS BVCHONII E SOC. IESV PRESBYTERI; Olim in Herbipolensi, & Auenionensi Societatis IESV Gymnasiis Orientalium linguarum, & Matheseos, nunc huius in Romano Collegio Professoris ordinarij"
inst_universities_academies_colleges,612FNN,1583,Rome,ITALIAN,institutions: ordine de Predicatori | Studio di Bologna ; editor_description: dell'ordine de Predicatori Matematico dello Studio di Bologna ; dedicatee_name: IACOMO BVONCOMPAGNI Duca di Sora et d'Arce Signor d'Arpino Marchese di Vignola Cap. Gen. degl' huomini d'arme del Re Catt ; primary_classes: Perspective
inst_universities_academies_colleges,MorisS-27-1,1636,Paris,FRENCH,"institutions: College de Maistre Gervais | College Royal de France ; editor_description: Professeur Royal és Mathemati- ques au College de Maistre Gervais, & en la Chaire de Ramus au College Royal de France ; primary_classes: Mechanics"
inst_universities_academies_colleges,bib-257,1694,London,ENGLISH,"audience: Youth (in this Age ; institutions: Mathematick School in Adam’s Court ; editor_description: Philomathes | Master of the Mathematick School in Adam’s Court, in Broadstreet, near the Royal Exchange, LONDON ; primary_classes: Arithmetic | Astronomy | Gnomonics & Horology | Mechanics"
inst_universities_academies_colleges,Lisbon_1735,1735,Lisbon,PORTUGUESE,audience: PARA USO DA REAL AULA ; institutions: Collegio de Santo Antão da Companhia de Jesus de Lisboa Occidental | Companhia de Jesus ; editor_description: PADRE | Da mesma Companhia ; dedicatee_name: D. JOÃO V ; primary_classes: Theoretical Mathematics
inst_universities_academies_colleges,London_1680–81,1680/1681,London,ENGLISH,"institutions: Royal Foundation of the Mathematical SCHOOL | ROYAL SOCIETY ; editor_description: Late Surveyor General of His MAJESTY’S Ordnance, and Fellow of the ROYAL SOCIETY ; primary_classes: Arithmetic | Astronomy | Cartography | Cosmography | Geography | Navigation | Practical Geometry | Theoretical Mathematics | Trigonometry"
inst_universities_academies_colleges,Bologna_1620,1620,Bologna,ITALIAN,institutions: Studio di Bologna ; editor_description: LETTORE DELLE SCIENZE Matematiche nello Studio di Bologna ; dedicatee_name: ALL’ILL. ET NOBILISS. SIG. IL SIG. GREGORIO MALVEZZI ; primary_classes: Practical Geometry
inst_universities_academies_colleges,AVXGNJ,1633,Ulm,GERMAN,audience: Allen Liebhabern der Mathematischen Kün- sten | Ingenieurn vnd Burgern zu Vlm ; institutions: Der Ingenieurs Schul ; dedicatee_name: Johann Faulhabern ; primary_classes: Construction | Military Engineering
inst_jesuit,35H84Y,1642,Bologna,LATIN,"audience: Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus ; institutions: Coll. Tridentino Soc. Iesu | Parmensi Gymnasio Philosophiæ Mathematicæ | Parmensi Gymnasio ; editor_description: E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore ; dedicatee_name: MATTHIAE GALASSO SAC. ROM. IMPERII COMITI, &c ; primary_classes: Mechanics"
inst_jesuit,Würzburg_1661,1661,Würzburg,LATIN,"audience: quivis, vel mediocri præditus ingenio ; institutions: SOCIETATE JESU | SOCIETATIS JESU | Gymnasio Matheseos ; editor_description: REGISCURIANI E SOCIETATE JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CUR-SUS MATHEMATICUS, Sive Absoluta omnium Mathematicarum Disciplinarum EN"
inst_jesuit,Frankfurt_1674,1674,Frankfurt,LATIN,"audience: quivis, vel mediocri præditus ingenio ; institutions: SOCIETATIS JESU Gymnasio Matheseos ; editor_description: REGISCURIANI E SOCIET. JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CURSUS MATHEMATICUS"
inst_jesuit,bib-86,1664,Bologna,LATIN,"audience: Geometri | Agrimensori | Architetti ciuili | militari | Pittori | Scultori | a tutti quelli, che vsano del Disegno | Bom- bardieri | Sergenti di Battaglia | Mercanti | altri ; institutions: Compagnia di GIESU ; dedicatee_name: DEL MOLTO REV. P. PAOLO CASATI ; primary_classes: Instrument Construction | Instrument Use"
inst_jesuit,bib-85,1685,Bologna,ITALIAN,"audience: Geometri | Agrimensori | Architetti ciuili | militari | Pittori | Scultori | tutti quelli, che vsano del Disegno | Bombardieri | Sergenti di Battaglia | Mercanti | altri ; institutions: DELLA COMPAGNIA DI GIESU ; editor_description: DELLA COMPAGNIA DI GIESU ; primary_classes: Arithmetic | Instrument Construction | Instrument Use"
inst_jesuit,Lisbon_1735,1735,Lisbon,PORTUGUESE,audience: PARA USO DA REAL AULA ; institutions: Collegio de Santo Antão da Companhia de Jesus de Lisboa Occidental | Companhia de Jesus ; editor_description: PADRE | Da mesma Companhia ; dedicatee_name: D. JOÃO V ; primary_classes: Theoretical Mathematics
inst_jesuit,Cambridge_1703,1703,Cambridge,LATIN,institutions: SOC. JESU | CANTABRIGIENSES ; editor_description: A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES ; dedicatee_name: V. CL. ANDREÆ TACQUET SOC. JESU Sacerdotis
inst_jesuit,bib-96,1675,Caen,LATIN,"audience: Ad usum Studiosæ Juventutis ; institutions: SOCIET. JESU INSTITUTIO MATHEMATICÆ ; editor_description: AURELIANENSIS, SOCIET. JESU INSTITUTIO MATHEMATICÆ"
inst_other_religious_orders,5YK5ZF,1648,Rome,LATIN,"institutions: Ordinis Minimorum | Regio nationis Gallicanae Romano SS. Trinitatis montis Pincij Coenobio Sacrae Theologiae ; editor_description: Ordinis Minimorum, in Regio nationis Gallicanae Romano SS. Trinitatis montis Pincij Coenobio Sacrae Theologiae Professore ; primary_classes: Gnomonics & Horology | Perspective | Practical Geometry"
inst_other_religious_orders,MorisS-24-3,1646,Paris,LATIN,"audience: Pictoribus, Architectis, Statuariis, Sculptoribus, Caelatoribus, & quibuscumque aliis ; institutions: ORD. MINIM ; editor_description: PARISINI, EX ORD. MINIM ; dedicatee_name: EMINentissimum CARDINALEM MAZARINVM ; primary_classes: Perspective"
inst_other_religious_orders,99CARP,1646,Paris,LATIN,"audience: Pictoribus, Architectis, Statuariis, Sculptoribus, Caelatoribus, & qui- buscumque aliis ; institutions: ORD. MINIM ; editor_description: PARISINI, EX ORD. MINIM ; dedicatee_name: EMINENTISS. CARDINALEM MAZARINVM ; primary_classes: Perspective"
inst_other_religious_orders,MorisS-22-5,1647,Paris,FRENCH,"audience: des Pilotes & Capitaines de Mer ; institutions: Recollet ; editor_description: DOCTEVR EN MEDECINE, & Professeur du Roy aux Mathematiques à Paris ; dedicatee_name: MONSEIGNEVR L’EMINENTISSIME CARDINAL MAZARIN ; primary_classes: Astronomy | Navigation"
inst_other_religious_orders,MorisS-21-7,1636,Paris,LATIN,institutions: ORDINIS MINIM ; editor_description: MERSENNI ORDINIS MINIM ; primary_classes: Music Theory
inst_royal_court_institution,GDC2CP,1615,Paris,LATIN,"institutions: Regiâ Turma aurea Cubiculi | Nauarræ Regis ; editor_description: à FLVRANTIA, Ceno- manum, è Regiâ Turma aurea Cubiculi, sanctiori- busque regni Consiliis & à literarum pietatiqueq́ue studiis Christianissimi Gallorum & Nauarræ Regis LVDOVICI XIII. semper Augusti ; primary_classes: Theoretical Mathematics"
inst_royal_court_institution,5YK5ZF,1648,Rome,LATIN,"institutions: Ordinis Minimorum | Regio nationis Gallicanae Romano SS. Trinitatis montis Pincij Coenobio Sacrae Theologiae ; editor_description: Ordinis Minimorum, in Regio nationis Gallicanae Romano SS. Trinitatis montis Pincij Coenobio Sacrae Theologiae Professore ; primary_classes: Gnomonics & Horology | Perspective | Practical Geometry"
inst_royal_court_institution,MorisS-27-1,1636,Paris,FRENCH,"institutions: College de Maistre Gervais | College Royal de France ; editor_description: Professeur Royal és Mathemati- ques au College de Maistre Gervais, & en la Chaire de Ramus au College Royal de France ; primary_classes: Mechanics"
inst_royal_court_institution,MorisS-22-2,1631,Paris,LATIN,"institutions: Regio Parisiis ; editor_description: apud Gallos è Bel- leio censibus Francopolitano, Doctore Medico; atque Regio Parisiis Mathematum Professore ; dedicatee_name: CARDINALEM RICHELIVM; DVCEM, ET FRANCIAE PAREM ; primary_classes: Astronomy"
inst_royal_court_institution,bib-257,1694,London,ENGLISH,"audience: Youth (in this Age ; institutions: Mathematick School in Adam’s Court ; editor_description: Philomathes | Master of the Mathematick School in Adam’s Court, in Broadstreet, near the Royal Exchange, LONDON ; primary_classes: Arithmetic | Astronomy | Gnomonics & Horology | Mechanics"
inst_royal_court_institution,London_1680–81,1680/1681,London,ENGLISH,"institutions: Royal Foundation of the Mathematical SCHOOL | ROYAL SOCIETY ; editor_description: Late Surveyor General of His MAJESTY’S Ordnance, and Fellow of the ROYAL SOCIETY ; primary_classes: Arithmetic | Astronomy | Cartography | Cosmography | Geography | Navigation | Practical Geometry | Theoretical Mathematics | Trigonometry"
inst_royal_court_institution,London_1747,1747,London,ENGLISH,"audience: SCHOOLS ; institutions: ROYAL SOCIETY | Royal Academy at Woolwich ; editor_description: Fellow of the ROYAL SOCIETY, and Professor of GEOMETRY in the Royal Academy at Woolwich ; primary_classes: Practical Geometry | Theoretical Mathematics"
inst_royal_court_institution,Paris_1610,1610,Paris,FRENCH,"institutions: Academies du Roy ; editor_description: Docteur és Droicts, & Professeur en la diuine Mathematique aux Academies du Roy | l’Autheur ; primary_classes: Theoretical Mathematics"
inst_civic_state_institution,Seville_1576,1576,Seville,SPANISH,"audience: al jllustre señor Luciano de Negron, Canonigo dela sancta yglesia de Seuilla ; institutions: casa de la Contratacion de Seuilla | sancta yglesia de Seuilla ; editor_description: Astrologo y Mathematico, y Cathedratico de Cosmographia por su Magestad en la casa de la Contratacion de Seuilla ; dedicatee_name: jllustre señor Luciano de Negron, Canonigo dela sancta yglesia de Seuilla ; primary_classes: Theoretical Mathematics"
inst_civic_state_institution,bib-216,1694,London,ENGLISH,"audience: Children and Youth | Men of all Degrees, and Qualities ; institutions: St. Georges Church in Southwark | Universities | City of London ; editor_description: School-master at St. Georges Church in Southwark"
inst_civic_state_institution,2L8L55,1719,Bologna,LATIN,institutions: Bononienfi Archigymnafio | BONONIÆ SENATUS ; editor_description: In Bononienfi Archigymnafio Hydrometriæ Profeffore ; dedicatee_name: BONONIÆ SENATUS PATRIBUS Scientiarum omnium Mæcenatibus ; primary_classes: Theoretical Mathematics
inst_civic_state_institution,Bologna_1693,1693,Bologna,LATIN,institutions: Vniuersali Studio Bononiæ Scientiarum | SENATUS BONONIEN ; editor_description: PHILOSOPHIÆ DOCT
inst_libraries_collections,Paris_1625,1625,Paris,"GREEK, LATIN","institutions: Regis Christianissimi Bibliothecâ Græcè | Bibliothecâ MARINI PHILOSOPHI | Parisiensi Curiâ ; editor_description: in supremâ Parisiensi Curiâ Aduocatus, è Regis Christianissimi Bibliothecâ Græcè ; primary_classes: Theoretical Mathematics"
inst_libraries_collections,Rome_1591,1591,Rome,LATIN,institutions: VATICANA. BIBLIOTHECA | BIBLIOTHE-CARIVM ; dedicatee_name: ANTONIVM. COLVMNAM. S.R.E. CARD. EPISCOPVM. PRAENESTINVM ; primary_classes: Astronomy
inst_libraries_collections,Paris_1557b,1557,Paris,"GREEK, LATIN",institutions: Regia bibliotheca ; editor_description: Regio Mathematico ; dedicatee_name: ILLVSTRISSIMVM PRINCIPEM CAROLVM LOTHARINGVM CARDINALEM ; primary_classes: Music Theory
inst_libraries_collections,Cologne_1607a,1607,Cologne,LATIN,institutions: SOCIETATIS IESV BIBLIOTHECA SELECTA | SOCIETATIS IESV BIBLIO-THECAE SELECTÆ ; primary_classes: Theoretical Mathematics
inst_libraries_collections,Florence_1573,1573,Florence,ITALIAN,institutions: Libreria Vaticana ; editor_description: R. P. M | Cosmografo del Seren. Gran Duca di Toscana ; primary_classes: Perspective
