Page/Key,language,year,city,Classification,Orig_Value,llm_Value_1,llm_Value_3,llm_Value_4,llm_Value_6
6PMNRZ,LATIN,1526,Paris,Theoretical Mathematics,unrelated,primary,secondary,secondary,secondary
6PMNRZ,LATIN,1526,Paris,Trigonometry,unrelated,unrelated,unrelated,unrelated,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Architecture,primary,primary,primary,primary,primary
6X6R6Y,GERMAN,1547,Nuremberg,Arithmetic,unrelated,secondary,unrelated,unrelated,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Astronomy,unrelated,unrelated,unrelated,unrelated,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Cartography,unrelated,unrelated,unrelated,unrelated,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Commercial Mathematics,unrelated,unrelated,unrelated,unrelated,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Construction,unrelated,primary,primary,primary,primary
6X6R6Y,GERMAN,1547,Nuremberg,Cosmography,unrelated,unrelated,unrelated,unrelated,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Geography,unrelated,unrelated,unrelated,unrelated,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Gnomonics & Horology,unrelated,unrelated,unrelated,unrelated,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Instrument Construction,unrelated,secondary,unrelated,unknown,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Instrument Use,unrelated,secondary,unrelated,secondary,secondary
6X6R6Y,GERMAN,1547,Nuremberg,Mechanics,primary,primary,primary,primary,secondary
6X6R6Y,GERMAN,1547,Nuremberg,Military Engineering,primary,unrelated,unrelated,primary,secondary
6X6R6Y,GERMAN,1547,Nuremberg,Music Theory,unrelated,unrelated,unrelated,unrelated,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Navigation,unrelated,unrelated,unrelated,unrelated,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Perspective,primary,primary,primary,primary,primary
6X6R6Y,GERMAN,1547,Nuremberg,Practical Geometry,secondary,primary,primary,primary,primary
6X6R6Y,GERMAN,1547,Nuremberg,Surveying,unrelated,secondary,secondary,secondary,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Theoretical Mathematics,unrelated,secondary,secondary,secondary,secondary
6X6R6Y,GERMAN,1547,Nuremberg,Trigonometry,unrelated,secondary,unknown,secondary,unknown
7Y5IWJ,FRENCH,1582,Antwerp,Architecture,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Arithmetic,primary,primary,primary,primary,primary
7Y5IWJ,FRENCH,1582,Antwerp,Astronomy,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Cartography,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Commercial Mathematics,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Construction,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Cosmography,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Geography,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Gnomonics & Horology,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Instrument Construction,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Instrument Use,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Mechanics,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Military Engineering,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Music Theory,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Navigation,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Perspective,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,FRENCH,1582,Antwerp,Practical Geometry,unrelated,unrelated,unrelated,unrelated,unrelated
