review_sample,sample_order,priority,queue_type,edition_id,category,current_value,suggested_review_focus,queue_reason,year,city,language,short_title,title_or_short_title,elements_books,additional_content,wardhaugh_classification,related_categories,unknown_categories,classification_profile,review_decision,corrected_value,apply_to_reprints,review_notes
yes,11,1,unknown,BFI81M,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1629,Padua,ITALIAN,"Della architettura libri due ne' quali con nuova simmetria, & facoltà si mostrano le giuste regole dei cinque ordini di detta architettura, & osservationi de' piu eccellenti architetti","DELLA
ARCHITETTVRA
DI GIOSEFFE VIOLA ZANINI
PADOVANO PITTORE, ET ARCHITETTO.

LIBRI DVE
Ne' quali con nuoua Simmetria, & Facoltà si mostrano le giuste regole de i
cinque ordini di detta Architettura, & osseruationi de' più eccellenti
Architetti, che in quella habbiano dato ammaestramenti.
ET PRIMA DI QVELLE MATERIE, CHE SONO APPARTENENTI
à fabricare, come pietre, legnami, metalli, & alla disposizione, secondo le parti Celesti.
CON ALCVNE DIFFINITIONI DE' PRINCIPII GEOMETRICI,
Meteorologici, e Ma",,,,Construction; Perspective; Architecture,Practical Geometry; Astronomy,Construction=primary; Practical Geometry=unknown; Perspective=primary; Architecture=primary; Astronomy=unknown,,,,
yes,12,1,unknown,bib-117,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1630,Amsterdam,LATIN,"Opera mathematica, ofte wis-konstige wercken","OPERA
MATHEMATICA,
Ofte
Wiskonstige Wercken:
handelende vande
Geometrie / Perspe-
ctive / Architecture / en
Fortificatie.

Beschreven en voor oogen gestelt
DOOR
SAMUEL MAROLOIS.

Van nieuws oversien ende verbeteret door
ALBERT GIRARD,
Mathematicus.",,,,Military Engineering; Perspective; Architecture,Practical Geometry; Theoretical Mathematics,Military Engineering=primary; Practical Geometry=unknown; Perspective=primary; Architecture=primary; Theoretical Mathematics=unknown,,,,
yes,13,1,unknown,ustc-41,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1630,Paris,FRENCH,Examen du livre des récréations mathématiques et de ses problèmes en géométrie méchanique optique & catoptrique où sont aussi discutées et restablies plusieurs expériences physiques y proposées par Claude Mydorge,"EXAMEN
DV LIVRE DES
RECREATIONS
ATHEMATIQVES;
ET DE SES PROBLEMES
en Geometrie, Mechanique, Opti-
que, & Catoptrique.
Où sont aussi discutées & restablies plusieurs
experiences Physiques y proposées.
Par CLAVDE MYDORGE, Escuyer Sieur de la Maillarde, Conseiller du Roy, & Tréso-
rier general de France en Picardie.",,,,Mechanics,Practical Geometry; Theoretical Mathematics,Practical Geometry=unknown; Mechanics=primary; Theoretical Mathematics=unknown,,,,
yes,14,1,unknown,ustc-28,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1631,Rouen,FRENCH,,"METHOIQVES
INSTITV TIONS
DE LA VRAYE ET
PARFAICTE ARITHMETIQVE
de IACQVES CHAVVET,
diuifée en fix parties.
REVEE, CORRIGEE, ET
amplifiée d’Exemples Geometriques ; extra-
ction des racines Quarrees, & Cubes , &
autres choses appartenantes à la Geo-
metrie , auec les figures & pra -
tique d’icelles.
Par P. TAILLIEUR ., profeßeur ordinaire éß
Mathematiques en l’V niuerßité de Paris.",,,,Arithmetic,Practical Geometry; Theoretical Mathematics,Arithmetic=primary; Practical Geometry=unknown; Theoretical Mathematics=unknown,,,,
yes,15,1,unknown,AVXGNJ,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1633,Ulm,GERMAN,"Ingenieurs Schul, ... Teil , Durch: Johann Faulhabern Ingenieurn und Burgern zu Ulm, [et]c. Teil: 4: Von Fortificatione Practica Offensiva Et Defensiva","Anderer Theil
Der Ingenieurs Schul.
Darinnen Die
Regular Fortification, sampt
den Aussenwercken/ durch vnd ohne Rechnung
mit newen Inventionibus ge-
lehrt werden.
Welches nicht allein durch den
Canonem Logarithmicum, sondern auch
durch new Inventierte Instrument, so deutlich vnd klar
für die Augen gestellt wird / daß auch einer gleichsamb oh-
ne Mundlichen Bericht/ solche Fortifications
Kunst leichtlich begreiffen
kan/ 2c.
Allen Liebhabern der Mathematischen Kün-
sten zugefallen in Truck gegeben",,,,Military Engineering; Construction; Instrument Use,Arithmetic; Practical Geometry; Surveying,Arithmetic=unknown; Military Engineering=primary; Construction=secondary; Practical Geometry=unknown; Surveying=unknown; Instrument Use=secondary,,,,
yes,16,1,unknown,MorisS-26-1,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1634,Paris,FRENCH,,"L’VSAGE
OV LE
MOYEN DE PRATIQUER
PAR VNE REGLE TOVTES
les operations du Compas de
Proportion.

Avec une ample construction de l’vn & de l’autre
augmentée des tables de la pesanteur & grandeur
des metaux & plusieurs autres corps.

Et de la reduction de toutes les mesures & de tous les
poids d’Europe, d’Afrique & d’Asie, à la mesure
& au poids de Paris.

Comme aussi la construction & l’vsage du Talisso,
ou Calibre d’Artillerie.

Par P. PETIT BOVRBONNOIS.
",,,,Military Engineering; Instrument Construction; Instrument Use,Commercial Mathematics; Practical Geometry,Commercial Mathematics=unknown; Military Engineering=primary; Practical Geometry=unknown; Instrument Construction=primary; Instrument Use=primary,,,,
yes,17,1,unknown,ustc-63,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1640,Paris,FRENCH,"Traicté ou usage du quadrant analématique, par lequel avec l'ayde de la lumière du soleil, on trouve en un instant sans ayguille aymantée la ligne méridienne. La Description des horloges solaires & la pluspart des phoenomènes appartenant au soleil. Par le","TRAICTE'
OV VSAGE DV
QVADRANT
ANALEMATIQVE,
Par lequel auec l'ayde de la lumiere
du Soleil, on trouue en vn instant
sans Ayguile Aymantée la ligne
Meridienne. La Description des
Horloges Solaires, & la pluspart
des Phenomenes appartenant au
Soleil.
Par le Sieur de VAVLEZARD
Mathematicien.",,,,Gnomonics & Horology; Astronomy; Instrument Use,Practical Geometry; Surveying,Practical Geometry=unknown; Surveying=unknown; Gnomonics & Horology=primary; Astronomy=secondary; Instrument Use=primary,,,,
yes,18,1,unknown,ustc-20,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1641,Paris,FRENCH,"Le cours de mathématiques représenté par figures, & cartes, & clairement expliqué dans toutes ses parties, avec quantité de connaissances & pratiques nouvelles. Le tout en faveur de ceux qui veulent apprendre les mathématiques en peu de temps. Première pa","LE
COVRS
DE MATHEMATIQVE,
REPRESENTE' PAR FIGVRES,
& cartes, & clairement expliqué dans toutes
ses parties, auec quantité de connoissances
& pratiques nouuelles.
LE TOUT EN FAVEVR DE CEVX
qui veulent apprendre les Mathematiques
en peu de temps.
PREMIERE PARTIE.",,,,,Practical Geometry; Cartography,Practical Geometry=unknown; Cartography=unknown,,,,
yes,19,1,unknown,N1D1J1,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1646,Rome,LATIN,Ars magna lucis et umbrae in decem libros digesta,"ATHANASII KIRCHERI
FVLDENSIS BVCHONII
E SOC. IESV PRESBYTERI;
Olim in Herbipolensi, & Auenionensi Societatis IESV Gymnasiis
Orientalium linguarum, & Matheseos, nunc huius
in Romano Collegio Professoris ordinarij.

ARS MAGNA
LVCIS ET VMBRAE
In decem Libros digesta.
QVIBVS
ADMIRANDAE LVCIS ET VMBRAE
in mundo, atque adeo vniuersa natura, vires effectusq.
vti noua, ita varia nouorum reconditiorumq.
speciminum exhibitione, ad varios mor-
talium vsus, panduntur.

Cum Priuilegio Sacr. Caesar. Maiestati",,,,,Practical Geometry; Perspective; Gnomonics & Horology,Practical Geometry=unknown; Perspective=unknown; Gnomonics & Horology=unknown,,,,
yes,20,1,unknown,MorisS-22-5,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1647,Paris,FRENCH,,"LA SCIENCE
DES LONGITVDES
DE
IEAN BAPTISTE MORIN,
DOCTEVR EN MEDECINE,
& Professeur du Roy aux Mathematiques
à Paris.

REDVITE EN EXACTE ET
facile pratique par luy-mesme, sur le Globe Celeste;
tant pour la Terre que pour la Mer: En faveur
des Pilotes & Capitaines de Mer.

AVEC LA CENSVRE DE LA NOVVELLE
Theorie & Pratique du secret des Longitudes du
Pere Leonard Dvilris, Recollet.

A MONSEIGNEVR L’EMINENTISSIME
CARDINAL MAZARIN.
",,,,Astronomy; Instrument Use; Navigation,Practical Geometry; Surveying; Cosmography; Geography; Trigonometry,Practical Geometry=unknown; Surveying=unknown; Astronomy=primary; Cosmography=unknown; Geography=unknown; Instrument Use=primary; Navigation=primary; Trigonometry=unknown,,,,
yes,21,1,unknown,bib-226,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1657,London,ENGLISH,"A help to calculation. Or Two tables: the one of decimal numbers, and the other of their logarithmes, for the ready converting of sexagenary tables into decimal, and the contrary. And for the finding of the part proportional in all sexagenary tables. As also tables of declination, right and oblique ascensions, ascensional difference, and other tables of the primum mobile, for the speedy and exact erecting of a figure: in all which the use of the former tables","A HELP
TO
CALCULATION
OR
Two Tables: the one of Decimal numbers,
and the other of their Logarithmes, for the ready
converting of Sexagenary Tables into Decimal, and
the contrary. And for the finding of the part
proportional in all Sexagenary
TABLES.

As also Tables of Declination, Right and
Oblique Ascensions, Ascensional Difference,
and other Tables of the Primum Mobile, for the
speedy and exact erecting of a Figure: In all
which the use of the former Tables in
taking the part proportional
will",,,,Arithmetic; Astronomy,Practical Geometry,Arithmetic=primary; Practical Geometry=unknown; Astronomy=primary,,,,
yes,22,1,unknown,bib-95,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1668,Cambridge,LATIN,,"P. PETRI
GALTRUCHII
AURELIANENSIS
SOC. JESU
MATHEMATICÆ
TOTIUS,
H. e.

1 Arithmeticae,      5 Gnomonicae,
2 Geometriæ,         6 Geographiæ,
3 Astronomiæ,        7 Opticæ,
4 Chronologiæ,       8 Musicæ,

Clara, Brevis & Accurata
INSTITUTIO.

In Gratiam studiosæ Juventutis
adornata.",,,,Arithmetic; Gnomonics & Horology; Astronomy; Geography,Practical Geometry; Theoretical Mathematics; Music Theory,Arithmetic=primary; Practical Geometry=unknown; Gnomonics & Horology=primary; Astronomy=primary; Geography=primary; Theoretical Mathematics=unknown; Music Theory=unknown,,,,
yes,23,1,unknown,bib-96,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1675,Caen,LATIN,,"P. PETRI
GALTRUCHII,
AURELIANENSIS,
SOCIET. JESU
INSTITUTIO
MATHEMATICÆ.
TOMUS SECUNDUS.
COSMOGRAPHIA.

Complectens Astronomiam, Chronologiam
Mathematicam, Gnomonicam, Tracta-
tum de Globo Terrestri, Geographiam
& Hydrographiam.

Ad usum Studiosæ Juventutis.

Editio tertia emendatior & auctior.",,,,Gnomonics & Horology; Astronomy; Cosmography; Geography,Practical Geometry; Surveying; Navigation; Trigonometry,Practical Geometry=unknown; Surveying=unknown; Gnomonics & Horology=primary; Astronomy=primary; Cosmography=primary; Geography=primary; Navigation=unknown; Trigonometry=unknown,,,,
yes,24,1,unknown,Brussels_1688,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1688,Brussels,SPANISH,,"LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE DE LOS ELEMENTOS DE EUCLIDES MEGARENSE: Augmentados de
muchas Proposiciones curiosas que facilitan su uso. DIRIGIDOS Al Excelentissimo Señor MARQUES DE BEDMAR, Capitan General de la Artilleria del Exercito de los Payses Baxos. Por el Capitan DON SEBASTIAN FERNANDEZ DE MEDRANO, Maestro de
Mathematicas por su Magestad en dicho Exercito.","1–6, 11–12",,TACQUET,,Practical Geometry,Practical Geometry=unknown,,,,
yes,25,1,unknown,bib-257,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1694,London,ENGLISH,,"Pleasure with Profit:
Consisting of
RECREATIONS
OF
DIVERS KINDS,
VIZ.

Numerical, Astronomical, Automactical,
Geometrical, Horometrical, Chymical,
Mechanical, Cryptographical, and
Statical, Magnetical, Historical.

Published to Recreate Ingenious Spirits; and to induce
them to make farther scrutiny into these (and the like)
SUBLIME SCIENCES.

AND

To divert them from following such Vices, to which Youth
(in this Age) are so much inclin’d.

By WILLIAM LEYBOURN, Philomathes.

To t",,,,Arithmetic; Gnomonics & Horology; Astronomy; Mechanics; Theoretical Mathematics,Practical Geometry,Arithmetic=secondary; Practical Geometry=unknown; Gnomonics & Horology=secondary; Astronomy=secondary; Mechanics=secondary; Theoretical Mathematics=primary,,,,
yes,26,2,unknown,bib-171,Theoretical Mathematics,unknown,,model returned unknown,1515,Augsburg,LATIN,,"Opera Ioannis Fernelii Augn.
hæc in se habent.

Quadratum sapientiæ: continens in se septem
artes liberales veterum.
Circulos biblic. iiii. in quibus metaphysica
mosaica.
Commentaria horum.
Ad hœc / libri rubrica inferius
signati: necessarii sunt.

Grammatica
Logica
Rhetorica
Monastica
Oeconomic
Politica
Alcarithmus subalternus
Arithmetica
Geometria
Perspectiva subalterna
Musica
Astronomia
Geographia
Physica
Medicina subalterna
Metaphysica

don. alex. gua. lasca. Poetc
nouus
boetius
boetius
petr",,,,Arithmetic; Perspective; Astronomy; Geography,Commercial Mathematics; Practical Geometry; Theoretical Mathematics; Music Theory,Arithmetic=primary; Commercial Mathematics=unknown; Practical Geometry=unknown; Perspective=primary; Astronomy=primary; Geography=primary; Theoretical Mathematics=unknown; Music Theory=unknown,reviewed,secondary,,"Mia interactive review batch 1, 2026-06-06."
yes,27,2,unknown,Messina_1558,Theoretical Mathematics,unknown,,model returned unknown,1558,Messina,LATIN,,"THEODOSII SPHAERICORVM ELEMENTORVM LIBRI.
III. Ex traditione Maurolyci Messanensis Mathematici. MENELAI SPHAERICORVM LIB. III. Ex traditione eiusdem. MAVROLYCI SPHAERICORVM LIB. II. AVTOLYCI DE SPHAERA, QUAE MOVETVR Liber.   THEODOSII DE HABITATIONIBVS. EV-
CLIDIS PHAENOMENA Brevissime demonstrata. Demonstratio & praxis trium tabellarum scilicet Sinus recti, Fœcundæ, & Beneficæ ad Sphæralia triangula pertinentium. COMPENDIVM MATHEMATI-CAE mira breuitate ex clarissimis Authoribus. Maurolyci de Sp",,Phaenomena (enunciations),,Practical Geometry; Astronomy; Trigonometry,Theoretical Mathematics,Practical Geometry=primary; Astronomy=primary; Theoretical Mathematics=unknown; Trigonometry=primary,,,,
yes,28,2,unknown,London_1570,Theoretical Mathematics,unknown,,model returned unknown,1570,London,ENGLISH,The elements of geometrie of the most ancient philosopher Euclide of Megara,"THE ELEMENTS OF GEOMETRIE of the most auncient Philosopher EVCLIDE of Megara. Faithfully (now first) translated into the Englishe toung, by H. Billingsley, Citizen of London. Whereunto are annexed certaine Scholies, Annotations, and Inuentions, of the best Mathematicians, both of time past, and in this our age. With a very fruitfull Præface made by M. I. Dee, specifying the chiefe Mathematicall Sciences, what they are, and wherunto commodious: where, also, are disclosed certaine new Secrets Math",1-16,,FOIX,Mechanics,Theoretical Mathematics,Mechanics=secondary; Theoretical Mathematics=unknown,,,,
yes,29,2,unknown,YUHFFF,Theoretical Mathematics,unknown,,model returned unknown,1591,Heidelberg,LATIN,"Arithmeticae, musicae et geometriae compendia. Guilelmo xylandro interprete.","MICAELIS
PSELLI ARITHME-
TICÆ, MUSICÆ ET
GEOMETRIÆ COM-
PENDIA
GUILIELMO XYLANDRO
INTERPRETE.",,,,Arithmetic; Music Theory,Practical Geometry; Theoretical Mathematics,Arithmetic=primary; Practical Geometry=unknown; Theoretical Mathematics=unknown; Music Theory=primary,,,,
yes,30,2,unknown,JT4H92,Theoretical Mathematics,unknown,,model returned unknown,1611,London,ENGLISH,"The first booke of architecture, made by Sebastian Serly, entreating of geometrie. Translated out of Italian into Dutch, and out of Dutch into English.","
The first Booke
of Architecture, made
by Sebastian Serly, entrea-
ting of Geometrie.

Translated out of Italian into
Dutch, and out of Dutch
into English.",,,,Architecture,Practical Geometry; Theoretical Mathematics,Practical Geometry=unknown; Architecture=primary; Theoretical Mathematics=unknown,reviewed,unrelated,,"Mia interactive review batch 1, 2026-06-06."
yes,31,2,unknown,bib-72,Theoretical Mathematics,unknown,,model returned unknown,1613,Herborn,LATIN,,"METHODUS
ADMIRANDO-
RUM MATHEMA-
TICORUM;
COMPLECTENS
Novem libros Matheseos
universae:

IN QUORUM

1 Mathematica generalis.
2 Arithmetica.
3 Geometria.
4 Cosmographia.
5 Uranoscopia.
6 Geographia.
7 Optica.
8 Musica.
9 Architectonica.

Studio
JOHANNIS-HERICI
ALSTEDI.",,,,Arithmetic; Architecture; Astronomy; Cosmography; Geography; Music Theory,Theoretical Mathematics,Arithmetic=primary; Architecture=primary; Astronomy=primary; Cosmography=primary; Geography=primary; Theoretical Mathematics=unknown; Music Theory=primary,,,,
yes,32,2,unknown,bib-106,Theoretical Mathematics,unknown,,model returned unknown,1621,Hanau,LATIN,,"SYSTEMA COMPEN-
DIOSVM TOTIVS MA-
THEMATICÆ;
hoc est,
GEOMETRIÆ,
OPTICÆ; ASTRO-
NOMIÆ ET GEOGRA-
PHIÆ;

Publicis prælectionibus, anno 1605.
in celeberrimo Gymnasio Dan-
tiscano propositum
A
BARTHOLOMÆO KECKER-
MANNO SS. THEOLOGIÆ LI-
centiato, & Philosophiæ
Professore.

In fine accessit brevis commentatio nautica,
ab eodem autore ibidem proposita
anno 1603.

Adiæcto Indice Capitum singulorum librorum.
Emendata & ab innumeris mendis repur-
gata.",,,,Astronomy; Geography; Navigation,Theoretical Mathematics,Astronomy=primary; Geography=primary; Theoretical Mathematics=unknown; Navigation=secondary,,,,
yes,33,2,unknown,bib-73,Theoretical Mathematics,unknown,,model returned unknown,1623,Herborn,LATIN,,"METHODUS
ADMIRAN-
DORUM MATHE-
MATICORUM

Novem libris exhibens univer-
sam Mathesin

Authore
JOHAN-HENRICO ALSTEDIO.

Secunda editio passim castigata, &
ornatius elaborata.",,,,,Arithmetic; Commercial Mathematics; Military Engineering; Construction; Practical Geometry; Surveying; Perspective; Cartography; Architecture; Gnomonics & Horology; Astronomy; Cosmography; Geography; Instrument Construction; Instrument Use; Mechanics; Theoretical Mathematics; Navigation; Music Theory; Trigonometry,Arithmetic=unknown; Commercial Mathematics=unknown; Military Engineering=unknown; Construction=unknown; Practical Geometry=unknown; Surveying=unknown; Perspective=unknown; Cartography=unknown; Architecture=unknown; Gnomonics & Horology=unknown; Astronomy=unknown; Cosmography=unknown; Geography=unknown; Instrument Construction=unknown; Instrument Use=unknown; Mechanics=unknown; Theoretical Mathematics=unknown; Navigation=unknown; Music Theory=unknown; Trigonometry=unknown,,,,
yes,34,2,unknown,bib-268,Theoretical Mathematics,unknown,,model returned unknown,1625,Amsterdam,FRENCH,"Opera matematica, ou oeuures mathematiques, traictans de geometrie, perspective, architecture et fortification Ausquels sont aioints les fondaments de la perspective & architecture","Opera matematica, ou oeuures mathematiques, traictans de geometrie, perspective, architecture et fortification Ausquels sont aioints les fondaments de la perspective & architecture ...",,,,Military Engineering; Perspective; Architecture,Practical Geometry; Theoretical Mathematics,Military Engineering=primary; Practical Geometry=unknown; Perspective=primary; Architecture=primary; Theoretical Mathematics=unknown,reviewed,secondary,,"Mia interactive review batch 1, 2026-06-06."
