classification_key,year,city,language,short_title,author_or_editor,primary_subject_family,primary_classes,elements_designation,references_to_euclid,base_content,content_description,rich_claim_text_raw,rich_social_text_raw,euclid_outside_elements_route
D40ZCO,1628,Jena,GERMAN,"Heinrici Hofmanni Professoris Mathematici in der Universitet Jehna Teutscher Euclides, Das ist seiner Geometriæ Erster Theil/ Von derselben Elementen",Heinrich Hofmann,No primary family,,Euclides,Euclides,Teutscher Euclides,Das ist seiner Geometriæ Erster Theil/ Von derselben Elementen,Teutscher Euclides | Das ist seiner Geometriæ Erster Theil/ Von derselben Elementen | Hofmanni Professoris Mathematici in der Universitet Jehna | Euclides | Teutscher Euclides | Euclides,Universitet Jehna | Hofmanni Professoris Mathematici in der Universitet Jehna,other Euclid/Elements reference
E8K2CK,1659,Bologna,LATIN,Geometriæ speciosæ elementa,Pietro Mengoli,Geometry/Theory,Theoretical Mathematics,GEOMETRIAE SPECIOSAE ELEMENTA,,GEOMETRIAE SPECIOSAE ELEMENTA,"De potestatibus, à radice binomia, & residua | De innumerabilibus numerosis progressionibus | De quasi proportionibus | De rationibus logarithmicis | De proprijs rationum logarithmis | De innumerabilibus quadraturis","GEOMETRIAE SPECIOSAE ELEMENTA | De potestatibus, à radice binomia, & residua | De innumerabilibus numerosis progressionibus | De quasi proportionibus | De rationibus logarithmicis | De proprijs rationum logarithmis | De innumerabilibus quadraturis | I. V. Ph. D. Coll. Patr. Bonon. Archigymn. Mechanici | GEOMETRIAE SPECIOSAE ELEMENTA",Coll. Patr. Bonon | Archigymn. Mechanici | I. V. Ph. D. Coll. Patr. Bonon. Archigymn. Mechanici,new/reformed Elements-like geometry
EJGRZN,1671,Paris,FRENCH,"Élémens de géométrie, où par une méthode courte & aisée l'on peut apprendre ce qu'il faut sçavoir d'Euclide, d'Archimède, d'Apollonius, & les plus belles inventions des anciens & des nouveaux géomètres",Ignace-Gaston Pardies,Geometry/Theory,Theoretical Mathematics,ELEMENS DE GEOMETRIE,d’Euclide,ELEMENS DE GEOMETRIE,OU PAR UNE METHODE COURTE & aisée l’on peut apprendre ce qu’il faut sçavoir,ELEMENS DE GEOMETRIE | OU PAR UNE METHODE COURTE & aisée l’on peut apprendre ce qu’il faut sçavoir | le P | d’Euclide | d’Archimede | Euclide | Archimede | Ap- pollonius | ELEMENS DE GEOMETRIE | d’Euclide,Compagnie de JESUS | le P | d’Euclide | d’Archimede | Euclide | Archimede | Ap- pollonius,other Euclid/Elements reference
Florence_1674,1674,Florence,ITALIAN,"Quinto Libro degli Elementi di Euclide, ovvero Scienza Universale delle Proporzioni spiegata colla dottrina del Galileo",Vincenzo Viviani,Geometry/Theory,Theoretical Mathematics,QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE,D’EVCLIDE,QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE,SCIENZA VNIVERSALE DELLE PROPORZIONI SPIEGATA COLLA DOTTRINA DEL GALILEO,"difesa | pubblicata | spiegata | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE | SCIENZA VNIVERSALE DELLE PROPORZIONI SPIEGATA COLLA DOTTRINA DEL GALILEO | Con nuovo ordine difesa, e per la prima volta pubblicata | ultimo suo Discepolo | GALILEO | TORRICELLI | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE | cose varie | I Ragguali | del TORRICELLI | I Ragguali | Aggiuntivi cose varie, e del GALILEO, e del TORRICELLI; I Ragguali dell’ultime Opere loro, con altro, che dall’Indice si manifesta | TORRICELLI | I Ragguali | GALILEO | D’EVCLIDE",ultimo suo Discepolo | PRINCIPE CARDINALE DE’ MEDICI | GALILEO | TORRICELLI,selected Euclidean book/proposition extract
Hardy-1,1643,Paris,FRENCH,,Claude Hardy,Geometry/Theory,Theoretical Mathematics,,Euclide,,,REFVTATION | Mr de Laleu | Euclide,Mr de Laleu,other Euclid/Elements reference
Hardy-5,1644,Paris,FRENCH,"Troisieme refutation de la fausse quadrature du cercle de M. de Laleu, si souvent agitee depuis vingt-quatre ans. Où il est monstré par une demonstration lineaire, & independante de la quarante-septiesme du premier livre d'Euclide, que le quarré des huict",Claude Hardy,Geometry/Theory,Theoretical Mathematics,du premier livre d'Euclide,Euclide,du premier livre d'Euclide,,du premier livre d'Euclide | M. de Laleu | du premier livre d'Euclide | Euclide,M. de Laleu,selected Euclidean book/proposition extract
Innsbruck_1634,1634,Innsbruck,LATIN,,Andreas Arzet,No primary family,,EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS,EUCLIDIS,EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS,ET FACILIOREM AD CAPTUM | ET FACILIOREM AD CAPTVM,APERITUR | Accommodavit | SELEGIT | Accommodavit | ADITUS | APERITUR | PER VISITATORES | EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS | ET FACILIOREM AD CAPTUM | ET FACILIOREM AD CAPTVM | S. I | EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS | DEMONSTRATIONES | EUCLIDIS,PER VISITATORES | S. I | S. I,other Euclid/Elements reference
Jena_1628,1628,Jena,GERMAN,,Heinrich Hofmann,Geometry/Theory,Theoretical Mathematics,Teutscher Eu- CLIDES,Eu- CLIDES,Teutscher Eu- CLIDES,"Das ist, seiner GEOMETRIAE Erster Theil Von derselben Elementen","Teutscher Eu- CLIDES | Das ist, seiner GEOMETRIAE Erster Theil Von derselben Elementen | PROFESSORIS MATHEMATICI in der Universität Jehna | Teutscher Eu- CLIDES | Teutscher Eu- CLIDES | Eu- CLIDES",Universität Jehna | PROFESSORIS MATHEMATICI in der Universität Jehna,other Euclid/Elements reference
Leiden_1615,1615,Leiden,LATIN,,Ludolph van Ceulen,Geometry/Theory | Arithmetic/Commerce,Arithmetic | Trigonometry,,,FUNDAMENTA ARITHMETICA ET GEOMETRICA,"cum communi usu In variis problematis, Geometricis, partim solo linearum ductu, partim per numeros irrationales, & tabulas sinuum, & Algebram solutis","translatae | FUNDAMENTA ARITHMETICA ET GEOMETRICA | cum communi usu In variis problematis, Geometricis, partim solo linearum ductu, partim per numeros irrationales, & tabulas sinuum, & Algebram solutis | vernaculo | in Latinum",,mixed mathematical system with Euclidean geometry
London_1678a,1678,London,LATIN,Euclidis Elementa Geometrica Novo Ordine ac Methodo fere demonstrata,Nicholas Mercator,Geometry/Theory,Theoretical Mathematics,EVCLIDIS ELEMENTA GEOMETRICA | EUCLIDIS ELEMENTA GEOMETRICA,EVCLIDIS | EUCLIDIS,EVCLIDIS ELEMENTA GEOMETRICA | EUCLIDIS ELEMENTA GEOMETRICA,"NOVO ORDINE AC METHODO FERÈ DEMONSTRATA | Novo Ordine ac Methodo FERE, DEMONSTRATA | Introductione brevi, Quâ Magnitudinum Ortus ex genuinis Principiis, & ortarum Affectiones ex ipsa Genesi derivantur","DEMONSTRATA | EVCLIDIS ELEMENTA GEOMETRICA | EUCLIDIS ELEMENTA GEOMETRICA | NOVO ORDINE AC METHODO FERÈ DEMONSTRATA | Novo Ordine ac Methodo FERE, DEMONSTRATA | Introductione brevi, Quâ Magnitudinum Ortus ex genuinis Principiis, & ortarum Affectiones ex ipsa Genesi derivantur | EVCLIDIS ELEMENTA GEOMETRICA | EUCLIDIS ELEMENTA GEOMETRICA | Introductione brevi | NICOLAI MERCATORIS IN GEOMETRIAM | IN GEOMETRIAM | EVCLIDIS | EUCLIDIS",,new/reformed Elements-like geometry
London_1695,1695,London,ENGLISH,"Geometry epitomiz'd: being a compendious collection of the most useful propositions in the first, third, fourth, fifth and sixth books of Euclid. Together with their uses, in several practical parts of the mathematicks. Also, Euclid's second book and doctrine of proportion alegebraically demonstrated. With some of the most useful problems required in practise. By William Alingham.",William Alingham,Geometry/Theory,Theoretical Mathematics,"Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID",EUCLID | Euclid’s ſecond Book,"Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID","A Compendious Collection of the moſt uſeful Propoſitions in the Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID","Epitomiz’d | BEING | demonſtrated | Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID | A Compendious Collection of the moſt uſeful Propoſitions in the Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID | Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID | Together With their Uſes, in ſeveral practical Parts of the Mathematicks | With ſome of the moſt uſeful Problems re­quired in Practice | Euclid’s ſecond Book and Doctrine of Pro­ portion | Euclid’s ſecond Book | EUCLID | Euclid’s ſecond Book",,selected Euclidean book/proposition extract
London_1700,1700,London,ENGLISH,"An epitome of geometry, being a compendious collection of the first, third, fifth, sixth, eleventh and twelfth books of Euclid; with their application to several of the most useful parts of the mathematicks. Also, Euclid's second book and doctrine of proportion, algebraically demonstrated. To which is subjoin'd, a treatise of measuring superficies and solids; vulgarly decimally and practically, with the customs used by artificers in measuring their several",William Alingham,Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement,Construction | Practical Geometry | Surveying,"First, Third, Fifth, Sixth, Eleventh, and Twelfth Books of EUCLID | EUCLID’s Second Book",EUCLID | EUCLID’s,"First, Third, Fifth, Sixth, Eleventh, and Twelfth Books of EUCLID | EUCLID’s Second Book and Doctrine of Proportion",with their Application to several of the most useful parts of the Mathematicks,"Subjoin’d | First, Third, Fifth, Sixth, Eleventh, and Twelfth Books of EUCLID | EUCLID’s Second Book and Doctrine of Proportion | with their Application to several of the most useful parts of the Mathematicks | Teacher of the MATHEMATICKS | First, Third, Fifth, Sixth, Eleventh, and Twelfth Books of EUCLID | EUCLID’s Second Book | A Treatise of Measuring Superficies and Solids; Vulgarily Decimally and Practically, with the Customs used by Artificers in Measuring their several Works: Likewise, Directions for Measuring Board and Timber; Making Vessels of any Bigness; Taking the Plan of any Court, Yard, Garden, &c. Also, The cutting the Five Regular Bodies | Treatise of Measuring Superficies and Solids | EUCLID | EUCLID’s",Teacher of the MATHEMATICKS,selected Euclidean book/proposition extract
MIZPJ8,1568,Nuremberg,GERMAN,"Perspectiva. Corporum regulariuM. Das ist ein fleyssige fürweysung wie die fünff regulirten cörper, darvon Plato inn Timaeo unnd Euclides inn sein elementis schreibt","Wenzel Jamnitzer, Jost Amman",Visual/Spatial Arts,Perspective,Elementis,Euclides,PERSPECTIVA. Corporum Regularium,Wie die Fünff Regulirten Cörper / daruon Plato inn Timæo / vnnd Euclides inn sein Elementis schreibt,Allen Liebhabern der freyen Künst zu Ehrn | PERSPECTIVA. Corporum Regularium | Wie die Fünff Regulirten Cörper / daruon Plato inn Timæo / vnnd Euclides inn sein Elementis schreibt | Plato | Elementis | ein schöne Anleytung | Euclides,Allen Liebhabern der freyen Künst zu Ehrn | Plato,visual/spatial arts using Euclidean geometry
MorisS-16-7,1623,Paris,FRENCH,,Denis Henrion,Geometry/Theory,Theoretical Mathematics,Elements Geometriques d’Euclide,d’Euclide,dixiesme Liure d’Euclide,,les traducteurs & interpretes | dixiesme Liure d’Euclide | Mathematicien | Elements Geometriques d’Euclide | la response Apologetique | d’Euclide,les traducteurs & interpretes | Mathematicien,selected Euclidean book/proposition extract
Nuremberg_1539,1539,Nuremberg,GERMAN,Das erst buch der geometria. Ein kurtze unterweisung was und warauff geometria gegruendet sey und wie man allerley lini flech und coerper außtheylen und in fuergegebner proportion machen soll,Wolfgang Schmid,Geometry/Theory,Practical Geometry,Das erst buch der Geometria,Euclide,Das erst buch der Geometria,"Ein kurtze unterweisung, was vnd worauff Geometria gegründet sey, vnd wie man / nach anweisung der selben / mit dem Circkel vnd Richtscheydt / allerley Lini / Flech / vnd Cörper außztheylen / vnd in fürgegebener propozition / machen soll","Getruckt | allen liebhabern der selben | allen künstlichen werckleuten | Das erst buch der Geometria | Ein kurtze unterweisung, was vnd worauff Geometria gegründet sey, vnd wie man / nach anweisung der selben / mit dem Circkel vnd Richtscheydt / allerley Lini / Flech / vnd Cörper außztheylen / vnd in fürgegebener propozition / machen soll | Rechen-meyster zu Bamberg | Das erst buch der Geometria | Euclide",allen liebhabern der selben | allen künstlichen werckleuten | Rechen-meyster zu Bamberg,Euclidean practical geometry / measurement
P3JCQH,1652,Leuven,LATIN,Euclides logisticus sive De ratione Euclidea,Francies de Nonancourt,Arithmetic/Commerce,Arithmetic,,EUCLIDES | EUCLIDEA,EUCLIDES LOGISTICUS,DE RATIONE EUCLIDEA,EUCLIDES LOGISTICUS | DE RATIONE EUCLIDEA | EUCLIDES LOGISTICUS | EUCLIDES | EUCLIDEA,,mixed mathematical system with Euclidean geometry
Paris_1534a,1534,Paris,LATIN,,Johann Vögelin,No primary family,,ELEMENTALE GEOMETRI,EUCLIDIS,ELEMENTALE GEOMETRI,EX EUCLIDIS GEOMETRIA,decerptum | omnium Mathematices studiosorum | ELEMENTALE GEOMETRI | EX EUCLIDIS GEOMETRIA | Hayl- pronensi | ELEMENTALE GEOMETRI | EUCLIDIS,omnium Mathematices studiosorum | Hayl- pronensi,other Euclid/Elements reference
Paris_1626,1626,Paris,FRENCH,,Honorat de Meynier,Geometry/Theory | Applied Mechanics/Military,Military Engineering | Theoretical Mathematics,d’Euclides,d’Euclides,"Ensemble les Definitions, Theoremes & Maximes","d’Euclides, d’Archimedes, de Proclus, de Sacrobosco, & d’Aristote","Vtiles à ceux qui se veulent seruir proprement des Mathematiques, & de la Philosophie | Ensemble les Definitions, Theoremes & Maximes | d’Euclides, d’Archimedes, de Proclus, de Sacrobosco, & d’Aristote | d’Euclides | PARADOXES DE MEYNIER, CONTRE LES MATHEMATICIENS qui abusent la Ieunesse | VN ABREGE' DES Reigles de la Geometrie, & des prin- cipalles Maximes & reigles des Arts, de fortifier & assaillir les places | PARADOXES DE MEYNIER, CONTRE LES MATHEMATICIENS | ABREGE' DES Reigles de la Geometrie | d’Euclides","Vtiles à ceux qui se veulent seruir proprement des Mathematiques, & de la Philosophie",other Euclid/Elements reference
Paris_1689,1689,Paris,FRENCH,"Nouveaux elemens des mathematiques, ou principes generaux de toutes les sciences qui ont les grandeurs pour objet",Jean Prestet,Geometry/Theory,Theoretical Mathematics,NOUVEAUX ELEMENS,,NOUVEAUX ELEMENS,OU PRINCIPES GENERAUX DE TOUTES LES SCIENCES Qui ont les grandeurs pour objet,"MIEUX DIGEREE | NOUVEAUX ELEMENS | OU PRINCIPES GENERAUX DE TOUTES LES SCIENCES Qui ont les grandeurs pour objet | SECONDE EDITION, PLUS AMPLE ET MIEUX DIGEREE | Prêtre, ci-devant Professeur des Mathématiques dans les Universitez d’Angers & de Nantes | NOUVEAUX ELEMENS","Universitez d’Angers & de Nantes | Prêtre, ci-devant Professeur des Mathématiques dans les Universitez d’Angers & de Nantes",new/reformed Elements-like geometry
Paris_1695,1695,Paris,FRENCH,"Les Élémens de géométrie ou de la mesure du corps, qui comprennent les Élémens d'Euclide et l'analise, les plus belles propositions d'Archimède touchant le cercle, la sphère, le cylindre et le cône",Bernard Lamy,Geometry/Theory,Theoretical Mathematics,Les Élémens d'Euclide,Euclide,Les Élémens d'Euclide,de géométrie ou de la mesure du corps,"Les Élémens d'Euclide | de géométrie ou de la mesure du corps | Les Élémens d'Euclide | les plus belles propositions d'Archimède touchant le cercle, la sphère, le cylindre et le cône | l'analise | les plus belles propositions d'Archimède touchant le cercle, la sphère, le cylindre et le cône | l'analise | les plus belles propositions d'Archimède | Euclide",,other Euclid/Elements reference
Strasbourg_1529,1529,Strasbourg,LATIN,"Elementale geometricum, ex Euclidis geometria",Johann Vögelin,No primary family,,"ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria",EVCLI,"ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria",Geometria,"decerptum | omnium Mathematicæ studiosorum | Lectori | ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria | Geometria | decerptum | Haylpronensi | ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria | EVCLI",omnium Mathematicæ studiosorum | Lectori | Haylpronensi,other Euclid/Elements reference
Strasbourg_1625,1625,Strasbourg,LATIN,,Joseph Langi,Arithmetic/Commerce | Cosmos/Earth,Arithmetic | Astronomy | Geography,ELEMENTALE MATHEMATICUM,,Elementa,,"collecta | digesta | aucta | explicata | declarata | illustrata | Elementa | Nunc verò plurimis additionibus aucta | ARGENTINENSIS, Phil. & Med. Doct | JOSEPHI LANGII CAESAREMONTANI | ELEMENTALE MATHEMATICUM | plurimis additionibus aucta | notis explicata | exemplis declarata | figuris illustrata | ARITHMETICAE VULGARIS | LOGISTICAE ASTRONOMICAE | GEOMETRIAE | ASTRONOMIAE SPHARICAE | THEORICAE PLANETARUM | GEOGRAPHIAE | ARITHMETICAE VULGARIS | LOGISTICAE ASTRONOMICAE | GEOMETRIAE | ASTRONOMIAE SPHARICAE | THEORICAE PLANETARUM | GEOGRAPHIAE","ARGENTINENSIS, Phil. & Med. Doct | JOSEPHI LANGII CAESAREMONTANI",mixed mathematical system with Euclidean geometry
Turin_1671,1671,Turin,LATIN,,Guarino Guarini,Geometry/Theory,Theoretical Mathematics,EVCLIDES,EVCLIDES,EVCLIDES ADAVCTVS ET METHODICVS MATHEMATICAE UNIVERSALIS,"Quae ne dum propositionum dependentiam, sed & rerum ordinem observat. Et complectitur ea omnia, quae de quantitate tum discreta, tum continua abstracta speculari queunt. Rescissis superfluis demonstrationibus, & requisitis omnibus profusè coadunatis","ADAVCTVS | EVCLIDES ADAVCTVS ET METHODICVS MATHEMATICAE UNIVERSALIS | Quae ne dum propositionum dependentiam, sed & rerum ordinem observat. Et complectitur ea omnia, quae de quantitate tum discreta, tum continua abstracta speculari queunt. Rescissis superfluis demonstrationibus, & requisitis omnibus profusè coadunatis | ADAVCTVS ET METHODICVS | MVTINENSI C. R. THÉATINO | Philosofo, Theologo & eiusdem R. C. Mathematico | EVCLIDES | Singuli quoque Tractatus novis propositionibus aucti sunt | aliqui etiam ex integro adornati | Omnesque tum figuris, tum verbis clare, dulciloquèque propositi | EVCLIDES","MVTINENSI C. R. THÉATINO | Philosofo, Theologo & eiusdem R. C. Mathematico | CAROLO EMANVELI II. SABAVDIAE DVCI PEDEMONTIVM PRINCIPI REGI CYPRI, &c",other Euclid/Elements reference
UQI2BV,1620,Strasbourg,LATIN,"Elementa Geometrica : In Usum Geometriae Studiosorum ex variis Authoribus collecta , Per M. Eberhardum Welperum, Philo-Geometram : Cum Figuris [et] Schematismis, in 32. tabulis aeneis diligenter elaboratis, ob oculos positis",Eberhard Welper,Geometry/Theory,Theoretical Mathematics,ELEMENTA GEOMETRICA,,ELEMENTA GEOMETRICA,IN VSVM GEOMETRIÆ | Studiosorum ex varijs Authoribus collecta,"collecta | elaboratis | ELEMENTA GEOMETRICA | IN VSVM GEOMETRIÆ | Studiosorum ex varijs Authoribus collecta | Philo-Geometram | ELEMENTA GEOMETRICA | Cum Figuris & Schematismis, in 32. tabulis æneis diligen- ter elaboratis, ob oculos positis",Philo-Geometram,other Euclid/Elements reference
