title,page_count,href,exists_in_commentaria,mathematics_related,subjects
"Agricola, Georg - Bermannus. Paris 1541.pdf",135,https://app.transkribus.org/sites/noscemus/doc/705020?colId=88639,,Unknown,unknown
"Agricola, Georg - De ortu et causis subterraneorum libri V ... Basel 1546.pdf",553,https://app.transkribus.org/sites/noscemus/doc/616637?colId=88639,,False,mineralogy
"Agricola, Georg - De re metallica. Basel 1556.pdf",605,https://app.transkribus.org/sites/noscemus/doc/658534?colId=88639,,False,chemistry; mineralogy
"Albertus de Saxonia & Vettori, Benedetto - Commentaria in Tractatum proportionum Alberti de Saxonia. Bologna 1506.pdf",121,https://app.transkribus.org/sites/noscemus/doc/735146?colId=88639,,True,geometry
"Albrecht, Johann Wilhelm - De effectibus musices in corpus animatum. Leipzig 1734.pdf",147,https://app.transkribus.org/sites/noscemus/doc/740095?colId=88639,,Unknown,music
"Aldrovandi, Ulisse - De quadrupedibus digitatis. Bologna 1637.pdf",751,https://app.transkribus.org/sites/noscemus/doc/750211?colId=88639,,False,zoology
"Aldrovandi, Ulisse - Serpentum et draconum historia. Bologna 1640.pdf",471,https://app.transkribus.org/sites/noscemus/doc/749215?colId=88639,,False,zoology; history
"Alessandrini, Giulio - De medicina et medico dialogus. Zurich 1557.pdf",393,https://app.transkribus.org/sites/noscemus/doc/599722?colId=88639,,False,medicine; literature
Alfraganus et al. - Continentur in hoc libro Rudimenta astronomica Alfragani ... Nuremberg 1537.pdf,259,https://app.transkribus.org/sites/noscemus/doc/732892?colId=88639,,True,astronomy
"Allioni, Carlo - Flora Pedemontana. Vol. 1. Turin 1785.pdf",387,https://app.transkribus.org/sites/noscemus/doc/747388?colId=88639,,False,botany
"Allioni, Carlo - Flora Pedemontana. Vol. 2. Turin 1785.pdf",421,https://app.transkribus.org/sites/noscemus/doc/747387?colId=88639,,False,botany
"Allioni, Carlo - Flora Pedemontana. Vol. 3. Turin 1785.pdf",223,https://app.transkribus.org/sites/noscemus/doc/747386?colId=88639,,False,botany
"Alpino, Prospero - De balsamo dialogus. Venice 1591.pdf",79,https://app.transkribus.org/sites/noscemus/doc/599723?colId=88639,,False,literature
"Alsario della Croce, Vincenzo - Vesuvius ardens. Rome 1632.pdf",341,https://app.transkribus.org/sites/noscemus/doc/775166?colId=88639,,False,geology
"Alsted, Johann Heinrich - Physica harmonica. Herborn 1616.pdf",297,https://app.transkribus.org/sites/noscemus/doc/839338?colId=88639,,Unknown,physics; music
"Alsted, Johann Heinrich - Triumphus Bibliorum sacrorum. Frankfurt am Main 1625.pdf",647,https://app.transkribus.org/sites/noscemus/doc/718447?colId=88639,,False,theology
"Altavilla, Benedetto - Animadversiones in ephemeridas. Turin 1580.pdf",33,https://app.transkribus.org/sites/noscemus/doc/900764?colId=88639,,True,astronomy
"Amann, Nils Nilsson - Flora Alpina. Uppsala 1756.pdf",32,https://app.transkribus.org/sites/noscemus/doc/662863?colId=88639,,False,botany
Amataus Lusitanus - Curationum medicinalium centuria prima. Florence 1551.pdf,411,https://app.transkribus.org/sites/noscemus/doc/702145?colId=88639,,False,medicine
"Anghiera, Pietro Martire d' - De orbe novo decades octo. Alcalá de Henares 1530.pdf",256,https://app.transkribus.org/sites/noscemus/doc/696815?colId=88639,,Unknown,geography
Anonymi - Carmina quadragesimalia. Oxford 1723.pdf,205,https://app.transkribus.org/sites/noscemus/doc/691442?colId=88639,,False,literature
Anonymus 15 - Symbolum Oenipontanum. Innsbruck 1620.pdf,1,https://app.transkribus.org/sites/noscemus/doc/928693?colId=88639,,Unknown,unknown
Anonymus 19 - Ars dirigendae mentis. Vol. 3. Venice 1739.pdf,381,https://app.transkribus.org/sites/noscemus/doc/750212?colId=88639,,Unknown,psychology
Anonymus 19 - Ars dirigendae mentis. Vol. 4. Venice 1739.pdf,499,https://app.transkribus.org/sites/noscemus/doc/750213?colId=88639,,Unknown,psychology
"Anonymus 20 - Review of Isaaci Nevvton, Philosophiae naturalis principia mathematica – Acta eruditorum. Leipzig 1688.pdf",59,https://app.transkribus.org/sites/noscemus/doc/1528734?colId=88639,,True,mathematics; philosophy; multidisciplinary science
Anonymus 5 - Enchiridion medicinae. Basel 1573.pdf,51,https://app.transkribus.org/sites/noscemus/doc/608626?colId=88639,,False,medicine; education
"Apian, Petrus - Cosmographicus liber. Landshut 1524.pdf",131,https://app.transkribus.org/sites/noscemus/doc/902261?colId=88639,,True,astronomy
"Apian, Petrus - Quadrans Apiani astronomicus. Ingolstadt 1532.pdf",62,https://app.transkribus.org/sites/noscemus/doc/918508?colId=88639,,True,astronomy
"Apollonius Pergaeus et al. - Apolloni Pergaei Conicorum libri V, VI, VII. Florence 1661.pdf",461,https://app.transkribus.org/sites/noscemus/doc/708106?colId=88639,,True,geometry
"Apollonius Pergaeus & Halley, Edmond - Apollonii Pergaei Conicorum libri octo. Oxford 1710.pdf",549,https://app.transkribus.org/sites/noscemus/doc/708107?colId=88639,,True,geometry
Applausus poetici. Innsbruck 1726.pdf,17,https://app.transkribus.org/sites/noscemus/doc/804028?colId=88639,,False,literature
Arcadum carmina. Vol. 1. Rome 1721.pdf,335,https://app.transkribus.org/sites/noscemus/doc/704344?colId=88639,,False,literature
Arcadum carmina. Vol. 2 Rome 1756.pdf,328,https://app.transkribus.org/sites/noscemus/doc/710270?colId=88639,,False,literature
"Archimedes & Gaurico, Luca - Tetragonismus. Venice 1503.pdf",73,https://app.transkribus.org/sites/noscemus/doc/915172?colId=88639,,True,mathematics
"Argenterio, Giovanni - De somno et vigilia. Florence 1556.pdf",435,https://app.transkribus.org/sites/noscemus/doc/658378?colId=88639,,Unknown,psychology
"Aristotle & Gaza, Theodorus - De animalibus. Venice 1476.pdf",512,https://app.transkribus.org/sites/noscemus/doc/808106?colId=88639,,False,zoology; philosophy
"Aselli, Gaspare - De lactibus. Basel 1628.pdf",97,https://app.transkribus.org/sites/noscemus/doc/605241?colId=88639,,False,anatomy
"Avicenna & Gentilis, de Fulgineo & degli Emanuelli, Bartolomeo - Super dicta Gentilis super definitione de febre data ab Avicenna. Rome 1524.pdf",55,https://app.transkribus.org/sites/noscemus/doc/831512?colId=88639,,False,medicine
"Bacci, Andrea & Gabelkover, Wolfgang - De monocerote seu unicornu. Stuttgart 1598.pdf",213,https://app.transkribus.org/sites/noscemus/doc/1424044?colId=88639,,False,zoology
"Bacon, Francis & Gruter, Jacob - Silva silvarum. Amsterdam 1661.pdf",711,https://app.transkribus.org/sites/noscemus/doc/801657?colId=88639,,False,natural history
"Bacon, Francis - Instauratio magna. London 1620.pdf",412,https://app.transkribus.org/sites/noscemus/doc/1031760?colId=88639,,Unknown,scientific method
"Baffi, Giovanni Battista - De cometis libri tres. Perugia 1580.pdf",257,https://app.transkribus.org/sites/noscemus/doc/668490?colId=88639,,True,astronomy
"Baglivi, Giorgio - De praxi medica ad priscam observandi rationem revocanda. Rome 1696.pdf",405,https://app.transkribus.org/sites/noscemus/doc/668491?colId=88639,,False,medicine
"Baglivi, Giorgio - Opera omnia medico-practica et anatomica. Lyon 1704.pdf",761,https://app.transkribus.org/sites/noscemus/doc/691444?colId=88639,,False,medicine; anatomy
"Barbarus, Hermolaus Iunior & Barbarus Hermolaus - Compendium scientiae naturalis ex Aristotele. Venice 1545.pdf",159,https://app.transkribus.org/sites/noscemus/doc/720097?colId=88639,,Unknown,philosophy; education
"Barbereini, Maffeo - Maffaei sanctae Romanae ecclesiae cardinalis Barberini ... poemata. Paris 1620.pdf",121,https://app.transkribus.org/sites/noscemus/doc/775165?colId=88639,,False,theology; literature
"Barlaeus, Caspar - Poemata. Vol. 2. Amsterdam 1646.pdf",604,https://app.transkribus.org/sites/noscemus/doc/928694?colId=88639,,False,literature
"Baron, Hacinthe-Théodore - Quaestionum medicarum series chornologica. Paris 1752-1763.pdf",386,https://app.transkribus.org/sites/noscemus/doc/605910?colId=88639,,False,medicine
"Barozzi, Francesco - Cosmographia in quattuor libros distributa. Venice 1585.pdf",523,https://app.transkribus.org/sites/noscemus/doc/704343?colId=88639,,True,astronomy
"Barrow, Isaac - Mathematicae professoris Lucasiani lectiones. London 1683.pdf",205,https://app.transkribus.org/sites/noscemus/doc/702144?colId=88639,,True,mathematics
"Bartholin, Caspar - Anatomicae institutiones. Wittenberg 1611.pdf",589,https://app.transkribus.org/sites/noscemus/doc/807625?colId=88639,,False,anatomy; education
"Bartholin, Rasmus - Experimenta crystalli Islandici disdiaclastici. Copenhagen 1699.pdf",93,https://app.transkribus.org/sites/noscemus/doc/706763?colId=88639,,Unknown,crystallography; scientific method
"Bartholin, Rasmus - Specimen recognitionis nuper editarum Observantionum astronomicarum Tychonis Brahe. Copenhagen 1668.pdf",57,https://app.transkribus.org/sites/noscemus/doc/657726?colId=88639,,True,astronomy
"Bartholin, Thomas - De nivis usu medico observationes variae. Copenhagen 1661.pdf",325,https://app.transkribus.org/sites/noscemus/doc/694898?colId=88639,,False,medicine; scientific method
"Bartholin, Thomas - De unicornu observationes novae. Padua 1645.pdf",344,https://app.transkribus.org/sites/noscemus/doc/706097?colId=88639,,False,zoology; scientific method
Bartholomaeus de Montagna - Consilia. Venice 1565.pdf,820,https://app.transkribus.org/sites/noscemus/doc/901145?colId=88639,,Unknown,unknown
"Basini, Basinio - Basini Parmensis poetae opera praestantiora. Vol. 1. Rimini 1794.pdf",560,https://app.transkribus.org/sites/noscemus/doc/701785?colId=88639,,False,literature
"Bauhin, Caspar - ΠΙΝΑΞ (Pinax) theatri botanici. Basel 1623.pdf",581,https://app.transkribus.org/sites/noscemus/doc/632437?colId=88639,,False,botany
"Bauhin, Johann & Gessner, Conrad - De plantis a divis sanctisve nomen habentibus. Basel 1591.pdf",177,https://app.transkribus.org/sites/noscemus/doc/658379?colId=88639,,False,botany
"Bayer, Johann - Uranomatria. Augsburg 1603.pdf",169,https://app.transkribus.org/sites/noscemus/doc/752861?colId=88639,,True,astronomy
"Becher, Johann Joachim et al. - Ichnographia chymiae fundamentalis. Büdingen 1722.pdf",33,https://app.transkribus.org/sites/noscemus/doc/797710?colId=88639,,False,chemistry
"Beckher, Daniel & Lindemann, Thomas - Disquisitio physica de glacie cruenta. Königsberg 1634.pdf",18,https://app.transkribus.org/sites/noscemus/doc/694624?colId=88639,,Unknown,physics; snow and ice
"Bellanti, Lucio - De astrologica veritate liber quaestionum ... Basel 1554 .pdf",327,https://app.transkribus.org/sites/noscemus/doc/733808?colId=88639,,Unknown,astrology
"Belon, Pierre - De aquatilibus. Pairs 1553.pdf",496,https://app.transkribus.org/sites/noscemus/doc/664559?colId=88639,,False,zoology
"Bembo, Pietro - De Aetna. Venice 1496.pdf",70,https://app.transkribus.org/sites/noscemus/doc/599724?colId=88639,,False,geology
"Benedetti, Giovanni Battista - Diversarum speculationum mathematicarum et physicarum liber. Turin 1585.pdf",921,https://app.transkribus.org/sites/noscemus/doc/841471?colId=88639,bib-35,True,mathematics; physics
"Benedetti, Giovanni Battista - Resolutio omnium Euclidis problematum. Venice 1553.pdf",145,https://app.transkribus.org/sites/noscemus/doc/928628?colId=88639,4D3V3G,True,geometry
"Bergman, Torbern - Opuscula physica et chemica. Stockholm et al. 1779-1790.pdf",2664,https://app.transkribus.org/sites/noscemus/doc/605035?colId=88639,,False,physics; chemistry
"Bergman, Torbern - Sciagraphia regni mineralis. Leipzig & Desau 1782.pdf",177,https://app.transkribus.org/sites/noscemus/doc/694478?colId=88639,,False,mineralogy
"Bergsträsser, Johann Andreas Benignus - Icones papilionum diurnorum. 3 vols. Hanau 1779-1781.pdf",93,https://app.transkribus.org/sites/noscemus/doc/756850?colId=88639,,False,zoology
"Beringer, Johann Bartholomäus Adam & Hueber, Georg Ludwig - Lithographia Wirceburgensis. Würzburg 1726.pdf",135,https://app.transkribus.org/sites/noscemus/doc/695640?colId=88639,,False,geology
"Bernoulli, Daniel (II) - Vita Danielis Bernoulli. Basel 1787.pdf",42,https://app.transkribus.org/sites/noscemus/doc/604894?colId=88639,,False,biography
"Bernoulli, Jakob - Ars conectandi. Basel 1713.pdf",358,https://app.transkribus.org/sites/noscemus/doc/807388?colId=88639,,True,mathematics
"Bernoulli, Johann - De motu musculorum. Basel 1694.pdf",21,https://app.transkribus.org/sites/noscemus/doc/607707?colId=88639,,True,mechanics; anatomy
"Beroaldo, Filippo - Opusculum de terremotu et pestilentia. Bologna 1505.pdf",93,https://app.transkribus.org/sites/noscemus/doc/706764?colId=88639,,False,geology; medicine
"Bessel, Friedrich Wilhelm - Tabulae Regimontanae reductionum. Königsberg 1830.pdf",637,https://app.transkribus.org/sites/noscemus/doc/915239?colId=88639,,True,astronomy
"Bettini, Mario - Aerarium philosophiae mathematicae. Vol. 1. Bologna 1648.pdf",775,https://app.transkribus.org/sites/noscemus/doc/807622?colId=88639,,True,mathematics; philosophy
"Bettini, Mario - Aerarium philosophiae mathematicae. Vol. 2. Bologna 1648.pdf",507,https://app.transkribus.org/sites/noscemus/doc/807623?colId=88639,,True,mathematics; philosophy
"Bettini, Mario - Aerarium philosophiae mathematicae. Vol. 3. Bologna 1648.pdf",742,https://app.transkribus.org/sites/noscemus/doc/807624?colId=88639,,True,mathematics; philosophy
"Beughem, Cornelis à - Bibliographia mathematica. Amsterdam 1688.pdf",551,https://app.transkribus.org/sites/noscemus/doc/653294?colId=88639,,True,mathematics; bibliography
"Biancani, Giuseppe - Aristotelis loca mathematica ex universis ipsius operibus collecta et explicata. Bologna 1615.pdf",373,https://app.transkribus.org/sites/noscemus/doc/653295?colId=88639,,True,mathematics; philosophy
"Biancani, Giuseppe - Sphaera mundi. Bologna 1620.pdf",481,https://app.transkribus.org/sites/noscemus/doc/912314?colId=88639,,True,astronomy
"Biese, Nicolas - De natura libri V. Antwerp 1573.pdf",401,https://app.transkribus.org/sites/noscemus/doc/608625?colId=88639,,Unknown,physics
"Biese, Nicolas - De universitate libri tres. Antwerp 1556.pdf",259,https://app.transkribus.org/sites/noscemus/doc/706768?colId=88639,,Unknown,unknown
"Bilberg, Johannes & Björner, Roland - Disputatio physica de glacie (1689). Uppsala 1689.pdf",59,https://app.transkribus.org/sites/noscemus/doc/694621?colId=88639,,Unknown,physics; snow and ice
"Biwald, Leopold - Physica generalis. Graz 1767.pdf",499,https://app.transkribus.org/sites/noscemus/doc/708108?colId=88639,,Unknown,physics
"Blaesing, David & Mittelpfort Jacob - Disquisitio physica de nive. Königsberg 1686.pdf",28,https://app.transkribus.org/sites/noscemus/doc/694625?colId=88639,,Unknown,physics; snow and ice
"Blaeu, Joan - Theatrum Sabaudiae. Vol. 1. Amsterdam 1682.pdf",288,https://app.transkribus.org/sites/noscemus/doc/928887?colId=88639,,Unknown,geography
"Blaeu, Joan - Theatrum Sabaudiae. Vol. 2. Amsterdam 1682.pdf",341,https://app.transkribus.org/sites/noscemus/doc/928886?colId=88639,,Unknown,geography
"Blankaart, Steven - Lexicon medicum Graeco-Latinum. Ed. Kühn. Vol. 1. Leipzig 1832.pdf",929,https://app.transkribus.org/sites/noscemus/doc/888131?colId=88639,,False,medicine; language
"Blankaart, Steven - Lexicon medicum Graeco-Latinum. Ed. Kühn. Vol. 2. Leipzig 1832.pdf",865,https://app.transkribus.org/sites/noscemus/doc/888130?colId=88639,,False,medicine; language
"Blasius, Gerardus Leonardus - Anatome medullae spinalis et nervorum inde provenientium. Amsterdam 1666.pdf",95,https://app.transkribus.org/sites/noscemus/doc/696410?colId=88639,,False,anatomy
"Blondel, François - Thermarum Aquisgranensium et Porcetanarum descriptio. Aachen 1671.pdf",281,https://app.transkribus.org/sites/noscemus/doc/801655?colId=88639,,Unknown,unknown
"Blumenbach, Johann Friedrich - De generis humani varietate nativa. Göttingen 1776.pdf",121,https://app.transkribus.org/sites/noscemus/doc/668492?colId=88639,,Unknown,unknown
"Bochart, Samuel - Hierozoicon. Vol. 1. London 1663.pdf",771,https://app.transkribus.org/sites/noscemus/doc/725075?colId=88639,,Unknown,unknown
"Bochart, Samuel - Hierozoicon. Vol. 2. London 1663.pdf",579,https://app.transkribus.org/sites/noscemus/doc/725076?colId=88639,,Unknown,unknown
"Boerhaave, Hermann - Institutiones medicae. Leiden 1708.pdf",271,https://app.transkribus.org/sites/noscemus/doc/746789?colId=88639,,False,medicine; education
"Boerhaave, Herman - Sermo academicus de chemia suos errores expurgante. Leiden 1718.pdf",47,https://app.transkribus.org/sites/noscemus/doc/658891?colId=88639,,False,chemistry
"Boerhaave, Herman - Sermo academicus de comparando certo. Leiden 1715.pdf",65,https://app.transkribus.org/sites/noscemus/doc/658512?colId=88639,,Unknown,unknown
"Boincontri, Lorenzo - Vaticinum. Rome 1488.pdf",16,https://app.transkribus.org/sites/noscemus/doc/701508?colId=88639,,Unknown,unknown
"Boisser de la Croix de Sauvages, Francois - Nosologia methodica. Amsterdam 1763.pdf",426,https://app.transkribus.org/sites/noscemus/doc/605034?colId=88639,,False,medicine; scientific method
"Boissier de la Croix de Sauvages, François - Nosologia methodica. Vol. 1. Amsterdam 1763.pdf",516,https://app.transkribus.org/sites/noscemus/doc/756870?colId=88639,,False,medicine; scientific method
"Boissier de la Croix de Sauvages, François - Nosologia methodica. Vol. 2,1. Amsterdam 1763.pdf",544,https://app.transkribus.org/sites/noscemus/doc/756869?colId=88639,,False,medicine; scientific method
"Boissier de la Croix de Sauvages, François - Nosologia methodica. Vol. 2,2. Amsterdam 1763.pdf",472,https://app.transkribus.org/sites/noscemus/doc/756868?colId=88639,,False,medicine; scientific method
"Boissier de la Croix de Sauvages, François - Nosologia methodica. Vol. 3,2. Amsterdam 1763.pdf",571,https://app.transkribus.org/sites/noscemus/doc/756867?colId=88639,,False,medicine; scientific method
"Bolyai, Farkas - Tentamen iuventutem studiosam in elementa matheseos purae introducendi. Târgu Mureș 1832.pdf",654,https://app.transkribus.org/sites/noscemus/doc/906157?colId=88639,,True,mathematics; geometry
"Boncompagni, Baldassarre & al-Khwarizmi, Muhammad ibn Musa - De numero Indorum. Rome 1857.pdf",26,https://app.transkribus.org/sites/noscemus/doc/904419?colId=88639,,True,number theory
"Boncompagni, Baldassarre & Leonardus, Pisanus - Liber abaci. Rome 1857.pdf",473,https://app.transkribus.org/sites/noscemus/doc/906163?colId=88639,,True,arithmetic
"Bongo, Pietro - Numerorum Mysteria. Bergamo 1599.pdf",827,https://app.transkribus.org/sites/noscemus/doc/767766?colId=88639,,True,arithmetic; number theory
"Bonincontri, Lorenzo - De rebus coelestibus libri tres. Basel 1540.pdf",127,https://app.transkribus.org/sites/noscemus/doc/701786?colId=88639,,True,astronomy
"Boodt, Anselmus de - Gemmarum et lapidum historia. Leiden 1636.pdf",617,https://app.transkribus.org/sites/noscemus/doc/726757?colId=88639,,False,mineralogy; history
"Borch, Ole - De ortu et progressu chemiae dissertatio. Copenhagen 1668.pdf",169,https://app.transkribus.org/sites/noscemus/doc/702146?colId=88639,,False,chemistry
"Borch, Ole - Lingua pharmacopoeorum. Copenhagen 1670.pdf",103,https://app.transkribus.org/sites/noscemus/doc/797707?colId=88639,,False,pharmacology; language
"Bordinus, Franciscus - Quaesitorum et responsionum mathematicae disciplinae chilias. Bologna 1573.pdf",393,https://app.transkribus.org/sites/noscemus/doc/912315?colId=88639,,True,mathematics
"Borelli, Giovanni Alfonos - Historia et meteorologia incendii Aetnaei. Reggio di Calabria 1670.pdf",188,https://app.transkribus.org/sites/noscemus/doc/683331?colId=88639,,False,meteorology; history
"Borelli, Giovanni Alfonso - De motu animalium. Vol. 1. Rome 1680.pdf",953,https://app.transkribus.org/sites/noscemus/doc/808107?colId=88639,,True,mechanics; zoology
"Borelli, Giovanni Alfonso - De motu animalium. Vol. 2. Rome 1681.pdf",557,https://app.transkribus.org/sites/noscemus/doc/808110?colId=88639,,True,mechanics; zoology
"Borel, Pierre - Bibliotheca chimica. Paris 1654.pdf",297,https://app.transkribus.org/sites/noscemus/doc/630005?colId=88639,,Unknown,bibliography
"Borel, Pierre - De vero telescopii inventore. The Hague 1655.pdf",203,https://app.transkribus.org/sites/noscemus/doc/653296?colId=88639,,True,optics; meteorology; scientific instruments
"Borgondio, Orazio - De telluris motu. Rome 1714.pdf",751,https://app.transkribus.org/sites/noscemus/doc/904450?colId=88639,,True,mechanics; geography
"Borrhaus, Martin - ΜΑΘΗΜΑΤΩΝ ΣΤΟΙΧΕΙΑ (Mathematon stoicheia). Strasbourg 1539.pdf",85,https://app.transkribus.org/sites/noscemus/doc/918505?colId=88639,,True,mathematics
"Bošković, Ruđer Josip - De proximo Veneris sub sole transitu. London 1759.pdf",24,https://app.transkribus.org/sites/noscemus/doc/782227?colId=88639,,True,astronomy
"Bošković, Ruđer Josip - De solis ac lunae defectibus. London 1760.pdf",273,https://app.transkribus.org/sites/noscemus/doc/702831?colId=88639,,True,astronomy
"Bošković, Ruđer Josip - Dissertatio de maris aestu. Rome 1747.pdf",51,https://app.transkribus.org/sites/noscemus/doc/743610?colId=88639,,Unknown,oceanography
"Bošković, Ruđer Josip - Dissertatio de maris aestu. Rome 1747.pdf",26,https://app.transkribus.org/sites/noscemus/doc/837030?colId=88639,,Unknown,oceanography
"Botallo, Leonardo - De curandis vulneribus sclopettorum. Lyon 1550.pdf",161,https://app.transkribus.org/sites/noscemus/doc/949394?colId=88639,,False,medicine; surgery
"Boulliau, Ismael - Philolaus. Amsterdam 1639.pdf",169,https://app.transkribus.org/sites/noscemus/doc/599725?colId=88639,MorisS-5-2,True,astronomy
"Boussuet, François - De natura aquatilium carmen. Lyon 1558.pdf",411,https://app.transkribus.org/sites/noscemus/doc/695622?colId=88639,,False,physics; zoology
Boyle Robert & Anonymus 16 - Chymista scepticus. Rotterdam 1668.pdf,787,https://app.transkribus.org/sites/noscemus/doc/695817?colId=88639,,False,chemistry
"Boym, Michał Piotr - Flora Sinensis. Vienna 1656.pdf",88,https://app.transkribus.org/sites/noscemus/doc/747381?colId=88639,,False,botany
"Brahe, Tycho & Curtz, Albert von - Historia coelestis. Augsburg 1666.pdf",1142,https://app.transkribus.org/sites/noscemus/doc/804025?colId=88639,,True,astronomy; history
"Brahe, Tycho - De disciplinis mathematicis oratio. Hamburg 1621 (Brahe).pdf",33,https://app.transkribus.org/sites/noscemus/doc/702147?colId=88639,,True,mathematics
"Brahe, Tycho - De mundi aetherei recentioribus phaenomenis. Prague 1603.pdf",499,https://app.transkribus.org/sites/noscemus/doc/731624?colId=88639,,True,astronomy
"Brahe, Tycho - De mundi aetherei recentioribus phaenomenis. Uraniborg 1588.pdf",481,https://app.transkribus.org/sites/noscemus/doc/731623?colId=88639,,True,astronomy
"Brahe, Tycho - De nova stella. Copenhagen 1573.pdf",91,https://app.transkribus.org/sites/noscemus/doc/731625?colId=88639,,True,astronomy
"Brahe, Tycho et al. - Epistolae astronomicae. Uraniborg 1596.pdf",355,https://app.transkribus.org/sites/noscemus/doc/804026?colId=88639,,True,astronomy; literature
"Brasavola, Antonio Musa - Examen omnium simplicium medicamentorum. Rome 1536.pdf",269,https://app.transkribus.org/sites/noscemus/doc/696081?colId=88639,,False,medicine; pharmacology
"Brasavola, Antonio Musa - Index refertissimus in omnes Galeni libros. Venice 1586.pdf",1119,https://app.transkribus.org/sites/noscemus/doc/833195?colId=88639,,False,medicine; bibliography
"Brendel, Adam & Oertel, Johann Gottfried - De Homero medico. Wittenberg 1700.pdf",29,https://app.transkribus.org/sites/noscemus/doc/689822?colId=88639,,False,medicine
"Breyn, Johann Philipp - Epistola de melonibus petrefactis. Leipzig 1722.pdf",60,https://app.transkribus.org/sites/noscemus/doc/657735?colId=88639,,False,literature
"Brisson, Mathruin-Jacques - Regnum animale in classes IX distributum. Paris 1756.pdf",417,https://app.transkribus.org/sites/noscemus/doc/737710?colId=88639,,False,zoology
"Brisson, Mathurin-Jacques - Ornithologia-Ornithologie. Vol. 1. Paris 1760.pdf",802,https://app.transkribus.org/sites/noscemus/doc/756878?colId=88639,,False,zoology
"Brisson, Mathurin-Jacques - Ornithologia-Ornithologie. Vol. 2. Paris 1760.pdf",790,https://app.transkribus.org/sites/noscemus/doc/756877?colId=88639,,False,zoology
"Brisson, Mathurin-Jacques - Ornithologia-Ornithologie. Vol. 3. Paris 1760.pdf",996,https://app.transkribus.org/sites/noscemus/doc/756876?colId=88639,,False,zoology
"Brisson, Mathurin-Jacques - Ornithologia-Ornithologie. Vol. 4. Paris 1760.pdf",842,https://app.transkribus.org/sites/noscemus/doc/756874?colId=88639,,False,zoology
