classification_key,year,city,language,short_title,elements_books_group,elements_designation,base_content,designation_type
Amsterdam_1634,1634,Amsterdam,"GERMAN, LATIN","Die sechs ersten Bücher Euclidis, Deß Hochgelährten weitberümbten, Griechischen Philosophi und Mathematici: Von den Anfängen und fundamenten der Geometriae : Dabey dann mancherley auß diesen Büchern gezogene Nutzbarkeiten angefüget seind: sampt den Specie",books_1_6,Die sechs ersten Bücher EVCLIDIS,Die sechs ersten Bücher EVCLIDIS,first-six-books Elements
Amsterdam_1652,1652,Amsterdam,LATIN,,unknown_books,,,missing/unclear designation
Amsterdam_1660,1660,Amsterdam,DUTCH,,books_1_6,EUKLIDES SES EERSTE BOEKKEN,EUKLIDES SES EERSTE BOEKKEN,first-six-books Elements
Amsterdam_1662,1662,Amsterdam,DUTCH,,near_complete_or_expanded_enunciations,De 15 Boecken der ELEMENTEN Van Euclidis,De 15 Boecken der ELEMENTEN Van Euclidis,Euclid + Elements designation
Amsterdam_1683,1683,Amsterdam,LATIN,,books_1_6_plus_solids,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,plane-plus-solid Elements
Amsterdam_1695,1695,Amsterdam,DUTCH,,near_complete_or_expanded,EUCLIDIS BEGINSELEN der MEETKONST,EUCLIDIS BEGINSELEN der MEETKONST,Euclid without Elements wording
Amsterdam_1697,1697,Amsterdam,FRENCH,,books_1_6_plus_solids,,,missing/unclear designation
Amsterdam_1700,1700,Amsterdam,FRENCH,,books_1_6_plus_solids,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,Euclid without Elements wording
Amsterdam_1700b,1700,Amsterdam,DUTCH,,books_1_6,De zes eerste Boecken EUCLIDIS,De zes eerste Boecken EUCLIDIS,Euclid + geometry designation
Amsterdam_1701,1701,Amsterdam,DUTCH,,books_1_6,De zes eerste Boecken EUCLIDIS,De zes eerste Boecken EUCLIDIS,Euclid + geometry designation
Amsterdam_1701b,1701,Amsterdam,LATIN,,books_1_6_plus_solids,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,plane-plus-solid Elements
Amsterdam_1702,1702,Amsterdam,DUTCH,,books_1_6,DE SES EERSTE BOEKEN DER BEGINSELEN EUCLIDIS,DE SES EERSTE BOEKEN DER BEGINSELEN EUCLIDIS,first-six-books Elements
Ansbach_1610,1610,Ansbach,"GERMAN, LATIN",Die ersten sechs Bücher Elementorum Euclidis,books_1_6,Die Ersten Sechs Bücher Elementorum EVCLIDIS,Die Ersten Sechs Bücher Elementorum EVCLIDIS,first-six-books Elements
Antwerp_1645,1645,Antwerp,LATIN,"Euclidis elementorum geometricorum libros tredecim Isidorum et Hypsiclem & recentiores de corporibus regularibus, & Procli propositiones geometricas",near_complete_or_expanded,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM ISIDORVM,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM ISIDORVM,selected/later-book Elements
Antwerp_1654,1654,Antwerp,LATIN,Elementa geometriae planae et solidae,books_1_6_plus_solids,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,plane-plus-solid Elements
Antwerp_1665,1665,Antwerp,LATIN,,books_1_6_plus_solids,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,plane-plus-solid Elements
Antwerp_1672,1672,Antwerp,LATIN,,books_1_6_plus_solids,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,plane-plus-solid Elements
Arnhem_1603,1603,Arnhem,LATIN,In geometriam Euclidis prioribus sex elementorum libris comprehensam demonstratio linealis,books_1_6,IN GEOMETRIAM EVCLIDIS prioribus sex Elementorum libris,IN GEOMETRIAM EVCLIDIS prioribus sex Elementorum libris,first-six-books Elements
Arnhem_1605,1605,Arnhem,LATIN,,selected_later_books,ARITHMETICAM RATIO- NALIVM EVCLIDIS,ARITHMETICAM RATIO- NALIVM EVCLIDIS,Euclid + Elements designation
Arnhem_1605a,1605,Arnhem,LATIN,In arithmeticam irrationalium Euclidis ,selected_later_books,EV- CLIDIS Decimo Elementorum libro,EV- CLIDIS Decimo Elementorum libro,selected/later-book Elements
Augsburg_1555,1555,Augsburg,GERMAN,"Das sibend, acht und neünt büch des hochberümbten mathematici Euclidis Megarensis",selected_later_books,"das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis","das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis",Euclid without Elements wording
BQ96WF,1758,Göttingen,GERMAN,"Anfangsgründe der Arithmetik, Geometrie, ebenen und sphärischen Trigonometrie und Perspectiv",unknown_books,,,geometry-only designation
Bamberg_1677,1677,Bamberg,LATIN,,books_1_6,,,missing/unclear designation
Basel_1533,1533,Basel,"GREEK, LATIN",ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ. Euclidis Elementa.,near_complete_or_expanded,,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛ. ΙΕ,Euclid + Elements designation
Basel_1537,1537,Basel,LATIN,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV,near_complete_or_expanded,EVCLIDIS MEGARENSIS MATHEMATICI CLARISSIMI EL- EMENtorum Geometricorum. Lib. XV | Elementorum geo- metricorum libri xv | Elementorum geometricorum libri xv,EVCLIDIS MEGARENSIS MATHEMATICI CLARISSIMI EL- EMENtorum Geometricorum. Lib. XV | Elementorum geo- metricorum libri xv | Elementorum geometricorum libri xv,selected/later-book Elements
Basel_1546a,1546,Basel,"DUTCH, LATIN",,unknown_books,,,missing/unclear designation
Basel_1550,1550,Basel,LATIN,Euclidis Megarensis philosophi et mathematici excellentissimi sex libri priores de geometricis principiis,books_1_6,SEX LIBRI PRIORES,SEX LIBRI PRIORES,first-six-books Elements
Basel_1562,1562,Basel,GERMAN,"Die sechs ersten Bücher Euclidis, vom Anfang oder Grund der Geometrie",books_1_6,Die Sechs Erste Bücher Euclidis,Die Sechs Erste Bücher Euclidis,first-six-books Elements
Basel_1570,1570,Basel,"DUTCH, LATIN",,unknown_books,,"ANITII MANLII SEVERINI BOETHI, PHILOSOPHORVM ET THEOLOGORVM PRINCIPIS OPERA omnia",other designation
Beijing_1607,1607,Beijing,CHINESE,,books_1_6,幾何原本,幾何原本,other designation
Beijing_1629,1629,Beijing,CHINESE,,books_1_6,,,missing/unclear designation
Berlin_1824,1824,Berlin,"GREEK, LATIN",EUCLIDIS ELEMENTORUM LIBRI SEX PRIORES  ,books_1_6,EUCLIDIS ELEMENTORUM LIBRI SEX PRIORES,LIBRI SEX PRIORES,first-six-books Elements
Bologna_1651,1651,Bologna,ITALIAN,,books_1_6,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,first-six-books Elements
Bologna_1651a,1651,Bologna,ITALIAN,De gli Elementi di Euclide li primi sei Libri,books_1_6,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,first-six-books Elements
Bologna_1684,1684,Bologna,LATIN,,books_1_6,SEX PRIORA EVCLIDIS GEOMETRICA ELEMENTA,SEX PRIORA EVCLIDIS GEOMETRICA ELEMENTA,first-six-books Elements
Bologna_1686,1686,Bologna,ITALIAN,,books_1_6,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,first-six-books Elements
Brussels_1688,1688,Brussels,SPANISH,,books_1_6_plus_solids,"LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE DE LOS ELEMENTOS DE EUCLIDES","LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE DE LOS ELEMENTOS DE EUCLIDES MEGARENSE",first-six-books Elements
Brussels_1689,1689,Brussels,SPANISH,"Elementos geometricos de Euclides, los seis primeros libros de los planos; y los onzeno, y dozeno de los solidos: con algunos selectos theoremas de Archimedes. Traducidos, y explicados por el P. Jacobo Kresa de la Compañia de Jesus, cathedratico de mathem",books_1_6_plus_solids,"ELEMENTOS GEOMETRICOS DE EVCLIDES, LOS SEIS PRIMEROS LIBROS DE LOS PLANOS; Y LOS ONZENO, Y DOZENO DE LOS SOLIDOS",ELEMENTOS GEOMETRICOS DE EVCLIDES,first-six-books Elements
Brussels_1701,1701,Brussels,SPANISH,,books_1_6_plus_solids,"LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS","LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS",first-six-books Elements
Cambridge_1655,1655,Cambridge,LATIN,Euclidis Elementorum Libri XV breviter demonstrati,near_complete_or_expanded,EUCLIDIS ELEMENTORUM Libri xv,EUCLIDIS ELEMENTORUM Libri xv,Euclid + Elements designation
Cambridge_1657,1657,Cambridge,LATIN,,unknown_books,Elementa EUCLIDIS,EUCLIDIS DATA,Euclidean corpus beyond Elements
Cambridge_1665,1665,Cambridge,LATIN,"Euclidis sex primi Elementorum geometricorum libri, commodiùs demonstrati. A.P. Georg. Fournier è societate Jesu. Accesserunt elementa astronomica, ubi Theodosii Tripolitæ sphæricorum libri tres, & universa triangulorum resolutio demonstrantur per Johannem Baptistam Duhamel, Mathesews Professorem.",books_1_6,EUCLIDIS SEX PRIMI ELEMENTORUM GEOMETRI- CORVM LIBRI,EUCLIDIS SEX PRIMI ELEMENTORUM GEOMETRI- CORVM LIBRI,first-six-books Elements
Cambridge_1703,1703,Cambridge,LATIN,,books_1_6_plus_solids,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,plane-plus-solid Elements
Cologne_1556,1556,Cologne,LATIN,Euclidis Megarensis mathematici clarissimi elementorum geometricorum liber primus,near_complete_or_expanded,Elementorum Geometricorum liber primus,Elementorum Geometricorum liber primus,Euclid + Elements designation
Cologne_1580,1580,Cologne,LATIN,,near_complete_or_expanded_enunciations,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,Euclid + Elements designation
Cologne_1591,1591,Cologne,LATIN,Euclidis elementorum libri XV; accessit XVI de solidorum regularium cuiuslibet intra quodlibet comparatione,near_complete_or_expanded,EVCLIDIS ELEMENTORVM LIBRI XV | EVCLIDIS POSTERIORES LIBRI IX,EVCLIDIS ELEMENTORVM LIBRI XV | EVCLIDIS POSTERIORES LIBRI IX,plane-plus-solid Elements
Cologne_1600,1600,Cologne,LATIN,Euclidis Elementorum Libri XV,unknown_books,EVCLIDIS ELEMENTORVM LIBRI XV. QVIBVS,EVCLIDIS ELEMENTORVM LIBRI XV. QVIBVS,Euclid + Elements designation
Cologne_1602,1602,Cologne,LATIN,,near_complete_or_expanded,"EVCLIDIS MEGARENSIS MATHEMATICI CLARISSIMI ELEMENTA, LIBRIS XV | ELEMENTA, LIBRIS XV","EVCLIDIS MEGARENSIS MATHEMATICI CLARISSIMI ELEMENTA, LIBRIS XV",plane-plus-solid Elements
Cologne_1607,1607,Cologne,LATIN,,near_complete_or_expanded_enunciations,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,Euclid + Elements designation
Cologne_1607a,1607,Cologne,LATIN,,unknown_books,,,missing/unclear designation
Cologne_1612,1612,Cologne,LATIN,,near_complete_or_expanded,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,Euclid + Elements designation
Cologne_1627,1627,Cologne,LATIN,,near_complete_or_expanded,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,Euclid + Elements designation
Douai_1620,1620,Douai,LATIN,,books_1_6,EVCLIDIS ELEMENTORVM LIBRI SEX PRIORES,EVCLIDIS ELEMENTORVM LIBRI SEX PRIORES,first-six-books Elements
Douai_1625,1625,Douai,LATIN,,books_1_6,Euclidis ELEMENTORVM LIBRI SEX PRIORES,Euclidis ELEMENTORVM LIBRI SEX PRIORES,first-six-books Elements
Edinburgh_1795,1795,Edinburgh,ENGLISH,"Elements of Geometry, containing the first six books of Euclid with two books on the geometry of solids",books_1_6,ELEMENTS OF GEOMETRY,THE FIRST SIX BOOKS OF EUCLID,first-six-books Elements
FA6MQ0,1551,London,ENGLISH,"The Pathway to Knowledg, containing the First Principles of Geometrie",unknown_books,,THE FIRST PRINciples of Geometrie,geometry-only designation
Ferrara_1628,1628,Ferrara,LATIN,,books_1_6,EVCLIDIS ELEMENTORVM Libri VI,EVCLIDIS ELEMENTORVM Libri VI,Euclid + Elements designation
Florence_1573,1573,Florence,ITALIAN,,unknown_books,LA PROSPETTIVA DI EVCLIDE,LA PROSPETTIVA DI EVCLIDE,Euclid without Elements wording
Florence_1690,1690,Florence,ITALIAN,"Elementi piani, e solidi agl'illustrissimi sig. dell'Accademia de' nobili",books_1_6_plus_solids,"ELEMENTI PIANI, E SOLIDI D’EVCLIDE | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE","ELEMENTI PIANI, E SOLIDI D’EVCLIDE | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE",plane-plus-solid Elements
Frankfurt_1506,1506,Frankfurt,LATIN,Algorithmus mercatorrum variis proposicionibus eorundem contractibus inseruientibus multum decoratus,partial_from_book_1,,,other designation
Frankfurt_1607,1607,Frankfurt,LATIN,,near_complete_or_expanded,EVCLIDIS ELEMENTORVM LIBRI XV | EVCLIDIS POSTERIORES LIBRI IX,EVCLIDIS ELEMENTORVM LIBRI XV | EVCLIDIS POSTERIORES LIBRI IX,selected/later-book Elements
Frankfurt_1654,1654,Frankfurt,LATIN,"Euclidis Posteriores Libri IX Accessit liber XVI. De Solidorum Regularium cuiuslibet intra quodlibet comparatione, Omnes Perspicuis Demonstrationibus, accuratisque scholiis illustrati Auctore Christophoro Clavio Bambergensi e Societate Jesu: nunc quarto editi, ac multarum rerum accessione post primam editionem locupletati",near_complete_or_expanded,EUCLIDIS ELEMENTORUM LIBRI XV | EUCLIDIS POSTERIORES LIBRI IX,EUCLIDIS ELEMENTORUM LIBRI XV | EUCLIDIS POSTERIORES LIBRI IX,plane-plus-solid Elements
Frankfurt_1674,1674,Frankfurt,LATIN,,books_1_6,,Libros XXVIII,other designation
GY5QLD,1537,Basel,LATIN,Euclidis Megarensis Mathematici Clarissimi Elementorum geometricorum Lib. XV,near_complete_or_expanded,Elementorum geometricorum Lib. XV,Elementorum geometricorum Lib. XV,Euclid + Elements designation
Geneva_1611,1611,Geneva,FRENCH,Les six premiers livres des Eléments géométriques,books_1_6,LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,first-six-books Elements
Glasgow_1756,1756,Glasgow,LATIN,Euclidis Elementorum libri priores sex item undecimus et duodecimus ex versione latina Federici Commandini,books_1_6,EUCLIDIS ELEMENTORUM,"LIBRI PRIORES SEX, ITEM UNDECIMUS ET DUODECIMUS",first-six-books Elements
Graz_1636,1636,Graz,LATIN,Euclidis sex primi elementorum geometricorum libri cum parte undecimi ex majoribus Clavij commentarijs in commodiorem forma contracti,books_1_6,EVCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICORUM LIBRI CUM PARTE UNDECIMI,EVCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICO- RUM LIBRI CUM PARTE UNDECIMI,first-six-books Elements
Halle_1758,1773,Halle,GERMAN,"Euklid’s Geometrie, oder die sechs ersten Bücher der Elemente nebst dem eilften und zwölften aus dem Griechichen übersetz",books_1_6,die sechs ersten Bücher der Elemente,die sechs ersten Bücher der Elemente,first-six-books Elements
Hamburg_1633,1633,Hamburg,DUTCH,,books_1_6,EVCLIDES ZES EERSTE BOEKKEN,EVCLIDES ZES EERSTE BOEKKEN,Euclid without Elements wording
Hamburg_1638,1638,Hamburg,DUTCH,,books_1_6,EUKLIDES ZES EERSTE BOEKKEN,EUKLIDES ZES EERSTE BOEKKEN,other designation
IC4Y79,1501,Venice,LATIN,De expetendis et fugiendis rerum opus,unknown_books,elementorum Euclidis,elementorum Euclidis,Euclid + Elements designation
Ingolstadt_1617,1617,Ingolstadt,LATIN,Euclidis elementorum geometricorum libri sex priores,books_1_6,"EVCLIDIS ELEMENTORVM GEOMETRICORVM, LIBRI SEX PRIORES | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX PRIORES","EVCLIDIS ELEMENTORVM GEOMETRICORVM, LIBRI SEX PRIORES | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX PRIORES",first-six-books Elements
JTZKPV,1532,Paris,LATIN,"Pictoribus, fabris erariis ac lignariis quatuor his suarum institutionum geometricarum libris, lineas, superficies et solida corpora tractavit",unknown_books,,,plane-plus-solid Elements
KVSFF1,1799,Paris,FRENCH,Éléments de géométrie avec des notes,partial_from_book_1,ÉLÉMENTS DE GÉOMÉTRIE | ÉLÉMENTS DE   GÉOMÉTRIE,ÉLÉMENTS DE GÉOMÉTRIE | ÉLÉMENTS DE   GÉOMÉTRIE,geometry-only designation
Kiel_Hamburg_and_Leipzig_1697,1697,"Hamburg, Leipzig",GERMAN,"Samuel Reyhers, Icti, Bey der Hoch-Fürstl. Holst. Universität Codic. und Mathematum Prof. In Teutscher Sprache vorgestellter Euclides, Dessen VI. erste Bücher auf sonderbahre Art, Mit Algebraischen Zeichen, also eingerichtet sind, daß man derselben Beweise auch in andern Sprachen gebrauchen kan",books_1_6,"EUCLIDES, Dessen VI. erste Bücher","EUCLIDES, Dessen VI. erste Bücher",Euclid without Elements wording
Kiel_and_Leipzig_1699,1699,"Kiel, Leipzig",GERMAN,,books_1_6,EUCLIDES,EUCLIDES,Euclid without Elements wording
Lausanne_1683,1683,Lausanne,FRENCH,"Les Élémens d'Euclide, expliquez d'une manière nouvelle …  par le P. Claude-François Milliet-Dechales",books_1_6_plus_solids,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,Euclid without Elements wording
Le_Mans_1663,1663,Le Mans,FRENCH,,unknown_books,LA PERSPECTIVE D’EVCLIDE,LA PERSPECTIVE D’EVCLIDE,Euclid without Elements wording
Leiden_1599,1599,Leiden,LATIN,,unknown_books,EVCLIDIS Optica & Catoptrica,EVCLIDIS Optica & Catoptrica,Euclidean corpus beyond Elements
Leiden_1606,1606,Leiden,DUTCH,De ses eerste boucken Euclidis,books_1_6,De ses eerste boucken EVCLIDIS,De ses eerste boucken EVCLIDIS,first-six-books Elements
Leiden_1607,1607,Leiden,DUTCH,,books_1_6,De ses eerste Boucken EVCLIDIS,De ses eerste Boucken EVCLIDIS,first-six-books Elements
Leiden_1617,1617,Leiden,DUTCH,,near_complete_or_expanded_enunciations,xv. Boucken der Elementen Euclidis,DE PROPOSITIEN vande xv. Boucken der Elementen Euclidis,Euclid + Elements designation
Leiden_1692,1692,Leiden,LATIN,,selected_later_books,EUCLIDIS ELEMENTORUM SEX LIBRI PRIORES,EUCLIDIS ELEMENTORUM SEX LIBRI PRIORES,first-six-books Elements
Leiden_and_Amsterdam_1673,1673,"Leiden, Amsterdam",LATIN,,books_1_6,EVCLIDIS ELEMENTORVM SEX PRIORES LIBRI,EVCLIDIS ELEMENTORVM SEX PRIORES LIBRI,first-six-books Elements
Leipzig_1549,1549,Leipzig,LATIN,"Euclidis elementorum geometricorum libri sex, conversi in Latinum sermonem",books_1_6,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX,first-six-books Elements
Leipzig_1577,1577,Leipzig,LATIN,EUCLIDIS ELEMENTORUM GEOMETRICORUM LIBRI SEX conuersi in latinum sermonem à Ioach,unknown_books,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX,Εuκλείδου στοιχείων βίβλια Eξ. EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX,first-six-books Elements
Leipzig_1607,1607,Leipzig,LATIN,,unknown_books,EVCLIDIS OPTICA & CATOPTRICA,EVCLIDIS OPTICA & CATOPTRICA,Euclidean corpus beyond Elements
Leipzig_1883,1883,Leipzig,"GREEK, LATIN",EUCLIDIS OPERA OMNIA,books_1_13,,EUCLIDIS OPERA OMNIA,Euclid without Elements wording
Lisbon_1735,1735,Lisbon,PORTUGUESE,"Elementos de geometria plana, e solida, segundo a ordem de Euclides",unknown_books,"ELEMENTOS DE GEOMETRIA PLANA, E SOLIDA, SEGUNDO A ORDEM DE EUCLIDES","ELEMENTOS DE GEOMETRIA PLANA, E SOLIDA, SEGUNDO A ORDEM DE EUCLIDES",plane-plus-solid Elements
Livorno_1709,1709,Livorno,LATIN,Euclides reformatus,books_1_6,"EUCLIDES REFORMATUS, SIVE PLANA, ET SOLIDA GEOMETRIÆ ELEM ENTA OPUS","EUCLIDES REFORMATUS, SIVE PLANA, ET SOLIDA GEOMETRIÆ ELEM ENTA OPUS",plane-plus-solid Elements
London_1570,1570,London,ENGLISH,The elements of geometrie of the most ancient philosopher Euclide of Megara,near_complete_or_expanded,THE ELEMENTS OF GEOMETRIE,THE ELEMENTS OF GEOMETRIE,Euclid + Elements designation
London_1620,1620,London,"GREEK, LATIN",ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ἕγ. ELEMENTORVM EVCLIDIS LIBRI TREDECIM,books_1_6,ELEMENTORVM EVCLIDIS LIBRI TREDECIM | ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ἕγ,ELEMENTORVM EVCLIDIS LIBRI TREDECIM,selected/later-book Elements
London_1651,1651,London,ENGLISH,"Euclides Elements of geometry: the first VI books: in a compendious form contracted and demonstrated. By Captain Thomas Rudd, chiefe engineer to his late Majesty. Whereunto is added, the mathematicall preface of Mr. John Dee.",books_1_6,EUCLIDES ELEMENTS OF GEOMETRY,EUCLIDES ELEMENTS OF GEOMETRY: The first VI Books,Euclid + Elements designation
London_1654,1654,London,LATIN,,books_1_6,EUCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICO- RUM LIBRI,EUCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICO- RUM LIBRI,first-six-books Elements
London_1659,1659,London,LATIN,"Euclidis Elementorum libri xv. breviter demonstrati, opera Is. Barrow, Cantabrigiensis, Coll. Trin. Soc.",near_complete_or_expanded,EUCLIDIS ELEMENTORUM Libri xv,EUCLIDIS ELEMENTORUM Libri xv,Euclid + Elements designation
London_1660,1660,London,ENGLISH,,near_complete_or_expanded,EUCLIDE’S ELEMENTS,EUCLIDE’S ELEMENTS,Euclid + Elements designation
London_1661,1661,London,ENGLISH,,near_complete_or_expanded,EUCLID’S ELEMENTS OF Geometry. In XV. Books,EUCLID’S ELEMENTS OF Geometry. In XV. Books,Euclid + Elements designation
London_1678,1678,London,LATIN,EUCLIDIS ELEMENTORUM Libri XV. breviter demonstrati,near_complete_or_expanded,EUCLIDIS Elementorum LIBRI XV,EUCLIDIS Elementorum LIBRI XV,Euclid + Elements designation
London_1680–81,1680/1681,London,ENGLISH,"A new systeme of the mathematicks: containing I. Arithmetick, as well natural and decimal, as in species, or the principles of Algebra. II. Practical geometry, together with the first six books of Euclid's Elements, as also the eleventh and twelfth, symbolically demonstrated. III. Trigonometry plain and spherical. IV. Cosmography, or a description of the heavens. V. Navigation, or sailing by a plain or Mercator's chart; as also by the arch of a great circle,",books_1_6_plus_solids,the first Six Books of Euclid’s ELEMENTS,the first Six Books of Euclid’s ELEMENTS,first-six-books Elements
London_1685,1685,London,LATIN,,selected_later_books,EUCLIDIS ELEMENTORUM Libri XV,EUCLIDIS ELEMENTORUM Libri XV,Euclid + Elements designation
London_1685a,1685,London,ENGLISH,,books_1_6_plus_solids,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,first-six-books Elements
London_1686,1686,London,ENGLISH,"Euclid's Elements. The whole fifteen books compendiously demonstrated by Mr. Isaac Barrow, Fellow of Trinity Colledge in Cambridge. And translated out of the Latin.",near_complete_or_expanded,EVCLID’s ELEMENTS. The Whole FIFTEEN BOOKS,EVCLID’s ELEMENTS. The Whole FIFTEEN BOOKS,Euclid + Elements designation
London_1696,1696,London,ENGLISH,"The elements of Euclid explain'd, in a new, but most easie method: together with the use of every proposition through all parts of the mathematicks. Written in French, by that excellent mathematician, F. Claud. Francis Milliet de Chales, of the Society of Jesus. Now made English, and a multitude of errors corrected, which had escap'd in the original.",books_1_6_plus_solids,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,Euclid + Elements designation
London_1703,1703,London,ENGLISH,,books_1_6_plus_solids,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,first-six-books Elements
London_1705,1705,London,ENGLISH,,near_complete_or_expanded,EUCLIDE’S ELEMENTS,EUCLIDE’S ELEMENTS,Euclid + Elements designation
London_1747,1747,London,ENGLISH,Elements of Plane Geometry,books_1_6,ELEMENTS OF Plane Geometry,ELEMENTS OF   Plane Geometry,Elements language without Euclid
