key,url,note
U6JR6P,https://app.transkribus.org/sites/noscemus/doc/704338?colId=88639,"Transkribus: Gessner, Conrad - Pandectae. Zurich 1548.pdf"
MBMOYV,https://app.transkribus.org/sites/noscemus/doc/901014?colId=88639,"Transkribus: Kepler, Johannes - Astronomiae pars optica. Frankfurt am Main 1604.pdf"
I9PE2Y,https://app.transkribus.org/sites/noscemus/doc/807626?colId=88639,"Transkribus: Kepler, Johannes - Astronomia nova. Heidelberg 1609.pdf"
FNI2Y6,https://app.transkribus.org/sites/noscemus/doc/713326?colId=88639,"Transkribus: Kepler, Johannes - Dioptrice. Augsburg 1611.pdf"
A540JK,https://app.transkribus.org/sites/noscemus/doc/823046?colId=88639,"Transkribus: Kepler, Johannes - Mysterium cosmographicum. Tübingen 1596.pdf"
Z0K13S,https://app.transkribus.org/sites/noscemus/doc/819058?colId=88639,"Transkribus: Kopernikus, Nikolaus - De revolutionibus orbium coelestium. Nuremberg 1543.pdf"
bib-52,https://app.transkribus.org/sites/noscemus/doc/902427?colId=88639,"Transkribus: MagIni, Giovanni Antonio - De planis trangulis. De dimetiendi ratione. Venice & Bologna 1592.pdf"
Venice_1575,https://app.transkribus.org/sites/noscemus/doc/912317?colId=88639,"Transkribus: Maurolico, Francesco - Opuscula mathematica. Venice 1575.pdf"
CTQRB8,https://app.transkribus.org/sites/noscemus/doc/742420?colId=88639,"Transkribus: Maurolico, Francesco - Photismi de lumine et umbra. Naples 1611.pdf"
MorisS-21-11,https://app.transkribus.org/sites/noscemus/doc/807648?colId=88639,"Transkribus: Mersenne, Marin - Cogitata physico-mathematica. Paris 1644.pdf"
MorisS-21-10,https://app.transkribus.org/sites/noscemus/doc/701512?colId=88639,"Transkribus: Mersenne, Marin - Universae geometriae mixtaeque mathematicae synopsis. Paris 1644.pdf"
bib-276,https://app.transkribus.org/sites/noscemus/doc/823077?colId=88639,"Transkribus: Proclus, Diadochus & Barozzi, Francesco - Procli in primum Euclidis Elementorum librum Commentaria. Padua 1560.pdf"
bib-21,https://app.transkribus.org/sites/noscemus/doc/616645?colId=88639,"Transkribus: Ramus, Petrus - Arithmeticae libri duo, geometriae septem et viginti. Basel 1569.pdf"
ZD6FLL,https://app.transkribus.org/sites/noscemus/doc/742067?colId=88639,"Transkribus: Scheiner, Christoph - Oculus, hoc est fundamentum opticum. Innsbruck 1619.pdf"
bib-64,https://app.transkribus.org/sites/noscemus/doc/928630?colId=88639,"Transkribus: Viète, François - Canon mathematicus seu ad triangula. Paris 1579.pdf"
bib-144,https://app.transkribus.org/sites/noscemus/doc/888132?colId=88639,"Transkribus: Vitali, Girolamo - Lexicon mathematicum, astronomicum, geometricum. Paris 1668.pdf"
BQ2MXR,https://app.transkribus.org/sites/noscemus/doc/807622?colId=88639,"Transkribus: Bettini, Mario - Aerarium philosophiae mathematicae. Vol. 1. Bologna 1648.pdf"
BQ2MXR,https://app.transkribus.org/sites/noscemus/doc/807623?colId=88639,"Transkribus: Bettini, Mario - Aerarium philosophiae mathematicae. Vol. 2. Bologna 1648.pdf"
BQ2MXR,https://app.transkribus.org/sites/noscemus/doc/807624?colId=88639,"Transkribus: Bettini, Mario - Aerarium philosophiae mathematicae. Vol. 3. Bologna 1648.pdf"
FF0SVB,https://app.transkribus.org/sites/noscemus/doc/833197?colId=88639,"Transkribus: Gregory, David - Astronomiae physicae et geometricae elementa. Oxford 1702.pdf"
VDXMMX,https://app.transkribus.org/sites/noscemus/doc/921412?colId=88639,"Transkribus: Cavalieri, Bonaventura - Geometria indivisibilibus continuorum promota. Bologna 1653.pdf"
T09SZ3,https://app.transkribus.org/sites/noscemus/doc/897958?colId=88639,"Transkribus: Descartes, René et al. - Geometria a Renato des Cartes edita Amsterdam 1659–1661.pdf"
Venice_1482,https://app.transkribus.org/sites/noscemus/doc/911544?colId=88639,"Transkribus: Euclides & Campanus, Johannes - Elementa. Venice 1482.pdf"
IZ7AER,https://app.transkribus.org/sites/noscemus/doc/918652?colId=88639,"Transkribus: Faulhaber Johannes & Remmelin, Johann - Mathematici tractatus duo. Frankfurt am Main 1610.pdf"
PCZHG5,https://app.transkribus.org/sites/noscemus/doc/899969?colId=88639,"Transkribus: Finé, Oronce - Quadratura circuli ... Paris 1544.pdf"
CHUVGJ,https://app.transkribus.org/sites/noscemus/doc/901016?colId=88639,"Transkribus: Maurolico, Francesco - Arithmeticorum libri II. Venice 1575.pdf"
M5BOCD,https://app.transkribus.org/sites/noscemus/doc/608636?colId=88639,"Transkribus: Mizauld, Antoine - De mundi sphaera. Paris 1552.pdf"
Y8F95Y,https://app.transkribus.org/sites/noscemus/doc/831511?colId=88639,"Transkribus: Pappus Alexandrinus & Commandino, Federico - Pappi Alexandrini Mathematicae collectiones. Pesaro 1588.pdf"
THOI3O,https://app.transkribus.org/sites/noscemus/doc/732632?colId=88639,"Transkribus: Schott, Kaspar - Phyisica curiosa. Vol. 1. Würzburg 1662.pdf"
THOI3O,https://app.transkribus.org/sites/noscemus/doc/732633?colId=88639,"Transkribus: Schott, Kaspar - Phyisica curiosa. Vol. 2. Würzburg 1662.pdf"
I2IA25,https://app.transkribus.org/sites/noscemus/doc/689825?colId=88639,"Transkribus: Viète, François - De aequationum recognitione et emendatione. Paris 1615.pdf"
O3PAP5,https://app.transkribus.org/sites/noscemus/doc/928892?colId=88639,"Transkribus: Viète, François - Zeteticorum libri quinque. Tours 1593.pdf"
BKH4JK,https://app.transkribus.org/sites/noscemus/doc/899970?colId=88639,"Partial (only the arithmetics part); Transkribus: Wallis, John - Arithmetica infinitorum. Oxford 1656.pdf"
