review_id,Page/Key,Language,Feature Name,Value_orig,Value_llm,Value_llm5,final_candidate,working_final_value,decision_tier,needs_human_review,review_priority,recommendation_rule,recommendation_support,decision_reason,current_db_value,current_source_revision,current_revision_name,mapped_to_db_feature,is_v6_revision,current_exact_working_final,current_unordered_comma_match,current_missing
R0031,Amsterdam_1616,DUTCH,Verbs,"Overgeset, verclaert, ende uytgeleyt, oversien, verbetert, vermeerdert","Overgeset, verclaert, ende uytgeleyt, Van nieus oversien, ende verbetert","Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert","Overgeset, verclaert, ende uytgeleyt, Van nieus oversien, ende verbetert","Overgeset, verclaert, ende uytgeleyt, Van nieus oversien, ende verbetert",D_prompt_policy_choice,yes,2,preferred_prompt_conflicts_or_no_consensus,Value_llm,v1/v5 disagree or no consensus; candidate comes from the best prompt by feature/language fallback.,"Overgeset, verclaert, uytgeleyt, oversien, verbetert",7d8fdc01-b3ec-43de-a654-4cba5ffb6a09,v6,1,1,0,0,0
R0032,Amsterdam_1618,GERMAN,Adapter Attribution,Sebastianum Curtium,Sebastianum Curtium,H. Ioann Petersz Dou,Sebastianum Curtium,Sebastianum Curtium,A_confirmed,no,0,manual_supported_by_llm,Value_llm,Manual value is supported by v1 or v5.,H. Ioann Petersz,7d8fdc01-b3ec-43de-a654-4cba5ffb6a01,v6,1,1,0,0,0
R0034,Amsterdam_1618,GERMAN,Adapter Description,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teütschen Schuln in Nurnberg.,,Dou,Dou,Dou,E_single_llm_over_manual,yes,2,single_llm_value_conflicts_with_manual,Value_llm5,"Only one LLM produced a value and it conflicts with manual; weak evidence, review before trusting at scale.",Dou,7d8fdc01-b3ec-43de-a654-4cba5ffb6a03,v6,1,1,1,1,0
R0035,Amsterdam_1618,GERMAN,Base Content,Die sechs ersten Bücher EVCLIDIS,"Die sechs ersten Bücher EVCLIDIS,",sechs ersten Bücher EVCLIDIS,"Die sechs ersten Bücher EVCLIDIS,","Die sechs ersten Bücher EVCLIDIS,",D_prompt_policy_choice,yes,2,preferred_prompt_conflicts_or_no_consensus,Value_llm,v1/v5 disagree or no consensus; candidate comes from the best prompt by feature/language fallback.,Die sechs ersten Bücher EVCLIDIS,7d8fdc01-b3ec-43de-a654-4cba5ffb6a05,v6,1,1,0,1,0
R0036,Amsterdam_1618,GERMAN,Base Content Description,Niderlandischen andern Edition,"Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici:, Von den anfängen vnd fundamenten der Geometriæ., Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind:, sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen:, Per Demonstra-tiones Lineales.","Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici, Von den anfängen vnd fundamenten der Geometriæ","Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici:, Von den anfängen vnd fundamenten der Geometriæ., Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind:, sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen:, Per Demonstra-tiones Lineales.","Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici:, Von den anfängen vnd fundamenten der Geometriæ., Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind:, sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen:, Per Demonstra-tiones Lineales.",D_prompt_policy_choice,yes,2,preferred_prompt_conflicts_or_no_consensus,Value_llm,v1/v5 disagree or no consensus; candidate comes from the best prompt by feature/language fallback.,"Die sechs ersten Bücher EVCLIDIS, Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici: Von den anfängen vnd fundamenten der Geometriæ",7d8fdc01-b3ec-43de-a654-4cba5ffb6a07,v6,1,1,0,0,0
R0038,Amsterdam_1618,GERMAN,Date in Imprint,1618,1618,1618,1618,1618,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,1618,71d1be08-4bb6-47d0-b31b-0c599353e775,v2,1,0,1,1,0
R0042,Amsterdam_1618,GERMAN,Enriched With,"mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Per Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Demonstra-tiones Lineales",D_prompt_policy_choice,yes,2,preferred_prompt_conflicts_or_no_consensus,Value_llm,v1/v5 disagree or no consensus; candidate comes from the best prompt by feature/language fallback.,"Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind, Per Demonstra-tiones Lineales",7d8fdc01-b3ec-43de-a654-4cba5ffb6a08,v6,1,1,0,0,0
R0043,Amsterdam_1618,GERMAN,Euclid Description,"Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici","Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici","höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici","Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici","Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici",A_confirmed,no,0,manual_supported_by_llm,Value_llm,Manual value is supported by v1 or v5.,"Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici",f8f833bf-6d05-46d6-8468-e2f6fe52f105,v2,1,0,1,1,0
R0044,Amsterdam_1618,GERMAN,Euclid References,EVCLIDIS,EVCLIDIS,EVCLIDIS,EVCLIDIS,EVCLIDIS,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,EVCLIDIS,7d8fdc01-b3ec-43de-a654-4cba5ffb6a13,v6,1,1,1,1,0
R0045,Amsterdam_1618,GERMAN,Explicit Language References,Niderlandischen,Niderlandischen,"Griechischen, Niderlandischen",Niderlandischen,Niderlandischen,A_confirmed,no,0,manual_supported_by_llm,Value_llm,Manual value is supported by v1 or v5.,Niderlandischen,7d8fdc01-b3ec-43de-a654-4cba5ffb6a10,v6,1,1,1,1,0
R0046,Amsterdam_1618,GERMAN,Institutions,Verordneten Inspectorn vnd Visitatorn der Teütschen Schuln in Nurnberg,Teütschen Schuln in Nurnberg,Teütschen Schuln,Teütschen Schuln,Teütschen Schuln,D_prompt_policy_choice,yes,2,preferred_prompt_conflicts_or_no_consensus,Value_llm5,v1/v5 disagree or no consensus; candidate comes from the best prompt by feature/language fallback.,Teütschen Schuln in Nurnberg,7d8fdc01-b3ec-43de-a654-4cba5ffb6a14,v6,1,1,0,0,0
R0049,Amsterdam_1618,GERMAN,Place in Imprint,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Amsterdam,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,Amsterdam,7d8fdc01-b3ec-43de-a654-4cba5ffb6a11,v6,1,1,1,1,0
R0050,Amsterdam_1618,GERMAN,Publisher in Imprint,Wilhelm Janss.,Wilhelm Janss.,Wilhelm Janss,Wilhelm Janss.,Wilhelm Janss.,A_confirmed,no,0,manual_supported_by_llm,Value_llm,Manual value is supported by v1 or v5.,Wilhelm Janss,7d8fdc01-b3ec-43de-a654-4cba5ffb6a12,v6,1,1,0,0,0
R0051,Amsterdam_1618,GERMAN,Verbs,verteutscht,"verteutscht, angefüget","verteutscht, angefüget","verteutscht, angefüget","verteutscht, angefüget",C_llm_agreement_overrides_manual,sample,1,v1_v5_agree_conflicts_with_manual,"Value_llm,Value_llm5","v1 and v5 agree with each other but conflict with manual; use LLM agreement as likely cleanup, but sample-review this assumption.",verteutscht,7d8fdc01-b3ec-43de-a654-4cba5ffb6a09,v6,1,1,0,0,0
R0052,Amsterdam_1626,DUTCH,Adapter Attribution,IAN PIETERSZOON DOV,IAN PIETERSZOON DOV,IAN PIETERSZOON DOV,IAN PIETERSZOON DOV,IAN PIETERSZOON DOV,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,IAN PIETERSZOON DOV,7d8fdc01-b3ec-43de-a654-4cba5ffb6a01,v6,1,1,1,1,0
R0054,Amsterdam_1626,DUTCH,Adapter Description,der stadt Leyden Landtmeter ende Wijnroeyer.,der stadt Leyden Landtmeter ende Wijnroeyer.,der stadt Leyden Landtmeter ende Wijnroeyer,der stadt Leyden Landtmeter ende Wijnroeyer.,der stadt Leyden Landtmeter ende Wijnroeyer.,A_confirmed,no,0,manual_supported_by_llm,Value_llm,Manual value is supported by v1 or v5.,der stadt Leyden Landtmeter ende Wijnroeyer,7d8fdc01-b3ec-43de-a654-4cba5ffb6a03,v6,1,1,0,0,0
R0056,Amsterdam_1626,DUTCH,Base Content,De ses eerste Boecken EVCLIDIS,"De ses eerste Boecken EVCLIDIS, Van de beginselen ende fondamenten der Geometrie.",De ses eerste Boecken EVCLIDIS,De ses eerste Boecken EVCLIDIS,De ses eerste Boecken EVCLIDIS,A_confirmed,no,0,manual_supported_by_llm,Value_llm5,Manual value is supported by v1 or v5.,"De ses eerste Boecken EVCLIDIS, Van de beginselen ende fondamenten der Geometrie",7d8fdc01-b3ec-43de-a654-4cba5ffb6a05,v6,1,1,0,0,0
R0057,Amsterdam_1626,DUTCH,Base Content Description,"Van nieus over-sien, ende verbetert","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen., Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe","eenighe nut-ticheden, byghevoechde nutticheden","eenighe nut-ticheden, byghevoechde nutticheden","eenighe nut-ticheden, byghevoechde nutticheden",D_prompt_policy_choice,yes,2,preferred_prompt_conflicts_or_no_consensus,Value_llm5,v1/v5 disagree or no consensus; candidate comes from the best prompt by feature/language fallback.,"Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen, Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe liefhebbers der selver vryer Conste",7d8fdc01-b3ec-43de-a654-4cba5ffb6a07,v6,1,1,0,0,0
R0059,Amsterdam_1626,DUTCH,Date in Imprint,1626,Anno 1626.,1626,1626,1626,A_confirmed,no,0,manual_supported_by_llm,Value_llm5,Manual value is supported by v1 or v5.,1626,71d1be08-4bb6-47d0-b31b-0c599353e775,v2,1,0,1,1,0
R0060,Amsterdam_1626,DUTCH,Edition Statement,"Van nieus over-sien, ende verbetert: Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus over-sien, ende verbetert, breeder verclaert","Van nieus over-sien, ende verbetert","Van nieus over-sien, ende verbetert, breeder verclaert","Van nieus over-sien, ende verbetert, breeder verclaert",D_prompt_policy_choice,yes,2,preferred_prompt_conflicts_or_no_consensus,Value_llm,v1/v5 disagree or no consensus; candidate comes from the best prompt by feature/language fallback.,"Van nieus over-sien, ende verbetert",718a7718-22cf-424e-a7f1-84e9cf1071c6,v1,1,0,0,0,0
R0062,Amsterdam_1626,DUTCH,Enriched With,"eenighe nut-ticheden, de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe liefhebbers der selver vryer Conste, de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert","Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen, Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe, breeder verclaert ende vermeerdert","Specien in Geometrische figueren, overgheset, verclaert, ende uytgheleyt","Specien in Geometrische figueren, overgheset, verclaert, ende uytgheleyt","Specien in Geometrische figueren, overgheset, verclaert, ende uytgheleyt",D_prompt_policy_choice,yes,2,preferred_prompt_conflicts_or_no_consensus,Value_llm5,v1/v5 disagree or no consensus; candidate comes from the best prompt by feature/language fallback.,"Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen, Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe",7d8fdc01-b3ec-43de-a654-4cba5ffb6a08,v6,1,1,0,0,0
R0063,Amsterdam_1626,DUTCH,Euclid References,EVCLIDIS,EVCLIDIS,EVCLIDIS,EVCLIDIS,EVCLIDIS,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,EVCLIDIS,7d8fdc01-b3ec-43de-a654-4cba5ffb6a13,v6,1,1,1,1,0
