name,page_number,is_bold,volume
Isaïe,"15, 227.",false,vol_1
Isambert (Anne),579.,false,vol_1
Isidore (St),"100, 626.",false,vol_1
Issachar,559.,false,vol_1
Jubal,"102, 129, 204, 551.",false,vol_1
Jumeau (André),xliii.,false,vol_1
Justinien,100.,false,vol_1
Juvénal,"93, 581.",false,vol_1
Kapsberger (J.-H.),438.,false,vol_1
Kepler (Jean),"61, 62, 64, 106, 131, 132, 134, 193, 194, 239, 261, 262, 266, 290, 291, 298, 301, 330, 333, 355, 356, 357, 414, 423, 425, 426, 429, 430, 432, 433, 458, 472, 560, 596, 598, 606, 619.",false,vol_1
Kircher (le P.),432.,false,vol_1
Krantz (Alb.),103.,false,vol_1
Kufler (Jacques),132.,false,vol_1
Kunrath (Heinrich),286.,false,vol_1
La Boderie (Sr de),v. Lefèvre (Guy).,false,vol_1
La Brosse (Sr de),v. Leloyer (Pierre).,false,vol_1
La Bodinière (Sr de),v. Poisson.,false,vol_1
La Brosse (Guy de),xxxix.,false,vol_1
La Chambre (Marin Cureau de),xxxix.,false,vol_1
Lachèvre (Fréd.),"112, 137, 165, 166.",false,vol_1
Lacquehay (Jean),149.,false,vol_1
Laetus (Jacobus),461.,false,vol_1
La Garde (Sr de),v. Hozier (d').,false,vol_1
La Grange (Jean de),494.,false,vol_1
La Haye (le P. de),43.,false,vol_1
La Haye (l'ambassadeur de),43.,false,vol_1
La Hire (de),356.,false,vol_1
La Hoguette (Fortin de),"171, 324, 325, 379.",false,vol_1
Laleu (Sr de),v. Yvon (Paul).,false,vol_1
La Magdelaine (Sr de),v. Amboise (Pierre).,false,vol_1
La Maillarde (Sr de),v. Mydorge.,false,vol_1
La Mirandole (Antoine de),70.,false,vol_1
La Mirandole (Jean Pic de),"7, 48, 49, 59, 142, 230.",false,vol_1
La Mothe du Plessis Hodancourt (Daniel de),445.,false,vol_1
La Mothe-le Vayer,"xli, 325, 379.",false,vol_1
La Noue (le P. François de),"13, 98, 242, 306, 441, 462, 470, 549.",false,vol_1
La Noue (François de),81.,false,vol_1
La Noue (Odet de),81.,false,vol_1
Lanovius,v. La Noue (le P. Fr. de).,false,vol_1
La Pause (Jean Plantavit de),xxxi.,false,vol_1
La Porte (Claude de),"59, 60, 68.",false,vol_1
La Poterie,192.,false,vol_1
Larcher (Michel),xxxvi.,false,vol_1
Lardenois,447.,false,vol_1
La Rochemaillet (Sr de),v. Michel (Gabriel).,false,vol_1
La Salle (le P. Louis de la),xxi.,false,vol_1
La Saussaye (Marie),105.,false,vol_1
Lassus (Orlando),v. Lattre (Roland de).,false,vol_1
La Tour (le P. Charles de),"xx, n. 3, 197, 444.",false,vol_1
La Tour (le P. de),444.,false,vol_1
Latrecy (Denis),144.,false,vol_1
Lattre (Roland de),"96, 585.",false,vol_1
La Turgère (Sr de),v. Bigot (Et.).,false,vol_1
"L'Aubespine (Ch. de), seigneur de Verderonne","xxxvi, 349.",false,vol_1
"L'Aubespine (Ch. de), marquis de Châteauneuf",615.,false,vol_1
"L'Aubespine (Claude de), baron de Norat",xxxvi.,false,vol_1
L'Aubespine (Gabriel),"xxx, 615.",false,vol_1
Launay (Jean de),xxxii.,false,vol_1
Launay (l'abbé de),xxxiv.,false,vol_1
Lauson (le président de),617.,false,vol_1
La Ville aux Clercs (de),619.,false,vol_1
"Le Febvre, médecin à Rome",602.,false,vol_1
"Lefebvre (Olivier, seigneur d'Ormesson)",105.,false,vol_1
"Lefebvre, à Rouen","222, 237, 264, 268, 274, 281, 285, 287, 290, 295, 297, 321, 324, 360, 364, 372, 427, 428, 485.",false,vol_1
"Lefebvre, à Rouen, frère du précédent","274, 324, 325.",false,vol_1
"Lefebvre (Messieurs), à Rouen",263.,false,vol_1
Le Fèvre (André),xxxvii.,false,vol_1
Le Fèvre (Jacques) d'Étaples,"386, 581, 583.",false,vol_1
Lefèvre (Grégoire),397.,false,vol_1
Lefèvre (Guy) de la Boderie,"7, 142, 349.",false,vol_1
"Leibniz, L.",n. 1.,false,vol_1
Le Jay,xxxii.,false,vol_1
Le Jeune (Cécile),81.,false,vol_1
Le Jeune (Claude),"44, 75, 78, 80, 81, 585.",false,vol_1
Leloyer (Pierre),"53, 103-104, 517, 523, 524, 557, 559, 560, 561.",false,vol_1
