edition_id,language,year,city,Architecture,Arithmetic,Astronomy,Cartography,Commercial Mathematics,Construction,Cosmography,Geography,Gnomonics & Horology,Instrument Construction,Instrument Use,Mechanics,Military Engineering,Music Theory,Navigation,Perspective,Practical Geometry,Surveying,Theoretical Mathematics,Trigonometry,primary_classes,secondary_classes,unknown_classes,primary_count,secondary_count,unknown_count
JXC181,ITALIAN,1569,Venice,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated,Perspective,Architecture | Practical Geometry,,1,2,0
JZ3MT9,LATIN,1593,Antwerp,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated,Practical Geometry,Theoretical Mathematics,,1,1,0
K7DERJ,GERMAN,1567,Augsburg,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated,Perspective | Practical Geometry,Construction,,2,1,0
L3XLGB,FRENCH,1564,Poitiers,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,Gnomonics & Horology | Instrument Construction,Instrument Use | Practical Geometry,,2,2,0
L8R7FQ,FRENCH,1556,Paris,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
LQNZBJ,FRENCH,1572,Paris,secondary,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Astronomy,Architecture,,1,1,0
MIZPJ8,GERMAN,1568,Nuremberg,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated,Perspective,Practical Geometry,,1,1,0
MYFHIS,ITALIAN,1584,Venice,primary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,Architecture | Construction,,Instrument Use | Practical Geometry,2,0,2
N000JX,LATIN,1516,Alcala,unrelated,primary,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,primary,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,Arithmetic | Astronomy | Music Theory,,Instrument Use | Practical Geometry,3,0,2
NTML0S,ITALIAN,1600,Venice,primary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated,Architecture | Perspective,Construction | Practical Geometry,Instrument Use,2,2,1
Nuremberg_1539,GERMAN,1539,Nuremberg,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,Architecture | Instrument Use,,1,2,0
Paris_1532,LATIN,1532,Paris,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,,Architecture | Instrument Use,1,0,2
Q4F538,GERMAN,1571,Nuremberg,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated,Perspective | Practical Geometry,Architecture,,2,1,0
QWCWLH,"FRENCH, ITALIAN",1545,Paris,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Architecture,,,1,0,0
S105XB,GERMAN,1564,Frankfurt,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated,Instrument Use | Perspective | Practical Geometry,,,3,0,0
Strasbourg_1529,LATIN,1529,Strasbourg,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,,,Practical Geometry,0,0,1
TJONV6,FRENCH,1585,Paris,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
TMVVZN,ITALIAN,1584,Milan,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,,,Practical Geometry,0,0,1
Tours_1593,LATIN,1593,Tours,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,Theoretical Mathematics,,,1,0,0
UEIZFO,FRENCH,1565,Paris,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
VWMZ7L,LATIN,1557,Paris,unrelated,primary,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unknown,unrelated,primary,unrelated,Arithmetic | Astronomy | Music Theory | Theoretical Mathematics,,Practical Geometry,4,0,1
Valencia_1569,LATIN,1569,Valencia,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,Theoretical Mathematics,,,1,0,0
WHEESV,LATIN,1600,Pesaro,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,unrelated,Perspective,,Architecture | Instrument Use | Practical Geometry,1,0,3
X2T7PY,LATIN,1586,Rome,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,Gnomonics & Horology | Instrument Construction | Instrument Use,,Practical Geometry,3,0,1
X5YBIB,FRENCH,1586,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Instrument Use | Practical Geometry,,,2,0,0
XHZ2XV,LATIN,1592,Tournon,unrelated,primary,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Arithmetic | Music Theory | Practical Geometry,,Astronomy,3,0,1
XXI4KS,GERMAN,1509,Nuremberg,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,unrelated,Perspective,,Architecture | Practical Geometry,1,0,2
YCXMIJ,FRENCH,1565,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,Mechanics,,Practical Geometry,1,0,1
YPQYIR,FRENCH,1565,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Mechanics,,,1,0,0
YQDZSW,FRENCH,1565,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Mechanics,,,1,0,0
Z0K13S,LATIN,1543,Nuremberg,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Astronomy,,,1,0,0
ZGOHUR,LATIN,1581,Rome,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,Gnomonics & Horology,Instrument Use | Practical Geometry,,1,2,0
ZN24V0,GERMAN,1543,Nuremberg,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated,Architecture | Perspective | Practical Geometry,,Instrument Use,3,0,1
ZQIHYL,LATIN,1531,Lyon,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,,,,0,0,0
bib-1,FRENCH,1542,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,,,1,0,0
bib-10,FRENCH,1570,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Instrument Use | Practical Geometry,,,2,0,0
bib-105,LATIN,1594,Nuremberg,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Instrument Use | Practical Geometry,,,2,0,0
bib-123,ITALIAN,1558,Lyon,unknown,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Arithmetic | Practical Geometry,,Architecture,2,0,1
bib-127,LATIN,1598,Nuremberg,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,,,1,0,0
bib-128,LATIN,1580,Basel,unknown,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated,Arithmetic | Practical Geometry | Theoretical Mathematics,,Architecture | Instrument Use,3,0,2
bib-13,FRENCH,1565,Paris,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,,Architecture | Instrument Use,1,0,2
bib-131,ENGLISH,1574,London,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Cartography | Instrument Use | Practical Geometry,,,3,0,0
bib-14,LATIN,1494,Venice,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,primary,unrelated,Arithmetic | Theoretical Mathematics,,Practical Geometry,2,0,1
bib-147,ITALIAN,1557,Venice,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Architecture | Military Engineering | Practical Geometry,,,3,0,0
bib-148,FRENCH,1598,Paris,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated,Military Engineering | Perspective | Practical Geometry,Architecture,,3,1,0
bib-15,FRENCH,1554,Lyon,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
bib-150,ENGLISH,1598,London,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,Military Engineering,Practical Geometry,,1,1,0
bib-151,ITALIAN,1567,Brescia,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,Arithmetic | Military Engineering,,Practical Geometry,2,0,1
bib-152,ITALIAN,1583,Venice,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Construction | Military Engineering,,,2,0,0
bib-153,ENGLISH,1579,London,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,Military Engineering,,1,1,0
bib-154,ENGLISH,1590,London,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic | Military Engineering,,,2,0,0
bib-155,LATIN,1503,Freiburg,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,,,Architecture | Instrument Use | Practical Geometry,0,0,3
bib-156,ITALIAN,1581,Venice,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,secondary,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,Instrument Use | Mechanics,Architecture | Military Engineering,Practical Geometry,2,2,1
bib-16,FRENCH,1572,Paris,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,,Architecture | Instrument Use,1,0,2
bib-167,LATIN,1511,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,Theoretical Mathematics,,,1,0,0
bib-168,LATIN,1513,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,,,,0,0,0
bib-169,FRENCH,1552,Paris,unrelated,unrelated,primary,secondary,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,Astronomy | Cosmography | Geography,Cartography,Practical Geometry,3,1,1
bib-17,FRENCH,1573,Paris,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,,Architecture | Instrument Use,1,0,2
bib-173,LATIN,1503,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,,,,0,0,0
bib-174,LATIN,1503,Paris,unrelated,primary,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated,Arithmetic | Astronomy | Practical Geometry,Theoretical Mathematics,,3,1,0
bib-176,LATIN,1514,Paris,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unknown,unrelated,,,Architecture | Instrument Use | Practical Geometry | Theoretical Mathematics,0,0,4
bib-18,SPANISH,1568,Salamanca,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,secondary,secondary,unrelated,primary,unrelated,unrelated,unrelated,secondary,unrelated,primary,unrelated,unknown,unrelated,Astronomy | Instrument Use | Practical Geometry,Geography | Gnomonics & Horology | Navigation,Theoretical Mathematics,3,3,1
bib-181,LATIN,1584,Paris,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
bib-185,DUTCH,1582,Antwerp,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic | Commercial Mathematics,,,2,0,0
bib-186,FRENCH,1585,Leiden,unrelated,primary,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,Arithmetic,Commercial Mathematics | Theoretical Mathematics,,1,2,0
bib-19,SPANISH,1583,Alcala,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated,Practical Geometry | Theoretical Mathematics,,,2,0,0
bib-2,FRENCH,1547,Paris,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,,Architecture | Instrument Use,1,0,2
bib-20,ITALIAN,1599,Rome,secondary,unrelated,unrelated,unrelated,unrelated,secondary,secondary,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,Practical Geometry,Architecture | Construction | Cosmography | Geography | Surveying,,1,5,0
bib-209,DUTCH,1600,Leiden,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,Practical Geometry | Surveying,Instrument Use,,2,1,0
bib-21,LATIN,1569,Basel,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Arithmetic | Practical Geometry,,,2,0,0
bib-210,DUTCH,1600,Leiden,secondary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,Cartography | Instrument Use | Practical Geometry | Surveying,Architecture,,4,1,0
bib-211,DUTCH,1547,Antwerp,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,Instrument Use,,1,1,0
bib-212,DUTCH,1603,Amsterdam,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic | Commercial Mathematics,,,2,0,0
bib-222,ENGLISH,1546,London,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic | Commercial Mathematics,,,2,0,0
