edition_id,language,year,city,primary_classes,secondary_classes,unknown_classes,primary_count,secondary_count,unknown_count,base_content,elements_designation,references_to_euclid,description_of_euclid,content_description,edition_details,enriched_with,bound_with_minimal,bound_with,audience,institutions,editor_name,editor_description,educational_authorities_references,origin_language,destination_language,action_verbs,date_in_imprint,location_in_imprint,publisher_in_imprint
Ferrara_1587,ITALIAN,1587,Ferrara,Theoretical Mathematics,,Architecture | Practical Geometry,1,0,2,,,,,"Ne' quali con mirabile ordine, e con dimostrazioni d'amarauglia più facili, e più forti del le usate | si vede che le Matematiche per via Regia, e più piana che da gli antichi fatto non s'è, si possono trattare",,,,,LE VOLENTI,,FRANC. PATRICI,,,,,,1587,FERRARA,Vittorio Baldini Stampator Ducale
GGD02E,ITALIAN,1596,Venice,Perspective,,Architecture | Instrument Use | Practical Geometry,1,0,3,,,,,,,,,,,,CAVALIERE LORENZO Sirigatti,,,,,,MDXCVI,VENETIA,Girolamo Franceschi Sanese Libraio in Firenze
JTRIRS,ITALIAN,1569,Venice,Perspective,Architecture | Practical Geometry,,1,2,0,LA PRATICA DELLA PERSPETTIVA,,,,,,,,,"A PITTORI, SCVLTORI, ET ARCHITETTI",,DANIEL BARBARO,MONSIGNOR | ELETTO PATRIARCA D'AQVILEIA,,,,,,,
JXC181,ITALIAN,1569,Venice,Perspective,Architecture | Practical Geometry,,1,2,0,,,,,,,"Con due tavole, una de' capitoli principali, l'altra delle cose più notabili contenute nella presente opera",,,"a Pittori, a Scultori, & ad Architetti",,DANIEL BARBARO,ELETTO PATRIARCA D'AQVILEIA,,,,,M D LXVIII,VENETIA,"Appresso Camillo, & Rutilio Borgominieri fratelli, al Segno di S. Giorgio"
JZ3MT9,LATIN,1593,Antwerp,Practical Geometry,Theoretical Mathematics,,1,1,0,,,,,,,,,,,,ADRIANO ROMANO LOVANIENSI,MEDICO ET MATHEMATICO,,,,,XCIII,"ANTVERPIÆ, Apud Ioannem Keerbergium",Ioannem Keerbergium
K7DERJ,GERMAN,1567,Augsburg,Perspective | Practical Geometry,Construction,,2,1,0,OCTAEDRON ELEVATVM SOLIDVM,,,,GEOMETRIA ET PERSPECTIVA,,Etliche Zerbrochne Gebew den Schrainer In eingelegter Arbait,,,vil andern Liebhabern,,Lorenz Stöer,Maller Bürger Inn Augspurg,,,,geordnet | gestelt | nachzutrucken,,,
L3XLGB,FRENCH,1564,Poitiers,Gnomonics & Horology | Instrument Construction,Instrument Use | Practical Geometry,,2,2,0,,,,,,,,,,,,,,,,,,M. D. LXIIII,,
L8R7FQ,FRENCH,1556,Paris,Arithmetic,,,1,0,0,L'ARITHMETICQVE,,,,"quatre reigles briefues, qui contiennent les deux cents quarante anciennes & plusieurs autres reigles, pour l'exercice des nombres entiers, par lesquels on peut facilement paruenir à la cognoissance de l'Algebre",,,,,,,P. FORCADEL,DE BEZIERS,,,,,1556,"PARIS, [chez Benoît Prévost] à l'enseigne de la Poulle grasse, deuant le college de Cambray",chez Benoît Prévost
LQNZBJ,FRENCH,1572,Paris,Astronomy,Architecture,,1,1,0,,,,,,,,,,,,P. Forcadel,Lecteur du Roy ez Mathematiques,,,,Traduictz,1572,PARIS,"De l'Imprimerie de Hierosme de Marnef & Guil- laume Cauellat, au mont S. Hilaire à l'en- seigne du Pelican"
MIZPJ8,GERMAN,1568,Nuremberg,Perspective,Practical Geometry,,1,1,0,PERSPECTIVA. Corporum Regularium,Elementis,Euclides,,Wie die Fünff Regulirten Cörper / daruon Plato inn Timæo / vnnd Euclides inn sein Elementis schreibt,,ein schöne Anleytung,,,Allen Liebhabern der freyen Künst zu Ehrn,,Wentzeln Jamitzer,,Plato,,,,,,
MYFHIS,ITALIAN,1584,Venice,Architecture | Construction,,Instrument Use | Practical Geometry,2,0,2,,,,,,,,,,,,SEBASTIANO SERLIO,BOLOGNESE,,,,,M D LXXXIIII,VENETIA,Appresso Francesco de' Franceschi
N000JX,LATIN,1516,Alcala,Arithmetic | Astronomy | Music Theory,,Instrument Use | Practical Geometry,3,0,2,Cursus quattuor mathematica- rum artium liberalium,,,,,quas recollegit atque correxit,,,,,,Petrus Ciruelus Darocensis,magister | theologus simul & philosophus,,,,recollegit | correxit,,,
NTML0S,ITALIAN,1600,Venice,Architecture | Perspective,Construction | Practical Geometry,Instrument Use,2,2,1,"TVTTE L'OPERE D'ARCHITETTVRA, ET PRROSPETIVA",,,,"Doue si mettono in disegno tutte le maniere di edificij, e si trattano di quelle cose, che sono più necessarie a sapere gli Architetti","Di nuouo ristampate, e corrette","Con la aggiunta delle inuentioni di cinquanta Porte, e gran numero di palazzi publici, e pri- uati nella Città, & in Villa, e varij accidenti, che possono occorrere nel fabricare | Con vn' Indice copiosissimo con molte Considerationi, & vn breue Discorso sopra questa materia, raccolto",,,gli Architetti,,M. GIO. DOMENICO SCAMOZZI VICENTINO,,,,,la aggiunta | ristampate | corrette,M D C,Vinegia,gli Heredi di Francesco de' Franceschi
Nuremberg_1539,GERMAN,1539,Nuremberg,Practical Geometry,Architecture | Instrument Use,,1,2,0,Das erst buch der Geometria,Das erst buch der Geometria,Euclide,,"Ein kurtze unterweisung, was vnd worauff Geometria gegründet sey, vnd wie man / nach anweisung der selben / mit dem Circkel vnd Richtscheydt / allerley Lini / Flech / vnd Cörper außztheylen / vnd in fürgegebener propozition / machen soll",,,,,allen liebhabern der selben | allen künstlichen werckleuten,,Wolfgang Schmid,Rechen-meyster zu Bamberg,,,,Getruckt,,,
Paris_1532,LATIN,1532,Paris,Practical Geometry,,Architecture | Instrument Use,1,0,2,PROTOMATHESIS,,,,"Opus varium, ac scitu non minus utile quàm iucundum",nunc primum in lucem feliciter emissum,,,,,,ORONTII FINEI DEL- PHINATIS,LIBERALIUM DISCIPLINARUM PROFESSORIS REGII,,,,feliciter emissum,1532,PARISIIS,
Q4F538,GERMAN,1571,Nuremberg,Perspective | Practical Geometry,Architecture,,2,1,0,PERSPECTIVA,,,,Hierinnen auffs kürtzte beschrieben / mit exempeln eröffnet vnd an tag gegeben wird / ein newer besonder kurtzer / doch gerechter vnnd sehr leichter weg / wie allerley ding / es seyen Corpora / Gebew / oder was möglich zuerdencken vnd in grund zulegen ist / verzückt oder vnuerrückt / ferner in die Perspectyf gebracht werden mag / on eini- ge vergebliche linie / riß vñ puncten / 2c. dergleichen weg bißhero noch nit bekant gewese,,mit exempeln,,,allen liebhabern guter künsten,,Hansen Lencker Burger,,,,,beschrieben | eröffnet | gegeben wird | gebracht werden mag | verzückt | vnuerrückt,M. D. LXXI,Nürnberg,Dietrich Gerlaß
QWCWLH,"FRENCH, ITALIAN",1545,Paris,Architecture,,,1,0,0,IL PRIMO libro d’Architet- tura,,,,,,,,,,,Iehan Martin,Secretaire de monseigneur le Reuerendissime CAR- DINAL DE LENONCOVRT,,,Françoyse,mis en langue Françoyse,,A PARIS,"audict Sebastian, son Architecte de Fontainebleau"
S105XB,GERMAN,1564,Frankfurt,Instrument Use | Perspective | Practical Geometry,,,3,0,0,Des Cirtkels vnnd Richtscheyts,,,,auch der Perspe- ctiua / vnd Proportion der Menschen vnd Rosse / kurtze / doch gründt- liche vnderweisung / deß rechten gebrauchs. Mit vil schönen Figuren,,Mit vil schönen Figuren,,,aller anfahenden Jugent | andern liebhabern dieser Kunst | Goldschmiden | Malern | Bildhauwern | Steinmetzen | Schrei- nern,,Heinrich Lautensack,Goldschmid vnd Maler | zu Franckfurt am Mayn,,,,gegeben,M. D. LXIIII,,
Strasbourg_1529,LATIN,1529,Strasbourg,,,Practical Geometry,0,0,1,"ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria","ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria",EVCLI,,Geometria,decerptum,,,,omnium Mathematicæ studiosorum | Lectori,,Ioanne Vœgelin,Haylpronensi,,,,decerptum,M.D.XXIX,ARGENTORATI,Christianum Egenolphum
TJONV6,FRENCH,1585,Paris,Arithmetic,,,1,0,0,L'ARITHMETIQVE DE GEMME PHRISON,,,,,Augmentee en ceste derniere Edition,Commentaires | plusieurs inuentions nouuelles dudit FORCADEL | Commentaires sur les reigles des Fractions,,,,,Pierre Forcadel de Be- ziers,Professeur és Mathematiques,,,en François,Traduite en François | illustree de Commentaires | contenans plu- sieurs inuentions nouuelles dudit FORCADEL | Augmentee en ceste derniere Edition,M. D. LXXXV,PARIS,Chez Hierosme de MARNEF | la veufue GVILLAVME CAVELLAT au mont S. Hilaire à l'enseigne du Pelican
TMVVZN,ITALIAN,1584,Milan,,,Practical Geometry,0,0,1,TRATTATO DELL'ARTE DE LA PITTVRA,,,,"tutta la Theorica, & la prattica d'essa pittura",,,,,,,GIO. PAOLO LOMAZZO,MILANESE PITTORE,,,,Diuiso,1584,MILANO,Paolo Gottardo Pontio
Tours_1593,LATIN,1593,Tours,Theoretical Mathematics,,,1,0,0,,,,,,,,,,Ad usum Mathematici Canonis Methodica,,,,,,,,1593,Turonis,Apud Iamettum Mettayer | Typographum Regium
UEIZFO,FRENCH,1565,Paris,Arithmetic,,,1,0,0,ARITHMETIQVE,,,,,ENTIERE ET ABREGEE,,,,,,PIERRE FORCADEL,LECTEVR DV ROY ES MATHEMATIQVES,,,,ABREGEE,1565,"PARIS | rue S.Iean de Beauuais, au Bellerophon",Charles Perier
VWMZ7L,LATIN,1557,Paris,Arithmetic | Astronomy | Music Theory | Theoretical Mathematics,,Practical Geometry,4,0,1,,,,,,,,Proclus de Sphæra,Proclus de Sphæra,,,Elia Vineto,Santone interprete,,,,,1557,"PARISIIS | Apud Gvilielmum Cauellat, in pingui gallina, ex aduerso collegij Cameracensis",Apud Gvilielmum Cauellat
Valencia_1569,LATIN,1569,Valencia,Theoretical Mathematics,,,1,0,0,"ELEMENTA Arithmeticæ, ac GEOMETRIÆ","ELEMENTA Arithmeticæ, ac GEOMETRIÆ",Euclide,,"Aristoteleam praesertim Dialecticam, ac Philosophiam apprime necessaria",,,,,AD disciplinas omnes,,Petro Monçono Valentino,auctor,,,,,1569,VALENTIAE | platea herbaria,Petri à Huete
WHEESV,LATIN,1600,Pesaro,Perspective,,Architecture | Instrument Use | Practical Geometry,1,0,3,PERSPECTIVAE LIBRI SEX,,,,,,,,,,,GVIDIVBALDI,,,,,,M. D C,Apud Hieronymum Concordiam,PISAVRI
X2T7PY,LATIN,1586,Rome,Gnomonics & Horology | Instrument Construction | Instrument Use,,Practical Geometry,3,0,1,,,,,,,"RATIO DESCRIBENDARUM horarum a meridie & media nocte exquisitissima, & nunquam ante hac in lucem edita",,,,SOCIETATIS IESV,CHRISTOPHORO CLAVIO,BAMBERGENSI SOCIETATIS IESV,,,,ACCESSIT,1586,ROMAE,Apud Bartholomaeum Grassium
X5YBIB,FRENCH,1586,Paris,Instrument Use | Practical Geometry,,,2,0,0,LAPRACTIQVE DE LA GEOME- TRIE D'ORONCE,,,,"en laquelle est comprins l'vsage du Quarré Geometrique, & de plusieurs autres instrumens seruans à mes- me effect: Ensemble la maniere de bien mesu- rer toutes sortes de plans & quantitez corporel- les: Auec les figures & demonstrations",Reueué & traduicte par Pierre Forcadel,,,,,,Pierre Forcadel,le- cteur du Roy és Mathematiques,,,,Reueué | traduicte,M. D. LXXXVI,PARIS,"Chez Gilles Gourbin, à l'enseigne de l'Esperance, deuant le college de Cambray"
XHZ2XV,LATIN,1592,Tournon,Arithmetic | Music Theory | Practical Geometry,,Astronomy,3,0,1,,,,,,in hac vltima editione,Accessit | percommoda distributio,PROCLI SPHÆRA,PROCLI SPHÆRA,studiosæ Iuventutis Academiæ Turnoniæ,Academiæ Turnoniæ Societ. IESV,Elia Vineto Santone,,,,,Accessit | interprete,,,
YCXMIJ,FRENCH,1565,Paris,Mechanics,,Practical Geometry,1,0,1,"DEVX LIVRES DE PROCLVS, DV MOVVE- MENT",,,,,,TRADVICTZ ET COM- mentés,,,,l'vniuerfité de Paris,Pierre Forcadel de Be- ziés,lecteur ordinaire du Roy és Mathematiques en l'vniuerfité de Paris,,,,TRADVICTZ | COM- mentés,1565,"PARIS | Chez Charles Perier, rue S.Iean de Beauuais, au Bellerophon",Charles Perier
YPQYIR,FRENCH,1565,Paris,Mechanics,,,1,0,0,Liure d'Euclide,Liure d'Euclide,Euclide,,du leger & du pesant,,,Liure d'Euclide,Liure d'Euclide intitu-  lé du leger & du pesant traduit & com-  menté par le mesme Forcadel,,l'V-  niuerfité de Paris,Pierre Forcadel de Bezies,lecteur ordinaire du Roy es Mathematiques en l'V-  niuerfité de Paris,,,,TRADVICT | COMMEN-  té | traduit | com- menté | intitu- lé,1565,"PARIS | Chez Charles Perier, demourant en la rue S.Ieande Beauuais, au Bellerophon",Charles Perier
YQDZSW,FRENCH,1565,Paris,Mechanics,,,1,0,0,LE PREMIER LIVRE D'ARCHIMEDE DES CHOSES EGALEMENT PESANTES,,,,,,,,,,l'vniuerfité de Paris,Pierre Forcadel de Bezies,"lecteur ordi- naire du Roy és Mathema- tiques, en l'vniuerfité de Paris",,,,Traduict | commenté,1565,"PARIS | Chez Charles Perier, rue S. Iean de Beauuais, au Bellerophon",Charles Perier
Z0K13S,LATIN,1543,Nuremberg,Astronomy,,,1,0,0,"DE REVOLVTIONIBVS ORBI- um coelestium, Libri VI",,,,"Motus stellarum, tam fixarum, quam erraticarum, cum excentricis, tum etiam excentricis observationibus restitutos","iam recens nato, & edito",novis insuper ac admirabilibus hypothesibus ornatos | Tabulas expeditissimas,,,studiose lector | ἀμαθὴς μή τις εἴσιτο,,,,,,,recens nato | edito | eme | lege | fruere,M. D. XLIII,Norimbergae apud Ioh. Petreium,Ioh. Petreium
ZGOHUR,LATIN,1581,Rome,Gnomonics & Horology,Instrument Use | Practical Geometry,,1,2,0,GNOMONICES LIBRI OCTO,,,,"IN QUIBUS Non solum horologiorum solarium, sed aliarum quoque rerum, quae ex gnomonis umbra cognosci possunt, descriptiones Geometrice demonstrantur",,,,,,Societatis IESU,CHRISTOPHORO CLAVIO BAMBERGENSI,Societatis IESU | Maiorum germisu,,,,,MDLXXXI,ROMAE,APUD FRANCISCUM ZANETTUM
ZN24V0,GERMAN,1543,Nuremberg,Architecture | Perspective | Practical Geometry,,Instrument Use,3,0,1,GEOMETRIA,,,,,,,,,,RO. KO. MA,,,,,,BRING,,,
ZQIHYL,LATIN,1531,Lyon,,,,0,0,0,,,,,,,,,,,,IOACHIMI FORTII RINGEL- bergij Andouerpsiani,,,,,,,,
bib-1,FRENCH,1542,Paris,Practical Geometry,,,1,0,0,Liure singulier & vti- le,,,,touchant l’art et pra- ctique de Geometrie,Composé nouuellement,,,,,,Charles de Bou- uelles,maistre | Chanoyne de Noyon,,,en Francoys,Composé,,,
bib-10,FRENCH,1570,Paris,Instrument Use | Practical Geometry,,,2,0,0,LA PRACTIQVE DE LA GEOME TRIE D’ORONCE,,,,"en laquelle est comprins l’vſage du Quarré Geometrique, & de pluſieurs autres inſtrumens ſeruans à meſ me effect: Enſemble la maniere de bien meſu rer toutes ſortes de plans & quantitez corporel les: Auec les figures & demonſtrations","Reueuë & traduicte par Pierre Forcadel, le cteur du Roy és Mathematiques",Auec les figures & demonſtrations,,,,,Pierre Forcadel,le cteur du Roy és Mathematiques,,,,Reueuë | traduicte,1570,"Chez Gilles Gourbin, à l’enſeigne de l’Eſperan ce, deuant le college de Cambray",Chez Gilles Gourbin
bib-105,LATIN,1594,Nuremberg,Instrument Use | Practical Geometry,,,2,0,0,DE QVADRANTE GEOMETRICO LIBELLVS,,,,"IN QVO QVIDQVID AD LINEARVM ET SVPERFICIERUM, VT POTE ALTITVDINVM ET LATITVDINVM, DI= mensiones facit lucidissime demonstratur",Sumptibus & expensis CORNELII DE IUDAEIS editus,Addita figura aenea XXVII. ad maiorem doctrinae intelligentiam & lucem hactenus non ita exposita,,,,,,,,,,Addita | editus,M. D. XCIIII,NORIBERGAE,TYPIS CHRISTOPHORI LOCHNERI
bib-123,ITALIAN,1558,Lyon,Arithmetic | Practical Geometry,,Architecture,2,0,1,,,,,,,,Arithmetica | Geometria,Il primo d’Arithmetica | l’altro di Geometria,gentiluomini | artegiani,,,,,,,,M. D. LVIII,LIONE,Gio. di Tovrnes
bib-127,LATIN,1598,Nuremberg,Practical Geometry,,,1,0,0,,,,,,,Aliquot modis expli- catum,,,,,JOHAN,PRAETORIO IOACHIMICO,,,,expli- catum,M. D. XCVIII,NORINBERGAE,EXCUDEBAT VALENTINUS FURMANNUS
bib-128,LATIN,1580,Basel,Arithmetic | Practical Geometry | Theoretical Mathematics,,Architecture | Instrument Use,3,0,2,GEOMETRIAE SEPTEM ET VIGINTI,,,,,,,ARITHMETICAE LIBRI DUO,ARITHMETICAE LIBRI DUO,,,P. RAMI,,,,,,M D LXXX,BASILEAE,"PER EUSEBIUM Episcopium, & Nicolai fratris heredes"
bib-13,FRENCH,1565,Paris,Practical Geometry,,Architecture | Instrument Use,1,0,2,,,,,,,,,,,,IEAN DE MERLIERS,PROFESSEVR DV ROY és Mathematiques,,,,DESCRIPTE | DEMONSTREE,1575,"PARIS | Chez Gilles Gorbin, à l’enseigne de l’Esperance, deuant le college de Cambray",Chez Gilles Gorbin
bib-131,ENGLISH,1574,London,Cartography | Instrument Use | Practical Geometry,,,3,0,0,,,,,,,,,,for all sortes of menne,,,,,,,,,,
bib-147,ITALIAN,1557,Venice,Architecture | Military Engineering | Practical Geometry,,,3,0,0,DEL MODO DI DISEGNARE LE piante delle fortezze secondo Euclide,,Euclide,,"ET DEL MODO DI COMPORRE I MODELLI, & torre in disegno le piante delle Città",,,,,,,Girolamo Catanio | Francesco Treuisi,Nouarese | ingegnero Veronese,,,,S’INTRODVCE,M D LVII,Venetia,"Vincenzo Valgrisij, & Baldessar Costantini"
bib-148,FRENCH,1598,Paris,Military Engineering | Perspective | Practical Geometry,Architecture,,3,1,0,,,,,,,,,,le curieux de Geo- metrie,,D’AMBROISE BACHOT,CAPITAINE INGENIEVR DV ROY,,,,Imprimé,,,
bib-15,FRENCH,1554,Lyon,Arithmetic,,,1,0,0,L’ARITHMETI-QUE DE IAQVES,,,,,Reuieüe & augmentee par l’Autheur,,,,,,PELETIER du Mans,,,,,Reuieüe | augmentee,M. D. LIIII,,Par Ian de Tournes
bib-150,ENGLISH,1598,London,Military Engineering,Practical Geometry,,1,1,0,THE THEORIKE AND PRACTIKE OF MODERNE WARRES,,,,"VVHEREIN IS DECLARED THE NEGLECT OF Martiall discipline: the inconuenience thereof: the imperfections of manie training Captaines: a redresse by due regard had: the fittest weapons for our Moderne VVarre: the vse of the same: the parts of a perfect souldier in generall and in particular: the Officers in degrees, with their seuerall duties: the imbattailing of men in formes now most in vse: with figures and Tables to the same: with sundrie other martiall points",,with figures and Tables to the same | with sundrie other martiall points,,,,,ROBERT BARRET,,,,,Discoursed | VVritten | Comprehended,1598,LONDON,VVillian Ponsonby
bib-151,ITALIAN,1567,Brescia,Arithmetic | Military Engineering,,Practical Geometry,2,0,1,,,,,PER SAPERE CON PRESTEZZA QVANTE FILE VANNO A FORMare VNA GVISTISSIMA BATTAGLIA,"DI NVOVO AGGIONTE, ET LARGAMENTE ampliate, tanto nella dichiaratione, come in esse tavole, dal medesimo autore","DI NVOVO AGGIONTE, ET LARGAMENTE ampliate",,,da cento fin’à ventimilia huomini,,GIROLAMO CATANEO NOVARESE,,,,,APPRESSO | APPROVATO | AGGIONTE | ampliate,1567,BRESCIA,Appresso Thomaso Bozola
bib-152,ITALIAN,1583,Venice,Construction | Military Engineering,,,2,0,0,DELLA FORTIFICATIONE DELLE CITTA,,,,"Ne’ quali, oltre le molte inventioni di questi Autori, si contiene tutto quello di più importanza, che fino ad hora è stato scritto di questa materia; con infinite cose, che da molti Signori, Capitani, & Ingegneri dell’età nostra si sono hautue",,,"Discorso del medesimo MAGGI | Discorso del Capitan FRANCESCO MONTEMELINO | Trattato dell’Ordinanze, ouero Battaglie | Ragionamento del sudetto CASTRIOTTO","Discorso del medesimo MAGGI sopra la Fortificatione de gli alloggiamenti de gli esserciti | Discorso del Capitan FRANCESCO MONTEMELINO sopra la fortificatione del Borgo di Roma | Trattato dell’Ordinanze, ouero Battaglie del Capitan GIOVACHINO da Coniano | Ragionamento del sudetto CASTRIOTTO sopra le fortezze della Francia",,,,,,,,,M D LXXXIII,VENETIA,"Appresso Camillo Borgominiero, al Segno di S. Giorgia"
bib-153,ENGLISH,1579,London,Arithmetic,Military Engineering,,1,1,0,,,,,,"Long since attempted by LEONARD DIGGES Gentleman | Augmented, digested, and lately finished, by THOMAS DIGGES, his Sonne",adjoyned certaine Questions of great Ordinance,"Moderne Militare Discipline, Offices, Lawes and Duties | Treatize of Pyrotechny and great Artillerie","the Moderne Militare Discipline, Offices, Lawes and Duties in every wel governed Campe and Armie | his other Treatize of Pyrotechny and great Artillerie",for the Profession of a Soldiour,,LEONARD DIGGES | THOMAS DIGGES,Gentleman,,,,Augmented | digested | finished | adjoyned,1579,LONDON,Henrie Bynneman
bib-154,ENGLISH,1590,London,Arithmetic | Military Engineering,,,2,0,0,ARITHMETICAL VVARLIKE TREATISE NAMED STRATIOTICOS,,,,"Compendiously teaching the Science of Numbers as well in Fractions as Integers, and so much of the Rules and Æquations Algebraicall, and Art of Num- bers Cossicall, as are requisite for the profession of a Souldier",reuiwed and corrected by the author him selfe | augmented with sundry additions | First published by Thomas Digges Esquire Anno Salutis 1579,sundry additions,Moderne Militare Discipline,"the Moderne Militare Discipline, Offices, Lawes and orders",for the profession of a Souldier,,,,,,,augmented | reuiwed | corrected | published,1590,LONDON,Richard Field
bib-156,ITALIAN,1581,Venice,Instrument Use | Mechanics,Architecture | Military Engineering,Practical Geometry,2,2,1,,,,,la vera Dottrina di tutti gli Instrumenti principali da mouer pesi grandissimi con picciola forza,,"i vocaboli, & luoghi più difficili",,,chi si diletta di questa nobilissima Scienza | Capitani di guerra | Ingegneri | Architetti | Artefice,,FILIPPO PIGAFETTA,SIG,,,IN VOLGARE,TRADOTTE,M D LXXXI,Venetia,Appresso Francesco di Franceschi Sanese
