"Page/Key","Edition Details","Feature Name","Feature Description","Feature Revision","Value"
"bib-176","1514, Paris - HÆC ACCVRATA RECOGNITIO TRI-
VM VOLVMINVM OPERVM CLA-
RISS. P. NICOLAI CUSÆ CARD.
EX OFFICINA ASCENSIA-
NA RECENTER EMISSA
ES...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unknown, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unknown, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unknown, Trigonometry::unrelated"
"N000JX","1516, Alcala - Cursus quattuor mathematicarum artium liberalium","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::primary, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unknown, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::primary, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-225","1518, Augsburg - Ain neu geordnet rechenbuechlein mitt den zyffern: den angenden schulern zu nutz","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-239","1521, Nuremberg - Ayn new kunstlich buech welches gar gewiß und behend lernet nach der gemainen regel detre welschen practic regeln falsi und e...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unknown, Astronomy::unknown, Cartography::unrelated, Commercial Mathematics::primary, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unknown, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::secondary, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-8","1525, Nuremberg - Underweysung der messung mit dem zirckel und richtscheyt in linien ebnen unnd gantzen corporen durch Albrecht duerer zu samen...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::secondary, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"6PMNRZ","1526, Paris - Arithmetica theoricen praxinque luculenter complexa","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::primary, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-278","1527, Augsburg - Rechnung auff der
Linien vnd Federn/Auff
allerley handthierung ge-
macht durch Adam
Risen.","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::primary, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"Strasbourg_1529","1529, Strasbourg - Elementale geometricum, ex Euclidis geometria","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"ZQIHYL","1531, Lyon - Opera, quae proxima pagina enumerantur","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"C8SLYQ","1531, Simmern - EYn schön nützlich büchlin und underweisung der kunst des messens, mit dem Zirckel, Richtscheidt oder linial. Zu nutz allen k...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::secondary, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"Paris_1532","1532, Paris - Protomathesis","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unknown, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unknown, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"Nuremberg_1539","1539, Nuremberg - Das erst buch der geometria. Ein kurtze unterweisung was und warauff geometria gegruendet sey und wie man allerley lini flech...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::secondary, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::secondary, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-1","1542, Paris - Livre singulier et utile touchant l'art et practique de geometrie","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"Z0K13S","1543, Nuremberg - De revolutionibus orbium coelestium, libri VI.","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::primary, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"ZN24V0","1543, Nuremberg - Ein aigentliche und grundtliche anweysung in die geometria, sonderlich aber wie alle regulierte und unregulierte corpora in d...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::primary, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unknown, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-9","1544, Strasbourg - ORONTII FINEI DELPHINA-
TIS, LUTETIAE LIBERALIVM
disciplinarum Professoris regij
LIBER
DE GEOMETRIA
PRACTICA, SIVE DE
practic...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::secondary, Mechanics::secondary, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"QWCWLH","1545, Paris - Il primo libro [-secondo] d'architettura, di Sabastiano Serlio, bolognese. Le premier liure d'architecture de Sebastian Serli...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::primary, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-222","1546, London - An introduction for to lerne to recken with the pen or with the counters, accordyng to the trewe cast of algorisme, in hole n...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::primary, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-211","1547, Antwerp - Een sonderlinghe pro-
fytelijck boeck / aenghaende de Constle ende
practijcke van Geometrien / onlancx in
François beschreuen...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::secondary, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"6X6R6Y","1547, Nuremberg - Der furnembsten notwendigsten der gantzen Architectur angehoerigen mathemathischen und mechanischen kuenst","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::primary, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::primary, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::secondary, Mechanics::unrelated, Military Engineering::secondary, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-2","1547, Paris - Geometrie practique,
composee par le noble Philosophe
maistre Charles de Bouelles, & nou
uellement par luy reueue, augmen-
té...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unknown, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unknown, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-169","1552, Paris - L’SPHERE DU MON-
DE, PROPREMENT DITTE COS-
mographie, composée nouvellement en françois,
& divisée en cinq livres, comprenant...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::primary, Cartography::secondary, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::primary, Geography::primary, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"5KCP5R","1553, Antwerp - Den tweeden boeck van architecturen tracterende van perspectyven, dat is, het insien duer tvercorten","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::primary, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unknown, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::secondary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-15","1554, Lyon -  L' Arithmetique de Jacques Peletier du Mans","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-82","1554, Lyon - Io. Buteonis delphinatici opera geometrica","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::secondary, Construction::secondary, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::secondary, Mechanics::secondary, Military Engineering::secondary, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::secondary, Trigonometry::unrelated"
"bib-46","1555, Paris -  Usaige Et description de l'holometre","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::secondary, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::primary, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::primary, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"ustc-44","1555, Paris - GEOMETRIE
PRACTIQVE, COMPOSEE
par le noble Philosophe maïstre Charles
de Bouelles, & nouuellement par
luy reueue, augmentée, ...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unknown, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"L8R7FQ","1556, Paris - L'arithmetique","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
