edition_id,language,year,city,primary_classes,secondary_classes,unknown_classes,primary_count,secondary_count,unknown_count
ZQIHYL,LATIN,1531,Lyon,,,,0,0,0
bib-1,FRENCH,1542,Paris,Practical Geometry,,,1,0,0
bib-10,FRENCH,1570,Paris,Instrument Use | Practical Geometry,,,2,0,0
bib-105,LATIN,1594,Nuremberg,Instrument Use | Practical Geometry,,,2,0,0
bib-123,ITALIAN,1558,Lyon,Arithmetic | Practical Geometry,,Architecture,2,0,1
bib-127,LATIN,1598,Nuremberg,Practical Geometry,,,1,0,0
bib-128,LATIN,1580,Basel,Arithmetic | Practical Geometry | Theoretical Mathematics,,Architecture | Instrument Use,3,0,2
bib-13,FRENCH,1565,Paris,Practical Geometry,,Architecture | Instrument Use,1,0,2
bib-131,ENGLISH,1574,London,Cartography | Instrument Use | Practical Geometry,,,3,0,0
bib-14,LATIN,1494,Venice,Arithmetic | Theoretical Mathematics,,Practical Geometry,2,0,1
bib-147,ITALIAN,1557,Venice,Architecture | Military Engineering | Practical Geometry,,,3,0,0
bib-148,FRENCH,1598,Paris,Military Engineering | Perspective | Practical Geometry,Architecture,,3,1,0
bib-15,FRENCH,1554,Lyon,Arithmetic,,,1,0,0
bib-150,ENGLISH,1598,London,Military Engineering,Practical Geometry,,1,1,0
bib-151,ITALIAN,1567,Brescia,Arithmetic | Military Engineering,,Practical Geometry,2,0,1
bib-152,ITALIAN,1583,Venice,Construction | Military Engineering,,,2,0,0
bib-153,ENGLISH,1579,London,Arithmetic,Military Engineering,,1,1,0
bib-154,ENGLISH,1590,London,Arithmetic | Military Engineering,,,2,0,0
bib-155,LATIN,1503,Freiburg,,,Architecture | Instrument Use | Practical Geometry,0,0,3
bib-156,ITALIAN,1581,Venice,Instrument Use | Mechanics,Architecture | Military Engineering,Practical Geometry,2,2,1
bib-16,FRENCH,1572,Paris,Practical Geometry,,Architecture | Instrument Use,1,0,2
bib-167,LATIN,1511,Paris,Theoretical Mathematics,,,1,0,0
bib-168,LATIN,1513,Paris,,,,0,0,0
bib-169,FRENCH,1552,Paris,Astronomy | Cosmography | Geography,Cartography,Practical Geometry,3,1,1
bib-17,FRENCH,1573,Paris,Practical Geometry,,Architecture | Instrument Use,1,0,2
bib-173,LATIN,1503,Paris,,,,0,0,0
bib-174,LATIN,1503,Paris,Arithmetic | Astronomy | Practical Geometry,Theoretical Mathematics,,3,1,0
bib-176,LATIN,1514,Paris,,,Architecture | Instrument Use | Practical Geometry | Theoretical Mathematics,0,0,4
bib-18,SPANISH,1568,Salamanca,Astronomy | Instrument Use | Practical Geometry,Geography | Gnomonics & Horology | Navigation,Theoretical Mathematics,3,3,1
bib-181,LATIN,1584,Paris,Arithmetic,,,1,0,0
bib-185,DUTCH,1582,Antwerp,Arithmetic | Commercial Mathematics,,,2,0,0
bib-186,FRENCH,1585,Leiden,Arithmetic,Commercial Mathematics | Theoretical Mathematics,,1,2,0
bib-19,SPANISH,1583,Alcala,Practical Geometry | Theoretical Mathematics,,,2,0,0
bib-2,FRENCH,1547,Paris,Practical Geometry,,Architecture | Instrument Use,1,0,2
bib-20,ITALIAN,1599,Rome,Practical Geometry,Architecture | Construction | Cosmography | Geography | Surveying,,1,5,0
bib-209,DUTCH,1600,Leiden,Practical Geometry | Surveying,Instrument Use,,2,1,0
bib-21,LATIN,1569,Basel,Arithmetic | Practical Geometry,,,2,0,0
bib-210,DUTCH,1600,Leiden,Cartography | Instrument Use | Practical Geometry | Surveying,Architecture,,4,1,0
bib-211,DUTCH,1547,Antwerp,Practical Geometry,Instrument Use,,1,1,0
bib-212,DUTCH,1603,Amsterdam,Arithmetic | Commercial Mathematics,,,2,0,0
bib-222,ENGLISH,1546,London,Arithmetic | Commercial Mathematics,,,2,0,0
bib-223,GERMAN,1572,Frankfurt,Arithmetic | Commercial Mathematics,Instrument Construction | Music Theory | Practical Geometry,,2,3,0
bib-225,GERMAN,1518,Augsburg,Arithmetic,,,1,0,0
bib-23,ITALIAN,1556,Venice,Arithmetic,Theoretical Mathematics,,1,1,0
bib-239,GERMAN,1521,Nuremberg,Commercial Mathematics | Practical Geometry,Music Theory,Arithmetic | Astronomy | Instrument Use,2,1,3
bib-24,LATIN,1575,Bordeaux,Theoretical Mathematics,,,1,0,0
bib-247,ITALIAN,1484,Venice,Arithmetic | Commercial Mathematics,,,2,0,0
bib-248,ITALIAN,1491/1492,Florence,Arithmetic,,,1,0,0
bib-25,FRENCH,1577,Bordeaux,Practical Geometry | Surveying,,Instrument Use,2,0,1
bib-251,LATIN,1560,Cologne,Astronomy,,,1,0,0
bib-252,LATIN,1570,,Astronomy,,Instrument Use | Practical Geometry,1,0,2
bib-253,LATIN,1583,Lyon,Astronomy,,Practical Geometry,1,0,1
bib-255,LATIN,1574,Cologne,Cosmography,Navigation,,1,1,0
bib-258,DUTCH,1585,Leiden,Arithmetic,,,1,0,0
bib-259,LATIN,1591,Tours,Arithmetic | Music Theory | Theoretical Mathematics,,Practical Geometry,3,0,1
bib-26,ITALIAN,1568,Venice,,,,0,0,0
bib-262,FRENCH,1582,Antwerp,Arithmetic,,,1,0,0
bib-264,FRENCH,1573,Antwerp,Arithmetic | Commercial Mathematics | Trigonometry,Practical Geometry,,3,1,0
bib-266,FRENCH,1563,Antwerp,Arithmetic,Commercial Mathematics,,1,1,0
bib-27,ITALIAN,1565,Venice,Architecture,,Instrument Use | Practical Geometry,1,0,2
bib-276,LATIN,1560,Padua,Practical Geometry | Theoretical Mathematics,,,2,0,0
bib-277,GERMAN,1514,Augsburg,Arithmetic | Commercial Mathematics,,Practical Geometry,2,0,1
bib-278,GERMAN,1527,Augsburg,Arithmetic | Commercial Mathematics,,,2,0,0
bib-28,FRENCH,1576,Paris,Perspective,Trigonometry,Architecture | Instrument Use | Practical Geometry,1,1,3
bib-280,FRENCH,1600,Paris,Construction | Military Engineering,Architecture | Practical Geometry,Instrument Use,2,2,1
bib-282,FRENCH,1563,Paris,Arithmetic,Practical Geometry,,1,1,0
bib-283,ENGLISH,1603,London,Arithmetic,Commercial Mathematics,,1,1,0
bib-285,ENGLISH,1564,London,Arithmetic,,,1,0,0
bib-29,FRENCH,1582,Paris,Architecture | Construction,,,2,0,0
bib-33,ITALIAN,1564,Venice,Perspective | Practical Geometry | Surveying,,,3,0,0
bib-35,LATIN,1585,Turin,,,Instrument Use | Practical Geometry,0,0,2
bib-39,ITALIAN,1564,Venice,Military Engineering,Architecture | Construction,Practical Geometry,1,2,1
bib-4,FRENCH,1564,Paris,Gnomonics & Horology | Practical Geometry,Instrument Use,,2,1,0
bib-40,GERMAN,1596,Delft,Practical Geometry | Trigonometry,Arithmetic | Commercial Mathematics | Surveying,Instrument Use,2,3,1
bib-41,LATIN,1558,Venice,Astronomy | Perspective,Practical Geometry,,2,1,0
bib-42,LATIN,1570,Pesaro,Practical Geometry | Theoretical Mathematics,,,2,0,0
bib-44,FRENCH,1567,Paris,Architecture,,Practical Geometry,1,0,1
bib-45,ITALIAN,1587,Venice,Arithmetic | Cosmography | Gnomonics & Horology | Practical Geometry,Instrument Use,,4,1,0
bib-46,FRENCH,1555,Paris,Instrument Use | Practical Geometry | Surveying,Cartography,,3,1,0
bib-47,FRENCH,1561,Paris,Cartography | Instrument Use | Practical Geometry | Surveying,,,4,0,0
bib-5,FRENCH,1585,Paris,Instrument Use | Practical Geometry,,,2,0,0
bib-52,LATIN,1592,Venice,Instrument Use | Practical Geometry,Architecture,,2,1,0
bib-59,LATIN,1594,Leiden,Practical Geometry,,,1,0,0
bib-64,LATIN,1579,Paris,Practical Geometry | Theoretical Mathematics,,,2,0,0
bib-67,LATIN,1595,Paris,Practical Geometry,,Architecture | Instrument Use,1,0,2
bib-7,ENGLISH,1571,London,Practical Geometry,Cartography | Instrument Use | Perspective | Surveying | Theoretical Mathematics,,1,5,0
bib-71,LATIN,1567,Venice,Architecture,Gnomonics & Horology | Mechanics | Practical Geometry,,1,3,0
bib-76,LATIN,1598,Venice,Cosmography,Arithmetic | Practical Geometry | Theoretical Mathematics,Instrument Use,1,3,1
bib-8,GERMAN,1525,Nuremberg,Practical Geometry,Instrument Use,,1,1,0
bib-82,LATIN,1554,Lyon,Practical Geometry,Commercial Mathematics | Construction | Instrument Use | Mechanics | Military Engineering | Theoretical Mathematics,,1,6,0
bib-83,LATIN,1559,Lyon,Practical Geometry,Commercial Mathematics | Construction | Mechanics | Military Engineering | Surveying,Instrument Use,1,5,1
bib-87,ITALIAN,1584,Brescia,Practical Geometry | Surveying,,Instrument Use,2,0,1
bib-9,LATIN,1544,Strasbourg,Practical Geometry,Instrument Use | Mechanics,,1,2,0
bib-90,FRENCH,1585,Paris,Instrument Use | Practical Geometry,,,2,0,0
bib-91,ITALIAN,1563,Venice,Arithmetic | Practical Geometry | Theoretical Mathematics,,,3,0,0
bib-93,ITALIAN,1603,Venice,Arithmetic | Commercial Mathematics | Practical Geometry | Surveying,,,4,0,0
ustc-16,FRENCH,1604,Paris,Astronomy | Instrument Construction | Instrument Use | Navigation,Practical Geometry,,4,1,0
ustc-29,FRENCH,1602,Paris,Practical Geometry,Instrument Use,Architecture,1,1,1
ustc-32,FRENCH,1578,Paris,Arithmetic,,,1,0,0
ustc-44,FRENCH,1555,Paris,Practical Geometry,,Instrument Use,1,0,1
